,Pixels #,Intensity (a.u.),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted
0,0.0,7.55682,7.5565,-0.01757995127093892,543.3244458802427,391.7834466657345,392.4371436856039
1,1.0,7.5565,7.5565,-0.017579968850890637,543.3794073461789,393.6450874561753,394.29665115274264
2,2.0,7.55534,7.55639,-0.017690004010811222,543.4343688121152,395.506351684098,396.1557824888802
3,3.0,7.55639,7.55534,-0.018740056860736765,543.4893302780514,397.36723946374707,398.0145378081303
4,4.0,7.55511,7.55631,-0.017770128450719902,543.5442917439876,399.22775090931503,399.8729172245544
5,5.0,7.55631,7.55577,-0.018310217810831197,543.5992532099239,401.08788613495324,401.73092085217314
6,6.0,7.55577,7.55606,-0.018020325481159283,543.65421467586,402.94764525476313,403.58854880495716
7,7.0,7.55606,7.55606,-0.018020451171813612,543.7091761417962,404.80702838280706,405.4458011968382
8,8.0,7.55674,7.55618,-0.017900594882918952,543.7641376077324,406.66603563309104,407.30267814169156
9,9.0,7.55618,7.55674,-0.017340756494620635,543.8190990736687,408.52466711958436,409.15917975335594
10,10.0,7.55747,7.55747,-0.016610935447077146,543.8740605396049,410.382922956204,411.0153061456178
11,11.0,7.55794,7.55759,-0.016491131010469395,543.9290220055411,412.24080325682166,412.87105743221827
12,12.0,7.55759,7.55759,-0.01649134306499178,543.9839834714774,414.0983081352655,414.72643372685513
13,13.0,7.55645,7.55719,-0.016891571610857525,544.0389449374136,415.955437705316,416.5814351431785
14,14.0,7.55719,7.55645,-0.017631817048295417,544.0939064033498,417.81219208070814,418.43606179479303
15,15.0,7.55578,7.55578,-0.01830208011755019,544.148867869286,419.6685713751314,420.2903137952579
16,16.0,7.55561,7.55578,-0.01830236148888531,544.2038293352223,421.5245757022276,422.1441912580846
17,17.0,7.55733,7.55621,-0.017872661162581238,544.2587908011584,423.3802051755928,423.99769429673916
18,18.0,7.55621,7.55621,-0.017872978708938447,544.3137522670946,425.23545990878415,425.85082302464855
19,19.0,7.55598,7.55598,-0.018103314128273595,544.3687137330309,427.09034001530256,427.7035775551836
20,20.0,7.55435,7.55435,-0.01973366765092255,544.4236751989671,428.9448456086076,429.5559580016739
21,21.0,7.55401,7.55435,-0.01973404090723907,544.4786366649033,430.79897680211536,431.4079644774055
22,22.0,7.55576,7.55539,-0.01869443389759695,544.5335981308396,432.6527337091923,433.2595970956151
23,23.0,7.55539,7.55539,-0.018694845582388098,544.5885595967758,434.50611644316143,435.1108559694957
24,24.0,7.55519,7.55519,-0.018895275962025337,544.643521062712,436.3591251172957,436.9617412121904
25,25.0,7.55494,7.55498,-0.019105725236938653,544.6984825286482,438.2117598448316,438.8122529368061
26,26.0,7.55498,7.55498,-0.019106193617576928,544.7534439945845,440.0640207389509,440.6623912563948
27,27.0,7.55601,7.55507,-0.019016681104409017,544.8084054605207,441.9159079127924,442.5121562839657
28,28.0,7.55507,7.55601,-0.018077187607921985,544.8633669264569,443.76742147945146,444.36154813248436
29,29.0,7.55653,7.55653,-0.0175577121886219,544.918328392393,445.6185615519712,446.21056691486456
30,30.0,7.55756,7.55756,-0.016528254327035086,544.9732898583293,447.46932824336244,448.0592127439876
31,31.0,7.5578,7.5578,-0.016288812993701107,545.0282513242655,449.3197216665795,449.90748573267825
32,32.0,7.55909,7.5578,-0.016289387949180778,545.0832127902017,451.16974193453115,451.755385993716
33,33.0,7.55767,7.55767,-0.01641997919404936,545.138174256138,453.01938916008504,453.6029136398392
34,34.0,7.55734,7.55734,-0.016750586858896632,545.1931357220742,454.86866345606114,455.45006878373835
35,35.0,7.55604,7.55708,-0.017011211274330584,545.2480971880104,456.7175649352337,457.29685153805866
36,36.0,7.55708,7.55642,-0.0176718527009756,545.3030586539467,458.56609371033386,459.14326201540194
37,37.0,7.55642,7.55708,-0.017012511799473273,545.3580201198829,460.41424989404265,460.98930032832016
38,38.0,7.55779,7.55779,-0.016303187910483352,545.4129815858191,462.2620335990022,462.8349665893264
39,39.0,7.55812,7.55809,-0.01600388032468114,545.4679430517554,464.1094449378026,464.68026091088166
40,40.0,7.55809,7.55809,-0.016004588742759118,545.5229045176915,465.9564840229884,466.52518340540155
41,41.0,7.55675,7.55675,-0.017345313165425758,545.5778659836277,467.8031509670715,468.3697341852691
42,42.0,7.55553,7.55553,-0.018566054933407017,545.6328274495639,469.6494458825032,470.2139133628067
43,43.0,7.55526,7.55526,-0.018836815267443185,545.6877889155002,471.4953688816936,472.0577210502956
44,44.0,7.55447,7.55526,-0.01883759443829458,545.7427503814364,473.3409200770138,473.90115735997813
45,45.0,7.55537,7.55537,-0.018728392446741182,545.7977118473726,475.18609958078054,475.74422240404243
