Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.55734,543.3244458802427,391.7834466657345,392.437143685604,7.5571,-0.012902621152619531
1.0,7.55794,543.3794073461789,393.6450874561753,394.2966511527427,7.55734,-0.012662633815240909
2.0,7.5571,543.4343688121152,395.506351684098,396.1557824888803,7.55735,-0.012652658540497796
3.0,7.55759,543.4893302780514,397.36723946374707,398.0145378081303,7.55735,-0.012652696168412803
4.0,7.55735,543.5442917439876,399.22775090931503,399.87291722455444,7.55719,-0.01281274620902284
5.0,7.55718,543.5992532099239,401.08788613495324,401.73092085217314,7.55719,-0.012812808902380901
6.0,7.55719,543.65421467586,402.94764525476313,403.5885488049572,7.55719,-0.012812884418547554
7.0,7.55682,543.7091761417962,404.80702838280706,405.44580119683826,7.55719,-0.012812972747598295
8.0,7.55783,543.7641376077324,406.66603563309104,407.3026781416916,7.55739,-0.012613074259621548
9.0,7.55739,543.8190990736687,408.52466711958436,409.159179753356,7.55739,-0.012613187944719328
10.0,7.55816,543.8740605396049,410.382922956204,411.01530614561784,7.55783,-0.012173314243004718
11.0,7.55648,543.9290220055411,412.24080325682166,412.8710574322183,7.55744,-0.012563452384605434
12.0,7.55837,543.9839834714774,414.0983081352655,414.7264337268552,7.55754,-0.012463604049656851
13.0,7.55744,544.0389449374136,415.955437705316,416.58143514317857,7.55744,-0.012563767348312993
14.0,7.55754,544.0939064033498,417.81219208070814,418.4360617947931,7.55744,-0.012563943210736284
15.0,7.55525,544.148867869286,419.6685713751314,420.29031379525793,7.55744,-0.01256413153710323
16.0,7.55672,544.2038293352223,421.5245757022276,422.1441912580846,7.55754,-0.01246433461760077
17.0,7.55858,544.2587908011584,423.3802051755928,423.9976942967392,7.55692,-0.013084550982433996
18.0,7.55767,544.3137522670946,425.23545990878415,425.8508230246486,7.55692,-0.013084778771816907
19.0,7.55692,544.3687137330309,427.09034001530256,427.70357755518364,7.55692,-0.013085018895978351
20.0,7.55686,544.4236751989671,428.9448456086076,429.5559580016739,7.55686,-0.01314527210515859
21.0,7.55626,544.4786366649033,430.79897680211536,431.4079644774056,7.55648,-0.013525538459611575
22.0,7.55648,544.5335981308396,432.6527337091923,433.2595970956151,7.55626,-0.013745818559601553
23.0,7.5552,544.5885595967758,434.50611644316143,435.1108559694957,7.55626,-0.013746112185410553
24.0,7.55611,544.643521062712,436.3591251172957,436.9617412121905,7.55632,-0.01368642061733194
25.0,7.55632,544.6984825286482,438.2117598448316,438.81225293680615,7.55625,-0.01375674294567375
26.0,7.55686,544.7534439945845,440.0640207389509,440.6623912563948,7.55632,-0.013687078960758825
27.0,7.55625,544.8084054605207,441.9159079127924,442.5121562839657,7.55686,-0.01314742812292291
28.0,7.55764,544.8633669264568,443.76742147944714,444.3615481324801,7.55764,-0.012367791042515286
29.0,7.55966,544.918328392393,445.6185615519712,446.2105669148646,7.55966,-0.010348166329898767
30.0,7.56035,544.9732898583293,447.46932824336244,448.05921274398764,7.56018,-0.009828551965448185
31.0,7.56018,545.0282513242655,449.3197216665795,449.9074857326783,7.56018,-0.009828947259548748
32.0,7.56079,545.0832127902017,451.16974193453115,451.75538599371606,7.56035,-0.009659352382597852
33.0,7.55913,545.138174256138,453.01938916008504,453.6029136398392,7.56018,-0.009829766724998912
34.0,7.56092,545.1931357220742,454.86866345606114,455.4500687837384,7.55972,-0.010290191947166072
35.0,7.55901,545.2480971880104,456.7175649352337,457.2968515380587,7.55913,-0.010880626259526238
36.0,7.55972,545.3030586539467,458.56609371033386,459.14326201540194,7.55901,-0.011001071572512622
37.0,7.55712,545.3580201198829,460.41424989404265,460.9893003283202,7.55837,-0.011641527176569966
38.0,7.55837,545.4129815858191,462.2620335990022,462.8349665893265,7.55751,-0.01250199567215482
39.0,7.55687,545.4679430517552,464.1094449377983,464.6802609108774,7.55734,-0.012672475809734962
40.0,7.55751,545.5229045176915,465.9564840229884,466.5251834054016,7.55751,-0.012502969089791094
41.0,7.55734,545.5778659836277,467.8031509670715,468.3697341852691,7.55734,-0.012673474872816115
42.0,7.55834,545.6328274495639,469.6494458825032,470.21391336280675,7.55734,-0.012673993329316957
43.0,7.5564,545.6877889155002,471.4953688816936,472.05772105029564,7.55698,-0.013034523459811709
44.0,7.55524,545.7427503814364,473.3409200770138,473.9011573599782,7.5564,-0.013615067204830744
45.0,7.55698,545.7977118473726,475.18609958078054,475.7442224040425,7.5564,-0.013615625724916924
46.0,7.5562,545.8526733133089,477.0309075052739,477.5869162946398,7.55698,-0.013036197280627881
47.0,7.55943,545.9076347792451,478.87534396272173,479.42923914386955,7.55943,-0.010586782652536542
48.0,7.55986,545.9625962451813,480.7194090653108,481.2711910637898,7.55943,-0.010587378611227827
49.0,7.55987,546.0175577111175,482.5631029251802,483.1127721664112,7.55943,-0.01058798472729805
50.0,7.55743,546.0725191770537,484.4064256544212,484.9539825636966,7.55743,-0.012588600991352727
51.0,7.55522,546.1274806429899,486.2493773650947,486.79482236757843,7.55555,-0.014469229844007891
52.0,7.55522,546.1824421089261,488.0919581691989,488.6352916899266,7.55555,-0.01446987349589346
53.0,7.55555,546.2374035748624,489.93416817869496,490.4753906425739,7.55555,-0.014470531947652354
54.0,7.55808,546.2923650407986,491.7760075054964,492.3151193373057,7.55772,-0.012301204869944016
55.0,7.55772,546.3473265067348,493.6174762614756,494.154477885866,7.55792,-0.012101889733439286
56.0,7.55849,546.402287972671,495.4585745584549,495.9934663999493,7.55792,-0.012102586898824264
57.0,7.55792,546.4572494386073,497.2993025082156,497.8320849912085,7.55772,-0.01230329559679788
58.0,7.55711,546.5122109045435,499.1396602224913,499.67033377124926,7.55711,-0.01291401639806633
59.0,7.55651,546.5671723704797,500.979647812972,501.50821285163374,7.55663,-0.013394750113350007
60.0,7.55612,546.622133836416,502.81926539130467,503.34572234388077,7.55651,-0.013515497343384197
61.0,7.55663,546.6770953023522,504.6585130690884,505.18286235946164,7.55651,-0.013516258478915688
62.0,7.5563,546.7320567682883,506.4973909578744,507.01963300979975,7.5563,-0.013727033010705547
63.0,7.55655,546.7870182342245,508.33589916918174,508.8560344062863,7.55655,-0.013477821269528789
64.0,7.55587,546.8419797001608,510.17403781446853,510.6920666602518,7.55655,-0.013478623006173862
65.0,7.55844,546.896941166097,512.0118070051603,512.527729882994,7.55655,-0.013479438901441654
66.0,7.55701,546.9519026320332,513.8492068526308,514.363024185759,7.55645,-0.013580266386147954
