Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.790353,543.3244458802427,391.7834466657345,392.437143685604,0.789461,-0.0007442446563677985
1.0,0.790393,543.3794073461789,393.6450874561753,394.2966511527427,0.789461,-0.0007442445102996409
2.0,0.789461,543.4343688121152,395.506351684098,396.1557824888803,0.789461,-0.0007442441786125187
3.0,0.789143,543.4893302780514,397.36723946374707,398.0145378081303,0.789461,-0.0007442445820293742
4.0,0.788729,543.5442917439876,399.22775090931503,399.87291722455444,0.789461,-0.000744246034318552
5.0,0.78987,543.5992532099239,401.08788613495324,401.73092085217314,0.78987,-0.00033524894367908953
6.0,0.78996,543.65421467586,402.94764525476313,403.5885488049572,0.78996,-0.00024525218430382356
7.0,0.790074,543.7091761417962,404.80702838280706,405.44580119683826,0.78996,-0.0002452556672870587
8.0,0.790676,543.7641376077324,406.66603563309104,407.3026781416916,0.78996,-0.00024525927999163866
9.0,0.789935,543.8190990736687,408.52466711958436,409.159179753356,0.789935,-0.0002702624271836429
10.0,0.789895,543.8740605396049,410.382922956204,411.01530614561784,0.789895,-0.0003102658414427806
11.0,0.789386,543.9290220055411,412.24080325682166,412.8710574322183,0.789555,-0.0006502695622873089
12.0,0.789555,543.9839834714774,414.0983081352655,414.7264337268552,0.789386,-0.0008192740922797759
13.0,0.789066,544.0389449374136,415.955437705316,416.58143514317857,0.789066,-0.0011392792646186534
14.0,0.788618,544.0939064033498,417.81219208070814,418.4360617947931,0.789066,-0.001139285561808867
15.0,0.788658,544.148867869286,419.6685713751314,420.29031379525793,0.789066,-0.00113929342549568
16.0,0.789101,544.2038293352223,421.5245757022276,422.1441912580846,0.789101,-0.001104302816270386
17.0,0.790175,544.2587908011584,423.3802051755928,423.9976942967392,0.789333,-0.0008723132973997849
18.0,0.78955,544.3137522670946,425.23545990878415,425.8508230246486,0.789333,-0.0008723238084911156
19.0,0.789333,544.3687137330309,427.09034001530256,427.70357755518364,0.789333,-0.0008723349669130798
20.0,0.788229,544.4236751989671,428.9448456086076,429.5559580016739,0.78857,-0.001635346986846753
21.0,0.78857,544.4786366649033,430.79897680211536,431.4079644774056,0.788229,-0.0019763609564981133
22.0,0.788053,544.5335981308396,432.6527337091923,433.2595970956151,0.788053,-0.0021523765400136563
23.0,0.787733,544.5885595967758,434.50611644316143,435.1108559694957,0.788053,-0.00215239424653757
24.0,0.787772,544.643521062712,436.3591251172957,436.9617412121905,0.788053,-0.002152414390956592
25.0,0.78825,544.6984825286482,438.2117598448316,438.81225293680615,0.78825,-0.001955436934925725
26.0,0.789232,544.7534439945845,440.0640207389509,440.6623912563948,0.788836,-0.0013694614080209666
27.0,0.789121,544.8084054605207,441.9159079127924,442.5121562839657,0.788836,-0.0013694868424027895
28.0,0.788836,544.8633669264568,443.76742147944714,444.3615481324801,0.789121,-0.0010845133475914093
29.0,0.78874,544.918328392393,445.6185615519712,446.2105669148646,0.789121,-0.001084541204639966
30.0,0.789285,544.9732898583293,447.46932824336244,448.05921274398764,0.789141,-0.0010645705082020784
31.0,0.789214,545.0282513242655,449.3197216665795,449.9074857326783,0.789141,-0.0010646007208671149
32.0,0.789141,545.0832127902017,451.16974193453115,451.75538599371606,0.789141,-0.0010646319127122217
33.0,0.788367,545.138174256138,453.01938916008504,453.6029136398392,0.788944,-0.0012616641557781083
34.0,0.788944,545.1931357220742,454.86866345606114,455.4500687837384,0.788944,-0.001261698212970841
35.0,0.788798,545.2480971880104,456.7175649352337,457.2968515380587,0.788944,-0.0012617335157268927
36.0,0.789416,545.3030586539467,458.56609371033386,459.14326201540194,0.789358,-0.000847770208014853
37.0,0.789358,545.3580201198829,460.41424989404265,460.9893003283202,0.789358,-0.0008478076803327683
38.0,0.789645,545.4129815858191,462.2620335990022,462.8349665893265,0.789416,-0.000789845989954574
39.0,0.789307,545.4679430517552,464.1094449377983,464.6802609108774,0.789358,-0.0008478848536290773
40.0,0.789645,545.5229045176915,465.9564840229884,466.5251834054016,0.789307,-0.0008989246050067345
41.0,0.788791,545.5778659836277,467.8031509670715,468.3697341852691,0.788791,-0.0014149649105142936
42.0,0.788185,545.6328274495639,469.6494458825032,470.21391336280675,0.788249,-0.0019570066126782804
43.0,0.788005,545.6877889155002,471.4953688816936,472.05772105029564,0.788185,-0.002021050308514516
44.0,0.788249,545.7427503814364,473.3409200770138,473.9011573599782,0.788021,-0.0021850961752479803
45.0,0.787892,545.7977118473726,475.18609958078054,475.7442224040425,0.788021,-0.0021851439727264
46.0,0.788021,545.8526733133089,477.0309075052739,477.5869162946398,0.788249,-0.0019571940523913645
47.0,0.789068,545.9076347792451,478.87534396272173,479.42923914386955,0.789068,-0.001138246287344713
48.0,0.789768,545.9625962451813,480.7194090653108,481.2711910637898,0.789464,-0.0007422996461170506
49.0,0.789678,546.0175577111175,482.5631029251802,483.1127721664112,0.789464,-0.0007423534379298324
50.0,0.789464,546.0725191770537,484.4064256544212,484.9539825636966,0.789464,-0.0007424077517101946
51.0,0.789068,546.1274806429899,486.2493773650947,486.79482236757843,0.789292,-0.0009144627987710541
52.0,0.789292,546.1824421089261,488.0919581691989,488.6352916899266,0.789068,-0.0011385189698619458
53.0,0.788734,546.2374035748624,489.93416817869496,490.4753906425739,0.788822,-0.0013845760440754917
54.0,0.788712,546.2923650407986,491.7760075054964,492.3151193373057,0.788822,-0.0013846345717193342
55.0,0.788822,546.3473265067348,493.6174762614756,494.154477885866,0.788822,-0.0013846945745326078
56.0,0.789175,546.402287972671,495.4585745584549,495.9934663999493,0.788822,-0.0013847559441533264
57.0,0.789453,546.4572494386073,497.2993025082156,497.8320849912085,0.788822,-0.001384818332553217
58.0,0.788424,546.5122109045435,499.1396602224913,499.67033377124926,0.788424,-0.0017828814654924363
59.0,0.787962,546.5671723704797,500.979647812972,501.50821285163374,0.787962,-0.0022449463575929807
60.0,0.787419,546.622133836416,502.81926539130467,503.34572234388077,0.78782,-0.0023870134637693496
61.0,0.78782,546.6770953023522,504.6585130690884,505.18286235946164,0.78782,-0.0023870833181574014
62.0,0.787513,546.7320567682883,506.4973909578744,507.01963300979975,0.78782,-0.0023871555264725064
63.0,0.787865,546.7870182342245,508.33589916918174,508.8560344062863,0.787865,-0.002342230390721456
64.0,0.788477,546.8419797001608,510.17403781446853,510.6920666602518,0.788418,-0.0017893075647659185
65.0,0.78875,546.896941166097,512.0118070051603,512.527729882994,0.788477,-0.001730386446177623
66.0,0.788418,546.9519026320332,513.8492068526308,514.363024185759,0.788648,-0.001559466766037132
67.0,0.788941,547.0068640979695,515.68623746821,516.1979496797493,0.788648,-0.0015595488515340872
68.0,0.788648,547.0618255639057,517.5228989631871,518.0325064761264,0.788418,-0.0017896321873527299
69.0,0.788402,547.1167870298419,519.3591914488035,519.8666946860043,0.788648,-0.0015597170623783407
70.0,0.788247,547.1717484957782,521.1951150362526,521.700514420449,0.788648,-0.0015598037190429626
71.0,0.788954,547.2267099617144,523.0306698366911,523.53396579049,0.788402,-0.0018058923100696678
72.0,0.789318,547.2816714276506,524.865855961224,525.3670489071048,0.788316,-0.0018919821389351554
73.0,0.788316,547.3366328935867,526.7006735209123,527.1997638812271,0.788316,-0.0018920728467004544
