Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00409998,543.3172315799269,391.5390577569479,390.8612436632366,0.00344392,0.0032548679615708536
1.0,0.00394743,543.3722694652716,393.4033362491774,392.72263909132147,0.00394743,0.0037583779615708536
2.0,0.00344392,543.4273073506164,395.26723711612135,394.58365747810967,0.00394743,0.0037583779615708536
3.0,0.00436561,543.482345235961,397.13076047250127,396.44429893814527,0.00394743,0.0037583779615708536
4.0,0.00347147,543.5373831213058,398.993906433004,398.3045635859378,0.0038927,0.0037036479615708533
5.0,0.00492722,543.5924210066505,400.85667511225796,400.1644515359384,0.0038927,0.0037036479615708533
6.0,0.0038927,543.6474588919953,402.71906662484815,402.02396290255484,0.00381954,0.0036304879615708537
7.0,0.00359977,543.7024967773399,404.58108108531184,403.8830978001473,0.00381954,0.0036304879615708537
8.0,0.00381954,543.7575346626846,406.44271860814945,405.74185634303916,0.00381954,0.0036304879615708537
9.0,0.00377381,543.8125725480294,408.3039793078007,407.6002386454931,0.00381954,0.0036304879615708537
10.0,0.00383489,543.8676104333741,410.1648632986706,409.4582448217372,0.00383489,0.0036458379615708536
11.0,0.00433848,543.9226483187188,412.0253706951056,411.31587498594115,0.00383489,0.0036458379615708536
12.0,0.00387465,543.9776862040635,413.88550161142393,413.1731292522463,0.00383489,0.0036458379615708536
13.0,0.00322771,544.0327240894082,415.7452561618811,415.03000773473156,0.00378013,0.0035910779615708536
14.0,0.00378013,544.087761974753,417.60463446069343,416.8865105474365,0.00378013,0.0035910779615708536
15.0,0.00366726,544.1427998600977,419.4636366220295,418.74263780435325,0.00378013,0.0035910779615708536
16.0,0.00432649,544.1978377454424,421.3222627600082,420.5983896194241,0.0040977,0.003908647961570854
17.0,0.00524208,544.2528756307871,423.18051298871575,422.45376610655893,0.0040977,0.003908647961570854
18.0,0.0040977,544.3079135161319,425.03838742217766,424.30876737960693,0.0040977,0.003908647961570854
19.0,0.00231549,544.3629514014766,426.8958861743783,426.16339355237614,0.00231549,0.0021264379615708534
20.0,0.00198289,544.4179892868212,428.75300935925213,428.0176447386248,0.00231549,0.0021264379615708534
21.0,0.00198904,544.473027172166,430.6097570906989,429.8715210520766,0.00231549,0.0021264379615708534
22.0,0.00356076,544.5280650575107,432.4661294825621,431.72502260639897,0.00266663,0.0024775779615708537
23.0,0.00266663,544.5831029428555,434.32212664864164,433.5781495152157,0.00356076,0.0033717079615708536
24.0,0.00387214,544.6381408282002,436.1777487026921,435.4309018921056,0.00387214,0.0036830879615708536
25.0,0.00413159,544.6931787135449,438.0329957584159,437.2832798505952,0.00413159,0.003942537961570854
26.0,0.00483355,544.7482165988896,439.88786792948514,439.1352835041808,0.00413159,0.003942537961570854
27.0,0.00442161,544.8032544842343,441.7423653295112,440.98691296629806,0.00413159,0.003942537961570854
28.0,0.0040707,544.8582923695791,443.5964880720642,442.8381683503415,0.0040707,0.0038816479615708535
29.0,0.0039914,544.9133302549237,445.45023627066666,444.6890497696581,0.0039914,0.0038023479615708535
30.0,0.00370152,544.9683681402685,447.3036100388042,446.53955733755794,0.0039914,0.0038023479615708535
31.0,0.00362833,545.0234060256132,449.1566094899061,448.38969116729487,0.0039914,0.0038023479615708535
32.0,0.00556322,545.078443910958,451.00923473735804,450.23945137207926,0.0047698,0.004580747961570854
33.0,0.0047698,545.1334817963026,452.86148589450056,452.08883806507635,0.0047698,0.004580747961570854
34.0,0.00509029,545.1885196816473,454.7133630746327,453.93785135941,0.0047698,0.004580747961570854
35.0,0.00339354,545.2435575669921,456.56486639100365,455.7864913681542,0.0047698,0.004580747961570854
36.0,0.00386357,545.2985954523368,458.41599595681504,457.6347582043356,0.00509029,0.0049012379615708535
37.0,0.0053529,545.3536333376816,460.2667518852272,459.4826519809394,0.0053529,0.005163847961570853
38.0,0.00621356,545.4086712230262,462.1171342893485,461.33017281089917,0.00545071,0.005261657961570854
39.0,0.00581077,545.463709108371,463.9671432822524,463.17732080711346,0.00545071,0.005261657961570854
40.0,0.00545071,545.5187469937157,465.8167789769584,465.02409608242704,0.00545071,0.005261657961570854
41.0,0.00324431,545.5737848790604,467.66604148644257,466.8704987496412,0.00327188,0.0030828279615708535
42.0,0.00283847,545.6288227644051,469.5149309236267,468.7165289215031,0.00327188,0.0030828279615708535
43.0,0.00327188,545.6838606497498,471.36344740140873,470.5621867107361,0.00327188,0.0030828279615708535
44.0,0.00430649,545.7388985350946,473.2115910326216,472.40747222999863,0.00327188,0.0030828279615708535
45.0,0.00372975,545.7939364204393,475.0593619300592,474.2523855919102,0.00372975,0.0035406979615708535
46.0,0.00317438,545.848974305784,476.90676020646987,476.0969269090448,0.00380005,0.0036109979615708537
47.0,0.00380005,545.9040121911287,478.75378597454994,477.9410962939244,0.00380005,0.0036109979615708537
48.0,0.00529854,545.9590500764734,480.60043934696967,479.784893859045,0.00380005,0.0036109979615708537
49.0,0.00423962,546.0140879618182,482.44672043633005,481.6283197168335,0.00380005,0.0036109979615708537
50.0,0.00368119,546.0691258471629,484.2926293552037,483.4713739796885,0.00368119,0.0034921379615708535
51.0,0.00324789,546.1241637325076,486.1381662161026,485.3140567599479,0.00368119,0.0034921379615708535
52.0,0.00356838,546.1792016178523,487.983331131515,487.156368169926,0.00356838,0.0033793279615708534
53.0,0.00382784,546.234239503197,489.8281242138639,488.9983083218719,0.00343422,0.0032451679615708535
54.0,0.00343422,546.2892773885418,491.67254557553554,490.8398773279982,0.00356838,0.0033793279615708534
55.0,0.00198772,546.3443152738864,493.5165953288642,492.68107530046524,0.00382784,0.0036387879615708534
56.0,0.00393482,546.3993531592312,495.36027358615354,494.5219023514031,0.00393482,0.003745767961570854
57.0,0.00436213,546.4543910445759,497.20358045965116,496.36235859288587,0.00393482,0.003745767961570854
58.0,0.00457276,546.5094289299207,499.0465160615567,498.20244413693956,0.00436213,0.004173077961570853
59.0,0.00344365,546.5644668152654,500.88908050403097,500.0421590955516,0.00436213,0.004173077961570853
60.0,0.00438977,546.61950470061,502.7312738991826,501.88150358065724,0.00380693,0.0036178779615708536
61.0,0.00380693,546.6745425859548,504.5730963590899,503.7204777041614,0.00344365,0.0032545979615708535
62.0,0.00283041,546.7295804712995,506.41454799577264,505.5590815779106,0.00283041,0.0026413579615708533
63.0,0.00193324,546.7846183566443,508.255628921205,507.39731531370603,0.00283041,0.0026413579615708533
64.0,0.00258639,546.8396562419889,510.0963392473223,509.2351790233097,0.00258639,0.0023973379615708536
65.0,0.00300149,546.8946941273337,511.9366790860141,511.07267281843826,0.0024828,0.0022937479615708534
66.0,0.00236677,546.9497320126784,513.7766485491225,512.9097968107608,0.00258639,0.0023973379615708536
67.0,0.0024828,547.0047698980231,515.616247748448,514.746551111905,0.00300149,0.0028124379615708534
68.0,0.00333126,547.0598077833679,517.4554767957396,516.5829358334469,0.00333126,0.0031422079615708535
69.0,0.0034595,547.1148456687125,519.2943358027024,518.4189510869188,0.00333126,0.0031422079615708535
70.0,0.00387155,547.1698835540573,521.1328248810095,520.2545969838213,0.0034595,0.0032704479615708534
71.0,0.00329788,547.224921439402,522.9709441422729,522.0898736355938,0.0034595,0.0032704479615708534
72.0,0.00451561,547.2799593247468,524.8086936980676,523.9247811536386,0.00387155,0.0036824979615708536
73.0,0.00327358,547.3349972100914,526.6460736599171,525.7593196493068,0.00335916,0.0031701079615708535
74.0,0.00423802,547.3900350954361,528.483084139312,527.5934892339167,0.00335916,0.0031701079615708535
75.0,0.00335916,547.4450729807809,530.3197252476909,529.4272900187344,0.00327358,0.0030845279615708534
76.0,0.00309676,547.5001108661256,532.1559970964427,531.2607221149765,0.00309676,0.0029077079615708536
77.0,0.00308767,547.5551487514703,533.9918997969146,533.0937856338181,0.00309676,0.0029077079615708536
