Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00210486,543.3244458802427,391.7834466657345,392.437143685604,0.00210486,0.0020558326225847004
1.0,0.00267729,543.3794073461789,393.6450874561753,394.2966511527427,0.00210486,0.0020558326225847004
2.0,0.00226404,543.4343688121152,395.506351684098,396.1557824888803,0.00210486,0.0020558326225847004
3.0,0.00120383,543.4893302780514,397.36723946374707,398.0145378081303,0.00120383,0.0011548026225847003
4.0,0.0,543.5442917439876,399.22775090931503,399.87291722455444,0.00108625,0.0010372226225847003
5.0,0.00108625,543.5992532099239,401.08788613495324,401.73092085217314,0.00108625,0.001037222574560178
6.0,0.000833268,543.65421467586,402.94764525476313,403.5885488049572,0.00108625,0.0010372225265356558
7.0,0.00461667,543.7091761417962,404.80702838280706,405.44580119683826,0.00351895,0.0034699224785111333
8.0,0.00351895,543.7641376077324,406.66603563309104,407.3026781416916,0.00351895,0.0034699224304866115
9.0,0.00410559,543.8190990736687,408.52466711958436,409.159179753356,0.00351895,0.003469922382462089
10.0,0.00232984,543.8740605396049,410.382922956204,411.01530614561784,0.00232984,0.002280812334437567
11.0,0.000465315,543.9290220055411,412.24080325682166,412.8710574322183,0.00192944,0.0018804122864130447
12.0,0.0016248,543.9839834714774,414.0983081352655,414.7264337268552,0.00192944,0.0018804122383885224
13.0,0.00192944,544.0389449374136,415.955437705316,416.58143514317857,0.00191197,0.0018629421903640004
14.0,0.00228559,544.0939064033498,417.81219208070814,418.4360617947931,0.00192944,0.001880412142339478
15.0,0.00191197,544.148867869286,419.6685713751314,420.29031379525793,0.00228559,0.002236562094314956
16.0,0.00311879,544.2038293352223,421.5245757022276,422.1441912580846,0.00311879,0.003069762046290434
17.0,0.00375451,544.2587908011584,423.3802051755928,423.9976942967392,0.00311879,0.0030697619982659116
18.0,0.00380996,544.3137522670946,425.23545990878415,425.8508230246486,0.00311879,0.0030697619502413893
19.0,0.000999132,544.3687137330309,427.09034001530256,427.70357755518364,0.000999132,0.0009501039022168671
20.0,0.000278152,544.4236751989671,428.9448456086076,429.5559580016739,0.000999132,0.0009501038541923448
21.0,0.0,544.4786366649033,430.79897680211536,431.4079644774056,0.000278152,0.00022912380616782257
22.0,0.00119898,544.5335981308396,432.6527337091923,433.2595970956151,0.000278152,0.00022912371011798793
23.0,0.0,544.5885595967758,434.50611644316143,435.1108559694957,0.00119898,0.0011499516140681533
24.0,0.00241937,544.643521062712,436.3591251172957,436.9617412121905,0.00241937,0.0023703414699928205
25.0,0.00293947,544.6984825286482,438.2117598448316,438.81225293680615,0.00241937,0.0023703413259174876
26.0,0.00264674,544.7534439945845,440.0640207389509,440.6623912563948,0.00241937,0.002370341181842155
27.0,0.0018041,544.8084054605207,441.9159079127924,442.5121562839657,0.00262883,0.002579801037766822
28.0,0.000942588,544.8633669264568,443.76742147944714,444.3615481324801,0.0018041,0.0017550708936914894
29.0,0.00262883,544.918328392393,445.6185615519712,446.2105669148646,0.00158082,0.0015317907496161564
30.0,0.00155269,544.9732898583293,447.46932824336244,448.05921274398764,0.00158082,0.0015317906055408235
31.0,0.00158082,545.0282513242655,449.3197216665795,449.9074857326783,0.00262883,0.002579800461465491
32.0,0.00360437,545.0832127902017,451.16974193453115,451.75538599371606,0.00360437,0.003555340317390158
33.0,0.00391238,545.138174256138,453.01938916008504,453.6029136398392,0.00360437,0.0035553401733148253
34.0,0.00451603,545.1931357220742,454.86866345606114,455.4500687837384,0.00360437,0.0035553400292394925
35.0,0.00207669,545.2480971880104,456.7175649352337,457.2968515380587,0.00265989,0.0026108598851641595
36.0,0.00249354,545.3030586539467,458.56609371033386,459.14326201540194,0.00265989,0.0026108597410888267
37.0,0.00265989,545.3580201198829,460.41424989404265,460.9893003283202,0.00249354,0.002444509597013494
38.0,0.00275285,545.4129815858191,462.2620335990022,462.8349665893265,0.00249354,0.002444509452938161
39.0,0.00130371,545.4679430517552,464.1094449377983,464.6802609108774,0.00130371,0.0012546793088628282
40.0,0.0012851,545.5229045176915,465.9564840229884,466.5251834054016,0.0012851,0.0012360691647874953
41.0,0.00117607,545.5778659836277,467.8031509670715,468.3697341852691,0.00117607,0.0011270390207121625
42.0,6.73381e-05,545.6328274495639,469.6494458825032,470.21391336280675,0.00117607,0.0011270388766368297
43.0,0.00076857,545.6877889155002,471.4953688816936,472.05772105029564,0.000823208,0.0007741767505867155
