Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.6955,543.3244458802427,7.6955,-0.03984707560863665
1.0,7.69572,543.3794073461789,7.6955,-0.03984711526993223
2.0,7.69373,543.4343688121152,7.69373,-0.04161719459256208
3.0,7.69263,543.4893302780514,7.69263,-0.04271731533507861
4.0,7.6912,543.5442917439876,7.69263,-0.04271747859029862
5.0,7.6928,543.5992532099239,7.69275,-0.04259768435838396
6.0,7.69275,543.65421467586,7.6928,-0.04254793252033906
7.0,7.69597,543.7091761417962,7.69597,-0.039378223026743875
8.0,7.69703,543.7641376077324,7.69617,-0.03917855272859505
9.0,7.69617,543.8190990736687,7.69635,-0.03899892142749728
10.0,7.69635,543.8740605396049,7.69617,-0.039179328944959124
11.0,7.69594,543.9290220055411,7.69635,-0.03899977546024225
12.0,7.69657,543.9839834714774,7.69657,-0.038780260794931465
13.0,7.69689,544.0389449374136,7.69669,-0.03866078473090617
14.0,7.69669,544.0939064033498,7.69669,-0.038661347149442804
15.0,7.69562,544.148867869286,7.69599,-0.03936194805110116
16.0,7.69599,544.2038293352223,7.69569,-0.03966258813202561
17.0,7.69569,544.2587908011584,7.69587,-0.03948326769092869
18.0,7.69587,544.3137522670946,7.69569,-0.03966398654963754
19.0,7.69398,544.3687137330309,7.69398,-0.041374744887708204
20.0,7.69346,544.4236751989671,7.69346,-0.041895544404788154
21.0,7.69165,544.4786366649033,7.69183,-0.04352638561824129
22.0,7.69183,544.5335981308396,7.69165,-0.04370727014799858
23.0,7.68925,544.5885595967758,7.69183,-0.04352819817371856
24.0,7.69345,544.643521062712,7.69345,-0.0419091695175382
25.0,7.69463,544.6984825286482,7.69463,-0.04073018257125671
26.0,7.69635,544.7534439945845,7.69463,-0.04073123616362384
27.0,7.69429,544.8084054605207,7.69489,-0.040472330295682646
28.0,7.69489,544.8633669264569,7.69485,-0.04051346471020878
29.0,7.69485,544.918328392393,7.69485,-0.040514639448064216
30.0,7.69337,544.9732898583293,7.69337,-0.041995854510412656
31.0,7.69332,545.0282513242655,7.69337,-0.041997111368749174
32.0,7.69663,545.0832127902017,7.69356,-0.0418084100243199
33.0,7.69356,545.138174256138,7.69506,-0.040309750289666546
34.0,7.69506,545.1931357220742,7.69356,-0.04181113067593234
35.0,7.69214,545.2480971880104,7.69506,-0.0403125526746706
36.0,7.69682,545.3030586539467,7.69397,-0.04140401479710221
37.0,7.69397,545.3580201198829,7.6959,-0.03947551812756522
38.0,7.6959,545.4129815858191,7.69411,-0.04126706075007025
39.0,7.69411,545.4679430517554,7.69497,-0.040408644444543285
40.0,7.69497,545.5229045176915,7.69491,-0.040470268358161476
41.0,7.69491,545.5778659836277,7.69491,-0.04047193255214765
42.0,7.69345,545.6328274495639,7.69491,-0.0404736370281471
43.0,7.69593,545.6877889155002,7.6951,-0.04028538178784924
44.0,7.6951,545.7427503814364,7.69593,-0.03945716664421539
45.0,7.69718,545.7977118473726,7.6951,-0.040288990774356215
46.0,7.69491,545.8526733133089,7.69491,-0.04048085500473508
47.0,7.69466,545.9076347792451,7.69491,-0.04048275952596736
48.0,7.69745,545.9625962451813,7.69745,-0.03794470433994057
49.0,7.69806,546.0175577111175,7.69806,-0.03733668692478709
50.0,7.69842,546.0725191770538,7.69806,-0.03733870667627848
51.0,7.695,546.1274806429899,7.695,-0.04040076359641809
52.0,7.6939,546.1824421089261,7.69393,-0.04147286072781142
53.0,7.69393,546.2374035748624,7.69393,-0.0414749991355432
54.0,7.69425,546.2923650407986,7.69425,-0.04115717882173264
55.0,7.69507,546.3473265067348,7.69505,-0.040359399470640156
