Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00160404,543.3405527600188,392.3290538133473,392.60155064437305,0.0,-3.997120504064791e-06
1.0,0.0,543.395516594313,394.19066444496127,394.4610566520682,0.0,-3.997120504064791e-06
2.0,0.0,543.4504804286071,396.05189851509147,396.3201865239971,0.0,-3.997124477622336e-06
3.0,0.0,543.5054442629013,397.9127561379932,398.1789403742859,0.0,-3.997132424741352e-06
4.0,4.88289e-05,543.5604080971955,399.77323742785467,400.0373183169937,0.0,-3.997144345429693e-06
5.0,0.000313954,543.6153719314896,401.6333424988229,401.8953204661385,4.88289e-05,4.48317884517762e-05
6.0,0.0,543.6703357657838,403.49307146501445,403.7529469357078,0.000313954,0.0003099569212489821
7.0,0.000569162,543.725299600078,405.3524244404787,405.61019783962223,0.000569162,0.0005651649500726722
8.0,0.00103721,543.780263434372,407.2114015392283,407.46707329176525,0.00103721,0.0010332129788963623
9.0,0.00194475,543.8352272686662,409.0700028752344,409.32357340597935,0.00103721,0.0010332130077200523
10.0,0.00154615,543.8901911029604,410.92822856241645,411.1796982960551,0.00126996,0.0012659630365437426
11.0,0.000981378,543.9451549372545,412.78607871464163,413.0354480757311,0.00126996,0.0012659630653674325
12.0,0.00126996,544.0001187715487,414.643553445749,414.8908228587175,0.000981378,0.0009773810941911226
13.0,6.41992e-05,544.0550826058429,416.5006528695126,416.74582275865987,0.000156651,0.0001526541230148127
14.0,0.000156651,544.110046440137,418.3573770996673,418.60044788916446,0.000156651,0.00015265421195164586
15.0,0.0,544.1650102744312,420.21372624991136,420.45469836380096,0.000156651,0.000152654300888479
16.0,0.000256352,544.2199741087254,422.06970043388424,422.30857429608034,0.000256352,0.0002523553858521741
17.0,0.000864678,544.2749379430195,423.9252997651822,424.16207579947053,0.000256352,0.0002523554708158692
18.0,0.00115973,544.3299017773137,425.78052435736237,426.0152029874002,0.000256352,0.0002523555557795643
19.0,1.82631e-05,544.3848656116079,427.6353743239299,427.8679559732462,0.000213197,0.00020920064074325944
20.0,0.000213197,544.439829445902,429.4898497783422,429.72033487033764,0.000213197,0.0002092007399074758
21.0,0.0,544.4947932801962,431.34395083401984,431.5723397919669,1.82631e-05,1.4266939071692178e-05
22.0,0.000888838,544.5497571144904,433.19767760432916,433.42397085137213,0.000213197,0.00020920093426330562
23.0,0.0,544.6047209487845,435.05103020259094,435.27522816174604,0.000888838,0.000884842029454919
24.0,0.00245111,544.6596847830787,436.904008742087,437.12611183624233,0.00145679,0.0014527941206741188
25.0,0.00248754,544.7146486173729,438.75661333605143,438.9766219879671,0.00145679,0.0014527942118933185
26.0,0.00145679,544.769612451667,440.6088440976597,440.8267587299679,0.00145679,0.0014527943031125182
27.0,0.00109569,544.8245762859611,442.4607011400657,442.67652217527063,0.00109569,0.0010916943943317181
28.0,0.0,544.8795401202553,444.3121845763582,444.5259124368363,0.00109569,0.0010916944855509179
29.0,0.00077821,544.9345039545495,446.1632945195848,446.37492962758455,0.00109569,0.0010916945727981577
30.0,0.00152227,544.9894677888436,448.0140310827497,448.223573860392,0.00152227,0.0015182746600453973
31.0,0.00171748,545.0444316231378,449.8643943788138,450.07184524809173,0.00152227,0.0015182747472926369
32.0,0.00198823,545.099395457432,451.7143845206902,451.9197439034692,0.00152227,0.0015182748345398767
33.0,0.0,545.1543592917261,453.5640016212401,453.7672699392581,0.00140005,0.0013960549217871161
34.0,0.00140005,545.2093231260203,455.413245793292,455.61442346815926,0.000684455,0.0006804600050628298
35.0,0.0,545.2642869603145,457.26211714961806,457.4612046028174,0.000255525,0.0002515300883385433
36.0,0.000684455,545.3192507946086,459.1106158029472,459.30761345583403,0.000410468,0.00040647316764289644
37.0,0.000255525,545.3742146289028,460.9587418659693,461.1536501397715,0.000255525,0.00025153024694724957
38.0,0.000410468,545.429178463197,462.8064954513241,462.99931476714244,0.000255525,0.00025153032625160275
39.0,0.0,545.4841422974911,464.6538766715975,464.84460745040525,0.000141909,0.00013791440555595592
40.0,0.000141909,545.5391061317853,466.50088563934906,466.6895283019923,2.13626e-05,1.736808088926432e-05
41.0,0.0,545.5940699660795,468.3475224670779,468.53407743427556,2.13626e-05,1.7368156222572744e-05
42.0,2.13626e-05,545.6490338003736,470.1937872672373,470.37825495958117,0.000141909,0.0001379146275849864
43.0,0.00201623,545.7039976346678,472.0396801522505,472.22206099020525,0.00123993,0.0012359357162387051
44.0,0.00123993,545.758961468962,473.8852012344799,474.06549563838314,0.00123993,0.0012359358048924238
45.0,0.00219501,545.813925303256,475.73035062624217,475.9085590163046,0.00123993,0.0012359358935461425
46.0,0.000575949,545.8688891375502,477.5751284398239,477.75125123612924,0.00123993,0.0012359359821998612
47.0,0.000317801,545.9238529718444,479.4195347874531,479.59357240995814,0.000645131,0.0006411370708535798
48.0,0.00136858,545.9788168061385,481.26356978131196,481.4355226498468,0.000645131,0.0006411371595072986
49.0,0.000645131,546.0337806404327,483.10723353355274,483.2771020678206,0.000645131,0.0006411372481610173
50.0,0.000877147,546.0887444747269,484.9505261562623,485.1183107758397,0.000645131,0.000641137336814736
51.0,0.0,546.143708309021,486.7934477614929,486.9591488858296,0.000394549,0.0003905554254684547
52.0,0.000394549,546.1986721433152,488.63599846125794,488.79961650967715,0.000354836,0.0003508425101521435
53.0,0.000354836,546.2536359776094,490.4781783675121,490.6397137592105,0.0,-3.993405164167644e-06
54.0,0.0,546.3085998119035,492.319987592171,492.47944074621864,0.000354836,0.00035084267951952114
55.0,0.0,546.3635636461977,494.16142624710915,494.31879758244963,0.000354836,0.0003508427602334326
56.0,0.00119478,546.4185274804919,496.0024944441511,496.1577843796017,0.00119478,0.001190786836977647
