Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.55791,543.3405527600188,392.3290538133473,392.60155064437305,7.55791,-0.03609765788605923
1.0,7.55837,543.395516594313,394.19066444496127,394.4610566520682,7.5581,-0.03590769388165427
2.0,7.55828,543.4504804286071,396.05189851509147,396.3201865239971,7.5581,-0.03590776541486296
3.0,7.5581,543.5054442629013,397.9127561379932,398.1789403742859,7.55828,-0.03572787257536891
4.0,7.55617,543.5604080971955,399.77323742785467,400.0373183169937,7.5581,-0.03590801554250511
5.0,7.55856,543.6153719314896,401.6333424988229,401.8953204661385,7.5581,-0.03590819623792996
6.0,7.55662,543.6703357657838,403.49307146501445,403.7529469357078,7.55727,-0.03673841228228181
7.0,7.55919,543.725299600078,405.3524244404787,405.61019783962223,7.55727,-0.03673866560732364
8.0,7.55727,543.780263434372,407.2114015392283,407.46707329176525,7.55662,-0.03738895365443895
9.0,7.55616,543.8352272686662,409.0700028752344,409.32357340597935,7.55654,-0.037469278335647616
10.0,7.55654,543.8901911029604,410.92822856241645,411.1796982960551,7.55654,-0.03746964075635706
11.0,7.55553,543.9451549372545,412.78607871464163,413.0354480757311,7.55654,-0.03747004053862124
12.0,7.55788,544.0001187715487,414.643553445749,414.8908228587175,7.55654,-0.03747047868830666
13.0,7.55696,544.0550826058429,416.5006528695126,416.74582275865987,7.55599,-0.03802095286626095
14.0,7.55599,544.110046440137,418.3573770996673,418.60044788916446,7.55628,-0.03773146398893523
15.0,7.55571,544.1650102744312,420.21372624991136,420.45469836380096,7.55628,-0.03773201302251916
16.0,7.55628,544.2199741087254,422.06970043388424,422.30857429608034,7.55628,-0.037732600246298986
17.0,7.55663,544.2749379430195,423.9252997651822,424.16207579947053,7.55663,-0.03738322509341785
18.0,7.55697,544.3299017773137,425.78052435736237,426.0152029874002,7.55697,-0.037043887216055005
19.0,7.55741,544.3848656116079,427.6353743239299,427.8679559732462,7.55697,-0.037044586276371305
20.0,7.55865,544.439829445902,429.4898497783422,429.72033487033764,7.55741,-0.03660532183699505
21.0,7.55697,544.4947932801962,431.34395083401984,431.5723397919669,7.55741,-0.03660609266401771
22.0,7.55751,544.5497571144904,433.19767760432916,433.42397085137213,7.55697,-0.03704690043091485
23.0,7.55549,544.6047209487845,435.05103020259094,435.27522816174604,7.55677,-0.037247744600857224
24.0,7.55677,544.6596847830787,436.904008742087,437.12611183624233,7.55677,-0.0372486271856971
25.0,7.55619,544.7146486173729,438.75661333605143,438.9766219879671,7.55677,-0.037249546912046405
26.0,7.5577,544.769612451667,440.6088440976597,440.8267587299679,7.55696,-0.037060504358238155
27.0,7.55696,544.8245762859611,442.4607011400657,442.67652217527063,7.55696,-0.037061498021888184
28.0,7.55745,544.8795401202553,444.3121845763582,444.5259124368363,7.55696,-0.037062528640741554
29.0,7.55655,544.9345039545495,446.1632945195848,446.37492962758455,7.55674,-0.03728359572797579
30.0,7.55623,544.9894677888436,448.0140310827497,448.223573860392,7.55674,-0.03728470018068375
31.0,7.55674,545.0444316231378,449.8643943788138,450.07184524809173,7.55674,-0.0372858423185356
32.0,7.55845,545.099395457432,451.7143845206902,451.9197439034692,7.55674,-0.03728702163493658
33.0,7.55681,545.1543592917261,453.5640016212401,453.7672699392581,7.55674,-0.0372882364285152
34.0,7.55598,545.2093231260203,455.413245793292,455.61442346815926,7.55681,-0.037219488333334994
35.0,7.55538,545.2642869603145,457.26211714961806,457.4612046028174,7.55622,-0.037810778176937454
36.0,7.55703,545.3192507946086,459.1106158029472,459.30761345583403,7.55622,-0.03781210655789469
37.0,7.55622,545.3742146289028,460.9587418659693,461.1536501397715,7.55703,-0.037003471834912816
38.0,7.55831,545.429178463197,462.8064954513241,462.99931476714244,7.55757,-0.036464874815751
39.0,7.55846,545.4841422974911,464.6538766715975,464.84460745040525,7.55757,-0.036466313420973506
40.0,7.55757,545.5391061317853,466.50088563934906,466.6895283019923,7.55757,-0.03646778750265689
41.0,7.5565,545.5940699660795,468.3475224670779,468.53407743427556,7.5565,-0.03753929794841593
42.0,7.55485,545.6490338003736,470.1937872672373,470.37825495958117,7.55568,-0.038360845825037515
43.0,7.55436,545.7039976346678,472.0396801522505,472.22206099020525,7.55568,-0.038362432776600563
44.0,7.55568,545.758961468962,473.8852012344799,474.06549563838314,7.55568,-0.038364059292423036
45.0,7.5564,545.813925303256,475.73035062624217,475.9085590163046,7.5564,-0.03764572406016331
46.0,7.5571,545.8688891375502,477.5751284398239,477.75125123612924,7.5571,-0.03694742636470849
47.0,7.5584,545.9238529718444,479.4195347874531,479.59357240995814,7.5571,-0.036949165510855586
48.0,7.55818,545.9788168061385,481.26356978131196,481.4355226498468,7.55812,-0.03593094020598642
49.0,7.55695,546.0337806404327,483.10723353355274,483.2771020678206,7.55812,-0.03593275067091728
50.0,7.55812,546.0887444747269,484.9505261562623,485.1183107758397,7.55812,-0.035934598132080886
51.0,7.55794,546.143708309021,486.7934477614929,486.9591488858296,7.55794,-0.036116481426422986
52.0,7.55815,546.1986721433152,488.63599846125794,488.79961650967715,7.55794,-0.036118400735039025
53.0,7.55582,546.2536359776094,490.4781783675121,490.6397137592105,7.55622,-0.03784035585074719
54.0,7.55622,546.3085998119035,492.319987592171,492.47944074621864,7.55582,-0.03824234909520374
55.0,7.55484,546.3635636461977,494.16142624710915,494.31879758244963,7.55582,-0.038244380072188555
56.0,7.55554,546.4185274804919,496.0024944441511,496.1577843796017,7.55622,-0.037846450157461575
57.0,7.55795,546.473491314786,497.8431922950761,497.99640124932756,7.55795,-0.03611855865627689
58.0,7.55845,546.5284551490802,499.68351991162405,499.8346483032409,7.55845,-0.03562070317141952
59.0,7.559,546.5834189833744,501.5234774054852,501.67252565290573,7.55845,-0.03562288320717766
60.0,7.55897,546.6383828176685,503.36306488829973,503.5100334098359,7.55855,-0.035525098218067264
61.0,7.55834,546.6933466519627,505.2022824716756,505.3471716855132,7.55855,-0.03552734823616621
62.0,7.55855,546.7483104862569,507.0411302671705,507.1839405913694,7.55855,-0.0355296338910156
63.0,7.55835,546.8032743205509,508.87960838628607,509.0203402387798,7.55855,-0.03553195497578976
64.0,7.559,546.8582381548451,510.71771694049994,510.8563707390962,7.559,-0.035084311691938375
65.0,7.55995,546.9132019891393,512.5554560412313,512.6920322036117,7.55911,-0.034976703394585584
66.0,7.5593,546.9681658234334,514.3928257998515,514.5273247435717,7.55911,-0.034979129140108256
67.0,7.55911,547.0231296577276,516.2298263276994,516.3622484701895,7.5593,-0.03479158957819006
68.0,7.55899,547.0780934920218,518.0664577360619,518.1968034946259,7.5593,-0.034794084900473976
69.0,7.56111,547.1330573263159,519.902720136176,520.0309899279922,7.56111,-0.03298661522893287
70.0,7.56243,547.1880211606101,521.7386136392482,521.8648078813692,7.56243,-0.03166917845490769
71.0,7.56492,547.2429849949043,523.5741383564267,523.6982574657794,7.56376,-0.03034177326625631
72.0,7.56422,547.2979488291984,525.4092943988184,525.5313387922041,7.56376,-0.030344397185176675
73.0,7.56376,547.3529126634926,527.2440818774953,527.3640519715899,7.56376,-0.030347050911627704
74.0,7.56295,547.4078764977868,529.0785009034734,529.196397114827,7.56295,-0.031159734906484715
75.0,7.56145,547.4628403320809,530.9125515877205,531.028374332758,7.56277,-0.031342449979267606
76.0,7.56277,547.5178041663751,532.7462340411789,532.8599837361996,7.56277,-0.03134519762669985
77.0,7.56262,547.5727680006693,534.57954837473,534.691225435908,7.56262,-0.03149797653678643
78.0,7.56363,547.6277318349634,536.4124946992096,536.5220995425934,7.56262,-0.03150078686169966
79.0,7.5626,547.6826956692576,538.2450731254229,538.3526061669361,7.56262,-0.03150362759818659
80.0,7.56256,547.7376595035518,540.0772837641193,540.1827454195601,7.56363,-0.030496499775042984
81.0,7.56448,547.7926233378458,541.9091267260044,542.0125174110458,7.56448,-0.029649403434968136
82.0,7.565,547.84758717214,543.7406021217448,543.8419222519349,7.565,-0.0291323366682974
83.0,7.5659,547.9025510064342,545.5717100619618,545.6709600527233,7.5659,-0.028235298959915056
84.0,7.56724,547.9575148407283,547.4024506572201,547.4996309238511,7.56724,-0.026898289416114274
85.0,7.56802,548.0124786750225,549.2328240180627,549.3279349757361,7.56724,-0.026901306704730565
86.0,7.56746,548.0674425093167,551.06283025497,551.1558723187337,7.56735,-0.026794350051525306
87.0,7.56647,548.1224063436109,552.8924694783851,552.9834430631624,7.56735,-0.026797420017553364
88.0,7.56735,548.177370177905,554.7217417986994,554.8106473192886,7.56674,-0.027410517592312722
89.0,7.56639,548.2323340121992,556.550647326274,556.6374851973486,7.56674,-0.027413641902051644
90.0,7.56674,548.2872978464934,558.3791861714154,558.4639568075245,7.56674,-0.02741679390642293
91.0,7.56705,548.3422616807875,560.2073584443849,560.2900622599526,7.56639,-0.02776997325983288
92.0,7.56542,548.3972255150817,562.035164255409,562.1158016647349,7.56542,-0.02874317965656381
93.0,7.56462,548.4521893493759,563.8626037146621,563.9411751319213,7.56542,-0.028746414723845426
94.0,7.56521,548.50715318367,565.6896769322709,565.766182771514,7.56542,-0.028749679261893313
95.0,7.56768,548.5621170179642,567.516384018332,567.590824693485,7.56623,-0.02794297268617818
96.0,7.56814,548.6170808522584,569.3427250828853,569.41510100775,7.56623,-0.027946292538969075
97.0,7.56623,548.6720446865525,571.1687002359273,571.2390118241809,7.56623,-0.027949638365187823
98.0,7.56582,548.7270085208467,572.9943095874202,573.0625572526158,7.56582,-0.02836301207132763
99.0,7.56525,548.7819723551409,574.8195532472716,574.885737402838,7.56582,-0.028366414069240342
100.0,7.56543,548.8369361894349,576.6444313253481,576.7085523845898,7.56582,-0.028369844930192123
101.0,7.56665,548.8919000237291,578.4689439314772,578.5310023075745,7.56665,-0.027543304478269803
102.0,7.56672,548.9468638580233,580.2930911754387,580.353087281448,7.56672,-0.027476791501400477
103.0,7.56854,549.0018276923174,582.1168731669625,582.174807415816,7.56797,-0.026230305933309772
104.0,7.56797,549.0567915266116,583.9402900157482,583.9961628202541,7.56854,-0.025663845963946663
105.0,7.56916,549.1117553609058,585.763341831439,585.8171536042815,7.5687,-0.02550741216484198
106.0,7.5687,549.1667191951999,587.5860287236347,587.6377798773742,7.5687,-0.025511003353673622
107.0,7.56955,549.2216830294941,589.4083508019071,589.45804174898,7.5687,-0.025514619992436316
108.0,7.56709,549.2766468637883,591.2303081757626,591.2779393284817,7.56709,-0.027128261237638895
109.0,7.56566,549.3316106980824,593.0519009546753,593.0974727252293,7.56586,-0.028361929544323594
110.0,7.56488,549.3865745323766,594.873129248078,594.9166420485323,7.56586,-0.02836562634091866
111.0,7.56586,549.4415383666708,596.693993165354,596.7354474076499,7.56586,-0.02836935240818228
112.0,7.5679,549.4965022009649,598.5144928158381,598.5538889117937,7.56697,-0.02726310677348298
113.0,7.56697,549.5514660352591,600.3346283088378,600.3719666701472,7.56705,-0.027186887407926186
114.0,7.56705,549.6064298695533,602.1543997536014,602.1896807918357,7.56727,-0.02697069524195861
115.0,7.56738,549.6613937038474,603.9738072593343,604.0070313859408,7.56705,-0.027194530199658118
116.0,7.56727,549.7163575381416,605.7928509352112,605.8240185615138,7.56717,-0.02707839195602535
117.0,7.56683,549.7713213724358,607.6115308903504,607.6406424275497,7.56727,-0.02698228062451058
118.0,7.56717,549.8262852067298,609.4298472338272,609.4569030930004,7.56727,-0.02698619664740054
119.0,7.56797,549.881249041024,611.2478000746863,611.2728006667874,7.56738,-0.026880139689816396
120.0,7.56944,549.9362128753182,613.0653895219137,613.0883352577735,7.56738,-0.026884108958530106
121.0,7.56738,549.9911767096123,614.8826156844524,614.9035069747783,7.56738,-0.02688810299258293
122.0,7.567,550.0461405439065,616.699478671219,616.7183159265958,7.56738,-0.02689212384876427
123.0,7.5655,550.1011043782007,618.5159785910654,618.5327622219543,7.56738,-0.02689617190971383
124.0,7.56739,550.1560682124948,620.3321155528107,620.3468459695501,7.56739,-0.026890248673958617
125.0,7.56758,550.211032046789,622.1478896652329,622.1605672780383,7.56739,-0.026894352262457843
126.0,7.56834,550.2659958810832,623.963301037058,623.9739262560219,7.56758,-0.026708482489972596
127.0,7.56703,550.3209597153773,625.7783497769731,625.786923012065,7.56758,-0.02671263860329809
128.0,7.56797,550.3759235496715,627.5930359936278,627.5995576546945,7.56703,-0.02726682191191898
129.0,7.56592,550.4308873839657,629.4073597956184,629.411830292384,7.56658,-0.02772103148334981
130.0,7.56658,550.4858512182598,631.2213212914994,631.2237410335651,7.56592,-0.028385269364373578
131.0,7.56381,550.540815052554,633.0349205897908,633.0352899866352,7.56381,-0.030499534901631264
132.0,7.56242,550.5957788868482,634.8481577989583,634.8464772599374,7.56368,-0.03063383085895044
133.0,7.56344,550.6507427211423,636.6610330274265,636.6573029617738,7.56368,-0.030638158625134082
134.0,7.56368,550.7057065554364,638.4735463835873,638.4677672004135,7.56368,-0.030642517188519847
135.0,7.56578,550.7606703897306,640.2856979757744,640.2778700840679,7.56429,-0.030036906314377276
136.0,7.56429,550.8156342240247,642.0974879122842,642.087611720911,7.56545,-0.02888132391505671
137.0,7.56545,550.8705980583189,643.9089163013789,643.8969922190826,7.56578,-0.02855577147932742
138.0,7.56585,550.9255618926131,645.7199832512637,645.7060116866653,7.56585,-0.028490247856010953
139.0,7.5663,550.9805257269072,647.530688870101,647.5146702316997,7.5663,-0.028044752651053884
140.0,7.56724,551.0354895612014,649.3410332660249,649.3229679621971,7.5663,-0.028049285420600256
141.0,7.56645,551.0904533954956,651.1510165471148,651.1309049861152,7.56645,-0.027903845232576607
142.0,7.56586,551.1454172297897,652.960638821401,652.938481411362,7.56696,-0.0273984328786554
143.0,7.56735,551.2003810640839,654.7699001968891,654.745697345821,7.56696,-0.027403048951226694
144.0,7.56696,551.2553448983781,656.5788007815249,656.5525528973158,7.56735,-0.027017691970322666
145.0,7.5685,551.3103087326723,658.387340683221,658.3590481736371,7.56766,-0.026712362329158523
146.0,7.56831,551.3652725669664,660.1955200098361,660.1651832825216,7.56766,-0.026717058497860435
147.0,7.56766,551.4202364012606,662.0033388692026,661.9709583316801,7.56767,-0.02671178067043911
148.0,7.56641,551.4752002355548,663.8107973690969,663.7763734287669,7.56767,-0.026716529499293706
149.0,7.56767,551.5301640698489,665.6178956172495,665.5814286813907,7.56766,-0.026731306234629493
150.0,7.56876,551.5851279041431,667.4246337213673,667.3861241971366,7.56641,-0.02798610962575765
151.0,7.56591,551.6400917384373,669.231011789092,669.1904600835247,7.56591,-0.028490938591298587
152.0,7.56573,551.6950555727313,671.0370299280307,670.9944364480406,7.56573,-0.028675795975813934
153.0,7.56518,551.7500194070255,672.842688245758,672.798053398137,7.56542,-0.028990681963470877
154.0,7.56542,551.8049832413197,674.6479868497898,674.6013110412083,7.56518,-0.029235597107065026
