Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00217821,543.3405527600188,392.3290538133473,392.60155064437305,0.00217821,0.002124108442733334
1.0,0.00264676,543.395516594313,394.19066444496127,394.4610566520682,0.00238139,0.0023272884427333346
2.0,0.0025647,543.4504804286071,396.05189851509147,396.3201865239971,0.00238139,0.0023272884427333346
3.0,0.00238139,543.5054442629013,397.9127561379932,398.1789403742859,0.0025647,0.0025105984427333345
4.0,0.000458808,543.5604080971955,399.77323742785467,400.0373183169937,0.00238139,0.0023272884427333346
5.0,0.0028609,543.6153719314896,401.6333424988229,401.8953204661385,0.00238139,0.0023272884427333346
6.0,0.000920534,543.6703357657838,403.49307146501445,403.7529469357078,0.00159385,0.0015397484427333342
7.0,0.00350625,543.725299600078,405.3524244404787,405.61019783962223,0.00159385,0.0015397484427333342
8.0,0.00159385,543.780263434372,407.2114015392283,407.46707329176525,0.000920534,0.0008664324427333342
9.0,0.000484269,543.8352272686662,409.0700028752344,409.32357340597935,0.000876333,0.0008222314427333342
10.0,0.000876333,543.8901911029604,410.92822856241645,411.1796982960551,0.000876333,0.0008222314427333342
11.0,0.0,543.9451549372545,412.78607871464163,413.0354480757311,0.000876333,0.0008222314427333342
12.0,0.0022252,544.0001187715487,414.643553445749,414.8908228587175,0.000876333,0.0008222313903335425
13.0,0.00131436,544.0550826058429,416.5006528695126,416.74582275865987,0.000352827,0.00029872533793375087
14.0,0.000352827,544.110046440137,418.3573770996673,418.60044788916446,0.000663039,0.0006089372855339591
15.0,8.66282e-05,544.1650102744312,420.21372624991136,420.45469836380096,0.000663039,0.0006089372331341675
16.0,0.000663039,544.2199741087254,422.06970043388424,422.30857429608034,0.000663039,0.000608937212558095
17.0,0.00102283,544.2749379430195,423.9252997651822,424.16207579947053,0.00102283,0.0009687281919820224
18.0,0.00137064,544.3299017773137,425.78052435736237,426.0152029874002,0.00137064,0.0013165381714059499
19.0,0.00181632,544.3848656116079,427.6353743239299,427.8679559732462,0.00141353,0.0013594281508298774
20.0,0.00307392,544.439829445902,429.4898497783422,429.72033487033764,0.00181632,0.0017622181302538048
21.0,0.00141353,544.4947932801962,431.34395083401984,431.5723397919669,0.00181632,0.0017622181096777325
22.0,0.00198594,544.5497571144904,433.19767760432916,433.42397085137213,0.00141353,0.00135942808910166
23.0,0.0,544.6047209487845,435.05103020259094,435.27522816174604,0.00127185,0.0012177480685255874
24.0,0.00127185,544.6596847830787,436.904008742087,437.12611183624233,0.00127185,0.0012177479955493395
25.0,0.000705417,544.7146486173729,438.75661333605143,438.9766219879671,0.00127185,0.0012177479225730919
26.0,0.00222021,544.769612451667,440.6088440976597,440.8267587299679,0.00149183,0.0014377278495968442
27.0,0.00149183,544.8245762859611,442.4607011400657,442.67652217527063,0.00149183,0.0014377277766205964
28.0,0.00199239,544.8795401202553,444.3121845763582,444.5259124368363,0.00149183,0.0014377277036443487
29.0,0.00109696,544.9345039545495,446.1632945195848,446.37492962758455,0.00129536,0.001241257630668101
30.0,0.000785495,544.9894677888436,448.0140310827497,448.223573860392,0.00129536,0.0012412575576918532
31.0,0.00129536,545.0444316231378,449.8643943788138,450.07184524809173,0.00129536,0.0012412574847156055
32.0,0.0030092,545.099395457432,451.7143845206902,451.9197439034692,0.00129536,0.0012412574117393578
33.0,0.00136615,545.1543592917261,453.5640016212401,453.7672699392581,0.00129536,0.0012412573387631102
34.0,0.000553957,545.2093231260203,455.413245793292,455.61442346815926,0.00136615,0.0013120472657868624
35.0,0.0,545.2642869603145,457.26211714961806,457.4612046028174,0.000834945,0.0007808421928106147
36.0,0.00162996,545.3192507946086,459.1106158029472,459.30761345583403,0.000834945,0.0007808420674333054
37.0,0.000834945,545.3742146289028,460.9587418659693,461.1536501397715,0.00162996,0.001575856942055996
38.0,0.00292179,545.429178463197,462.8064954513241,462.99931476714244,0.00220558,0.0021514768166786867
39.0,0.00308473,545.4841422974911,464.6538766715975,464.84460745040525,0.00220558,0.002151476691301377
40.0,0.00220558,545.5391061317853,466.50088563934906,466.6895283019923,0.00220558,0.002151476565924068
41.0,0.00113469,545.5940699660795,468.3475224670779,468.53407743427556,0.00113469,0.0010805864405467587
42.0,0.0,545.6490338003736,470.1937872672373,470.37825495958117,0.000660716,0.0006066123151694492
43.0,0.0,545.7039976346678,472.0396801522505,472.22206099020525,0.000660716,0.0006066121373902035
44.0,0.000660716,545.758961468962,473.8852012344799,474.06549563838314,0.000660716,0.0006066119072088471
45.0,0.00108224,545.813925303256,475.73035062624217,475.9085590163046,0.00108224,0.0010281356770274906
46.0,0.00179375,545.8688891375502,477.5751284398239,477.75125123612924,0.00179375,0.0017396454468461343
47.0,0.00309098,545.9238529718444,479.4195347874531,479.59357240995814,0.00179375,0.0017396452166647779
48.0,0.00287028,545.9788168061385,481.26356978131196,481.4355226498468,0.00273116,0.0026770549864834213
49.0,0.0016128,546.0337806404327,483.10723353355274,483.2771020678206,0.00273116,0.0026770547563020647
50.0,0.00273116,546.0887444747269,484.9505261562623,485.1183107758397,0.00257683,0.0025227245261207087
51.0,0.00247201,546.143708309021,486.7934477614929,486.9591488858296,0.00247201,0.0024179042959393523
52.0,0.00257683,546.1986721433152,488.63599846125794,488.79961650967715,0.00247201,0.002417904065757996
53.0,9.99629e-05,546.2536359776094,490.4781783675121,490.6397137592105,0.000383586,0.00032947983557663944
54.0,0.000383586,546.3085998119035,492.319987592171,492.47944074621864,0.000354009,0.0002999026503313421
55.0,0.0,546.3635636461977,494.16142624710915,494.31879758244963,0.000354009,0.00029990246508604477
56.0,0.000354009,546.4185274804919,496.0024944441511,496.1577843796017,0.000383586,0.00032947922743602095
57.0,0.00171148,546.473491314786,497.8431922950761,497.99640124932756,0.00171148,0.0016573729897859971
58.0,0.00203562,546.5284551490802,499.68351991162405,499.8346483032409,0.00203562,0.0019815127521359737
59.0,0.00239508,546.5834189833744,501.5234774054852,501.67252565290573,0.00203562,0.00198151251448595
60.0,0.00217047,546.6383828176685,503.36306488829973,503.5100334098359,0.00203562,0.001981512276835926
61.0,0.00139027,546.6933466519627,505.2022824716756,505.3471716855132,0.00149195,0.001437842039185902
62.0,0.00149195,546.7483104862569,507.0411302671705,507.1839405913694,0.00149195,0.0014378418015358783
63.0,0.00118458,546.8032743205509,508.87960838628607,509.0203402387798,0.00149195,0.0014378415638858545
64.0,0.00171948,546.8582381548451,510.71771694049994,510.8563707390962,0.00171948,0.0016653713262358308
65.0,0.00254188,546.9132019891393,512.5554560412313,512.6920322036117,0.00171948,0.001665371088585807
66.0,0.00176035,546.9681658234334,514.3928257998515,514.5273247435717,0.00171948,0.0016653708509357832
67.0,0.00143352,547.0231296577276,516.2298263276994,516.3622484701895,0.00176035,0.0017062406132857593
68.0,0.00119317,547.0780934920218,518.0664577360619,518.1968034946259,0.00176035,0.0017062403756357356
69.0,0.00318685,547.1330573263159,519.902720136176,520.0309899279922,0.00318685,0.003132740137985712
70.0,0.00437209,547.1880211606101,521.7386136392482,521.8648078813692,0.00437209,0.004317979900335688
71.0,0.0067296,547.2429849949043,523.5741383564267,523.6982574657794,0.00530248,0.005248369662685664
72.0,0.00589922,547.2979488291984,525.4092943988184,525.5313387922041,0.00530248,0.0052483694250356405
73.0,0.00530248,547.3529126634926,527.2440818774953,527.3640519715899,0.00530248,0.005248369187385617
74.0,0.00436026,547.4078764977868,529.0785009034734,529.196397114827,0.00436026,0.004306148949735593
75.0,0.00271623,547.4628403320809,530.9125515877205,531.028374332758,0.00390824,0.00385412871208557
76.0,0.00390824,547.5178041663751,532.7462340411789,532.8599837361996,0.00390824,0.003854128474435546
77.0,0.00361456,547.5727680006693,534.57954837473,534.691225435908,0.00361456,0.003560448236785522
78.0,0.00447387,547.6277318349634,536.4124946992096,536.5220995425934,0.00361456,0.0035604479991354983
79.0,0.00328832,547.6826956692576,538.2450731254229,538.3526061669361,0.00361456,0.0035604477614854745
80.0,0.00311032,547.7376595035518,540.0772837641193,540.1827454195601,0.00447387,0.00441975752383545
81.0,0.0049027,547.7926233378458,541.9091267260044,542.0125174110458,0.0049027,0.004848587286185427
82.0,0.00529363,547.84758717214,543.7406021217448,543.8419222519349,0.00529363,0.005239517048535402
83.0,0.00606873,547.9025510064342,545.5717100619618,545.6709600527233,0.00606873,0.006014616810885379
84.0,0.00728536,547.9575148407283,547.4024506572201,547.4996309238511,0.00726451,0.007210396573235356
85.0,0.00794433,548.0124786750225,549.2328240180627,549.3279349757361,0.00726451,0.007210396335585332
86.0,0.00726451,548.0674425093167,551.06283025497,551.1558723187337,0.00726451,0.007210396097935308
87.0,0.00614965,548.1224063436109,552.8924694783851,552.9834430631624,0.00691951,0.006865395860285285
88.0,0.00691951,548.177370177905,554.7217417986994,554.8106473192886,0.00614965,0.006095535622635261
89.0,0.00583542,548.2323340121992,556.550647326274,556.6374851973486,0.00614965,0.006095535384985237
90.0,0.00606816,548.2872978464934,558.3791861714154,558.4639568075245,0.00606816,0.0060140451473352135
91.0,0.00626663,548.3422616807875,560.2073584443849,560.2900622599526,0.00583542,0.005781304909685189
92.0,0.00453247,548.3972255150817,562.035164255409,562.1158016647349,0.00453247,0.004478354672035166
93.0,0.0036244,548.4521893493759,563.8626037146621,563.9411751319213,0.00453247,0.004478354434385142
94.0,0.00410699,548.50715318367,565.6896769322709,565.766182771514,0.00453247,0.004478354196735118
