Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.55766,543.3405527600188,392.3290538133473,392.60155064437305,7.55626,-0.006918919120220579
1.0,7.55738,543.395516594313,394.19066444496127,394.4610566520682,7.55627,-0.006908924639140501
2.0,7.55626,543.4504804286071,396.05189851509147,396.3201865239971,7.55627,-0.006908935956985829
3.0,7.55627,543.5054442629013,397.9127561379932,398.1789403742859,7.55627,-0.006908954193766803
4.0,7.55536,543.5604080971955,399.77323742785467,400.0373183169937,7.55627,-0.006908979339502075
5.0,7.55857,543.6153719314896,401.6333424988229,401.8953204661385,7.55784,-0.005339012304217405
6.0,7.55792,543.6703357657838,403.49307146501445,403.7529469357078,7.55792,-0.005259049877944122
7.0,7.55784,543.725299600078,405.3524244404787,405.61019783962223,7.5582,-0.004979092710721389
8.0,7.55884,543.780263434372,407.2114015392283,407.46707329176525,7.55806,-0.005119140882590578
9.0,7.5582,543.8352272686662,409.0700028752344,409.32357340597935,7.55806,-0.005119193393601229
10.0,7.55806,543.8901911029604,410.92822856241645,411.1796982960551,7.55806,-0.005119250883804938
11.0,7.55688,543.9451549372545,412.78607871464163,413.0354480757311,7.55729,-0.005889313493260495
12.0,7.5563,544.0001187715487,414.643553445749,414.8908228587175,7.55722,-0.0059593824020280906
13.0,7.55729,544.0550826058429,416.5006528695126,416.74582275865987,7.55722,-0.0059594581901780685
14.0,7.55722,544.110046440137,418.3573770996673,418.60044788916446,7.55729,-0.0058895398677867306
15.0,7.55835,544.1650102744312,420.21372624991136,420.45469836380096,7.55835,-0.004829627504935097
16.0,7.55837,544.2199741087254,422.06970043388424,422.30857429608034,7.55837,-0.004809719971711424
17.0,7.55887,544.2749379430195,423.9252997651822,424.16207579947053,7.55839,-0.004789817248206596
18.0,7.55886,544.3299017773137,425.78052435736237,426.0152029874002,7.55839,-0.004789918834519291
19.0,7.55839,544.3848656116079,427.6353743239299,427.8679559732462,7.55839,-0.004790024740750631
20.0,7.5571,544.439829445902,429.4898497783422,429.72033487033764,7.55718,-0.006000135437006726
21.0,7.5549,544.4947932801962,431.34395083401984,431.5723397919669,7.5571,-0.006080252213397586
22.0,7.55718,544.5497571144904,433.19767760432916,433.42397085137213,7.5568,-0.006380377270041038
23.0,7.55672,544.6047209487845,435.05103020259094,435.27522816174604,7.5568,-0.006380508327060497
24.0,7.5568,544.6596847830787,436.904008742087,437.12611183624233,7.55718,-0.006000645844589592
25.0,7.55801,544.7146486173729,438.75661333605143,438.9766219879671,7.55801,-0.005170789742763304
26.0,7.55915,544.769612451667,440.6088440976597,440.8267587299679,7.55801,-0.005170938811727588
27.0,7.55857,544.8245762859611,442.4607011400657,442.67652217527063,7.55801,-0.0051710919116310095
28.0,7.55635,544.8795401202553,444.3121845763582,444.5259124368363,7.55788,-0.005301249622626791
29.0,7.55647,544.9345039545495,446.1632945195848,446.37492962758455,7.55788,-0.00530141416487151
30.0,7.55788,544.9894677888436,448.0140310827497,448.223573860392,7.55788,-0.005301585418530763
31.0,7.55887,545.0444316231378,449.8643943788138,450.07184524809173,7.55788,-0.005301761973774077
32.0,7.55929,545.099395457432,451.7143845206902,451.9197439034692,7.55796,-0.005221942840780258
33.0,7.55787,545.1543592917261,453.5640016212401,453.7672699392581,7.55796,-0.005222127599728843
34.0,7.55796,545.2093231260203,455.413245793292,455.61442346815926,7.55796,-0.0052223176708050545
35.0,7.55767,545.2642869603145,457.26211714961806,457.4612046028174,7.55796,-0.005222512964198955
36.0,7.55881,545.3192507946086,459.1106158029472,459.30761345583403,7.55881,-0.004372713770105285
37.0,7.55985,545.3742146289028,460.9587418659693,461.1536501397715,7.55881,-0.004372918948726046
38.0,7.5598,545.429178463197,462.8064954513241,462.99931476714244,7.55881,-0.004373127460265636
39.0,7.55771,545.4841422974911,464.6538766715975,464.84460745040525,7.55839,-0.0047933393549328684
40.0,7.55839,545.5391061317853,466.50088563934906,466.6895283019923,7.55771,-0.0054735567229391435
41.0,7.55761,545.5940699660795,468.3475224670779,468.53407743427556,7.55761,-0.0055737788845027225
42.0,7.55609,545.6490338003736,470.1937872672373,470.37825495958117,7.55609,-0.0070940066198463825
43.0,7.55583,545.7039976346678,472.0396801522505,472.22206099020525,7.55609,-0.007094241449197014
44.0,7.55586,545.758961468962,473.8852012344799,474.06549563838314,7.55609,-0.007094483632789306
45.0,7.5579,545.813925303256,475.73035062624217,475.9085590163046,7.55777,-0.005414733140866268
46.0,7.55777,545.8688891375502,477.5751284398239,477.75125123612924,7.5579,-0.005284987933674934
47.0,7.55856,545.9238529718444,479.4195347874531,479.59357240995814,7.5579,-0.005285248141471577
48.0,7.55881,545.9788168061385,481.26356978131196,481.4355226498468,7.55856,-0.004625512974516077
49.0,7.55762,546.0337806404327,483.10723353355274,483.2771020678206,7.55876,-0.0044257821830733235
50.0,7.55876,546.0887444747269,484.9505261562623,485.1183107758397,7.55876,-0.004426056957413493
51.0,7.55881,546.143708309021,486.7934477614929,486.9591488858296,7.55804,-0.0051463361578107936
52.0,7.55804,546.1986721433152,488.63599846125794,488.79961650967715,7.55804,-0.005146619734544444
53.0,7.55669,546.2536359776094,490.4781783675121,490.6397137592105,7.55766,-0.005526908457897051
54.0,7.55766,546.3085998119035,492.319987592171,492.47944074621864,7.55766,-0.005527203678158621
55.0,7.55713,546.3635636461977,494.16142624710915,494.31879758244963,7.55713,-0.00605750442562325
56.0,7.55772,546.4185274804919,496.0024944441511,496.1577843796017,7.55733,-0.005857811230591814
57.0,7.55692,546.473491314786,497.8431922950761,497.99640124932756,7.55733,-0.005858123503372781
58.0,7.55733,546.5284551490802,499.68351991162405,499.8346483032409,7.55738,-0.005808442044276774
59.0,7.55738,546.5834189833744,501.5234774054852,501.67252565290573,7.55733,-0.005858766443622265
60.0,7.55804,546.6383828176685,503.36306488829973,503.5100334098359,7.55733,-0.005859096651734674
61.0,7.55622,546.6933466519627,505.2022824716756,505.3471716855132,7.55623,-0.006959432008943445
62.0,7.55623,546.7483104862569,507.0411302671705,507.1839405913694,7.55622,-0.006969774335584766
