Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00170765,543.3405527600188,392.3290538133473,392.60155064437305,0.00170765,0.0005192561510695113
1.0,0.00207135,543.395516594313,394.19066444496127,394.4610566520682,0.00207135,0.0008829566665275318
2.0,0.0025907,543.4504804286071,396.05189851509147,396.3201865239971,0.0025907,0.001402308063519668
3.0,0.00440098,543.5054442629013,397.9127561379932,398.1789403742859,0.00392546,0.0027370694605118044
4.0,0.00392546,543.5604080971955,399.77323742785467,400.0373183169937,0.00440098,0.00321259085750394
5.0,0.00570524,543.6153719314896,401.6333424988229,401.8953204661385,0.00483302,0.003644632254496076
6.0,0.00483302,543.6703357657838,403.49307146501445,403.7529469357078,0.00513941,0.003951023651488212
7.0,0.00594752,543.725299600078,405.3524244404787,405.61019783962223,0.00513941,0.003951025048480348
8.0,0.00513941,543.780263434372,407.2114015392283,407.46707329176525,0.00513941,0.003951026445472483
9.0,0.0043252,543.8352272686662,409.0700028752344,409.32357340597935,0.00513941,0.003951027842464619
10.0,0.00523832,543.8901911029604,410.92822856241645,411.1796982960551,0.00484529,0.0036569092394567555
11.0,0.00484529,543.9451549372545,412.78607871464163,413.0354480757311,0.0043252,0.0031368206364488912
12.0,0.00279208,544.0001187715487,414.643553445749,414.8908228587175,0.00279208,0.001603702033441027
13.0,0.00137366,544.0550826058429,416.5006528695126,416.74582275865987,0.00274225,0.001553873430433162
14.0,0.00178634,544.110046440137,418.3573770996673,418.60044788916446,0.00274225,0.0015538750103883437
15.0,0.00274225,544.1650102744312,420.21372624991136,420.45469836380096,0.00274225,0.001553877184670893
16.0,0.00517219,544.2199741087254,422.06970043388424,422.30857429608034,0.00355313,0.0023647593589534418
17.0,0.00428788,544.2749379430195,423.9252997651822,424.16207579947053,0.00355313,0.002364761533235991
18.0,0.00355313,544.3299017773137,425.78052435736237,426.0152029874002,0.00355313,0.00236476370751854
19.0,0.00311136,544.3848656116079,427.6353743239299,427.8679559732462,0.00311136,0.0019229958818010899
20.0,0.00165946,544.439829445902,429.4898497783422,429.72033487033764,0.00165946,0.0004710980560836391
21.0,0.000335749,544.4947932801962,431.34395083401984,431.5723397919669,0.00133752,0.00014916069766351178
22.0,0.00133752,544.5497571144904,433.19767760432916,433.42397085137213,0.00133752,0.00014916251096369865
23.0,0.0,544.6047209487845,435.05103020259094,435.27522816174604,0.00133752,0.00014916447147455018
24.0,0.00225466,544.6596847830787,436.904008742087,437.12611183624233,0.00225466,0.0010663052836309844
25.0,0.00233482,544.7146486173729,438.75661333605143,438.9766219879671,0.00233482,0.0011464660957874189
26.0,0.00416062,544.769612451667,440.6088440976597,440.8267587299679,0.00315132,0.0019629669079438534
27.0,0.00315132,544.8245762859611,442.4607011400657,442.67652217527063,0.00416062,0.0029722677201002882
28.0,0.00534031,544.8795401202553,444.3121845763582,444.5259124368363,0.00534031,0.004151958532256722
29.0,0.00543579,544.9345039545495,446.1632945195848,446.37492962758455,0.00543579,0.004247439344413157
30.0,0.00598599,544.9894677888436,448.0140310827497,448.223573860392,0.00559931,0.004410960156569591
31.0,0.00559931,545.0444316231378,449.8643943788138,450.07184524809173,0.00559931,0.004410960968726026
32.0,0.00603663,545.099395457432,451.7143845206902,451.9197439034692,0.00559931,0.004410961780882461
33.0,0.00402336,545.1543592917261,453.5640016212401,453.7672699392581,0.00469264,0.003504292593038895
34.0,0.00469264,545.2093231260203,455.413245793292,455.61442346815926,0.00469264,0.0035042934051953295
35.0,0.00437926,545.2642869603145,457.26211714961806,457.4612046028174,0.00448193,0.0032935842173517646
36.0,0.00521337,545.3192507946086,459.1106158029472,459.30761345583403,0.00448193,0.0032935850295081996
37.0,0.00448193,545.3742146289028,460.9587418659693,461.1536501397715,0.00438222,0.003193875841664634
38.0,0.00438222,545.429178463197,462.8064954513241,462.99931476714244,0.00448193,0.0032935866538210687
39.0,0.0035684,545.4841422974911,464.6538766715975,464.84460745040525,0.00438222,0.0031938774659775035
40.0,0.00528454,545.5391061317853,466.50088563934906,466.6895283019923,0.00361731,0.0024289682781339387
41.0,0.0025054,545.5940699660795,468.3475224670779,468.53407743427556,0.00361731,0.0024289690902903737
42.0,0.00361731,545.6490338003736,470.1937872672373,470.37825495958117,0.00429589,0.0031075499024468085
43.0,0.00429589,545.7039976346678,472.0396801522505,472.22206099020525,0.00429589,0.0031075507146032435
44.0,0.00653091,545.758961468962,473.8852012344799,474.06549563838314,0.00580987,0.004621531526759678
45.0,0.0062482,545.813925303256,475.73035062624217,475.9085590163046,0.00580987,0.004621532338916113
46.0,0.00580987,545.8688891375502,477.5751284398239,477.75125123612924,0.00580987,0.004621533151072548
47.0,0.00493209,545.9238529718444,479.4195347874531,479.59357240995814,0.00580987,0.004621533963228983
48.0,0.00425575,545.9788168061385,481.26356978131196,481.4355226498468,0.00580987,0.004621534775385417
49.0,0.00696693,546.0337806404327,483.10723353355274,483.2771020678206,0.00493209,0.0037437555875418525
50.0,0.00685521,546.0887444747269,484.9505261562623,485.1183107758397,0.00452789,0.003339556399698287
51.0,0.00452789,546.143708309021,486.7934477614929,486.9591488858296,0.00452789,0.0033395572118547216
