Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.786994,543.3748498771706,393.4907323449371,393.2107784827781,0.785962,-0.004759742013046853
1.0,0.786724,543.4298157247017,395.35217616324746,395.0699337007653,0.785962,-0.004759745723403319
2.0,0.785962,543.4847815722328,397.2132434637934,396.9287128639076,0.786352,-0.004369753412206356
3.0,0.785733,543.5397474197639,399.07393436080423,398.7871160862939,0.786352,-0.00436976583558657
4.0,0.786352,543.594713267295,400.9342489684595,400.64514348196326,0.786352,-0.004369783220652623
5.0,0.787132,543.6496791148261,402.7941874008931,402.50279516490946,0.787132,-0.003589804953421205
6.0,0.787653,543.7046449623572,404.65374977219574,404.3600712490827,0.787653,-0.003068830259552735
7.0,0.787661,543.7596108098883,406.5129361964059,406.2169718483814,0.787653,-0.003068858621428361
8.0,0.787932,543.8145766574194,408.37174678752314,408.0734970766648,0.787653,-0.0030688900311250933
9.0,0.787458,543.8695425049505,410.23018165949486,409.92964704774045,0.787458,-0.0032639242192872286
10.0,0.787201,543.9245083524816,412.08824092622746,411.7854218753745,0.787201,-0.003520961657068833
11.0,0.787062,543.9794742000128,413.9459247015816,413.6408216732877,0.787062,-0.003660002599832124
12.0,0.786701,544.0344400475439,415.8032330993616,415.49584655514445,0.786701,-0.004021047185678306
13.0,0.786657,544.089405895075,417.66016623333724,417.35049663457465,0.786657,-0.004065095773102434
14.0,0.78596,544.144371742606,419.5167242172283,419.2047720251582,0.786657,-0.004065148405831165
15.0,0.786356,544.1993375901371,421.37290716470676,421.0586728404275,0.786657,-0.0040652057755112825
16.0,0.786843,544.2543034376682,423.2287151894059,422.9121991938759,0.786843,-0.0038792674893428636
17.0,0.787893,544.3092692851993,425.0841484049043,424.7653511989425,0.786843,-0.0038793330639921297
18.0,0.787038,544.3642351327304,426.9392069247376,426.6181289690233,0.786843,-0.003879401456319931
19.0,0.786535,544.4192009802615,428.793890862398,428.4705326174709,0.786535,-0.00418747351596116
20.0,0.78526,544.4741668277926,430.6482003313297,430.3225622575901,0.785572,-0.005150549742377275
21.0,0.785572,544.5291326753237,432.5021354449317,432.1742180026405,0.785279,-0.005443631400120941
22.0,0.785279,544.5840985228548,434.3556963165573,434.025499965836,0.785279,-0.005443718180029533
23.0,0.785272,544.6390643703859,436.20888305951223,435.87640826034294,0.78535,-0.005372810372603065
24.0,0.78535,544.694030217917,438.0616957870586,437.72694299928435,0.78535,-0.005372907984869779
25.0,0.78544,544.7489960654481,439.9141346124154,439.57710429573984,0.78544,-0.005283010939625021
26.0,0.786522,544.8039619129792,441.7661996487495,441.4268922627372,0.786522,-0.0042011191477682175
27.0,0.786961,544.8589277605103,443.6178910091843,443.27630701326086,0.786555,-0.00416823153622814
28.0,0.786721,544.9138936080413,445.46920880680216,445.125348660254,0.786721,-0.004002347669291084
29.0,0.786555,544.9688594555724,447.3201531546354,446.9740173166101,0.786817,-0.003906467785365186
30.0,0.786817,545.0238253031035,449.1707241656689,448.822313095175,0.786817,-0.003906592049347957
31.0,0.787572,545.0787911506346,451.02092195284814,450.6702361087554,0.786817,-0.003906720201275249
32.0,0.787565,545.1337569981658,452.8707466290713,452.51778647011065,0.786817,-0.003906851491321084
33.0,0.786356,545.1887228456969,454.72019830718193,454.36496429194557,0.78676,-0.003963985926571878
34.0,0.78676,545.243688693228,456.5692770999914,456.21176968693277,0.78676,-0.003964124707735883
35.0,0.78652,545.2986545407591,458.4179831202567,458.0582027676907,0.786561,-0.004163267433962781
36.0,0.787245,545.3536203882902,460.26631648069576,459.9042636467987,0.78676,-0.003964414343628042
37.0,0.786561,545.4085862358213,462.1142772939747,461.74995243678427,0.78688,-0.0038445647169987884
38.0,0.7873,545.4635520833524,463.9618656727181,463.59526925013364,0.786903,-0.0038217192334089045
39.0,0.78688,545.5185179308835,465.80908172950313,465.44021419928555,0.78688,-0.0038448771591892417
40.0,0.786903,545.5734837784146,467.65592557686557,467.2847873966373,0.78688,-0.0038450389116347905
41.0,0.785954,545.6284496259457,469.5023973272914,469.12898895453674,0.786188,-0.004537204468067935
42.0,0.786188,545.6834154734768,471.3484970932211,470.9728189852859,0.786188,-0.004537374770425817
43.0,0.786145,545.7383813210079,473.1942249870539,472.81627760114606,0.786188,-0.0045375495867601146
44.0,0.786394,545.793347168539,475.0395811211434,474.6593649143325,0.786394,-0.0043317289599027475
45.0,0.786564,545.84831301607,476.8845656077914,476.5020810370091,0.786564,-0.004161912642975496
46.0,0.786614,545.9032788636011,478.7291785592605,478.3444260813003,0.786614,-0.0041121004674445905
47.0,0.786974,545.9582447111322,480.5734200877677,480.18640015928514,0.786974,-0.0037522923838673172
48.0,0.787319,546.0132105586633,482.4172903054847,482.0280033829975,0.786974,-0.003752488035016488
49.0,0.786977,546.0681764061944,484.2607893245352,483.86923586442316,0.786974,-0.003752687078413919
50.0,0.786773,546.1231422537255,486.103917257002,485.7100977155072,0.786773,-0.0039538898539497325
51.0,0.786309,546.1781081012566,487.9466742149156,487.5505890481422,0.786727,-0.004000096564380828
52.0,0.786727,546.2330739487877,489.78906031027196,489.39070997418656,0.786309,-0.004418307670440158
53.0,0.786063,546.2880397963188,491.6310756550128,491.2304606054444,0.786304,-0.0044235227574762614
54.0,0.786233,546.34300564385,493.4727203610451,493.069841053685,0.786304,-0.004423742484615856
55.0,0.786304,546.3979714913811,495.31399454021306,494.9088514306152,0.786304,-0.004423966683429259
56.0,0.786727,546.4529373389122,497.1548983043325,496.7474918479132,0.786304,-0.0044241952836932
57.0,0.78676,546.5079031864433,498.9954317651674,498.5857624172056,0.786304,-0.004424427865812985
58.0,0.785519,546.5628690339744,500.8355950344382,500.42366325007555,0.785519,-0.005209664397257896
59.0,0.78497,546.6178348815055,502.67538822382,502.2611944580608,0.785407,-0.005321906109369778
