Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00159915,543.3748498771706,393.4907323449371,393.2107784827781,0.000568796,0.0005366269141484815
1.0,0.00132963,543.4298157247017,395.35217616324746,395.0699337007653,0.000568796,0.0005366269141484815
2.0,0.000568796,543.4847815722328,397.2132434637934,396.9287128639076,0.00096072,0.0009285509141484815
3.0,0.000340846,543.5397474197639,399.07393436080423,398.7871160862939,0.00096072,0.0009285509141484815
4.0,0.00096072,543.594713267295,400.9342489684595,400.64514348196326,0.00096072,0.0009285509141484815
5.0,0.00174115,543.6496791148261,402.7941874008931,402.50279516490946,0.00174115,0.0017089809141484814
6.0,0.00226355,543.7046449623572,404.65374977219574,404.3600712490827,0.00226355,0.0022313809141484816
7.0,0.00227308,543.7596108098883,406.5129361964059,406.2169718483814,0.00226355,0.0022313809141484816
8.0,0.00254518,543.8145766574194,408.37174678752314,408.0734970766648,0.00226355,0.0022313809141484816
9.0,0.00207306,543.8695425049505,410.23018165949486,409.92964704774045,0.00207306,0.0020408909141484814
10.0,0.00181738,543.9245083524816,412.08824092622746,411.7854218753745,0.00181738,0.0017852109141484815
11.0,0.00168044,543.9794742000128,413.9459247015816,413.6408216732877,0.00168044,0.0016482709141484816
12.0,0.00132044,544.0344400475439,415.8032330993616,415.49584655514445,0.00132044,0.0012882709141484815
13.0,0.00127846,544.089405895075,417.66016623333724,417.35049663457465,0.00127846,0.0012462909141484815
14.0,0.00058342,544.144371742606,419.5167242172283,419.2047720251582,0.00127846,0.0012462909141484815
15.0,0.000980948,544.1993375901371,421.37290716470676,421.0586728404275,0.00127846,0.0012462909141484815
16.0,0.00146974,544.2543034376682,423.2287151894059,422.9121991938759,0.00146974,0.0014375709141484815
17.0,0.00252162,544.3092692851993,425.0841484049043,424.7653511989425,0.00146974,0.0014375709141484815
18.0,0.00166796,544.3642351327304,426.9392069247376,426.6181289690233,0.00146974,0.0014375709141484815
19.0,0.0011665,544.4192009802615,428.793890862398,428.4705326174709,0.0011665,0.0011343309141484815
20.0,0.0,544.4741668277926,430.6482003313297,430.3225622575901,0.000207206,0.00017503691414848157
21.0,0.000207206,544.5291326753237,432.5021354449317,432.1742180026405,0.0,-3.2169116558133564e-05
22.0,0.0,544.5840985228548,434.3556963165573,434.025499965836,0.0,-3.2169147264748684e-05
23.0,0.0,544.6390643703859,436.20888305951223,435.87640826034294,3.89105e-05,6.741291321960914e-06
24.0,3.89105e-05,544.694030217917,438.0616957870586,437.72694299928435,3.89105e-05,6.741199201936937e-06
25.0,8.22908e-05,544.7489960654481,439.9141346124154,439.57710429573984,8.22908e-05,5.01214135963503e-05
26.0,0.00116585,544.8039619129792,441.7661996487495,441.4268922627372,0.00116585,0.0011336805770955393
27.0,0.00160671,544.8589277605103,443.6178910091843,443.27630701326086,0.00120362,0.0011714505405947284
28.0,0.00136793,544.9138936080413,445.46920880680216,445.125348660254,0.00136793,0.0013357605040939175
29.0,0.00120362,544.9688594555724,447.3201531546354,446.9740173166101,0.00146746,0.0014352904675931065
30.0,0.00146746,545.0238253031035,449.1707241656689,448.822313095175,0.00146746,0.0014352904310922954
31.0,0.00222414,545.0787911506346,451.02092195284814,450.6702361087554,0.00146746,0.0014352903945914846
32.0,0.00222557,545.1337569981658,452.8707466290713,452.51778647011065,0.00146746,0.0014352903580906735
33.0,0.00102289,545.1887228456969,454.72019830718193,454.36496429194557,0.00143323,0.0014010603215898624
34.0,0.00143323,545.243688693228,456.5692770999914,456.21176968693277,0.00143323,0.0014010602850890515
35.0,0.00119956,545.2986545407591,458.4179831202567,458.0582027676907,0.00124529,0.0012131202485882405
36.0,0.00192743,545.3536203882902,460.26631648069576,459.9042636467987,0.00143323,0.0014010602120874294
37.0,0.00124529,545.4085862358213,462.1142772939747,461.74995243678427,0.00156664,0.0015344701755866186
38.0,0.00198553,545.4635520833524,463.9618656727181,463.59526925013364,0.00159081,0.0015586401390858076
39.0,0.00156664,545.5185179308835,465.80908172950313,465.44021419928555,0.00156664,0.0015344701025849967
40.0,0.00159081,545.5734837784146,467.65592557686557,467.2847873966373,0.00156664,0.0015344700660841857
41.0,0.000642921,545.6284496259457,469.5023973272914,469.12898895453674,0.000878762,0.0008465920295833747
42.0,0.000878762,545.6834154734768,471.3484970932211,470.9728189852859,0.000878762,0.0008465919930825636
43.0,0.00083652,545.7383813210079,473.1942249870539,472.81627760114606,0.000878762,0.0008465919565817527
44.0,0.00108657,545.793347168539,475.0395811211434,474.6593649143325,0.00108657,0.0010543999200809417
45.0,0.00125691,545.84831301607,476.8845656077914,476.5020810370091,0.00125691,0.0012247398835801308
46.0,0.00130847,545.9032788636011,478.7291785592605,478.3444260813003,0.00130847,0.0012762998470793197
47.0,0.00166941,545.9582447111322,480.5734200877677,480.18640015928514,0.00166941,0.0016372398105785088
48.0,0.00201534,546.0132105586633,482.4172903054847,482.0280033829975,0.00166941,0.001637239774077698
49.0,0.00167148,546.0681764061944,484.2607893245352,483.86923586442316,0.00166941,0.001637239737576887
50.0,0.00146856,546.1231422537255,486.103917257002,485.7100977155072,0.00146856,0.0014363897010760758
51.0,0.00100322,546.1781081012566,487.9466742149156,487.5505890481422,0.00142001,0.001387839664575265
52.0,0.00142001,546.2330739487877,489.78906031027196,489.39070997418656,0.00100322,0.0009710496280744539
53.0,0.000754693,546.2880397963188,491.6310756550128,491.2304606054444,0.000996524,0.0009643535915736429
