Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.5561,543.3748498771706,393.4907323449371,393.2107784827781,7.55595,-0.027032703911572753
1.0,7.55595,543.4298157247017,395.35217616324746,395.0699337007653,7.55595,-0.027032730747209577
2.0,7.55656,543.4847815722328,397.2132434637934,396.9287128639076,7.55609,-0.02689278456810129
3.0,7.5556,543.5397474197639,399.07393436080423,398.7871160862939,7.55609,-0.026892864765952318
4.0,7.55609,543.594713267295,400.9342489684595,400.64514348196326,7.55609,-0.026892972298234064
5.0,7.5562,543.6496791148261,402.7941874008931,402.50279516490946,7.55592,-0.02706310667639311
6.0,7.55536,543.7046449623572,404.65374977219574,404.3600712490827,7.55595,-0.027033267790860904
7.0,7.55592,543.7596108098883,406.5129361964059,406.2169718483814,7.55595,-0.027033456479497175
8.0,7.55595,543.8145766574194,408.37174678752314,408.0734970766648,7.55595,-0.02703367218403141
9.0,7.557,543.8695425049505,410.23018165949486,409.92964704774045,7.55595,-0.02703391487475937
10.0,7.55681,543.9245083524816,412.08824092622746,411.7854218753745,7.55681,-0.02617418350474754
11.0,7.55484,543.9794742000128,413.9459247015816,413.6408216732877,7.55681,-0.026174478263757628
12.0,7.55686,544.0344400475439,415.8032330993616,415.49584655514445,7.55582,-0.02716480111669206
13.0,7.5553,544.089405895075,417.66016623333724,417.35049663457465,7.5553,-0.027685150049397755
14.0,7.55582,544.144371742606,419.5167242172283,419.2047720251582,7.55582,-0.027165526617981328
15.0,7.55483,544.1993375901371,421.37290716470676,421.0586728404275,7.55582,-0.02716593030425063
16.0,7.55664,544.2543034376682,423.2287151894059,422.9121991938759,7.55664,-0.026346362095863718
17.0,7.55827,544.3092692851993,425.0841484049043,424.7653511989425,7.55664,-0.026346820188215325
18.0,7.55843,544.3642351327304,426.9392069247376,426.6181289690233,7.55664,-0.026347302956033047
19.0,7.55637,544.4192009802615,428.793890862398,428.4705326174709,7.55637,-0.026617810240206374
20.0,7.55581,544.4741668277926,430.6482003313297,430.3225622575901,7.55615,-0.026838344095836852
21.0,7.55409,544.5291326753237,432.5021354449317,432.1742180026405,7.55581,-0.027178905081932214
22.0,7.55615,544.5840985228548,434.3556963165573,434.025499965836,7.55581,-0.02717949491423699
23.0,7.55552,544.6390643703859,436.20888305951223,435.87640826034294,7.55615,-0.026840111539081946
24.0,7.55796,544.694030217917,438.0616957870586,437.72694299928435,7.55731,-0.02568075558535643
25.0,7.55783,544.7489960654481,439.9141346124154,439.57710429573984,7.55731,-0.025681424620223048
26.0,7.55731,544.8039619129792,441.7661996487495,441.4268922627372,7.55731,-0.02568211877401083
27.0,7.55687,544.8589277605103,443.6178910091843,443.27630701326086,7.55731,-0.0256828385660528
28.0,7.55664,544.9138936080413,445.46920880680216,445.125348660254,7.55731,-0.02568358443590313
29.0,7.55736,544.9688594555724,447.3201531546354,446.9740173166101,7.55736,-0.025634356613690734
30.0,7.55799,545.0238253031035,449.1707241656689,448.822313095175,7.55799,-0.02500515438209483
31.0,7.55916,545.0787911506346,451.02092195284814,450.6702361087554,7.55799,-0.025005977113552902
32.0,7.55957,545.1337569981658,452.8707466290713,452.51778647011065,7.55799,-0.025006823641856357
33.0,7.55701,545.1887228456969,454.72019830718193,454.36496429194557,7.55701,-0.025987693558867875
34.0,7.55595,545.243688693228,456.5692770999914,456.21176968693277,7.55701,-0.02598858941889759
35.0,7.555,545.2986545407591,458.4179831202567,458.0582027676907,7.55701,-0.025989512279985583
36.0,7.55763,545.3536203882902,460.26631648069576,459.9042636467987,7.55763,-0.02537046309042612
37.0,7.55898,545.4085862358213,462.1142772939747,461.74995243678427,7.55763,-0.025371439228275783
38.0,7.55836,545.4635520833524,463.9618656727181,463.59526925013364,7.55763,-0.02537243934796507
39.0,7.55728,545.5185179308835,465.80908172950313,465.44021419928555,7.55762,-0.025383464068918116
40.0,7.55762,545.5734837784146,467.65592557686557,467.2847873966373,7.55728,-0.02572451446935453
41.0,7.55724,545.6284496259457,469.5023973272914,469.12898895453674,7.55728,-0.02572559021121279
42.0,7.55631,545.6834154734768,471.3484970932211,470.9728189852859,7.55757,-0.025436691674567413
43.0,7.55757,545.7383813210079,473.1942249870539,472.81627760114606,7.55757,-0.02543781978803139
44.0,7.55808,545.793347168539,475.0395811211434,474.6593649143325,7.55757,-0.025438973296078693
45.0,7.55772,545.84831301607,476.8845656077914,476.5020810370091,7.55757,-0.02544015169118463
46.0,7.55634,545.9032788636011,478.7291785592605,478.3444260813003,7.55741,-0.02560135533359098
47.0,7.55659,545.9582447111322,480.5734200877677,480.18640015928514,7.55741,-0.025602585600834615
48.0,7.55741,546.0132105586633,482.4172903054847,482.0280033829975,7.5573,-0.025713842244816654
49.0,7.55785,546.0681764061944,484.2607893245352,483.86923586442316,7.5573,-0.02571512444896662
50.0,7.5573,546.1231422537255,486.103917257002,485.7100977155072,7.5573,-0.02571643177570948
51.0,7.55499,546.1781081012566,487.9466742149156,487.5505890481422,7.55537,-0.027647764774910044
52.0,7.55537,546.2330739487877,489.78906031027196,489.39070997418656,7.55534,-0.02767912575162068
53.0,7.55496,546.2880397963188,491.6310756550128,491.2304606054444,7.55534,-0.027680514328257466
54.0,7.55534,546.34300564385,493.4727203610451,493.069841053685,7.55537,-0.02765193091506024
55.0,7.55551,546.3979714913811,495.31399454021306,494.9088514306152,7.55551,-0.027513375134499363
56.0,7.55729,546.4529373389122,497.1548983043325,496.7474918479132,7.55729,-0.02573484681848459
57.0,7.55935,546.5079031864433,498.9954317651674,498.5857624172056,7.55858,-0.024446344193288283
58.0,7.55933,546.5628690339744,500.8355950344382,500.42366325007555,7.55858,-0.024447865205680763
59.0,7.55858,546.6178348815055,502.67538822382,502.2611944580608,7.55858,-0.024449409877127515
60.0,7.55751,546.6728007290366,504.5148114449444,504.09835615265575,7.55751,-0.02552097895728256
61.0,7.55703,546.7277665765677,506.35386480939746,505.93514844530915,7.55703,-0.026002573514946725
62.0,7.55527,546.7827324240988,508.1925484287154,507.7715714474202,7.55703,-0.026004194030441852
63.0,7.5553,546.8376982716298,510.03086241439973,509.6076252703533,7.55703,-0.026005842260598655
64.0,7.55766,546.8926641191609,511.8688068778978,511.4433100254187,7.55766,-0.025377518177141845
65.0,7.55942,546.947629966692,513.7063819306156,513.2786258238856,7.55942,-0.02361921942810241
66.0,7.5595,547.0025958142231,515.5435876839161,515.1135727769799,7.55942,-0.02362094425966088
67.0,7.56031,547.0575616617542,517.3804242491142,516.9481509958796,7.5595,-0.023542692593735204
68.0,7.55886,547.1125275092853,519.2168917374836,518.7823605917217,7.55991,-0.023134463624050028
69.0,7.56002,547.1674933568164,521.0529902602485,520.6162016755936,7.56002,-0.023026258798787502
70.0,7.55991,547.2224592043475,522.8887199285938,522.4496743585436,7.56002,-0.023028076962615884
71.0,7.56114,547.2774250518786,524.7240808536587,524.2827787515741,7.56089,-0.022159918227079523
72.0,7.56226,547.3323908994097,526.5590731465329,526.1155149656383,7.56089,-0.022161781366973443
73.0,7.56089,547.3873567469408,528.3936969182669,527.9478831116502,7.56089,-0.022163665266754506
74.0,7.5602,547.4423225944719,530.2279522798611,529.7798833004738,7.5602,-0.02285557129510707
75.0,7.55844,547.4972884420031,532.061839342284,531.6115156429408,7.55989,-0.023167500142272424
76.0,7.55851,547.5522542895342,533.8953582164404,533.4427802498201,7.55851,-0.024549453565785306
77.0,7.55989,547.6072201370653,535.7285090132032,535.273677231848,7.55851,-0.02455143149777239
78.0,7.55823,547.6621859845964,537.5612918434016,537.1042066997176,7.55934,-0.023723432563658164
79.0,7.55934,547.7171518321275,539.3937068178109,538.9343687640678,7.55989,-0.02317545842126556
80.0,7.56035,547.7721176796585,541.2257540471734,540.764163535505,7.56035,-0.022717507965427153
81.0,7.56174,547.8270835271896,543.0574336421777,542.5935911245815,7.56035,-0.022719580190665667
82.0,7.56215,547.8820493747207,544.8887457134753,544.4226516418129,7.56035,-0.022721673712340795
83.0,7.55963,547.9370152222518,546.7196903716676,546.2513451976646,7.56095,-0.022123788123485255
84.0,7.55965,547.9919810697829,548.5502677273131,548.079671902559,7.56022,-0.022855925940207023
85.0,7.56095,548.046946917314,550.3804778909265,549.9076318668751,7.55965,-0.023428087144684362
86.0,7.56022,548.1019127648451,552.2103209729795,551.7352252009488,7.55968,-0.023400270442224702
87.0,7.55903,548.1568786123762,554.0397970839002,553.5624520150724,7.56022,-0.022862476563248357
88.0,7.55968,548.2118444599073,555.8689063340648,555.3893124194863,7.56022,-0.02286470669701135
89.0,7.56063,548.2668103074384,557.6976488338167,557.2158065243982,7.56063,-0.0224569601973581
90.0,7.56282,548.3217761549695,559.5260246934455,559.0419344399622,7.56262,-0.020469236118847434
91.0,7.56262,548.3767420025006,561.3540340232014,560.8676962762931,7.56262,-0.020471532278839355
92.0,7.56355,548.4317078500317,563.1816769332913,562.6930921434621,7.56262,-0.020473848879171364
93.0,7.56244,548.4866736975628,565.0089535338726,564.5181221514912,7.56244,-0.02065618499422417
94.0,7.56166,548.5416395450939,566.8358639350631,566.3427864103628,7.56201,-0.021088541733848665
95.0,7.56201,548.596605392625,568.6624082469356,568.1670850300144,7.56166,-0.021440919878599196
96.0,7.56093,548.6515712401562,570.4885865795233,569.9910181203439,7.56138,-0.0217233190816577
97.0,7.56138,548.7065370876873,572.3143990428014,571.8145857911913,7.56129,-0.02181574042288581
98.0,7.56114,548.7615029352183,574.1398457467122,573.6377881523639,7.56129,-0.021818183455762252
99.0,7.56129,548.8164687827494,575.964926801157,575.4606253136276,7.56138,-0.021730648422155774
100.0,7.5615,548.8714346302805,577.789642315983,577.2830973846945,7.5614,-0.021713135174878495
101.0,7.5621,548.9264004778116,579.6139924010022,579.1052044752419,7.56149,-0.021625643506903103
102.0,7.5614,548.9813663253427,581.4379771659751,580.9269466948952,7.56149,-0.02162817282212437
103.0,7.56149,549.0363321728738,583.261596720625,582.7483241532427,7.56149,-0.02163072382143394
104.0,7.55932,549.0912980204049,585.0848511746256,584.5693369598233,7.56149,-0.02163329641758871
105.0,7.56269,549.146263867936,586.9077406376092,586.3899852241348,7.562,-0.021125892777894784
106.0,7.56259,549.2012297154671,588.7302652191669,588.2102690556331,7.56211,-0.021018509542960473
107.0,7.562,549.2561955629982,590.5524250288422,590.0301885637274,7.56211,-0.021021146815167313
