Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.786131,543.3748498771706,393.4907323449371,393.2107784827781,0.786131,-0.0018010231880922767
1.0,0.786816,543.4298157247017,395.35217616324746,395.0699337007653,0.786509,-0.001423024984069099
2.0,0.786509,543.4847815722328,397.2132434637934,396.9287128639076,0.786816,-0.0011160278935299361
3.0,0.787088,543.5397474197639,399.07393436080423,398.7871160862939,0.786954,-0.0009780322224434146
4.0,0.786954,543.594713267295,400.9342489684595,400.64514348196326,0.787088,-0.0008440373936432488
5.0,0.787465,543.6496791148261,402.7941874008931,402.50279516490946,0.787373,-0.000559043540756865
6.0,0.787548,543.7046449623572,404.65374977219574,404.3600712490827,0.787465,-0.000467050154082882
7.0,0.787373,543.7596108098883,406.5129361964059,406.2169718483814,0.787465,-0.00046705715079986554
8.0,0.787717,543.8145766574194,408.37174678752314,408.0734970766648,0.787373,-0.0005590647055396802
9.0,0.787072,543.8695425049505,410.23018165949486,409.92964704774045,0.787211,-0.0007210724750030817
10.0,0.787211,543.9245083524816,412.08824092622746,411.7854218753745,0.787072,-0.0008600811027491551
11.0,0.786977,543.9794742000128,413.9459247015816,413.6408216732877,0.787053,-0.0008790904501527752
12.0,0.786831,544.0344400475439,415.8032330993616,415.49584655514445,0.787053,-0.0008791007505898341
13.0,0.787053,544.089405895075,417.66016623333724,417.35049663457465,0.786977,-0.0009551121496328419
14.0,0.787065,544.144371742606,419.5167242172283,419.2047720251582,0.786967,-0.0009651244259456515
15.0,0.786926,544.1993375901371,421.37290716470676,421.0586728404275,0.787053,-0.000879137567573518
16.0,0.786967,544.2543034376682,423.2287151894059,422.9121991938759,0.787065,-0.0008671517131325635
17.0,0.787894,544.3092692851993,425.0841484049043,424.7653511989425,0.787134,-0.0007981668217570403
18.0,0.787285,544.3642351327304,426.9392069247376,426.6181289690233,0.787134,-0.000798181968493128
19.0,0.787134,544.4192009802615,428.793890862398,428.4705326174709,0.787134,-0.0007981977611699609
20.0,0.785772,544.4741668277926,430.6482003313297,430.3225622575901,0.786156,-0.0017762143504211902
21.0,0.786156,544.5291326753237,432.5021354449317,432.1742180026405,0.785772,-0.0021602330932390945
22.0,0.78577,544.5840985228548,434.3556963165573,434.025499965836,0.78577,-0.002162253607346565
23.0,0.785447,544.6390643703859,436.20888305951223,435.87640826034294,0.78577,-0.0021622762770503456
24.0,0.785549,544.694030217917,438.0616957870586,437.72694299928435,0.78577,-0.002162301423763613
25.0,0.785989,544.7489960654481,439.9141346124154,439.57710429573984,0.785989,-0.0019433289460366598
26.0,0.786954,544.8039619129792,441.7661996487495,441.4268922627372,0.786954,-0.000978358405981039
27.0,0.787675,544.8589277605103,443.6178910091843,443.27630701326086,0.786954,-0.0009783888421588394
28.0,0.786963,544.9138936080413,445.46920880680216,445.125348660254,0.786963,-0.0009694195353086021
29.0,0.786896,544.9688594555724,447.3201531546354,446.9740173166101,0.787368,-0.0005644511957787479
30.0,0.787368,545.0238253031035,449.1707241656689,448.822313095175,0.78716,-0.000772483890402631
31.0,0.787406,545.0787911506346,451.02092195284814,450.6702361087554,0.78716,-0.0007725171484633808
32.0,0.78716,545.1337569981658,452.8707466290713,452.51778647011065,0.78716,-0.0007725509320799517
33.0,0.786096,545.1887228456969,454.72019830718193,454.36496429194557,0.78716,-0.0007725854866911241
34.0,0.78716,545.243688693228,456.5692770999914,456.21176968693277,0.78716,-0.0007726218726903378
