Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.55583,543.3748498771706,393.4907323449371,393.2107784827781,7.55583,-0.0356250235012201
1.0,7.5572,543.4298157247017,395.35217616324746,395.0699337007653,7.55666,-0.03479505905912905
2.0,7.55666,543.4847815722328,397.2132434637934,396.9287128639076,7.55666,-0.03479512880943059
3.0,7.55688,543.5397474197639,399.07393436080423,398.7871160862939,7.55666,-0.03479523329045797
4.0,7.55563,543.594713267295,400.9342489684595,400.64514348196326,7.55585,-0.03560537228302518
5.0,7.55585,543.6496791148261,402.7941874008931,402.50279516490946,7.55585,-0.03560554703318708
6.0,7.55561,543.7046449623572,404.65374977219574,404.3600712490827,7.55585,-0.035605757321845566
7.0,7.55633,543.7596108098883,406.5129361964059,406.2169718483814,7.55633,-0.03512600338841487
8.0,7.55687,543.8145766574194,408.37174678752314,408.0734970766648,7.55641,-0.03504628451551106
9.0,7.55666,543.8695425049505,410.23018165949486,409.92964704774045,7.55641,-0.035046600165163255
10.0,7.55641,543.9245083524816,412.08824092622746,411.7854218753745,7.55642,-0.035036950547006285
11.0,7.55584,543.9794742000128,413.9459247015816,413.6408216732877,7.55641,-0.035047335910580735
12.0,7.55642,544.0344400475439,415.8032330993616,415.49584655514445,7.55597,-0.03548775682440031
13.0,7.55586,544.089405895075,417.66016623333724,417.35049663457465,7.5559,-0.03555821271078674
14.0,7.55597,544.144371742606,419.5167242172283,419.2047720251582,7.55597,-0.03548870412835736
15.0,7.5559,544.1993375901371,421.37290716470676,421.0586728404275,7.55597,-0.03548923096796397
16.0,7.55615,544.2543034376682,423.2287151894059,422.9121991938759,7.55615,-0.035309793299902026
17.0,7.55683,544.3092692851993,425.0841484049043,424.7653511989425,7.55677,-0.03469039087555181
18.0,7.55747,544.3642351327304,426.9392069247376,426.6181289690233,7.55677,-0.034691023017720646
19.0,7.55677,544.4192009802615,428.793890862398,428.4705326174709,7.55677,-0.034691689089083155
20.0,7.55602,544.4741668277926,430.6482003313297,430.3225622575901,7.55602,-0.03544238978806291
21.0,7.55532,544.5291326753237,432.5021354449317,432.1742180026405,7.55581,-0.03565312586291558
22.0,7.55558,544.5840985228548,434.3556963165573,434.025499965836,7.55581,-0.0356538980120531
23.0,7.55581,544.6390643703859,436.20888305951223,435.87640826034294,7.55581,-0.03565470597711151
24.0,7.55791,544.694030217917,438.0616957870586,437.72694299928435,7.55757,-0.03389554952965934
25.0,7.55762,544.7489960654481,439.9141346124154,439.57710429573984,7.55757,-0.0338964265772983
26.0,7.55757,544.8039619129792,441.7661996487495,441.4268922627372,7.55757,-0.03389733740999201
27.0,7.55629,544.8589277605103,443.6178910091843,443.27630701326086,7.55687,-0.034598282078487586
28.0,7.5557,544.9138936080413,445.46920880680216,445.125348660254,7.55687,-0.034599261859611374
29.0,7.55687,544.9688594555724,447.3201531546354,446.9740173166101,7.55687,-0.03460027734239812
