Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.000110003,543.3748498771706,393.4907323449371,393.2107784827781,4.90894e-05,9.724138131304955e-06
1.0,4.90894e-05,543.4298157247017,395.35217616324746,395.0699337007653,0.000110003,7.063780608092493e-05
2.0,0.00139189,543.4847815722328,397.2132434637934,396.9287128639076,0.000430176,0.0003908108832799712
3.0,0.00210894,543.5397474197639,399.07393436080423,398.7871160862939,0.00139189,0.0013525249604790176
4.0,0.000430176,543.594713267295,400.9342489684595,400.64514348196326,0.00210894,0.002069575037678064
5.0,0.00471751,543.6496791148261,402.7941874008931,402.50279516490946,0.00471751,0.00467814511487711
6.0,0.00627326,543.7046449623572,404.65374977219574,404.3600712490827,0.00627326,0.006233895192076157
7.0,0.00883589,543.7596108098883,406.5129361964059,406.2169718483814,0.00788733,0.007847965269275203
8.0,0.00907891,543.8145766574194,408.37174678752314,408.0734970766648,0.00788733,0.007847965346474249
9.0,0.00788733,543.8695425049505,410.23018165949486,409.92964704774045,0.00788733,0.007847965423673295
10.0,0.0069091,543.9245083524816,412.08824092622746,411.7854218753745,0.0069091,0.006869735500872341
11.0,0.00527444,543.9794742000128,413.9459247015816,413.6408216732877,0.00530271,0.0052633455780713885
12.0,0.00530271,544.0344400475439,415.8032330993616,415.49584655514445,0.00527444,0.005235075655270434
13.0,0.00417094,544.089405895075,417.66016623333724,417.35049663457465,0.00480884,0.0047694757324694805
14.0,0.00480884,544.144371742606,419.5167242172283,419.2047720251582,0.00422201,0.004182645809668527
15.0,0.00179947,544.1993375901371,421.37290716470676,421.0586728404275,0.00417094,0.004131575886867573
16.0,0.00422201,544.2543034376682,423.2287151894059,422.9121991938759,0.00179947,0.0017601059640666196
17.0,0.00145617,544.3092692851993,425.0841484049043,424.7653511989425,0.00145617,0.0014168060412656656
18.0,0.0,544.3642351327304,426.9392069247376,426.6181289690233,0.00145617,0.001416806118464712
19.0,0.00119514,544.4192009802615,428.793890862398,428.4705326174709,0.00145617,0.0014168061585600263
20.0,0.00234346,544.4741668277926,430.6482003313297,430.3225622575901,0.00234346,0.0023040961986553403
21.0,0.00582619,544.5291326753237,432.5021354449317,432.1742180026405,0.00535377,0.0053144062387506545
22.0,0.00535377,544.5840985228548,434.3556963165573,434.025499965836,0.00535377,0.005314406278845969
23.0,0.00536723,544.6390643703859,436.20888305951223,435.87640826034294,0.00536723,0.005327866318941283
24.0,0.00513455,544.694030217917,438.0616957870586,437.72694299928435,0.00535377,0.005314406359036597
25.0,0.00587824,544.7489960654481,439.9141346124154,439.57710429573984,0.00513455,0.005095186399131911
26.0,0.00491296,544.8039619129792,441.7661996487495,441.4268922627372,0.00491296,0.004873596439227227
27.0,0.00283352,544.8589277605103,443.6178910091843,443.27630701326086,0.00444108,0.004401716479322541
28.0,0.00115034,544.9138936080413,445.46920880680216,445.125348660254,0.00444108,0.004401716519417855
29.0,0.00444108,544.9688594555724,447.3201531546354,446.9740173166101,0.00299244,0.0029530765595131687
30.0,0.0049227,545.0238253031035,449.1707241656689,448.822313095175,0.00444108,0.0044017165996084835
31.0,0.00299244,545.0787911506346,451.02092195284814,450.6702361087554,0.0049227,0.004883336639703798
32.0,0.00554728,545.1337569981658,452.8707466290713,452.51778647011065,0.0049227,0.004883336679799112
33.0,0.00558247,545.1887228456969,454.72019830718193,454.36496429194557,0.00436496,0.004325596719894426
34.0,0.00436496,545.243688693228,456.5692770999914,456.21176968693277,0.00554728,0.00550791675998974
35.0,0.00293285,545.2986545407591,458.4179831202567,458.0582027676907,0.00558247,0.0055431068000850545
36.0,0.00595572,545.3536203882902,460.26631648069576,459.9042636467987,0.00595572,0.005916356840180369
37.0,0.0070549,545.4085862358213,462.1142772939747,461.74995243678427,0.00662706,0.006587696880275683
38.0,0.00662706,545.4635520833524,463.9618656727181,463.59526925013364,0.00662706,0.006587696920370997
39.0,0.00735779,545.5185179308835,465.80908172950313,465.44021419928555,0.00680108,0.006761716960466312
40.0,0.00660727,545.5734837784146,467.65592557686557,467.2847873966373,0.00662706,0.006587697000561625
41.0,0.00680108,545.6284496259457,469.5023973272914,469.12898895453674,0.00660727,0.00656790704065694
