Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.787013,543.3748498771706,393.4907323449371,393.2107784827781,0.786955,0.0040510844606165275
1.0,0.786955,543.4298157247017,395.35217616324746,395.0699337007653,0.787013,0.00410908446061653
2.0,0.787067,543.4847815722328,397.2132434637934,396.9287128639076,0.787067,0.0041630844606165285
3.0,0.787563,543.5397474197639,399.07393436080423,398.7871160862939,0.787563,0.0046590844606165804
4.0,0.787835,543.594713267295,400.9342489684595,400.64514348196326,0.787835,0.004931084460616519
5.0,0.787995,543.6496791148261,402.7941874008931,402.50279516490946,0.787995,0.005091084460616568
6.0,0.788331,543.7046449623572,404.65374977219574,404.3600712490827,0.788039,0.005135084460616612
7.0,0.788039,543.7596108098883,406.5129361964059,406.2169718483814,0.788039,0.005135084460616612
8.0,0.788129,543.8145766574194,408.37174678752314,408.0734970766648,0.788039,0.005135084460616612
9.0,0.787574,543.8695425049505,410.23018165949486,409.92964704774045,0.787574,0.004670084460616564
10.0,0.787535,543.9245083524816,412.08824092622746,411.7854218753745,0.787535,0.0046310844606165524
11.0,0.787166,543.9794742000128,413.9459247015816,413.6408216732877,0.787166,0.0042620844606166
12.0,0.786842,544.0344400475439,415.8032330993616,415.49584655514445,0.787106,0.00420208446061654
13.0,0.786582,544.089405895075,417.66016623333724,417.35049663457465,0.787106,0.00420208446061654
14.0,0.787106,544.144371742606,419.5167242172283,419.2047720251582,0.787106,0.00420208446061654
15.0,0.787368,544.1993375901371,421.37290716470676,421.0586728404275,0.787368,0.004464084460616524
16.0,0.787475,544.2543034376682,423.2287151894059,422.9121991938759,0.787475,0.0045710844606166035
17.0,0.788076,544.3092692851993,425.0841484049043,424.7653511989425,0.787475,0.0045710844606166035
18.0,0.787795,544.3642351327304,426.9392069247376,426.6181289690233,0.787475,0.0045710844606166035
19.0,0.787337,544.4192009802615,428.793890862398,428.4705326174709,0.787337,0.004433084460616521
20.0,0.786316,544.4741668277926,430.6482003313297,430.3225622575901,0.786316,0.0034120844606165823
21.0,0.786054,544.5291326753237,432.5021354449317,432.1742180026405,0.786054,0.003150084460616598
22.0,0.786007,544.5840985228548,434.3556963165573,434.025499965836,0.786054,0.003150084460616598
23.0,0.785828,544.6390643703859,436.20888305951223,435.87640826034294,0.786054,0.003150084460616598
24.0,0.786267,544.694030217917,438.0616957870586,437.72694299928435,0.786267,0.0033630844606166166
25.0,0.786513,544.7489960654481,439.9141346124154,439.57710429573984,0.786513,0.003609084460616585
26.0,0.786707,544.8039619129792,441.7661996487495,441.4268922627372,0.786707,0.0038030844606166125
27.0,0.78708,544.8589277605103,443.6178910091843,443.27630701326086,0.787072,0.004168084460616561
28.0,0.787252,544.9138936080413,445.46920880680216,445.125348660254,0.78708,0.004176084460616569
29.0,0.787072,544.9688594555724,447.3201531546354,446.9740173166101,0.787252,0.004348084460616519
30.0,0.787668,545.0238253031035,449.1707241656689,448.822313095175,0.78763,0.00472608446061662
31.0,0.78763,545.0787911506346,451.02092195284814,450.6702361087554,0.78763,0.00472608446061662
32.0,0.7877,545.1337569981658,452.8707466290713,452.51778647011065,0.78763,0.00472608446061662
33.0,0.786649,545.1887228456969,454.72019830718193,454.36496429194557,0.787341,0.004437084460616525
34.0,0.787272,545.243688693228,456.5692770999914,456.21176968693277,0.787341,0.004437084460616525
35.0,0.787341,545.2986545407591,458.4179831202567,458.0582027676907,0.787341,0.004437084460616525
36.0,0.788172,545.3536203882902,460.26631648069576,459.9042636467987,0.787921,0.00501708446061655
37.0,0.787921,545.4085862358213,462.1142772939747,461.74995243678427,0.787921,0.00501708446061655
38.0,0.788152,545.4635520833524,463.9618656727181,463.59526925013364,0.787921,0.00501708446061655
39.0,0.787732,545.5185179308835,465.80908172950313,465.44021419928555,0.787778,0.004874084460616546
40.0,0.787778,545.5734837784146,467.65592557686557,467.2847873966373,0.787732,0.004828084460616555
41.0,0.786994,545.6284496259457,469.5023973272914,469.12898895453674,0.787,0.0040960844606166
42.0,0.787,545.6834154734768,471.3484970932211,470.9728189852859,0.786994,0.004090084460616539
43.0,0.786889,545.7383813210079,473.1942249870539,472.81627760114606,0.786889,0.003985084460616517
44.0,0.786791,545.793347168539,475.0395811211434,474.6593649143325,0.7868,0.0038960844606166223
45.0,0.786522,545.84831301607,476.8845656077914,476.5020810370091,0.7868,0.0038960844606166223
46.0,0.7868,545.9032788636011,478.7291785592605,478.3444260813003,0.7868,0.0038960844606166223
47.0,0.787416,545.9582447111322,480.5734200877677,480.18640015928514,0.787416,0.004512084460616572
48.0,0.787821,546.0132105586633,482.4172903054847,482.0280033829975,0.7875,0.004596084460616545
49.0,0.787585,546.0681764061944,484.2607893245352,483.86923586442316,0.7875,0.004596084460616545
50.0,0.7875,546.1231422537255,486.103917257002,485.7100977155072,0.7875,0.004596084460616545
51.0,0.786772,546.1781081012566,487.9466742149156,487.5505890481422,0.787073,0.00416908446061659
52.0,0.787073,546.2330739487877,489.78906031027196,489.39070997418656,0.78686,0.003956084460616571
53.0,0.786347,546.2880397963188,491.6310756550128,491.2304606054444,0.78686,0.003956084460616571
54.0,0.78686,546.34300564385,493.4727203610451,493.069841053685,0.78686,0.003956084460616571
55.0,0.786865,546.3979714913811,495.31399454021306,494.9088514306152,0.786613,0.003709084460616574
56.0,0.786613,546.4529373389122,497.1548983043325,496.7474918479132,0.786613,0.003709084460616574
57.0,0.78626,546.5079031864433,498.9954317651674,498.5857624172056,0.78626,0.0033560844606165263
58.0,0.785451,546.5628690339744,500.8355950344382,500.42366325007555,0.785574,0.002670084460616562
59.0,0.785574,546.6178348815055,502.67538822382,502.2611944580608,0.785574,0.002670084460616562
60.0,0.785348,546.6728007290366,504.5148114449444,504.09835615265575,0.785451,0.0025470844606165777
61.0,0.785704,546.7277665765677,506.35386480939746,505.93514844530915,0.785517,0.002613084460616588
62.0,0.784988,546.7827324240988,508.1925484287154,507.7715714474202,0.785517,0.002613084460616588
63.0,0.785517,546.8376982716298,510.03086241439973,509.6076252703533,0.785704,0.0028000844606165254
64.0,0.786285,546.8926641191609,511.8688068778978,511.4433100254187,0.786285,0.003381084460616579
65.0,0.786961,546.947629966692,513.7063819306156,513.2786258238856,0.786668,0.0037640844606166013
66.0,0.786668,547.0025958142231,515.5435876839161,515.1135727769799,0.786961,0.004057084460616589
67.0,0.787114,547.0575616617542,517.3804242491142,516.9481509958796,0.787072,0.004168084460616561
68.0,0.787072,547.1125275092853,519.2168917374836,518.7823605917217,0.787114,0.004210084460616548
69.0,0.787133,547.1674933568164,521.0529902602485,520.6162016755936,0.787114,0.004210084460616548
70.0,0.787117,547.2224592043475,522.8887199285938,522.4496743585436,0.787072,0.004168084460616561
71.0,0.78693,547.2774250518786,524.7240808536587,524.2827787515741,0.78693,0.004026084460616586
72.0,0.786898,547.3323908994097,526.5590731465329,526.1155149656383,0.786898,0.003994084460616554
73.0,0.786138,547.3873567469408,528.3936969182669,527.9478831116502,0.786404,0.0035000844606165593
74.0,0.786207,547.4423225944719,530.2279522798611,529.7798833004738,0.786404,0.0035000844606165593
75.0,0.786404,547.4972884420031,532.061839342284,531.6115156429408,0.786404,0.0035000844606165593
76.0,0.786563,547.5522542895342,533.8953582164404,533.4427802498201,0.786563,0.0036590844606165795
77.0,0.787028,547.6072201370653,535.7285090132032,535.273677231848,0.78699,0.004086084460616535
78.0,0.78699,547.6621859845964,537.5612918434016,537.1042066997176,0.78699,0.004086084460616535
79.0,0.787473,547.7171518321275,539.3937068178109,538.9343687640678,0.78699,0.004086084460616535
80.0,0.786856,547.7721176796585,541.2257540471734,540.764163535505,0.786923,0.0040190844606166065
81.0,0.786923,547.8270835271896,543.0574336421777,542.5935911245815,0.786923,0.0040190844606166065
82.0,0.786765,547.8820493747207,544.8887457134753,544.4226516418129,0.786856,0.003952084460616567
83.0,0.787164,547.9370152222518,546.7196903716676,546.2513451976646,0.786923,0.0040190844606166065
84.0,0.786623,547.9919810697829,548.5502677273131,548.079671902559,0.786953,0.004049084460616581
85.0,0.786986,548.046946917314,550.3804778909265,549.9076318668751,0.786953,0.004049084460616581
86.0,0.786953,548.1019127648451,552.2103209729795,551.7352252009488,0.786917,0.004013084460616545
87.0,0.786854,548.1568786123762,554.0397970839002,553.5624520150724,0.786953,0.004049084460616581
88.0,0.786917,548.2118444599073,555.8689063340648,555.3893124194863,0.786953,0.004049084460616581
89.0,0.786993,548.2668103074384,557.6976488338167,557.2158065243982,0.786993,0.004089084460616621
90.0,0.787655,548.3217761549695,559.5260246934455,559.0419344399622,0.786993,0.004089084460616621
91.0,0.787242,548.3767420025006,561.3540340232014,560.8676962762931,0.786993,0.004089084460616621
92.0,0.786968,548.4317078500317,563.1816769332913,562.6930921434621,0.786968,0.004064084460616568
93.0,0.786362,548.4866736975628,565.0089535338726,564.5181221514912,0.786514,0.003610084460616614
94.0,0.786438,548.5416395450939,566.8358639350631,566.3427864103628,0.786514,0.003610084460616614
95.0,0.786514,548.596605392625,568.6624082469356,568.1670850300144,0.786514,0.003610084460616614
96.0,0.78692,548.6515712401562,570.4885865795233,569.9910181203439,0.786756,0.0038520844606165783
97.0,0.786756,548.7065370876873,572.3143990428014,571.8145857911913,0.786756,0.0038520844606165783
98.0,0.787273,548.7615029352183,574.1398457467122,573.6377881523639,0.786756,0.0038520844606165783
99.0,0.78669,548.8164687827494,575.964926801157,575.4606253136276,0.78669,0.0037860844606165678
100.0,0.78586,548.8714346302805,577.789642315983,577.2830973846945,0.78586,0.0029560844606165704
101.0,0.785408,548.9264004778116,579.6139924010022,579.1052044752419,0.78586,0.0029560844606165704
102.0,0.785727,548.9813663253427,581.4379771659751,580.9269466948952,0.78586,0.0029560844606165704
103.0,0.786218,549.0363321728738,583.261596720625,582.7483241532427,0.786218,0.00331408446061654
104.0,0.786781,549.0912980204049,585.0848511746256,584.5693369598233,0.786781,0.00387708446061652
105.0,0.787352,549.146263867936,586.9077406376092,586.3899852241348,0.786954,0.00405008446061661
106.0,0.787105,549.2012297154671,588.7302652191669,588.2102690556331,0.786954,0.00405008446061661
107.0,0.786954,549.2561955629982,590.5524250288422,590.0301885637274,0.786954,0.00405008446061661
108.0,0.785949,549.3111614105293,592.3742201761353,591.849743857783,0.785949,0.003045084460616576
109.0,0.785456,549.3661272580604,594.1956507705048,593.668935047124,0.785681,0.00277708446061653
110.0,0.785219,549.4210931055915,596.01671692136,595.4877622410253,0.785681,0.00277708446061653
111.0,0.785681,549.4760589531226,597.8374187380749,597.3062255487264,0.785681,0.00277708446061653
112.0,0.786203,549.5310248006537,599.65775632997,599.1243250794132,0.785699,0.0027950844606166036
113.0,0.786071,549.5859906481847,601.4777298063326,600.9420609422389,0.786071,0.0031670844606165316
114.0,0.785699,549.6409564957158,603.2973392763982,602.7594332463046,0.786071,0.0031670844606165316
115.0,0.786293,549.6959223432469,605.1165848493592,604.5764421006684,0.78592,0.0030160844606165194
116.0,0.78592,549.750888190778,606.9354666343708,606.3930876143511,0.785699,0.0027950844606166036
117.0,0.785689,549.8058540383092,608.7539847405404,608.2093698963264,0.785689,0.002785084460616538
118.0,0.785591,549.8608198858403,610.572139276924,610.0252890555158,0.785648,0.0027440844606165804
119.0,0.785501,549.9157857333714,612.3899303525485,611.8408452008126,0.785591,0.0026870844606166067
120.0,0.785648,549.9707515809025,614.2073580763874,613.6560384410559,0.785555,0.0026510844606165707
121.0,0.785171,550.0257174284336,616.0244225573747,615.470868885046,0.785555,0.0026510844606165707
122.0,0.785555,550.0806832759647,617.8411239043968,617.2853366415353,0.785624,0.0027200844606165564
123.0,0.785624,550.1356491234958,619.6574622263032,619.0994418192396,0.78561,0.002706084460616598
124.0,0.785721,550.1906149710269,621.473437631896,620.9131845268271,0.785624,0.0027200844606165564
125.0,0.78561,550.245580818558,623.2890502299313,622.7265648729202,0.785721,0.00281708446061657
126.0,0.786012,550.3005466660891,625.1043001291242,624.5395829661006,0.786012,0.0031080844606166114
127.0,0.786368,550.3555125136202,626.919187438151,626.3522389149106,0.786368,0.0034640844606165233
128.0,0.786675,550.4104783611513,628.7337122656356,628.1645328278408,0.786675,0.0037710844606165805
129.0,0.786696,550.4654442086824,630.547874720163,629.9764648133425,0.786675,0.0037710844606165805
130.0,0.786696,550.5204100562134,632.3616749102771,631.7880349798264,0.786675,0.0037710844606165805
131.0,0.786052,550.5753759037445,634.175112944476,633.5992434356571,0.786052,0.0031480844606165403
132.0,0.784498,550.6303417512756,635.988188931215,635.4100902891563,0.784498,0.001594084460616596
133.0,0.783786,550.6853075988067,637.8009029789052,637.2205756486023,0.784498,0.0015940860542302815
134.0,0.784057,550.7402734463378,639.6132551959129,639.0306996222278,0.784498,0.001594088529188853
135.0,0.784945,550.7952392938689,641.425245690567,640.8404623182284,0.784945,0.0020410921565063855
136.0,0.785153,550.8502051414,643.236874571147,642.649863844751,0.785114,0.0022100957838239177
137.0,0.785114,550.9051709889311,645.048141945893,644.4589043099023,0.785153,0.0022490994111414864
138.0,0.785324,550.9601368364622,646.8590479229998,646.267583821744,0.785324,0.002420103038459076
139.0,0.785782,551.0151026839934,648.669592610623,648.0759024882988,0.785782,0.002878106665776481
140.0,0.785832,551.0700685315245,650.4797761168642,649.8838604175354,0.785782,0.0028781102930940383
141.0,0.785861,551.1250343790556,652.2895985497964,651.691457717394,0.785832,0.0029281139204115902
142.0,0.785416,551.1800002265867,654.0990600174367,653.4986944957587,0.785832,0.0029281175477290367
143.0,0.785915,551.2349660741178,655.9081606277717,655.3055708604836,0.785861,0.002957121175046651
144.0,0.785582,551.2899319216489,657.7169004887313,657.1120869193658,0.785582,0.002678124802364068
145.0,0.786188,551.34489776918,659.5252797082155,658.9182427801725,0.785582,0.0026781284296815144
146.0,0.78501,551.3998636167111,661.3332983940721,660.724038550619,0.785197,0.002293132056998992
147.0,0.785197,551.4548294642422,663.1409566541097,662.5294743383813,0.785197,0.0022931356843164385
148.0,0.78467,551.5097953117732,664.9482545960915,664.3345502510903,0.785197,0.002293139311633996
149.0,0.785274,551.5647611593043,666.7551923277395,666.1392663963353,0.785274,0.002370144704807342
150.0,0.785905,551.6197270068354,668.5617699567345,667.943622881665,0.785274,0.0023701500979806944
151.0,0.785712,551.6746928543665,670.3679875907118,669.7476198145821,0.785274,0.0023701554911540468
152.0,0.78506,551.7296587018976,672.1738453372632,671.5512573025462,0.78506,0.0021561608843273516
153.0,0.78483,551.7846245494287,673.9793433039416,673.3545354529781,0.78506,0.002156166277500704
154.0,0.784758,551.8395903969598,675.7844815982501,675.1574543732485,0.78506,0.0021561735967688955
155.0,0.785129,551.8945562444909,677.5892603276567,676.9600141706934,0.784915,0.0020111827700401985
156.0,0.785268,551.949522092022,679.3936795995822,678.7622149526017,0.784955,0.002051191943311381
157.0,0.784915,552.0044879395531,681.1977395214061,680.5640568262204,0.784955,0.002051201116582635
158.0,0.784955,552.0594537870842,683.0014402004641,682.3655398987536,0.784915,0.0020112102898539597
159.0,0.784718,552.1144196346153,684.804781744049,684.1666642773622,0.784718,0.0018142194631252107
160.0,0.784267,552.1693854821465,686.6077642594146,685.9674300691679,0.784567,0.0016632304503950701
161.0,0.784567,552.2243513296776,688.4103878537643,687.7678373812427,0.784567,0.0016632428002588684
162.0,0.784468,552.2793171772087,690.2126526342652,689.5678863206214,0.784567,0.0016632568129713032
163.0,0.785137,552.3342830247398,692.0145587080385,691.3675769942939,0.784699,0.00179527238945143
164.0,0.784844,552.3892488722709,693.8161061821688,693.166909509213,0.784844,0.0019402879659314864
165.0,0.784699,552.444214719802,695.6172951636886,694.9658839722797,0.784844,0.00194030548265256
166.0,0.784931,552.499180567333,697.4181257595955,696.7645004903599,0.784844,0.0019403247944366209
167.0,0.78477,552.5541464148641,699.2185980768395,698.5627591702722,0.784931,0.002027344106220741
168.0,0.785173,552.6091122623952,701.0187122223339,700.3606601187985,0.784931,0.002027365284199112
