Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.786786,543.3748498771706,393.4907323449371,393.2107784827781,0.786569,-0.0035202602637799396
1.0,0.786997,543.4298157247017,395.35217616324746,395.0699337007653,0.786569,-0.0035202635106882374
2.0,0.786569,543.4847815722328,397.2132434637934,396.9287128639076,0.786569,-0.003520269797762432
3.0,0.786519,543.5397474197639,399.07393436080423,398.7871160862939,0.786569,-0.003520279544285687
4.0,0.786282,543.594713267295,400.9342489684595,400.64514348196326,0.786569,-0.0035202927992245003
5.0,0.787075,543.6496791148261,402.7941874008931,402.50279516490946,0.787042,-0.003047309794579678
6.0,0.787042,543.7046449623572,404.65374977219574,404.3600712490827,0.787075,-0.0030143297536957547
7.0,0.787352,543.7596108098883,406.5129361964059,406.2169718483814,0.787075,-0.0030143527089376843
8.0,0.787721,543.8145766574194,408.37174678752314,408.0734970766648,0.787042,-0.003047378356388575
9.0,0.787003,543.8695425049505,410.23018165949486,409.92964704774045,0.787003,-0.003086406334036562
10.0,0.786754,543.9245083524816,412.08824092622746,411.7854218753745,0.786754,-0.0033354373461083053
11.0,0.786179,543.9794742000128,413.9459247015816,413.6408216732877,0.786253,-0.0038364716366062757
12.0,0.786253,544.0344400475439,415.8032330993616,415.49584655514445,0.786179,-0.00391050976847962
13.0,0.785943,544.089405895075,417.66016623333724,417.35049663457465,0.785943,-0.00414655166935729
14.0,0.785705,544.144371742606,419.5167242172283,419.2047720251582,0.785943,-0.004146597642535554
15.0,0.785726,544.1993375901371,421.37290716470676,421.0586728404275,0.785943,-0.00414664792075059
16.0,0.786204,544.2543034376682,423.2287151894059,422.9121991938759,0.786204,-0.00388570248352349
17.0,0.787029,544.3092692851993,425.0841484049043,424.7653511989425,0.786473,-0.0036167608634330994
18.0,0.786473,544.3642351327304,426.9392069247376,426.6181289690233,0.786473,-0.003616822252627161
19.0,0.786554,544.4192009802615,428.793890862398,428.4705326174709,0.786473,-0.0036168871957960036
20.0,0.785328,544.4741668277926,430.6482003313297,430.3225622575901,0.785985,-0.004104955613697059
21.0,0.785985,544.5291326753237,432.5021354449317,432.1742180026405,0.785823,-0.004267028705337794
22.0,0.785823,544.5840985228548,434.3556963165573,434.025499965836,0.78549,-0.0046001058286629926
23.0,0.785398,544.6390643703859,436.20888305951223,435.87640826034294,0.785555,-0.004535187142159169
24.0,0.78549,544.694030217917,438.0616957870586,437.72694299928435,0.785555,-0.004535273061242906
25.0,0.785555,544.7489960654481,439.9141346124154,439.57710429573984,0.785555,-0.004535363496118716
26.0,0.786242,544.8039619129792,441.7661996487495,441.4268922627372,0.786077,-0.004013458383362645
