Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.000831902,543.3748498771706,393.4907323449371,393.2107784827781,0.000831902,0.0008161041615389337
1.0,0.00144096,543.4298157247017,395.35217616324746,395.0699337007653,0.00103508,0.0010192821615389337
2.0,0.00107733,543.4847815722328,397.2132434637934,396.9287128639076,0.00103508,0.0010192821615389337
3.0,0.00103508,543.5397474197639,399.07393436080423,398.7871160862939,0.00107733,0.0010615321615389337
4.0,0.000710912,543.594713267295,400.9342489684595,400.64514348196326,0.00107733,0.0010615321615389337
5.0,0.00117174,543.6496791148261,402.7941874008931,402.50279516490946,0.00117174,0.0011559421615389338
6.0,0.00148801,543.7046449623572,404.65374977219574,404.3600712490827,0.00148801,0.0014722121615389336
7.0,0.00160985,543.7596108098883,406.5129361964059,406.2169718483814,0.00160985,0.0015940521615389336
8.0,0.00204508,543.8145766574194,408.37174678752314,408.0734970766648,0.00162722,0.0016114221615389336
9.0,0.00184886,543.8695425049505,410.23018165949486,409.92964704774045,0.00162722,0.0016114221615389336
10.0,0.00162722,543.9245083524816,412.08824092622746,411.7854218753745,0.00162722,0.0016114221615389336
11.0,0.00151355,543.9794742000128,413.9459247015816,413.6408216732877,0.00151355,0.0014977521615389337
12.0,0.00137109,544.0344400475439,415.8032330993616,415.49584655514445,0.00137109,0.0013552921615389336
13.0,0.000853055,544.089405895075,417.66016623333724,417.35049663457465,0.000853055,0.0008372571615389337
14.0,0.000163749,544.144371742606,419.5167242172283,419.2047720251582,0.000853055,0.0008372571615389337
15.0,0.000495149,544.1993375901371,421.37290716470676,421.0586728404275,0.000853055,0.0008372571615389337
16.0,0.00101941,544.2543034376682,423.2287151894059,422.9121991938759,0.00101941,0.0010036121615389338
17.0,0.00180925,544.3092692851993,425.0841484049043,424.7653511989425,0.00101941,0.0010036121615389338
18.0,0.00131528,544.3642351327304,426.9392069247376,426.6181289690233,0.00101941,0.0010036121615389338
19.0,0.000844495,544.4192009802615,428.793890862398,428.4705326174709,0.000844495,0.0008286971615389337
20.0,5.58559e-05,544.4741668277926,430.6482003313297,430.3225622575901,0.000358933,0.00034313516153893365
21.0,0.000358933,544.5291326753237,432.5021354449317,432.1742180026405,6.43931e-05,4.859530086986925e-05
22.0,6.43931e-05,544.5840985228548,434.3556963165573,434.025499965836,5.58559e-05,4.005814020080481e-05
23.0,0.0,544.6390643703859,436.20888305951223,435.87640826034294,6.43931e-05,4.859542744775668e-05
24.0,0.0,544.694030217917,438.0616957870586,437.72694299928435,6.43931e-05,4.859549960823357e-05
25.0,0.000254673,544.7489960654481,439.9141346124154,439.57710429573984,0.000254673,0.00023887545668230506
26.0,0.000749595,544.8039619129792,441.7661996487495,441.4268922627372,0.000749595,0.0007337975137563765
27.0,0.00116473,544.8589277605103,443.6178910091843,443.27630701326086,0.000749595,0.0007337975708304479
28.0,0.000850324,544.9138936080413,445.46920880680216,445.125348660254,0.000850324,0.0008345266279045193
29.0,0.000721958,544.9688594555724,447.3201531546354,446.9740173166101,0.00106621,0.0010504126849785907
30.0,0.00106621,545.0238253031035,449.1707241656689,448.822313095175,0.00106621,0.0010504127420526623
31.0,0.00108998,545.0787911506346,451.02092195284814,450.6702361087554,0.00106621,0.0010504127991267337
32.0,0.00111016,545.1337569981658,452.8707466290713,452.51778647011065,0.00106621,0.001050412856200805
33.0,0.000126896,545.1887228456969,454.72019830718193,454.36496429194557,0.00108998,0.0010741829132748766
34.0,0.000920933,545.243688693228,456.5692770999914,456.21176968693277,0.00111016,0.001094362970348948
35.0,0.00120454,545.2986545407591,458.4179831202567,458.0582027676907,0.000920933,0.0009051360274230195
36.0,0.00136351,545.3536203882902,460.26631648069576,459.9042636467987,0.00120454,0.001188743084497091
37.0,0.000842272,545.4085862358213,462.1142772939747,461.74995243678427,0.0012222,0.0012064031415711623
38.0,0.0012222,545.4635520833524,463.9618656727181,463.59526925013364,0.00135244,0.0013366431986452337
39.0,0.00135244,545.5185179308835,465.80908172950313,465.44021419928555,0.00124503,0.0012292332557193053
40.0,0.00160244,545.5734837784146,467.65592557686557,467.2847873966373,0.00124503,0.0012292333127933769
41.0,0.00124503,545.6284496259457,469.5023973272914,469.12898895453674,0.00124503,0.0012292333698674482
42.0,0.000376365,545.6834154734768,471.3484970932211,470.9728189852859,0.000376365,0.0003605684269415196
43.0,3.57132e-05,545.7383813210079,473.1942249870539,472.81627760114606,3.57132e-05,1.991668401559108e-05
44.0,9.37872e-06,545.793347168539,475.0395811211434,474.6593649143325,3.57132e-05,1.9916760450137827e-05
45.0,0.0,545.84831301607,476.8845656077914,476.5020810370091,3.57132e-05,1.9916830727266836e-05
46.0,0.000215636,545.9032788636011,478.7291785592605,478.3444260813003,0.000215636,0.00019983968591916773
47.0,0.000930295,545.9582447111322,480.5734200877677,480.18640015928514,0.000930295,0.0009144987411110687
48.0,0.00186404,546.0132105586633,482.4172903054847,482.0280033829975,0.00171847,0.0017026737963029696
49.0,0.00171847,546.0681764061944,484.2607893245352,483.86923586442316,0.00171847,0.0017026738514948703
50.0,0.00181203,546.1231422537255,486.103917257002,485.7100977155072,0.00171847,0.0017026739066867713
51.0,0.000676118,546.1781081012566,487.9466742149156,487.5505890481422,0.00067743,0.0006616339618786723
