Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.785195,543.3748498771706,393.4907323449371,393.2107784827781,0.784323,-0.003910272789449332
1.0,0.78523,543.4298157247017,395.35217616324746,395.0699337007653,0.784509,-0.003724275772800767
2.0,0.784323,543.4847815722328,397.2132434637934,396.9287128639076,0.784509,-0.0037242817052801636
3.0,0.784509,543.5397474197639,399.07393436080423,398.7871160862939,0.784509,-0.003724291472792074
4.0,0.784194,543.594713267295,400.9342489684595,400.64514348196326,0.784509,-0.003724304893852115
5.0,0.784836,543.6496791148261,402.7941874008931,402.50279516490946,0.784836,-0.0033973222757872623
6.0,0.785312,543.7046449623572,404.65374977219574,404.3600712490827,0.785312,-0.0029213429919986433
7.0,0.785736,543.7596108098883,406.5129361964059,406.2169718483814,0.78544,-0.0027933665772021943
8.0,0.78618,543.8145766574194,408.37174678752314,408.0734970766648,0.785607,-0.0026263926164379336
9.0,0.78544,543.8695425049505,410.23018165949486,409.92964704774045,0.785607,-0.0026264206746580143
10.0,0.785607,543.9245083524816,412.08824092622746,411.7854218753745,0.78544,-0.0027934514767182783
11.0,0.785,543.9794742000128,413.9459247015816,413.6408216732877,0.785,-0.003233484859200164
12.0,0.78497,544.0344400475439,415.8032330993616,415.49584655514445,0.78497,-0.0032635214158684978
13.0,0.7849,544.089405895075,417.66016623333724,417.35049663457465,0.7849,-0.0033335611760769712
14.0,0.784455,544.144371742606,419.5167242172283,419.2047720251582,0.784455,-0.003778604208265146
15.0,0.784237,544.1993375901371,421.37290716470676,421.0586728404275,0.784455,-0.003778650947002693
16.0,0.784367,544.2543034376682,423.2287151894059,422.9121991938759,0.784455,-0.003778701605011592
17.0,0.785254,544.3092692851993,425.0841484049043,424.7653511989425,0.7847,-0.0035337560555299685
18.0,0.7847,544.3642351327304,426.9392069247376,426.6181289690233,0.7847,-0.003533813432168076
19.0,0.784813,544.4192009802615,428.793890862398,428.4705326174709,0.7847,-0.0035338742763875164
20.0,0.783584,544.4741668277926,430.6482003313297,430.3225622575901,0.783985,-0.004248938477881992
21.0,0.783985,544.5291326753237,432.5021354449317,432.1742180026405,0.783855,-0.004379007235219223
22.0,0.783855,544.5840985228548,434.3556963165573,434.025499965836,0.783712,-0.004522080157857378
23.0,0.783712,544.6390643703859,436.20888305951223,435.87640826034294,0.783761,-0.0044731573725438345
24.0,0.783401,544.694030217917,438.0616957870586,437.72694299928435,0.783761,-0.004473239018646269
25.0,0.783761,544.7489960654481,439.9141346124154,439.57710429573984,0.783761,-0.0044733253989927
26.0,0.784858,544.8039619129792,441.7661996487495,441.4268922627372,0.784849,-0.003385416163191879
27.0,0.785327,544.8589277605103,443.6178910091843,443.27630701326086,0.784849,-0.003385510241228018
28.0,0.784849,544.9138936080413,445.46920880680216,445.125348660254,0.784858,-0.0033766071747111104
29.0,0.784521,544.9688594555724,447.3201531546354,446.9740173166101,0.785045,-0.003189707431007549
30.0,0.785045,545.0238253031035,449.1707241656689,448.822313095175,0.785045,-0.003189811330499892
31.0,0.785301,545.0787911506346,451.02092195284814,450.6702361087554,0.785045,-0.003189918361475197
32.0,0.785313,545.1337569981658,452.8707466290713,452.51778647011065,0.785301,-0.00293402827372391
33.0,0.784172,545.1887228456969,454.72019830718193,454.36496429194557,0.785301,-0.0029341410556146252
34.0,0.785377,545.243688693228,456.5692770999914,456.21176968693277,0.785313,-0.002922257821593499
35.0,0.784924,545.2986545407591,458.4179831202567,458.0582027676907,0.784924,-0.003311377394829118
36.0,0.785429,545.3536203882902,460.26631648069576,459.9042636467987,0.785259,-0.002976500218343947
37.0,0.784881,545.4085862358213,462.1142772939747,461.74995243678427,0.785248,-0.0029876257984732257
38.0,0.785259,545.4635520833524,463.9618656727181,463.59526925013364,0.785259,-0.0029767546711344517
39.0,0.785248,545.5185179308835,465.80908172950313,465.44021419928555,0.785248,-0.0029878864669562466
40.0,0.785456,545.5734837784146,467.65592557686557,467.2847873966373,0.785248,-0.0029880211968236203
41.0,0.785012,545.6284496259457,469.5023973272914,469.12898895453674,0.785012,-0.0032241586573896752
42.0,0.784608,545.6834154734768,471.3484970932211,470.9728189852859,0.784608,-0.0036282992829922422
43.0,0.784251,545.7383813210079,473.1942249870539,472.81627760114606,0.7843,-0.003936443468395501
44.0,0.7843,545.793347168539,475.0395811211434,474.6593649143325,0.784251,-0.003985591562094215
45.0,0.783957,545.84831301607,476.8845656077914,476.5020810370091,0.784251,-0.003985743516437101
46.0,0.784015,545.9032788636011,478.7291785592605,478.3444260813003,0.7843,-0.003936899665988758
47.0,0.784405,545.9582447111322,480.5734200877677,480.18640015928514,0.784405,-0.003832059954371747
48.0,0.785428,546.0132105586633,482.4172903054847,482.0280033829975,0.785245,-0.0029922240014127466
49.0,0.785245,546.0681764061944,484.2607893245352,483.86923586442316,0.785245,-0.0029923908077132966
50.0,0.785425,546.1231422537255,486.103917257002,485.7100977155072,0.785245,-0.002992560552446344
51.0,0.78479,546.1781081012566,487.9466742149156,487.5505890481422,0.785048,-0.0031897330596999396
52.0,0.785048,546.2330739487877,489.78906031027196,489.39070997418656,0.784983,-0.0032549089504101403
53.0,0.784443,546.2880397963188,491.6310756550128,491.2304606054444,0.784983,-0.00325508797265861
54.0,0.784983,546.34300564385,493.4727203610451,493.069841053685,0.785048,-0.0031902707174732425
55.0,0.785133,546.3979714913811,495.31399454021306,494.9088514306152,0.785129,-0.0031094566577021254
56.0,0.785775,546.4529373389122,497.1548983043325,496.7474918479132,0.785129,-0.0031096456469067446
57.0,0.785129,546.5079031864433,498.9954317651674,498.5857624172056,0.785129,-0.0031098370570660228
58.0,0.783916,546.5628690339744,500.8355950344382,500.42366325007555,0.784381,-0.0038580315204785887
59.0,0.783823,546.6178348815055,502.67538822382,502.2611944580608,0.784381,-0.0038582302212423203
60.0,0.784381,546.6728007290366,504.5148114449444,504.09835615265575,0.784381,-0.0038584332501548912
61.0,0.784816,546.7277665765677,506.35386480939746,505.93514844530915,0.784816,-0.003423640063419997
