Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.0013859,543.3748498771706,393.4907323449371,393.2107784827781,0.000518198,0.00045381309316177545
1.0,0.00142609,543.4298157247017,395.35217616324746,395.0699337007653,0.000704267,0.0006398820931617754
2.0,0.000518198,543.4847815722328,397.2132434637934,396.9287128639076,0.000704267,0.0006398820931617754
3.0,0.000704267,543.5397474197639,399.07393436080423,398.7871160862939,0.000704267,0.0006398820931617754
4.0,0.000388304,543.594713267295,400.9342489684595,400.64514348196326,0.000704267,0.0006398820931617754
5.0,0.0010303,543.6496791148261,402.7941874008931,402.50279516490946,0.0010303,0.0009659150931617755
6.0,0.00150533,543.7046449623572,404.65374977219574,404.3600712490827,0.00150533,0.0014409450931617755
7.0,0.0019291,543.7596108098883,406.5129361964059,406.2169718483814,0.00163242,0.0015680350931617756
8.0,0.00237238,543.8145766574194,408.37174678752314,408.0734970766648,0.00179846,0.0017340750931617755
9.0,0.00163242,543.8695425049505,410.23018165949486,409.92964704774045,0.00179846,0.0017340750931617755
10.0,0.00179846,543.9245083524816,412.08824092622746,411.7854218753745,0.00163242,0.0015680350931617756
11.0,0.00119107,543.9794742000128,413.9459247015816,413.6408216732877,0.00119107,0.0011266850931617755
12.0,0.00115963,544.0344400475439,415.8032330993616,415.49584655514445,0.00115963,0.0010952450931617755
13.0,0.00108915,544.089405895075,417.66016623333724,417.35049663457465,0.00108915,0.0010247650931617756
14.0,0.000642074,544.144371742606,419.5167242172283,419.2047720251582,0.000642074,0.0005776890931617754
15.0,0.000422135,544.1993375901371,421.37290716470676,421.0586728404275,0.000642074,0.0005776890931617754
16.0,0.000550643,544.2543034376682,423.2287151894059,422.9121991938759,0.000642074,0.0005776890931617754
17.0,0.00143604,544.3092692851993,425.0841484049043,424.7653511989425,0.000879875,0.0008154900931617755
18.0,0.000879875,544.3642351327304,426.9392069247376,426.6181289690233,0.000879875,0.0008154900931617755
19.0,0.000989838,544.4192009802615,428.793890862398,428.4705326174709,0.000879875,0.0008154900931617755
20.0,0.0,544.4741668277926,430.6482003313297,430.3225622575901,0.000200809,0.00013642409316177547
21.0,0.000200809,544.5291326753237,432.5021354449317,432.1742180026405,0.000121004,5.661903038225576e-05
22.0,0.000121004,544.5840985228548,434.3556963165573,434.025499965836,8.33397e-05,1.8954803714692925e-05
23.0,8.33397e-05,544.6390643703859,436.20888305951223,435.87640826034294,0.000121004,5.661923302361239e-05
24.0,0.0,544.694030217917,438.0616957870586,437.72694299928435,0.000121004,5.6619380991800914e-05
25.0,0.000180209,544.7489960654481,439.9141346124154,439.57710429573984,0.000180209,0.00011582446618073095
26.0,0.00100799,544.8039619129792,441.7661996487495,441.4268922627372,0.000992901,0.0009285166666573409
27.0,0.00147164,544.8589277605103,443.6178910091843,443.27630701326086,0.000992901,0.0009285168671339507
28.0,0.000992901,544.9138936080413,445.46920880680216,445.125348660254,0.00100799,0.0009436060676105606
29.0,0.000664529,544.9688594555724,447.3201531546354,446.9740173166101,0.0011869,0.0011225162680871706
30.0,0.0011869,545.0238253031035,449.1707241656689,448.822313095175,0.0011869,0.0011225164685637803
31.0,0.00144345,545.0787911506346,451.02092195284814,450.6702361087554,0.0011869,0.0011225166690403902
32.0,0.00145533,545.1337569981658,452.8707466290713,452.51778647011065,0.00144345,0.001379066869517
33.0,0.000310306,545.1887228456969,454.72019830718193,454.36496429194557,0.00144345,0.00137906706999361
34.0,0.00151201,545.243688693228,456.5692770999914,456.21176968693277,0.00145533,0.0013909472704702196
35.0,0.00105381,545.2986545407591,458.4179831202567,458.0582027676907,0.00105381,0.0009894274709468297
36.0,0.00154658,545.3536203882902,460.26631648069576,459.9042636467987,0.00134738,0.0012829976714234395
37.0,0.000985023,545.4085862358213,462.1142772939747,461.74995243678427,0.00132596,0.0012615778719000494
38.0,0.00134738,545.4635520833524,463.9618656727181,463.59526925013364,0.00134738,0.0012829980723766592
39.0,0.00132596,545.5185179308835,465.80908172950313,465.44021419928555,0.00132596,0.001261578272853269
40.0,0.00153031,545.5734837784146,467.65592557686557,467.2847873966373,0.00132596,0.001261578473329879
41.0,0.00107271,545.6284496259457,469.5023973272914,469.12898895453674,0.00107271,0.0010083286738064886
42.0,0.000658822,545.6834154734768,471.3484970932211,470.9728189852859,0.000658822,0.0005944408742830986
43.0,0.000282659,545.7383813210079,473.1942249870539,472.81627760114606,0.000309049,0.0002446680747597085
44.0,0.000309049,545.793347168539,475.0395811211434,474.6593649143325,0.000282659,0.0002182782752363183
45.0,0.0,545.84831301607,476.8845656077914,476.5020810370091,0.000282659,0.00021827847571292814
46.0,2.8687e-05,545.9032788636011,478.7291785592605,478.3444260813003,0.000309049,0.00024466861341422303
47.0,0.000373433,545.9582447111322,480.5734200877677,480.18640015928514,0.000373433,0.00030905271619773565
48.0,0.00137559,546.0132105586633,482.4172903054847,482.0280033829975,0.00116632,0.0011019398189812482
49.0,0.00116632,546.0681764061944,484.2607893245352,483.86923586442316,0.00116632,0.0011019399217647608
50.0,0.00132009,546.1231422537255,486.103917257002,485.7100977155072,0.00116632,0.0011019400245482734
51.0,0.000658858,546.1781081012566,487.9466742149156,487.5505890481422,0.000899509,0.000835129127331786
52.0,0.000899509,546.2330739487877,489.78906031027196,489.39070997418656,0.000809452,0.0007450722301152985
