,Pixels #,Intensity (a.u.),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.),Wavelength (nm)
0,0.0,0.00537423,0.00537423,-0.007583414312762324,543.3747976405027
1,1.0,0.00618296,0.00618296,-0.0067746918620493314,543.4297634503368
2,2.0,0.00583505,0.00583505,-0.0071226161567806805,543.4847292601709
3,3.0,0.00464485,0.00464485,-0.008312837542817524,543.539695070005
4,4.0,0.00336614,0.00336614,-0.009591577202909396,543.594660879839
5,5.0,0.00567941,0.00567941,-0.007278346407054502,543.6496266896731
6,6.0,0.007776,0.007776,-0.005181802857293931,543.7045924995072
7,7.0,0.00755016,0.00755016,-0.005407694468834306,543.7595583093413
8,8.0,0.0076051,0.0076051,-0.005352811466396726,543.8145241191753
9,9.0,0.00728466,0.00728466,-0.005673313795384558,543.8694899290094
10,10.0,0.00674754,0.00674754,-0.006210501774607691,543.9244557388434
11,11.0,0.00263371,0.00263371,-0.010324405938313214,543.9794215486776
12,12.0,0.00282597,0.00282597,-0.010132230373556338,544.0343873585116
13,13.0,0.00307622,0.00307622,-0.009882074889585746,544.0893531683457
14,14.0,0.00409857,0.00409857,-0.00885982923807499,544.1443189781797
15,15.0,0.00480964,0.00480964,-0.008148872403959822,544.1992847880139
16,16.0,0.00592966,0.00592966,-0.007028973680999339,544.2542505978479
17,17.0,0.00723278,0.00723278,-0.005725981956259943,544.309216407682
18,18.0,0.00530404,0.00530404,-0.007654855934139749,544.364182217516
19,19.0,0.00332036,0.00332036,-0.009638677532299255,544.4191480273502
20,20.0,0.00361028,0.00361028,-0.009348908721271415,544.4741138371842
21,21.0,0.00259098,0.00259098,-0.010368369213338838,544.5290796470183
22,22.0,0.00327153,0.00327153,-0.009687990020574152,544.5840454568523
23,23.0,0.00122377,0.00122377,-0.011735930467579946,544.6390112666865
24,24.0,0.00545357,0.00545357,-0.007506322586666071,544.6939770765206
25,25.0,0.00617075,0.00617075,-0.006789342178419156,544.7489428863546
26,26.0,0.00429084,0.00429084,-0.008669458530175023,544.8039086961887
27,27.0,0.00462043,0.00462043,-0.008340083510235121,544.8588745060227
28,28.0,0.00429389,0.00429389,-0.00866684679140907,544.9138403158569
29,29.0,0.00560311,0.00560311,-0.0073578586982917145,544.9688061256909
30,30.0,0.0069337,0.0069337,-0.006027507930287613,545.023771935525
31,31.0,0.00690318,0.00690318,-0.006058273164781632,545.078737745359
32,32.0,0.00699474,0.00699474,-0.005966964432368623,545.1337035551932
33,33.0,0.00629587,0.00629587,-0.006666091642242206,545.1886693650272
34,34.0,0.00639963,0.00639963,-0.006562595489582299,545.2436351748613
35,35.0,0.00472724,0.00472724,-0.008235255871490339,545.2986009846953
36,36.0,0.00492866,0.00492866,-0.008034114450364031,545.3535667945295
37,37.0,0.00656748,0.00656748,-0.006395581026362128,545.4085326043635
38,38.0,0.00628061,0.00628061,-0.006682743970866931,545.4634984141976
39,39.0,0.00666209,0.00666209,-0.00630156356939053,545.5184642240316
40,40.0,0.00792859,0.00792859,-0.005035369442934187,545.5734300338657
41,41.0,0.00638437,0.00638437,-0.0065799003320805745,545.6283958436998
42,42.0,0.00705882,0.00705882,-0.005905767772995209,545.6833616535339
43,43.0,0.00480659,0.00480659,-0.008158321095328564,545.7383274633679
44,44.0,0.00707713,0.00707713,-0.005888112538185415,545.793293273202
45,45.0,0.00579843,0.00579843,-0.007167149844900661,545.848259083036
46,46.0,0.00487068,0.00487068,-0.008095244287166535,545.9032248928702
47,47.0,0.00559091,0.00559091,-0.007375366787283872,545.9581907027043
48,48.0,0.00720226,0.00720226,-0.00576437662990122,546.0131565125383
49,49.0,0.00758679,0.00758679,-0.005380212213309292,546.0681223223725
