Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.58466,543.3374318193712,392.22333707300726,393.9935546568781,7.58249,-0.09134956832233421
1.0,7.58323,543.3924275939398,394.08605080150153,395.8538693730178,7.58314,-0.09069965668839863
2.0,7.58249,543.4474233685083,395.9483875243036,397.71380756901567,7.58314,-0.09069983482872956
3.0,7.58314,543.502419143077,397.8103473558682,399.57336935917897,7.58249,-0.09135010347207029
4.0,7.58077,543.5574149176456,399.6719304105939,401.43255485775904,7.58232,-0.09152046197873087
5.0,7.58128,543.6124106922141,401.5331368028229,403.2913641789508,7.58232,-0.0915209126821539
6.0,7.58232,543.6674064667827,403.39396664687337,405.14979743692504,7.58232,-0.09152145508078835
7.0,7.58306,543.7224022413513,405.25442005700074,407.0078547457902,7.58306,-0.09078208815138478
8.0,7.58365,543.7773980159199,407.11449714741275,408.8655362196069,7.58351,-0.09033281116601444
9.0,7.58351,543.8323937904885,408.9741980322888,410.7228419724075,7.58351,-0.09033362354446517
10.0,7.58367,543.8873895650571,410.8335228257412,412.5797721181572,7.58351,-0.09033452542538445
11.0,7.58203,543.9423853396257,412.6924716418498,414.4363267707891,7.58256,-0.09128551665211404
12.0,7.58256,543.9973811141942,414.5510445946357,416.29250604417734,7.58203,-0.09181659884028193
13.0,7.58188,544.0523768887629,416.40924179809195,418.14831005216826,7.58188,-0.09196777146918045
14.0,7.58034,544.1073726633315,418.26706336615297,420.0037389085494,7.58188,-0.09196903520939603
15.0,7.58155,544.1623684379,420.1245094127013,421.85879272705677,7.58188,-0.09197039157800546
16.0,7.58314,544.2173642124686,421.9815800515932,423.71347162139995,7.58314,-0.09071183938535032
17.0,7.58441,544.2723599870372,423.83827539662235,425.56777570522604,7.58314,-0.09071337706753457
18.0,7.58369,544.3273557616058,425.69459556153663,427.4217050921364,7.58314,-0.09071500337553484
19.0,7.5823,544.3823515361744,427.5505406600515,429.2752598957001,7.5823,-0.09155671901993845
20.0,7.57992,544.437347310743,429.40611080582397,431.1284402294277,7.58175,-0.09210852537097303
21.0,7.58063,544.4923430853115,431.2613061124653,432.98124620678425,7.58175,-0.09211042477306464
22.0,7.58175,544.5473388598801,433.11612669355225,434.83367794120005,7.58175,-0.09211241652929836
23.0,7.58305,544.6023346344488,434.9705726626029,436.6857355460471,7.58305,-0.09081449953919218
24.0,7.5856,544.6573304090173,436.8246441330921,438.53741913465416,7.58305,-0.09081667252496217
25.0,7.58441,544.7123261835859,438.6783412184598,440.388728820315,7.58441,-0.08945893297764496
26.0,7.58293,544.7673219581545,440.5316640320855,442.23966471626306,7.58441,-0.08946128207141602
27.0,7.58464,544.822317732723,442.38461268730504,444.0902269356883,7.58394,-0.08993372126586863
28.0,7.58328,544.8773135072917,444.23718729742205,445.9404155917484,7.58394,-0.08993624887961182
29.0,7.58394,544.9323092818603,446.08938797567913,447.79023079754006,7.58456,-0.0893188662543114
30.0,7.58456,544.9873050564289,447.94121483528227,449.63967266612354,7.58426,-0.08962157274266946
31.0,7.58508,545.0423008309974,449.7926679893809,451.48874131050246,7.58426,-0.08962436773680871
32.0,7.58426,545.097296605566,451.64374755109856,453.33743684365476,7.58426,-0.08962725072737499
33.0,7.5838,545.1522923801347,453.4944536334915,455.18575937849107,7.5838,-0.0900902225247231
34.0,7.5829,545.2072881547032,455.34478634957907,457.0337090278851,7.58369,-0.09020328358473328
35.0,7.58203,545.2622839292718,457.1947458123439,458.88128590467403,7.5829,-0.09099643479655573
