Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.000575818,543.3374318193712,392.22333707300726,393.9935546568781,0.000286283,0.0002598247236007898
1.0,0.000668415,543.3924275939398,394.08605080150153,395.8538693730178,0.000293386,0.00026692772360078983
2.0,0.000286283,543.4474233685083,395.9483875243036,397.71380756901567,0.000315265,0.0002888067236007898
3.0,0.000293386,543.502419143077,397.8103473558682,399.57336935917897,0.000315265,0.0002888067236007898
4.0,0.000315265,543.5574149176456,399.6719304105939,401.43255485775904,0.000315265,0.0002888067236007898
5.0,0.000949198,543.6124106922141,401.5331368028229,403.2913641789508,0.000949198,0.0009227397236007897
6.0,0.0012619,543.6674064667827,403.39396664687337,405.14979743692504,0.00105495,0.0010284917236007898
7.0,0.00105495,543.7224022413513,405.25442005700074,407.0078547457902,0.00105495,0.0010284917236007898
8.0,0.00153392,543.7773980159199,407.11449714741275,408.8655362196069,0.00105495,0.0010284917236007898
9.0,0.000749304,543.8323937904885,408.9741980322888,410.7228419724075,0.000873038,0.0008465797236007898
10.0,0.000873038,543.8873895650571,410.8335228257412,412.5797721181572,0.000873038,0.0008465797236007898
11.0,0.000710048,543.9423853396257,412.6924716418498,414.4363267707891,0.000749304,0.0007228457236007898
12.0,0.000938953,543.9973811141942,414.5510445946357,416.29250604417734,0.000710048,0.0006835897236007898
13.0,0.000645084,544.0523768887629,416.40924179809195,418.14831005216826,0.000645084,0.0006186257236007898
14.0,0.0,544.1073726633315,418.26706336615297,420.0037389085494,0.000345562,0.0003191037236007898
15.0,0.000135907,544.1623684379,420.1245094127013,421.85879272705677,0.000345562,0.0003191036975225764
16.0,0.000345562,544.2173642124686,421.9815800515932,423.71347162139995,0.000345562,0.0003191037805249295
17.0,0.00095527,544.2723599870372,423.83827539662235,425.56777570522604,0.000523162,0.0004967038635272825
18.0,0.000707964,544.3273557616058,425.69459556153663,427.4217050921364,0.000523162,0.0004967039465296356
19.0,0.000523162,544.3823515361744,427.5505406600515,429.2752598957001,0.000523162,0.0004967040295319887
20.0,0.0,544.437347310743,429.40611080582397,431.1284402294277,0.000230931,0.0002044731125343417
21.0,0.000230931,544.4923430853115,431.2613061124653,432.98124620678425,0.00012178,9.532216945886067e-05
22.0,4.61585e-05,544.5473388598801,433.11612669355225,434.83367794120005,4.61585e-05,1.970072638337963e-05
23.0,0.00012178,544.6023346344488,434.9705726626029,436.6857355460471,0.00012178,9.532230279897518e-05
24.0,0.0,544.6573304090173,436.8246441330921,438.53741913465416,0.00012178,9.53224741067352e-05
25.0,0.00024979,544.7123261835859,438.6783412184598,440.388728820315,0.00024979,0.00022333261933701372
26.0,0.000448538,544.7673219581545,440.5316640320855,442.23966471626306,0.00024979,0.00022333276456729223
27.0,0.000836307,544.822317732723,442.38461268730504,444.0902269356883,0.00024979,0.00022333290979757075
28.0,0.000235999,544.8773135072917,444.23718729742205,445.9404155917484,0.000419671,0.00039321405502784927
29.0,0.000152019,544.9323092818603,446.08938797567913,447.79023079754006,0.000419671,0.00039321420025812775
30.0,0.000419671,544.9873050564289,447.94121483528227,449.63967266612354,0.000419671,0.00039321447079311144
31.0,0.000746117,545.0423008309974,449.7926679893809,451.48874131050246,0.000419671,0.0003932147413280951
32.0,0.00119229,545.097296605566,451.64374755109856,453.33743684365476,0.000746117,0.0007196610118630788
33.0,6.12547e-05,545.1522923801347,453.4944536334915,455.18575937849107,0.000909583,0.0008831272823980626
34.0,0.00121415,545.2072881547032,455.34478634957907,457.0337090278851,0.00108578,0.001059324587404197
35.0,0.000909583,545.2622839292718,457.1947458123439,458.88128590467403,0.000909583,0.0008831278924103319
36.0,0.00108578,545.3172797038404,459.0443321347078,460.72849012163425,0.000909583,0.0008831281974164665
37.0,0.00072019,545.3722754784089,460.8935454295535,462.5753217915031,0.00078035,0.000753895502422601
38.0,0.00078035,545.4272712529776,462.74238580972695,464.42178102698114,0.00078035,0.0007538958074287357
39.0,0.000777552,545.4822670275462,464.59085338801344,466.26786794070847,0.000777552,0.0007510981124348704
40.0,0.000829946,545.5372628021147,466.43894827715906,468.1135826452859,0.000777552,0.0007510984174410051
41.0,0.000196379,545.5922585766833,468.286670589871,469.95892525327554,0.000196379,0.00016992572244713968
42.0,0.0,545.647254351252,470.1340204388022,471.80389587718525,2.12863e-05,-5.166672546725675e-06
43.0,0.0,545.7022501258205,471.9809979365579,473.6484946294751,0.0,-2.6452693613608254e-05
44.0,2.12863e-05,545.7572459003891,473.8276031957108,475.492721622573,0.0,-2.6452440753234247e-05
45.0,0.0,545.8122416749577,475.6738363287795,477.3365769688525,2.12863e-05,-5.165892993657724e-06
46.0,0.000235904,545.8672374495262,477.5196974482324,479.1800607806373,0.000235904,0.00020945202869366767
47.0,0.000986949,545.9222332240948,479.365186666508,481.0231731702209,0.000986949,0.000960497250380993
48.0,0.00182855,545.9772289986635,481.21030409598376,482.86591424983607,0.00102134,0.0009948884720683184
49.0,0.00127385,546.0322247732321,483.05504984899824,484.7082841316768,0.00102134,0.0009948886937556438
50.0,0.00102134,546.0872205478006,484.89942403784437,486.5502829278913,0.00102134,0.0009948889154429692
51.0,7.70647e-05,546.1422163223692,486.7434267747739,488.3919107505868,0.000207798,0.00018134713713029464
52.0,0.000207798,546.1972120969378,488.5870581719889,490.23316771182084,0.000207798,0.00018134740901944887
53.0,0.0,546.2522078715064,490.4303183416413,492.0740539236009,0.000207798,0.0001813476809086031
54.0,0.000362745,546.307203646075,492.2732073958506,493.9145694979021,0.000362745,0.00033629492672735236
55.0,0.00078045,546.3621994206436,494.11572544668,495.75471454664336,0.00078045,0.0007540001725461017
56.0,0.00104273,546.4171951952121,495.9578726061514,497.59448918170216,0.00078045,0.000754000418364851
57.0,0.000935853,546.4721909697807,497.7996489862477,499.43389351491726,0.00078045,0.0007540006641836003
58.0,1.41512e-05,546.5271867443494,499.64105469889546,501.2729276580711,0.000935853,0.0009094039100023496
59.0,0.000460975,546.5821825189179,501.48208985597785,503.11159172290274,0.000935853,0.0009094041436858303
60.0,0.000942473,546.6371782934865,503.3227545693476,504.9498858211208,0.000942473,0.000916024377369311
61.0,0.001393,546.6921740680551,505.1630489507947,506.7878100643714,0.001393,0.0013665516110527916
62.0,0.00162073,546.7471698426236,507.00297311207,508.62536456426136,0.00162073,0.0015942818447362724
63.0,0.00216323,546.8021656171923,508.8425271648853,510.4625494323587,0.00216323,0.002136782078419753
64.0,0.00322818,546.8571613917609,510.6817112209006,512.2993647801794,0.00322818,0.0032017323121032344
65.0,0.00460114,546.9121571663294,512.5205253917278,514.1358107191919,0.00460114,0.004574692545786715
66.0,0.00505712,546.967152940898,514.3589697889487,515.9718873608342,0.00505712,0.005030672779470196
67.0,0.00564554,547.0221487154666,516.1970445240866,517.8075948164858,0.00564554,0.005619093013153676
68.0,0.00629685,547.0771444900352,518.0347497086191,519.6429331974809,0.00629685,0.0062704032468371565
69.0,0.00681085,547.1321402646038,519.8720854539935,521.4779026151232,0.00681085,0.0067844034805206385
70.0,0.00718854,547.1871360391724,521.7090518715943,523.312503180654,0.00718854,0.007162093714204119
71.0,0.00773346,547.242131813741,523.5456490727754,525.1467350052833,0.00759633,0.0075698839478875995
72.0,0.00759633,547.2971275883095,525.3818771688346,526.9805982001658,0.00759633,0.00756988418157108
73.0,0.00763027,547.3521233628782,527.2177362710349,528.8140928764215,0.00759633,0.007569884415254561
74.0,0.00733585,547.4071191374468,529.0532264905917,530.6472191451219,0.00759633,0.007569884648938042
75.0,0.00750272,547.4621149120153,530.8883479386659,532.4799771172852,0.00761015,0.007583704882621523
76.0,0.00761015,547.5171106865839,532.7231007263927,534.3123669039035,0.00761015,0.0075837051163050034
77.0,0.00854245,547.5721064611525,534.5574849648463,536.1443886159077,0.00849996,0.008473515349988485
78.0,0.00849996,547.627102235721,536.3915007650598,537.9760423641883,0.00854245,0.008516005583671965
79.0,0.00946067,547.6820980102897,538.2251482380298,539.8073282595983,0.00946067,0.009434225817355445
80.0,0.00956649,547.7370937848583,540.0584274947001,541.6382464129395,0.00956649,0.009540046051038927
81.0,0.0108167,547.7920895594268,541.8913386459677,543.468796934965,0.0108167,0.010790256284722407
82.0,0.0116301,547.8470853339954,543.7238818026984,545.2989799363986,0.0116301,0.011603656518405888
83.0,0.0116348,547.9020811085641,545.5560570757001,547.1287955279054,0.0116348,0.011608356752089368
84.0,0.0117595,547.9570768831326,547.3878645757368,548.9582438201064,0.0117595,0.011733056985772851
85.0,0.012127,548.0120726577012,549.2193044135405,550.7873249235913,0.012127,0.012100557219456331
86.0,0.0125835,548.0670684322698,551.0503766997864,552.6160389488928,0.0125835,0.01255705745313981
87.0,0.0130928,548.1220642068383,552.8810815451043,554.4443860064978,0.0130021,0.012975657686823292
88.0,0.0132904,548.177059981407,554.7114190600937,556.2723662068638,0.0130928,0.013066357920506772
89.0,0.0130021,548.2320557559756,556.5413893552957,558.0999796603892,0.0130928,0.013066358154190253
90.0,0.0134898,548.2870515305442,558.3709925412119,559.9272264774336,0.0130021,0.012975658387873734
91.0,0.0127599,548.3420473051127,560.2002287282966,561.7541067683089,0.0127599,0.012733458621557213
92.0,0.0124585,548.3970430796813,562.0290980269714,563.5806206432944,0.0124585,0.012432058855240695
93.0,0.0121181,548.45203885425,563.8576005475995,565.4067682126113,0.0121181,0.012091659088924176
94.0,0.0116997,548.5070346288185,565.6857364005007,567.2325495864372,0.0116997,0.011673259322607658
95.0,0.0113597,548.5620304033871,567.5135056959642,569.0579648749194,0.0113597,0.011333259556291138
96.0,0.0103551,548.6170261779557,569.3409085442231,570.883014188149,0.0103551,0.01032865978997462
97.0,0.00988714,548.6720219525242,571.1679450554627,572.7076976361693,0.00988714,0.0098607000236581
98.0,0.00986255,548.7270177270929,572.9946153398402,574.5320153289954,0.00986255,0.009836110257341579
99.0,0.00975401,548.7820135016615,574.8209195074561,576.3559673765867,0.00975401,0.00972757049102506
100.0,0.00913732,548.83700927623,576.6468576683613,578.1795538888516,0.00913732,0.009110880724708541
101.0,0.00839178,548.8920050507986,578.4724299325852,580.0027749756782,0.00839178,0.008365340958392023
102.0,0.00802964,548.9470008253672,580.2976364100896,581.8256307468866,0.00811644,0.008090001192075504
103.0,0.00805684,549.0019965999358,582.1224772108017,583.6481213122624,0.00811644,0.008090001425758985
104.0,0.00811644,549.0569923745044,583.9469524446098,585.4702467815525,0.00811644,0.008090001659442465
105.0,0.00839005,549.111988149073,585.7710622213501,587.2920072644515,0.00811644,0.008090001893125946
106.0,0.00829123,549.1669839236415,587.5948066508112,589.1134028706067,0.00811644,0.008090002126809426
107.0,0.00745235,549.2219796982101,589.4181858427573,590.9344337096409,0.00745235,0.007425912360492906
108.0,0.00612007,549.2769754727788,591.2411999068863,592.7550998911106,0.00612007,0.006093632594176388
109.0,0.0053043,549.3319712473474,593.0638489528628,594.5754015245393,0.0053043,0.005277862827859868
110.0,0.00494041,549.3869670219159,594.886133090302,596.3953387194008,0.00494041,0.004913973061543349
111.0,0.00493195,549.4419627964845,596.7080524287884,598.2149115851387,0.00493195,0.004905513295226829
112.0,0.00465085,549.4969585710531,598.5296070778502,600.0341202311402,0.00469852,0.004672083528910311
113.0,0.00469852,549.5519543456217,600.3507971469681,601.8529647667449,0.00468355,0.004657113762593791
114.0,0.00356323,549.6069501201903,602.1716227455945,603.6714453012642,0.00465085,0.004624413996277272
115.0,0.00468355,549.6619458947589,603.9920839831276,605.4895619439553,0.00444925,0.0044228142299607524
116.0,0.0039381,549.7169416693274,605.8121809689177,607.3073148040278,0.00399576,0.003969324463644234
117.0,0.00444925,549.771937443896,607.631913812287,609.1247039906632,0.00404136,0.004014924697327714
118.0,0.00399576,549.8269332184647,609.4512826224975,610.9417296129825,0.00399576,0.003969324931011195
119.0,0.00404136,549.8819289930332,611.2702875087734,612.7583917800696,0.00399576,0.0039693251646946755
120.0,0.00385488,549.9369247676018,613.0889285803007,614.5746906009695,0.00385488,0.0038284453983781566
121.0,0.00308477,549.9919205421704,614.907205946215,616.3906261846773,0.00308477,0.003058335632061637
122.0,0.0030485,550.0469163167389,616.7251197156066,618.2061986401434,0.00305181,0.003025375865745118
123.0,0.00260068,550.1019120913076,618.5426699975333,620.0214080762842,0.0030485,0.0030220660994285985
124.0,0.00305181,550.1569078658762,620.3598569009963,621.8362546019612,0.00264914,0.0026227063331120794
125.0,0.00251414,550.2119036404447,622.1766805349581,623.6507383259964,0.00260068,0.0025742465667955602
126.0,0.00264914,550.2668994150133,623.9931410083441,625.4648593571746,0.00264914,0.002622706800479041
127.0,0.00250394,550.3218951895819,625.8092384300255,627.2786178042272,0.00264914,0.0026227070341625215
128.0,0.00277536,550.3768909641506,627.6249729088366,629.0920137758483,0.00264914,0.0026227072678460025
129.0,0.00270076,550.4318867387191,629.4403445535643,630.9050473806842,0.00264448,0.002618047501529483
130.0,0.00264448,550.4868825132877,631.255353472956,632.7177187273428,0.00264448,0.002618047735212964
131.0,0.00176142,550.5418782878563,633.0699997757162,634.5300279243884,0.00176142,0.0017349879688964447
132.0,0.000375542,550.5968740624248,634.884283570497,636.3419750803334,0.000375542,0.00034911020257992546
133.0,0.0,550.6518698369935,636.6982049659225,638.1535603036616,0.000375542,0.0003491104362634062
134.0,0.000292058,550.7068656115621,638.5117640705603,639.9647837028008,0.000375542,0.0003491106438949465
135.0,0.00103475,550.7618613861306,640.3249609929327,641.7756453861339,0.00064978,0.0006233488515264868
136.0,0.000713658,550.8168571606992,642.1377958415355,643.5861454620165,0.00064978,0.0006233490591580271
137.0,0.00064978,550.8718529352678,643.9502687248066,645.3962840387474,0.000713658,0.0006872272667895675
138.0,0.000473133,550.9268487098363,645.7623797511401,647.2060612245805,0.000713658,0.0006872274744211078
139.0,0.00127119,550.981844484405,647.5741290288976,649.0154771277382,0.00109532,0.0010688896820526483
140.0,0.00109532,551.0368402589736,649.3855166663908,650.8245318563927,0.00109532,0.0010688898896841885
141.0,0.00122639,551.0918360335421,651.1965427718818,652.6332255186664,0.00109532,0.0010688900973157287
142.0,0.000437247,551.1468318081107,653.0072074536043,654.4415582226541,0.000926724,0.000900294304947269
143.0,0.000926724,551.2018275826794,654.8175108197357,656.2495300763935,0.000926724,0.0009002945125788093
144.0,0.000743481,551.2568233572479,656.6274529784164,658.0571411878857,0.000743481,0.0007170517202103496
145.0,0.00111335,551.3118191318165,658.4370340377435,659.8643916650888,0.000743481,0.0007170519278418899
146.0,0.000179986,551.3668149063851,660.2462541057708,661.6712816159172,0.000486222,0.0004597931354734302
147.0,0.000486222,551.4218106809537,662.0551132905067,663.4778111482403,0.000360266,0.0003338373431049705
148.0,0.0,551.4768064555223,663.8636116999136,665.2839803698814,0.000360266,0.0003338375507365108
149.0,0.000360266,551.5318022300909,665.6717494419239,667.0897893886342,0.000486222,0.0004597937323191617
150.0,0.000554828,551.5867980046595,667.4795266244137,668.8952383122355,0.000360266,0.0003338379139018125
