Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.783953,543.3374318193712,392.22333707300726,393.9935546568781,0.783132,-0.008379098421665843
1.0,0.783892,543.3924275939398,394.08605080150153,395.8538693730178,0.783497,-0.008014105896034573
2.0,0.783132,543.4474233685083,395.9483875243036,397.71380756901567,0.783497,-0.008014120904691335
3.0,0.783497,543.502419143077,397.8103473558682,399.57336935917897,0.783497,-0.008014144193545736
4.0,0.783473,543.5574149176456,399.6719304105939,401.43255485775904,0.783497,-0.008014175404522095
5.0,0.783894,543.6124106922141,401.5331368028229,403.2913641789508,0.783894,-0.007617214561204344
6.0,0.783954,543.6674064667827,403.39396664687337,405.14979743692504,0.783954,-0.007557261250316638
7.0,0.784311,543.7224022413513,405.25442005700074,407.0078547457902,0.784311,-0.007200315412974723
8.0,0.784717,543.7773980159199,407.11449714741275,408.8655362196069,0.784313,-0.0071983766984657915
9.0,0.784315,543.8323937904885,408.9741980322888,410.7228419724075,0.784313,-0.007198444707666063
10.0,0.784313,543.8873895650571,410.8335228257412,412.5797721181572,0.784313,-0.007198519835894479
11.0,0.783658,543.9423853396257,412.6924716418498,414.4363267707891,0.783658,-0.007853602085190259
12.0,0.783492,543.9973811141942,414.5510445946357,416.29250604417734,0.783492,-0.008019692099024867
13.0,0.78299,544.0523768887629,416.40924179809195,418.14831005216826,0.783241,-0.008270790040423748
14.0,0.782899,544.1073726633315,418.26706336615297,420.0037389085494,0.783241,-0.008270896401924688
15.0,0.783241,544.1623684379,420.1245094127013,421.85879272705677,0.783241,-0.008271011272851236
16.0,0.783319,544.2173642124686,421.9815800515932,423.71347162139995,0.783319,-0.00819313431793034
17.0,0.784107,544.2723599870372,423.83827539662235,425.56777570522604,0.783523,-0.007989265460762063
18.0,0.78356,544.3273557616058,425.69459556153663,427.4217050921364,0.783523,-0.007989403927821326
19.0,0.783523,544.3823515361744,427.5505406600515,429.2752598957001,0.783523,-0.00798955025640058
