Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.787492,543.3374318193712,392.22333707300726,393.9935546568781,0.786362,-0.004505918889118998
1.0,0.787257,543.3924275939398,394.08605080150153,395.8538693730178,0.786362,-0.004505922232658333
2.0,0.786362,543.4474233685083,395.9483875243036,397.71380756901567,0.786362,-0.004505929152158306
3.0,0.786239,543.502419143077,397.8103473558682,399.57336935917897,0.786362,-0.00450594053240172
4.0,0.786312,543.5574149176456,399.6719304105939,401.43255485775904,0.786362,-0.004505956494946117
5.0,0.786674,543.6124106922141,401.5331368028229,403.2913641789508,0.786674,-0.00419397696767132
6.0,0.786992,543.6674064667827,403.39396664687337,405.14979743692504,0.786992,-0.003876001592821088
7.0,0.787126,543.7224022413513,405.25442005700074,407.0078547457902,0.787126,-0.0037420300560466746
8.0,0.787629,543.7773980159199,407.11449714741275,408.8655362196069,0.787211,-0.003657062224880936
9.0,0.787211,543.8323937904885,408.9741980322888,410.7228419724075,0.787211,-0.003657097601880932
10.0,0.787241,543.8873895650571,410.8335228257412,412.5797721181572,0.787211,-0.0036571366005032635
11.0,0.786462,543.9423853396257,412.6924716418498,414.4363267707891,0.786683,-0.00418517919111927
12.0,0.786683,543.9973811141942,414.5510445946357,416.29250604417734,0.786462,-0.004406226143896519
13.0,0.786442,544.0523768887629,416.40924179809195,418.14831005216826,0.786442,-0.004426277240446308
14.0,0.786096,544.1073726633315,418.26706336615297,420.0037389085494,0.786143,-0.004725332719019315
15.0,0.786003,544.1623684379,420.1245094127013,421.85879272705677,0.786143,-0.004725392921572591
16.0,0.786143,544.2173642124686,421.9815800515932,423.71347162139995,0.786143,-0.004725457940047972
17.0,0.786961,544.2723599870372,423.83827539662235,425.56777570522604,0.786366,-0.004502527636188192
18.0,0.786719,544.3273557616058,425.69459556153663,427.4217050921364,0.786366,-0.004502601201569756
19.0,0.786366,544.3823515361744,427.5505406600515,429.2752598957001,0.786366,-0.004502678875505706
20.0,0.785523,544.437347310743,429.40611080582397,431.1284402294277,0.785821,-0.005047761006966134
21.0,0.785821,544.4923430853115,431.2613061124653,432.98124620678425,0.785523,-0.005345848428836342
22.0,0.785392,544.5473388598801,433.11612669355225,434.83367794120005,0.785392,-0.005476940846868339
23.0,0.784886,544.6023346344488,434.9705726626029,436.6857355460471,0.785382,-0.00548703868485223
24.0,0.785132,544.6573304090173,436.8246441330921,438.53741913465416,0.785382,-0.005487142442449411
25.0,0.785382,544.7123261835859,438.6783412184598,440.388728820315,0.785382,-0.005487251876913901
26.0,0.78618,544.7673219581545,440.5316640320855,442.23966471626306,0.78618,-0.0046893667415091045
27.0,0.786467,544.822317732723,442.38461268730504,444.0902269356883,0.78618,-0.004689486248099839
28.0,0.786271,544.8773135072917,444.23718729742205,445.9404155917484,0.786271,-0.0045986101131907375
29.0,0.786084,544.9323092818603,446.08938797567913,447.79023079754006,0.786467,-0.004402738530596584
30.0,0.786803,544.9873050564289,447.94121483528227,449.63967266612354,0.786803,-0.004066871685214912
31.0,0.786961,545.0423008309974,449.7926679893809,451.48874131050246,0.786803,-0.004067008866596611
32.0,0.787128,545.097296605566,451.64374755109856,453.33743684365476,0.786803,-0.004067149918673074
33.0,0.785603,545.1522923801347,453.4944536334915,455.18575937849107,0.786435,-0.004435294676461199
34.0,0.786435,545.2072881547032,455.34478634957907,457.0337090278851,0.786435,-0.004435444647149622
35.0,0.786312,545.2622839292718,457.1947458123439,458.88128590467403,0.786312,-0.004558599008902986
36.0,0.787009,545.3172797038404,459.0443321347078,460.72849012163425,0.786435,-0.0044357578834250955
37.0,0.786271,545.3722754784089,460.8935454295535,462.5753217915031,0.786879,-0.003991920581919217
38.0,0.786879,545.4272712529776,462.74238580972695,464.42178102698114,0.786879,-0.00399208783401217
39.0,0.786933,545.4822670275462,464.59085338801344,466.26786794070847,0.786726,-0.004145259038928373
40.0,0.786726,545.5372628021147,466.43894827715906,468.1135826452859,0.786726,-0.004145434143449367
41.0,0.786021,545.5922585766833,468.286670589871,469.95892525327554,0.786021,-0.004850613352383459
42.0,0.785409,545.647254351252,470.1340204388022,471.80389587718525,0.785817,-0.0050547973626084985
43.0,0.785587,545.7022501258205,471.9809979365579,473.6484946294751,0.785817,-0.005054986778789905
44.0,0.785817,545.7572459003891,473.8276031957108,475.492721622573,0.785817,-0.005055181425328348
45.0,0.785879,545.8122416749577,475.6738363287795,477.3365769688525,0.785879,-0.0049933810752408325
46.0,0.786137,545.8672374495262,477.5196974482324,479.1800607806373,0.786137,-0.004735585667477671
47.0,0.786915,545.9222332240948,479.365186666508,481.0231731702209,0.786915,-0.003957794947349158
48.0,0.787574,545.9772289986635,481.21030409598376,482.86591424983607,0.786915,-0.0039580081461282335
49.0,0.787126,546.0322247732321,483.05504984899824,484.7082841316768,0.786915,-0.003958224612339856
50.0,0.786593,546.0872205478006,484.89942403784437,486.5502829278913,0.786593,-0.0042804447892597075
51.0,0.785982,546.1422163223692,486.7434267747739,488.3919107505868,0.786002,-0.0048716692040277065
