Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.813599,543.3374318193712,392.22333707300726,393.9935546568781,0.81285,-0.0060065240066973224
1.0,0.813378,543.3924275939398,394.08605080150153,395.8538693730178,0.812945,-0.005911528973331803
2.0,0.81285,543.4474233685083,395.9483875243036,397.71380756901567,0.812945,-0.005911539113536035
3.0,0.812945,543.502419143077,397.8103473558682,399.57336935917897,0.812945,-0.005911554921106732
4.0,0.812864,543.5574149176456,399.6719304105939,401.43255485775904,0.812945,-0.005911576307275679
5.0,0.813645,543.6124106922141,401.5331368028229,403.2913641789508,0.813582,-0.005274603347762086
6.0,0.813582,543.6674064667827,403.39396664687337,405.14979743692504,0.813645,-0.005211635311863749
7.0,0.813946,543.7224022413513,405.25442005700074,407.0078547457902,0.813946,-0.004910672258622184
8.0,0.81422,543.7773980159199,407.11449714741275,408.8655362196069,0.814075,-0.004781713846940039
9.0,0.814075,543.8323937904885,408.9741980322888,410.7228419724075,0.814075,-0.004781759819804665
10.0,0.81412,543.8873895650571,410.8335228257412,412.5797721181572,0.814075,-0.004781810313315704
11.0,0.813863,543.9423853396257,412.6924716418498,414.4363267707891,0.813863,-0.004993865285300325
12.0,0.813229,543.9973811141942,414.5510445946357,416.29250604417734,0.813229,-0.005627924976837284
13.0,0.813046,544.0523768887629,416.40924179809195,418.14831005216826,0.813046,-0.005810989981725911
14.0,0.812642,544.1073726633315,418.26706336615297,420.0037389085494,0.812819,-0.006038060471178275
15.0,0.812819,544.1623684379,420.1245094127013,421.85879272705677,0.812819,-0.006038136822746454
16.0,0.8128,544.2173642124686,421.9815800515932,423.71347162139995,0.812819,-0.006038218871172951
17.0,0.813575,544.2723599870372,423.83827539662235,425.56777570522604,0.812958,-0.005899306634281176
18.0,0.813441,544.3273557616058,425.69459556153663,427.4217050921364,0.812958,-0.005899399387199966
19.0,0.812958,544.3823515361744,427.5505406600515,429.2752598957001,0.812958,-0.005899497255487773
20.0,0.811807,544.437347310743,429.40611080582397,431.1284402294277,0.812008,-0.006849600691054669
21.0,0.812008,544.4923430853115,431.2613061124653,432.98124620678425,0.811807,-0.007050710767852575
22.0,0.811671,544.5473388598801,433.11612669355225,434.83367794120005,0.811671,-0.007186827298736542
23.0,0.811659,544.6023346344488,434.9705726626029,436.6857355460471,0.811671,-0.007186950597669606
24.0,0.811669,544.6573304090173,436.8246441330921,438.53741913465416,0.811671,-0.007187080675928659
25.0,0.811842,544.7123261835859,438.6783412184598,440.388728820315,0.811842,-0.007016217524319024
26.0,0.812301,544.7673219581545,440.5316640320855,442.23966471626306,0.812301,-0.006557360981883087
27.0,0.812871,544.822317732723,442.38461268730504,444.0902269356883,0.812378,-0.006480510620943458
28.0,0.812588,544.8773135072917,444.23718729742205,445.9404155917484,0.812588,-0.00627066590948866
29.0,0.812378,544.9323092818603,446.08938797567913,447.79023079754006,0.812871,-0.0059878271119828685
30.0,0.813124,544.9873050564289,447.94121483528227,449.63967266612354,0.812981,-0.005877994424555277
31.0,0.812981,545.0423008309974,449.7926679893809,451.48874131050246,0.812981,-0.005878167150530689
32.0,0.81334,545.097296605566,451.64374755109856,453.33743684365476,0.812981,-0.005878345423765974
33.0,0.811908,545.1522923801347,453.4944536334915,455.18575937849107,0.812626,-0.006233528908641928
34.0,0.812626,545.2072881547032,455.34478634957907,457.0337090278851,0.812522,-0.006337718942364456
35.0,0.812253,545.2622839292718,457.1947458123439,458.88128590467403,0.812476,-0.006383914855487838
36.0,0.812522,545.3172797038404,459.0443321347078,460.72849012163425,0.812522,-0.006338116996241316
37.0,0.812476,545.3722754784089,460.8935454295535,462.5753217915031,0.812522,-0.006338325113834364
38.0,0.812979,545.4272712529776,462.74238580972695,464.42178102698114,0.812979,-0.005881539251382573
39.0,0.813062,545.4822670275462,464.59085338801344,466.26786794070847,0.812979,-0.005881758939277892
40.0,0.813247,545.5372628021147,466.43894827715906,468.1135826452859,0.812979,-0.005881984100120863
41.0,0.81234,545.5922585766833,468.286670589871,469.95892525327554,0.81234,-0.006521214561085342
42.0,0.811699,545.647254351252,470.1340204388022,471.80389587718525,0.812169,-0.0066924511696799804
43.0,0.811395,545.7022501258205,471.9809979365579,473.6484946294751,0.812169,-0.006692694523423692
44.0,0.812169,545.7572459003891,473.8276031957108,475.492721622573,0.812169,-0.006692944905374754
45.0,0.812588,545.8122416749577,475.6738363287795,477.3365769688525,0.812588,-0.0062742015950649765
46.0,0.81293,545.8672374495262,477.5196974482324,479.1800607806373,0.81293,-0.005932464201827581
47.0,0.813381,545.9222332240948,479.365186666508,481.0231731702209,0.813381,-0.005481732406445006
48.0,0.814567,545.9772289986635,481.21030409598376,482.86591424983607,0.813782,-0.005081005787352488
49.0,0.814146,546.0322247732321,483.05504984899824,484.7082841316768,0.813782,-0.005081283232636902
50.0,0.813782,546.0872205478006,484.89942403784437,486.5502829278913,0.813782,-0.005081565137824207
51.0,0.812895,546.1422163223692,486.7434267747739,488.3919107505868,0.813336,-0.00552785184449156
52.0,0.813336,546.1972120969378,488.5870581719889,490.23316771182084,0.813336,-0.005528144182952888
53.0,0.813226,546.2522078715064,490.4303183416413,492.0740539236009,0.813336,-0.005528441741077583
54.0,0.814108,546.307203646075,492.2732073958506,493.9145694979021,0.814108,-0.004756744622049225
55.0,0.814318,546.3621994206436,494.11572544668,495.75471454664336,0.814318,-0.0045470519998908054
56.0,0.815096,546.4171951952121,495.9578726061514,497.59448918170216,0.815096,-0.0037693636778060036
57.0,0.815586,546.4721909697807,497.7996489862477,499.43389351491726,0.815155,-0.0037106789248058103
58.0,0.815155,546.5271867443494,499.64105469889546,501.2729276580711,0.815586,-0.0032799972796653254
59.0,0.816212,546.5821825189179,501.48208985597785,503.11159172290274,0.816212,-0.0026543191486551043
60.0,0.818018,546.6371782934865,503.3227545693476,504.9498858211208,0.818018,-0.0008486435354275734
61.0,0.819694,546.6921740680551,505.1630489507947,506.7878100643714,0.819694,0.000827031270468126
62.0,0.820764,546.7471698426236,507.00297311207,508.62536456426136,0.820764,0.0018967068652593344
63.0,0.822428,546.8021656171923,508.8425271648853,510.4625494323587,0.822428,0.0035603842724113433
64.0,0.824861,546.8571613917609,510.6817112209006,512.2993647801794,0.824861,0.005993065090735494
65.0,0.827097,546.9121571663294,512.5205253917278,514.1358107191919,0.827097,0.008228751673484469
66.0,0.828446,546.967152940898,514.3589697889487,515.9718873608342,0.828446,0.009577446199576234
67.0,0.830135,547.0221487154666,516.1970445240866,517.8075948164858,0.830135,0.01126614999100084
68.0,0.831704,547.0771444900352,518.0347497086191,519.6429331974809,0.831704,0.012834864711077754
69.0,0.833189,547.1321402646038,519.8720854539935,521.4779026151232,0.833189,0.014319591912982155
70.0,0.834739,547.1871360391724,521.7090518715943,523.312503180654,0.834739,0.015869333073895153
