Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.000351558,543.3374318193712,392.22333707300726,393.9935546568781,1.38997e-05,1.047047658602549e-05
1.0,0.00053605,543.3924275939398,394.08605080150153,395.8538693730178,0.000351558,0.00034812877658602553
2.0,1.38997e-05,543.4474233685083,395.9483875243036,397.71380756901567,0.000351558,0.00034812877658602553
3.0,0.000486605,543.502419143077,397.8103473558682,399.57336935917897,0.000486605,0.0004831757869190644
4.0,8.50987e-05,543.5574149176456,399.6719304105939,401.43255485775904,0.000486605,0.00048317579725210333
5.0,0.000624571,543.6124106922141,401.5331368028229,403.2913641789508,0.000624571,0.0006211418075851423
6.0,0.000883655,543.6674064667827,403.39396664687337,405.14979743692504,0.000883655,0.0008802258179181812
7.0,0.00116077,543.7224022413513,405.25442005700074,407.0078547457902,0.00116077,0.0011573408282512202
8.0,0.00165909,543.7773980159199,407.11449714741275,408.8655362196069,0.00127938,0.0012759508385842592
9.0,0.00127938,543.8323937904885,408.9741980322888,410.7228419724075,0.00127938,0.001275950848917298
10.0,0.00144527,543.8873895650571,410.8335228257412,412.5797721181572,0.00127938,0.001275950859250337
11.0,0.00105441,543.9423853396257,412.6924716418498,414.4363267707891,0.00105441,0.0010509808695833758
12.0,0.000852845,543.9973811141942,414.5510445946357,416.29250604417734,0.000852845,0.0008494158799164148
13.0,0.000491772,544.0523768887629,416.40924179809195,418.14831005216826,0.000622974,0.0006195448902494538
14.0,0.000448994,544.1073726633315,418.26706336615297,420.0037389085494,0.000622974,0.0006195449005824927
15.0,0.000622974,544.1623684379,420.1245094127013,421.85879272705677,0.000622974,0.0006195449109155316
16.0,0.000651945,544.2173642124686,421.9815800515932,423.71347162139995,0.000651945,0.0006485159212485706
17.0,0.0014942,544.2723599870372,423.83827539662235,425.56777570522604,0.000651945,0.0006485159315816095
18.0,0.00104221,544.3273557616058,425.69459556153663,427.4217050921364,0.000651945,0.0006485159419146484
19.0,0.000629064,544.3823515361744,427.5505406600515,429.2752598957001,0.000629064,0.0006256349522476874
20.0,0.0,544.437347310743,429.40611080582397,431.1284402294277,0.000257572,0.0002541429625807263
21.0,0.000257572,544.4923430853115,431.2613061124653,432.98124620678425,2.327e-05,1.9840969548450164e-05
22.0,2.327e-05,544.5473388598801,433.11612669355225,434.83367794120005,0.0,-3.4290234838259243e-06
23.0,0.0,544.6023346344488,434.9705726626029,436.6857355460471,2.327e-05,1.984100313776661e-05
24.0,0.0,544.6573304090173,436.8246441330921,438.53741913465416,2.327e-05,1.9841026394084125e-05
25.0,0.000157778,544.7123261835859,438.6783412184598,440.388728820315,0.000157778,0.0001543490462851496
26.0,0.000693726,544.7673219581545,440.5316640320855,442.23966471626306,0.000693726,0.0006902970661762151
27.0,0.0013449,544.822317732723,442.38461268730504,444.0902269356883,0.00119978,0.0011963510860672805
28.0,0.00119978,544.8773135072917,444.23718729742205,445.9404155917484,0.00130384,0.0013004111059583458
29.0,0.00130384,544.9323092818603,446.08938797567913,447.79023079754006,0.0013449,0.0013414711258494115
30.0,0.00155564,544.9873050564289,447.94121483528227,449.63967266612354,0.00145805,0.0014546211457404769
