Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.79156,543.3374318193712,392.22333707300726,393.9935546568781,0.791344,-0.010466240940645632
1.0,0.791725,543.3924275939398,394.08605080150153,395.8538693730178,0.791344,-0.010466250587304216
2.0,0.791344,543.4474233685083,395.9483875243036,397.71380756901567,0.791344,-0.010466269727034794
3.0,0.791265,543.502419143077,397.8103473558682,399.57336935917897,0.791344,-0.010466298714436162
4.0,0.790914,543.5574149176456,399.6719304105939,401.43255485775904,0.791344,-0.010466337623019517
5.0,0.791614,543.6124106922141,401.5331368028229,403.2913641789508,0.791614,-0.01019638677916579
6.0,0.791994,543.6674064667827,403.39396664687337,405.14979743692504,0.791994,-0.009816445531837914
7.0,0.792002,543.7224022413513,405.25442005700074,407.0078547457902,0.791994,-0.009816513527229787
8.0,0.792501,543.7773980159199,407.11449714741275,408.8655362196069,0.791994,-0.009816590757949273
9.0,0.791922,543.8323937904885,408.9741980322888,410.7228419724075,0.791922,-0.009888676758942894
10.0,0.791799,543.8873895650571,410.8335228257412,412.5797721181572,0.791799,-0.010011772069930092
11.0,0.791553,543.9423853396257,412.6924716418498,414.4363267707891,0.791553,-0.010257876805547017
12.0,0.791438,543.9973811141942,414.5510445946357,416.29250604417734,0.791438,-0.010372991194897874
13.0,0.791129,544.0523768887629,416.40924179809195,418.14831005216826,0.791129,-0.010682115345099996
14.0,0.790652,544.1073726633315,418.26706336615297,420.0037389085494,0.791129,-0.010682249543678801
15.0,0.790657,544.1623684379,420.1245094127013,421.85879272705677,0.791129,-0.010682394234054926
16.0,0.791385,544.2173642124686,421.9815800515932,423.71347162139995,0.791385,-0.010426549411710617
17.0,0.792264,544.2723599870372,423.83827539662235,425.56777570522604,0.791473,-0.010338714400020876
18.0,0.792002,544.3273557616058,425.69459556153663,427.4217050921364,0.791473,-0.010338888380573397
19.0,0.791473,544.3823515361744,427.5505406600515,429.2752598957001,0.791473,-0.010339071597669447
20.0,0.790161,544.437347310743,429.40611080582397,431.1284402294277,0.790432,-0.011380264544001317
21.0,0.790432,544.4923430853115,431.2613061124653,432.98124620678425,0.790161,-0.011651468438850787
22.0,0.790099,544.5473388598801,433.11612669355225,434.83367794120005,0.790099,-0.01171368303086684
23.0,0.789921,544.6023346344488,434.9705726626029,436.6857355460471,0.790099,-0.011713908629290004
24.0,0.789993,544.6573304090173,436.8246441330921,438.53741913465416,0.790099,-0.011714145399424947
25.0,0.790309,544.7123261835859,438.6783412184598,440.388728820315,0.790309,-0.01150439327470043
26.0,0.791047,544.7673219581545,440.5316640320855,442.23966471626306,0.790958,-0.010855651962132118
27.0,0.791303,544.822317732723,442.38461268730504,444.0902269356883,0.790958,-0.010855920776409733
28.0,0.790958,544.8773135072917,444.23718729742205,445.9404155917484,0.791047,-0.010767199479712608
29.0,0.790658,544.9323092818603,446.08938797567913,447.79023079754006,0.791303,-0.010511488393074031
30.0,0.791592,544.9873050564289,447.94121483528227,449.63967266612354,0.791592,-0.010222787795498456
31.0,0.79186,545.0423008309974,449.7926679893809,451.48874131050246,0.791592,-0.010223096818810617
32.0,0.791858,545.097296605566,451.64374755109856,453.33743684365476,0.791858,-0.009957415213771137
33.0,0.790869,545.1522923801347,453.4944536334915,455.18575937849107,0.791858,-0.009957742982524609
34.0,0.791875,545.2072881547032,455.34478634957907,457.0337090278851,0.791858,-0.009958081045407852
35.0,0.791783,545.2622839292718,457.1947458123439,458.88128590467403,0.791783,-0.010033428466841188
36.0,0.792063,545.3172797038404,459.0443321347078,460.72849012163425,0.791783,-0.01003378533280408
37.0,0.791486,545.3722754784089,460.8935454295535,462.5753217915031,0.791486,-0.010331151382819481
38.0,0.791403,545.4272712529776,462.74238580972695,464.42178102698114,0.791486,-0.010331527154456399
39.0,0.791452,545.4822670275462,464.59085338801344,466.26786794070847,0.791486,-0.01033191272527234
40.0,0.79155,545.5372628021147,466.43894827715906,468.1135826452859,0.791452,-0.010366308050017925
41.0,0.791547,545.5922585766833,468.286670589871,469.95892525327554,0.791452,-0.010366713037848863
42.0,0.791145,545.647254351252,470.1340204388022,471.80389587718525,0.791241,-0.010578127691914685
