Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.56059,543.3374318193712,392.22333707300726,393.9935546568781,7.55928,-0.12220805341552055
1.0,7.56175,543.3924275939398,394.08605080150153,395.8538693730178,7.55938,-0.12210817314644107
2.0,7.55928,543.4474233685083,395.9483875243036,397.71380756901567,7.55938,-0.12210841146181561
3.0,7.55938,543.502419143077,397.8103473558682,399.57336935917897,7.55938,-0.12210877080325755
4.0,7.55818,543.5574149176456,399.6719304105939,401.43255485775904,7.55928,-0.12220925107228275
5.0,7.55946,543.6124106922141,401.5331368028229,403.2913641789508,7.55818,-0.12330985345539158
6.0,7.55688,543.6674064667827,403.39396664687337,405.14979743692504,7.55818,-0.1233105766880751
7.0,7.55716,543.7224022413513,405.25442005700074,407.0078547457902,7.55925,-0.12224142332095678
8.0,7.55925,543.7773980159199,407.11449714741275,408.8655362196069,7.55919,-0.12230239307813928
9.0,7.55993,543.8323937904885,408.9741980322888,410.7228419724075,7.55919,-0.12230348389494594
10.0,7.55919,543.8873895650571,410.8335228257412,412.5797721181572,7.55919,-0.12230469510034503
11.0,7.55768,543.9423853396257,412.6924716418498,414.4363267707891,7.55809,-0.12340602742692841
12.0,7.55758,543.9973811141942,414.5510445946357,416.29250604417734,7.55768,-0.12381748236840462
13.0,7.55809,544.0523768887629,416.40924179809195,418.14831005216826,7.55768,-0.12381906002503218
14.0,7.55692,544.1073726633315,418.26706336615297,420.0037389085494,7.55788,-0.12362075989431265
15.0,7.55788,544.1623684379,420.1245094127013,421.85879272705677,7.55809,-0.1234125831342423
16.0,7.55826,544.2173642124686,421.9815800515932,423.71347162139995,7.55826,-0.12324452879782744
17.0,7.56058,544.2723599870372,423.83827539662235,425.56777570522604,7.5597,-0.12180659651140946
18.0,7.56005,544.3273557616058,425.69459556153663,427.4217050921364,7.5597,-0.12180878398398232
19.0,7.5597,544.3823515361744,427.5505406600515,429.2752598957001,7.5597,-0.12181109174154692
20.0,7.55869,544.437347310743,429.40611080582397,431.1284402294277,7.55898,-0.12253352013230234
21.0,7.55829,544.4923430853115,431.2613061124653,432.98124620678425,7.55889,-0.12262607015688154
22.0,7.55898,544.5473388598801,433.11612669355225,434.83367794120005,7.55889,-0.12262874221312536
23.0,7.55889,544.6023346344488,434.9705726626029,436.6857355460471,7.55898,-0.12254153562169012
24.0,7.55957,544.6573304090173,436.8246441330921,438.53741913465416,7.55957,-0.12195445047426912
25.0,7.56091,544.7123261835859,438.6783412184598,440.388728820315,7.56056,-0.12096748610162944
26.0,7.5607,544.7673219581545,440.5316640320855,442.23966471626306,7.56056,-0.12097064118229106
27.0,7.56056,544.822317732723,442.38461268730504,444.0902269356883,7.56056,-0.12097391592691764
28.0,7.55848,544.8773135072917,444.23718729742205,445.9404155917484,7.55947,-0.12206731047709773
29.0,7.55883,544.9323092818603,446.08938797567913,447.79023079754006,7.55947,-0.12207082689198501
30.0,7.55947,544.9873050564289,447.94121483528227,449.63967266612354,7.55947,-0.12207446482910456
31.0,7.56101,545.0423008309974,449.7926679893809,451.48874131050246,7.56077,-0.12077822365947011
32.0,7.56163,545.097296605566,451.64374755109856,453.33743684365476,7.56077,-0.12078210186463245
33.0,7.56077,545.1522923801347,453.4944536334915,455.18575937849107,7.56077,-0.1207860988355689
34.0,7.55984,545.2072881547032,455.34478634957907,457.0337090278851,7.56059,-0.1209702154262482
35.0,7.5592,545.2622839292718,457.1947458123439,458.88128590467403,7.56059,-0.12097445255991968
36.0,7.56059,545.3172797038404,459.0443321347078,460.72849012163425,7.56059,-0.12097881087329831
37.0,7.56092,545.3722754784089,460.8935454295535,462.5753217915031,7.56059,-0.12098328899680233
38.0,7.5613,545.4272712529776,462.74238580972695,464.42178102698114,7.56059,-0.12098788660864557
39.0,7.56044,545.4822670275462,464.59085338801344,466.26786794070847,7.56044,-0.12114260333773696
40.0,7.55976,545.5372628021147,466.43894827715906,468.1135826452859,7.55976,-0.12182744003873935
41.0,7.55883,545.5922585766833,468.286670589871,469.95892525327554,7.55976,-0.12183239738850205
42.0,7.55925,545.647254351252,470.1340204388022,471.80389587718525,7.55976,-0.12183747631106634
43.0,7.56128,545.7022501258205,471.9809979365579,473.6484946294751,7.56059,-0.12101267639630198
44.0,7.56059,545.7572459003891,473.8276031957108,475.492721622573,7.56115,-0.12045799564287041
45.0,7.5615,545.8122416749577,475.6738363287795,477.3365769688525,7.56128,-0.12033343473799096
46.0,7.56115,545.8672374495262,477.5196974482324,479.1800607806373,7.5615,-0.1201189927875399
47.0,7.56238,545.9222332240948,479.365186666508,481.0231731702209,7.56162,-0.12000467014291694
48.0,7.56364,545.9772289986635,481.21030409598376,482.86591424983607,7.56162,-0.12001046559391071
49.0,7.56162,546.0322247732321,483.05504984899824,484.7082841316768,7.56181,-0.11982637790071848
50.0,7.56132,546.0872205478006,484.89942403784437,486.5502829278913,7.56181,-0.1198324090658458
