Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00763991,543.3374318193712,392.22333707300726,393.9935546568781,0.00763991,0.006874108548648938
1.0,0.0130032,543.3924275939398,394.08605080150153,395.8538693730178,0.0130032,0.012237398548648937
2.0,0.0135145,543.4474233685083,395.9483875243036,397.71380756901567,0.0130032,0.012237398548648937
3.0,0.016407,543.502419143077,397.8103473558682,399.57336935917897,0.0130032,0.012237398548648937
4.0,0.0,543.5574149176456,399.6719304105939,401.43255485775904,0.00763562,0.0068698185486489385
5.0,0.00763562,543.6124106922141,401.5331368028229,403.2913641789508,0.00763562,0.006869817831553322
6.0,0.00121956,543.6674064667827,403.39396664687337,405.14979743692504,0.00763562,0.006869817114457707
7.0,0.0144566,543.7224022413513,405.25442005700074,407.0078547457902,0.0134715,0.012705696832913158
8.0,0.0134715,543.7773980159199,407.11449714741275,408.8655362196069,0.0144566,0.013690796551368605
9.0,0.0154154,543.8323937904885,408.9741980322888,410.7228419724075,0.0144566,0.013690796269824055
10.0,0.0188234,543.8873895650571,410.8335228257412,412.5797721181572,0.0134715,0.012705695988279506
11.0,0.0134105,543.9423853396257,412.6924716418498,414.4363267707891,0.0154154,0.014649595706734953
12.0,0.00756835,543.9973811141942,414.5510445946357,416.29250604417734,0.0134105,0.012644695425190405
13.0,0.0173203,544.0523768887629,416.40924179809195,418.14831005216826,0.00756835,0.006802545143645853
14.0,0.000704842,544.1073726633315,418.26706336615297,420.0037389085494,0.0045269,0.0037610948621013035
15.0,0.0,544.1623684379,420.1245094127013,421.85879272705677,0.0045269,0.0037610945226479956
16.0,0.0045269,544.2173642124686,421.9815800515932,423.71347162139995,0.0045269,0.0037610934660945593
17.0,0.0118937,544.2723599870372,423.83827539662235,425.56777570522604,0.0045269,0.003761092409541123
18.0,0.00650259,544.3273557616058,425.69459556153663,427.4217050921364,0.00598948,0.005223671352987686
19.0,0.000105592,544.3823515361744,427.5505406600515,429.2752598957001,0.00598948,0.005223670296434249
