Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00121515,543.3374318193712,392.22333707300726,393.9935546568781,0.00121515,0.0011530800412693381
1.0,0.00224423,543.3924275939398,394.08605080150153,395.8538693730178,0.00121892,0.0011568500412693383
2.0,0.00172566,543.4474233685083,395.9483875243036,397.71380756901567,0.00121892,0.0011568500412693383
3.0,0.00121892,543.502419143077,397.8103473558682,399.57336935917897,0.00172566,0.0016635900412693382
4.0,0.00085216,543.5574149176456,399.6719304105939,401.43255485775904,0.00172566,0.0016635900412693382
5.0,0.00262732,543.6124106922141,401.5331368028229,403.2913641789508,0.00225354,0.0021914700412693383
6.0,0.00225354,543.6674064667827,403.39396664687337,405.14979743692504,0.00262732,0.002565250041269338
7.0,0.00347841,543.7224022413513,405.25442005700074,407.0078547457902,0.00288083,0.0028187600412693382
8.0,0.00288083,543.7773980159199,407.11449714741275,408.8655362196069,0.00288083,0.0028187600412693382
9.0,0.00288391,543.8323937904885,408.9741980322888,410.7228419724075,0.00288083,0.0028187600412693382
10.0,0.00218755,543.8873895650571,410.8335228257412,412.5797721181572,0.00218755,0.002125480041269338
11.0,0.00119504,543.9423853396257,412.6924716418498,414.4363267707891,0.00167304,0.0016109700412693382
12.0,0.00167304,543.9973811141942,414.5510445946357,416.29250604417734,0.00167304,0.0016109700412693382
13.0,0.000996863,544.0523768887629,416.40924179809195,418.14831005216826,0.00167304,0.0016109700412693382
14.0,0.00217241,544.1073726633315,418.26706336615297,420.0037389085494,0.00167304,0.0016109700412693382
15.0,0.00167786,544.1623684379,420.1245094127013,421.85879272705677,0.00167786,0.0016157900412693382
16.0,0.0002183,544.2173642124686,421.9815800515932,423.71347162139995,0.00167786,0.0016157900412693382
17.0,0.00186185,544.2723599870372,423.83827539662235,425.56777570522604,0.00126174,0.0011996701959743113
