Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00238984,543.3374318193712,392.22333707300726,393.9935546568781,0.00238984,0.0020613768924666667
1.0,0.00452305,543.3924275939398,394.08605080150153,395.8538693730178,0.00452305,0.004194586892466667
2.0,0.00514868,543.4474233685083,395.9483875243036,397.71380756901567,0.00452305,0.004194586892466667
3.0,0.00478246,543.502419143077,397.8103473558682,399.57336935917897,0.00478246,0.0044539968924666665
4.0,0.00375401,543.5574149176456,399.6719304105939,401.43255485775904,0.00478246,0.0044539968924666665
5.0,0.00506629,543.6124106922141,401.5331368028229,403.2913641789508,0.00478246,0.0044539968924666665
6.0,0.00424231,543.6674064667827,403.39396664687337,405.14979743692504,0.00424231,0.003913846892466667
7.0,0.00510292,543.7224022413513,405.25442005700074,407.0078547457902,0.00425453,0.003926066892466667
8.0,0.00419044,543.7773980159199,407.11449714741275,408.8655362196069,0.00425453,0.003926066892466667
9.0,0.00425453,543.8323937904885,408.9741980322888,410.7228419724075,0.00425453,0.003926066892466667
10.0,0.00477639,543.8873895650571,410.8335228257412,412.5797721181572,0.00425453,0.003926066892466667
11.0,0.00342139,543.9423853396257,412.6924716418498,414.4363267707891,0.00425453,0.003926066892466667
12.0,0.00497782,543.9973811141942,414.5510445946357,416.29250604417734,0.00367471,0.0033462468924666663
13.0,0.0036625,544.0523768887629,416.40924179809195,418.14831005216826,0.00367471,0.0033462468924666663
14.0,0.00367471,544.1073726633315,418.26706336615297,420.0037389085494,0.00411417,0.003785706892466667
15.0,0.00411417,544.1623684379,420.1245094127013,421.85879272705677,0.00411417,0.003785706892466667
16.0,0.0046513,544.2173642124686,421.9815800515932,423.71347162139995,0.0046513,0.004322836892466667
17.0,0.00526776,544.2723599870372,423.83827539662235,425.56777570522604,0.0046513,0.004322836892466667
18.0,0.00512128,544.3273557616058,425.69459556153663,427.4217050921364,0.0046513,0.004322836892466667
19.0,0.0036198,544.3823515361744,427.5505406600515,429.2752598957001,0.00406537,0.0037369068924666664
20.0,0.00406537,544.437347310743,429.40611080582397,431.1284402294277,0.00406537,0.0037369068924666664
21.0,0.00274089,544.4923430853115,431.2613061124653,432.98124620678425,0.00364728,0.003318816892466667
22.0,0.00507552,544.5473388598801,433.11612669355225,434.83367794120005,0.00406537,0.0037369068924666664
23.0,0.00364728,544.6023346344488,434.9705726626029,436.6857355460471,0.00403487,0.003706406892466667
24.0,0.00528611,544.6573304090173,436.8246441330921,438.53741913465416,0.00414779,0.003819326892466667
25.0,0.00403487,544.7123261835859,438.6783412184598,440.388728820315,0.00414779,0.003819326892466667
26.0,0.00414779,544.7673219581545,440.5316640320855,442.23966471626306,0.00468187,0.004353406892466667
27.0,0.00501451,544.822317732723,442.38461268730504,444.0902269356883,0.00414779,0.003819326892466667
28.0,0.00468187,544.8773135072917,444.23718729742205,445.9404155917484,0.00414779,0.003819326892466667
29.0,0.00347336,544.9323092818603,446.08938797567913,447.79023079754006,0.00347336,0.003144896892466667
30.0,0.00264633,544.9873050564289,447.94121483528227,449.63967266612354,0.00347336,0.003144896892466667
31.0,0.0030156,545.0423008309974,449.7926679893809,451.48874131050246,0.00347336,0.003144896892466667
32.0,0.00547231,545.097296605566,451.64374755109856,453.33743684365476,0.00419361,0.0038651468924666673
33.0,0.00432483,545.1522923801347,453.4944536334915,455.18575937849107,0.00432483,0.003996366892466667
34.0,0.00419361,545.2072881547032,455.34478634957907,457.0337090278851,0.00464834,0.004319876892466667
35.0,0.00483449,545.2622839292718,457.1947458123439,458.88128590467403,0.00464834,0.004319876892466667
36.0,0.00464834,545.3172797038404,459.0443321347078,460.72849012163425,0.00483449,0.004506026892466667
37.0,0.00510306,545.3722754784089,460.8935454295535,462.5753217915031,0.00483449,0.004506026892466667
38.0,0.00622918,545.4272712529776,462.74238580972695,464.42178102698114,0.00497185,0.004643386892466667
39.0,0.0040502,545.4822670275462,464.59085338801344,466.26786794070847,0.00497185,0.004643386892466667
40.0,0.00497185,545.5372628021147,466.43894827715906,468.1135826452859,0.00490777,0.0045793068924666665
