Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00168904,543.3374318193712,392.22333707300726,393.9935546568781,0.000840488,0.0008315791546995038
1.0,0.00203579,543.3924275939398,394.08605080150153,395.8538693730178,0.00105765,0.0010487411546995038
2.0,0.000840488,543.4474233685083,395.9483875243036,397.71380756901567,0.00105765,0.0010487411546995038
3.0,0.00105765,543.502419143077,397.8103473558682,399.57336935917897,0.00105765,0.0010487411546995038
4.0,0.0,543.5574149176456,399.6719304105939,401.43255485775904,0.000963041,0.0009541321546995038
5.0,0.00138236,543.6124106922141,401.5331368028229,403.2913641789508,0.00105765,0.0010487411459127536
6.0,0.000963041,543.6674064667827,403.39396664687337,405.14979743692504,0.00138236,0.0013734511371260034
7.0,0.00307369,543.7224022413513,405.25442005700074,407.0078547457902,0.00169563,0.0016867211283392533
8.0,0.0038951,543.7773980159199,407.11449714741275,408.8655362196069,0.00169563,0.001686721119552503
9.0,0.00169563,543.8323937904885,408.9741980322888,410.7228419724075,0.00169563,0.0016867211107657529
10.0,0.000541661,543.8873895650571,410.8335228257412,412.5797721181572,0.00168875,0.0016798411019790026
11.0,0.0,543.9423853396257,412.6924716418498,414.4363267707891,0.00168875,0.0016798410931922524
12.0,0.00168875,543.9973811141942,414.5510445946357,416.29250604417734,0.00168875,0.0016798410756186863
13.0,0.00218037,544.0523768887629,416.40924179809195,418.14831005216826,0.00168875,0.0016798410580451204
14.0,0.00207027,544.1073726633315,418.26706336615297,420.0037389085494,0.00168875,0.0016798410404715543
15.0,0.000791425,544.1623684379,420.1245094127013,421.85879272705677,0.000791425,0.0007825160228979885
16.0,0.0,544.2173642124686,421.9815800515932,423.71347162139995,0.000791425,0.0007825160053244226
17.0,0.000486381,544.2723599870372,423.83827539662235,425.56777570522604,0.000791425,0.0007825159789639491
18.0,0.00204479,544.3273557616058,425.69459556153663,427.4217050921364,0.00164944,0.0016405309526034756
19.0,0.00164944,544.3823515361744,427.5505406600515,429.2752598957001,0.00164944,0.001640530926243002
20.0,0.0020336,544.437347310743,429.40611080582397,431.1284402294277,0.00164944,0.0016405308998825286
21.0,4.26396e-05,544.4923430853115,431.2613061124653,432.98124620678425,0.00122644,0.0012175308735220551
22.0,0.00122644,544.5473388598801,433.11612669355225,434.83367794120005,0.00122644,0.0012175308805358396
23.0,0.00054682,544.6023346344488,434.9705726626029,436.6857355460471,0.00122644,0.0012175308875496242
24.0,0.00143705,544.6573304090173,436.8246441330921,438.53741913465416,0.00143705,0.0014281408945634086
25.0,0.00159612,544.7123261835859,438.6783412184598,440.388728820315,0.00143705,0.0014281409015771932
26.0,0.00170658,544.7673219581545,440.5316640320855,442.23966471626306,0.00143705,0.0014281409085909777
27.0,0.00137854,544.822317732723,442.38461268730504,444.0902269356883,0.00159612,0.001587210915604762
28.0,0.000551263,544.8773135072917,444.23718729742205,445.9404155917484,0.00170658,0.0016976709226185467
29.0,0.00217413,544.9323092818603,446.08938797567913,447.79023079754006,0.00217413,0.002165220929632331
30.0,0.00217763,544.9873050564289,447.94121483528227,449.63967266612354,0.00217763,0.0021687209366461156
31.0,0.00221644,545.0423008309974,449.7926679893809,451.48874131050246,0.00221644,0.0022075309436599003
32.0,0.00263015,545.097296605566,451.64374755109856,453.33743684365476,0.00221644,0.002207530950673685
33.0,0.00322559,545.1522923801347,453.4944536334915,455.18575937849107,0.00221644,0.0022075309576874693
34.0,0.00126214,545.2072881547032,455.34478634957907,457.0337090278851,0.00126214,0.0012532309647012537
35.0,0.0,545.2622839292718,457.1947458123439,458.88128590467403,0.000964179,0.0009552699717150383
36.0,0.000547417,545.3172797038404,459.0443321347078,460.72849012163425,0.000964179,0.0009552699699418525
37.0,0.000964179,545.3722754784089,460.8935454295535,462.5753217915031,0.000547417,0.0005385079681686667
38.0,0.00238438,545.4272712529776,462.74238580972695,464.42178102698114,0.000964179,0.0009552699663954808
39.0,0.000471977,545.4822670275462,464.59085338801344,466.26786794070847,0.000964179,0.000955269964622295
40.0,0.0026116,545.5372628021147,466.43894827715906,468.1135826452859,0.00218658,0.002177670962849109
41.0,0.000520596,545.5922585766833,468.286670589871,469.95892525327554,0.000520596,0.0005116869610759233
42.0,0.00218658,545.647254351252,470.1340204388022,471.80389587718525,0.000620239,0.0006113299593027374
43.0,0.0,545.7022501258205,471.9809979365579,473.6484946294751,0.000520596,0.0005116869575295517
44.0,0.000620239,545.7572459003891,473.8276031957108,475.492721622573,0.000620239,0.0006113299469693622
45.0,0.0,545.8122416749577,475.6738363287795,477.3365769688525,0.000620239,0.0006113299364091727
46.0,0.00129201,545.8672374495262,477.5196974482324,479.1800607806373,0.000620239,0.0006113299170619532
47.0,0.000944619,545.9222332240948,479.365186666508,481.0231731702209,0.000944619,0.0009357098977147337
48.0,0.000552454,545.9772289986635,481.21030409598376,482.86591424983607,0.00113139,0.001122480878367514
49.0,0.00126726,546.0322247732321,483.05504984899824,484.7082841316768,0.00113139,0.0011224808590202945
50.0,0.00113139,546.0872205478006,484.89942403784437,486.5502829278913,0.00113139,0.001122480839673075
51.0,0.00150771,546.1422163223692,486.7434267747739,488.3919107505868,0.00126726,0.0012583508203258557
52.0,0.000236833,546.1972120969378,488.5870581719889,490.23316771182084,0.00150771,0.001498800800978636
53.0,0.0016711,546.2522078715064,490.4303183416413,492.0740539236009,0.0015178,0.0015088907816314164
54.0,0.0015178,546.307203646075,492.2732073958506,493.9145694979021,0.0016711,0.001662190762284197
55.0,0.00286707,546.3621994206436,494.11572544668,495.75471454664336,0.00286707,0.0028581607429369778
56.0,0.00400546,546.4171951952121,495.9578726061514,497.59448918170216,0.00400546,0.003996550723589757
57.0,0.00422839,546.4721909697807,497.7996489862477,499.43389351491726,0.00422839,0.004219480704242539
58.0,0.00433596,546.5271867443494,499.64105469889546,501.2729276580711,0.00433596,0.004327050684895318
59.0,0.00782398,546.5821825189179,501.48208985597785,503.11159172290274,0.00782398,0.0078150706655481
60.0,0.0104536,546.6371782934865,503.3227545693476,504.9498858211208,0.00872995,0.00872104064620088
61.0,0.00967101,546.6921740680551,505.1630489507947,506.7878100643714,0.00967101,0.00966210062685366
62.0,0.00872995,546.7471698426236,507.00297311207,508.62536456426136,0.0104536,0.01044469060750644
63.0,0.0109004,546.8021656171923,508.8425271648853,510.4625494323587,0.0109004,0.010891490588159221
64.0,0.0123287,546.8571613917609,510.6817112209006,512.2993647801794,0.0111937,0.011184790568812001
65.0,0.0121496,546.9121571663294,512.5205253917278,514.1358107191919,0.0113152,0.011306290549464781
66.0,0.0111937,546.967152940898,514.3589697889487,515.9718873608342,0.0121496,0.012140690530117562
67.0,0.0113152,547.0221487154666,516.1970445240866,517.8075948164858,0.0121496,0.012140690510770344
68.0,0.0123943,547.0771444900352,518.0347497086191,519.6429331974809,0.0123943,0.012385390491423124
69.0,0.0131275,547.1321402646038,519.8720854539935,521.4779026151232,0.012915,0.012906090472075903
70.0,0.012915,547.1871360391724,521.7090518715943,523.312503180654,0.0129906,0.012981690452728685
71.0,0.0129906,547.242131813741,523.5456490727754,525.1467350052833,0.0131275,0.013118590433381466
72.0,0.0132623,547.2971275883095,525.3818771688346,526.9805982001658,0.0132623,0.013253390414034245
73.0,0.0136989,547.3521233628782,527.2177362710349,528.8140928764215,0.0136989,0.013689990394687025
74.0,0.0145884,547.4071191374468,529.0532264905917,530.6472191451219,0.0136989,0.013689990375339807
75.0,0.0141713,547.4621149120153,530.8883479386659,532.4799771172852,0.0141713,0.014162390355992586
76.0,0.013675,547.5171106865839,532.7231007263927,534.3123669039035,0.0145884,0.014579490336645367
77.0,0.0171452,547.5721064611525,534.5574849648463,536.1443886159077,0.0171452,0.017136290317298148
78.0,0.0186173,547.627102235721,536.3915007650598,537.9760423641883,0.0186173,0.018608390297950927
79.0,0.0211062,547.6820980102897,538.2251482380298,539.8073282595983,0.0201459,0.02013699027860371
80.0,0.0201459,547.7370937848583,540.0584274947001,541.6382464129395,0.0201459,0.02013699025925649
81.0,0.0206051,547.7920895594268,541.8913386459677,543.468796934965,0.0201459,0.02013699023990927
82.0,0.0173998,547.8470853339954,543.7238818026984,545.2989799363986,0.0201459,0.02013699022056205
83.0,0.0189082,547.9020811085641,545.5560570757001,547.1287955279054,0.0203012,0.02029229020121483
84.0,0.0203012,547.9570768831326,547.3878645757368,548.9582438201064,0.020296,0.020287090181867612
85.0,0.0212127,548.0120726577012,549.2193044135405,550.7873249235913,0.020296,0.020287090162520394
86.0,0.020296,548.0670684322698,551.0503766997864,552.6160389488928,0.020296,0.020287090143173172
87.0,0.0177904,548.1220642068383,552.8810815451043,554.4443860064978,0.0177904,0.017781490123825953
88.0,0.0168304,548.177059981407,554.7114190600937,556.2723662068638,0.0168304,0.016821490104478733
89.0,0.0154575,548.2320557559756,556.5413893552957,558.0999796603892,0.0157713,0.01576239008513151
90.0,0.0157713,548.2870515305442,558.3709925412119,559.9272264774336,0.0157131,0.015704190065784294
91.0,0.0157131,548.3420473051127,560.2002287282966,561.7541067683089,0.0154575,0.015448590046437075
92.0,0.0148257,548.3970430796813,562.0290980269714,563.5806206432944,0.0148257,0.014816790027089856
93.0,0.0136625,548.45203885425,563.8576005475995,565.4067682126113,0.0136625,0.013653590007742635
94.0,0.0112655,548.5070346288185,565.6857364005007,567.2325495864372,0.0112655,0.011256589988395415
95.0,0.0103083,548.5620304033871,567.5135056959642,569.0579648749194,0.0103083,0.010299389969048195
96.0,0.0100571,548.6170261779557,569.3409085442231,570.883014188149,0.0100571,0.010048189949700977
97.0,0.0083055,548.6720219525242,571.1679450554627,572.7076976361693,0.00941178,0.009402869930353757
98.0,0.00941178,548.7270177270929,572.9946153398402,574.5320153289954,0.00854042,0.008531509911006537
99.0,0.00854042,548.7820135016615,574.8209195074561,576.3559673765867,0.0083055,0.008296589891659318
100.0,0.00724916,548.83700927623,576.6468576683613,578.1795538888516,0.00724916,0.007240249872312098
101.0,0.0069162,548.8920050507986,578.4724299325852,580.0027749756782,0.0069162,0.006907289852964879
102.0,0.0037582,548.9470008253672,580.2976364100896,581.8256307468866,0.0037582,0.0037492898336176595
103.0,0.00261683,549.0019965999358,582.1224772108017,583.6481213122624,0.0037582,0.00374928981427044
104.0,0.00306168,549.0569923745044,583.9469524446098,585.4702467815525,0.0037582,0.0037492897949232204
105.0,0.00546737,549.111988149073,585.7710622213501,587.2920072644515,0.00469696,0.004688049775576001
106.0,0.00508525,549.1669839236415,587.5948066508112,589.1134028706067,0.00469696,0.0046880497562287815
107.0,0.00469696,549.2219796982101,589.4181858427573,590.9344337096409,0.00469696,0.0046880497368815615
