Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00503615,543.3371671297591,0.00503615,0.0026329233826505264
1.0,0.00467338,543.3921630159674,0.00467338,0.002270153382650527
2.0,0.00253711,543.4471589021756,0.00253711,0.00013388338265052672
3.0,0.00233874,543.5021547883839,0.00233874,-6.448648472352856e-05
4.0,0.00293383,543.5571506745921,0.00293383,0.0005306035841659371
5.0,0.00463368,543.6121465608004,0.00463368,0.002230454181058867
6.0,0.00302537,543.6671424470087,0.00302537,0.0006221447779517961
7.0,0.00322068,543.7221383332169,0.00322068,0.0008174559945873928
8.0,0.00395005,543.7771342194252,0.00395005,0.0015468280273384476
9.0,0.00391953,543.8321301056335,0.00391953,0.0015163100600895023
10.0,0.00466111,543.8871259918417,0.00466111,0.0022578920928405573
11.0,0.00428268,543.94212187805,0.00428268,0.0018794641255916113
12.0,0.00529892,543.9971177642582,0.00529892,0.0028957061583426667
13.0,0.00228373,544.0521136504665,0.00228373,-0.00011948180890627947
14.0,0.00253397,544.1071095366748,0.00253397,0.0001307601058266562
15.0,0.00131324,544.162105422883,0.00131324,-0.0010899678499130515
16.0,0.00354716,544.2171013090913,0.00354716,0.001143953129581305
17.0,0.00484722,544.2720971952996,0.00484722,0.0024440141090756617
18.0,0.00405374,544.3270930815078,0.00405374,0.001650535088570018
19.0,0.00394692,544.3820889677161,0.00394692,0.0015437160680643737
20.0,0.00414223,544.4370848539243,0.00414223,0.001739027047558731
21.0,0.000864581,544.4920807401326,0.000864581,-0.0015386209729469124
22.0,0.00227145,544.5470766263409,0.00227145,-0.00013175248882731647
23.0,0.00145356,544.6020725125491,0.00145356,-0.0009496431348279626
24.0,0.00488073,544.6570683987574,0.00488073,0.002477525290000114
25.0,0.00460911,544.7120642849655,0.00460911,0.002205903714828191
26.0,0.00423068,544.7670601711739,0.00423068,0.0018274721396562676
27.0,0.00471591,544.8220560573822,0.00471591,0.0023127005644843447
28.0,0.00414522,544.8770519435903,0.00414522,0.0017420089893124208
29.0,0.00522555,544.9320478297986,0.00522555,0.0028223374141404974
30.0,0.00463654,544.987043716007,0.00463654,0.002233325838968574
31.0,0.00481659,545.0420396022151,0.00481659,0.0024133742637966506
32.0,0.00465789,545.0970354884234,0.00465789,0.002254672688624727
33.0,0.00500578,545.1520313746316,0.00500578,0.0026025611134528033
34.0,0.00374538,545.2070272608399,0.00374538,0.0013421595382808803
35.0,0.00281457,545.2620231470482,0.00281457,0.000411347963108957
36.0,0.00492641,545.3170190332564,0.00492641,0.0025231867967127493
37.0,0.0044076,545.3720149194647,0.0044076,0.0020043756303165417
38.0,0.00551234,545.427010805673,0.00551234,0.0031091144639203336
39.0,0.0028298,545.4820066918812,0.0028298,0.00042657329752412553
40.0,0.0052163,545.5370025780895,0.0052163,0.002813072555107401
41.0,0.00443808,545.5919984642977,0.00443808,0.0020348518126906755
42.0,0.00321735,545.646994350506,0.00321735,0.0008141210702739508
43.0,0.00390705,545.7019902367143,0.00390705,0.001503821140612057
44.0,0.00356524,545.7569861229225,0.00356524,0.0011620112109501637
45.0,0.00468219,545.8119820091308,0.00468219,0.0022789612812882704
46.0,0.00347062,545.866977895339,0.00347062,0.0010673913516263773
47.0,0.00404435,545.9219737815473,0.00404435,0.001641121421964484
48.0,0.00551531,545.9769696677556,0.00551531,0.0031120814923025902
49.0,0.00516739,546.0319655539638,0.00516739,0.0027641615626406973
50.0,0.0045204,546.0869614401721,0.0045204,0.002117171632978804
51.0,0.00270762,546.1419573263804,0.00270762,0.000304391703316911
52.0,0.0031898,546.1969532125886,0.0031898,0.0007865720757746896
53.0,0.00282052,546.2519490987969,0.00282052,0.0004172932332381068
54.0,0.00234748,546.3069449850051,0.00234748,-5.574519458636639e-05
55.0,0.00132817,546.3619408712134,0.00132817,-0.0010750536775131804
56.0,0.00135563,546.4169367574217,0.00135563,-0.0010475932108153989
57.0,0.00253667,546.4719326436299,0.00253667,0.00013344623201651208
