Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00221672,543.3374318193712,392.22333707300726,393.9935546568781,0.00175041,0.0017313119983344242
1.0,0.00224593,543.3924275939398,394.08605080150153,395.8538693730178,0.00175041,0.0017313119983344242
2.0,0.00175041,543.4474233685083,395.9483875243036,397.71380756901567,0.00175041,0.0017313119983344242
3.0,0.00111499,543.502419143077,397.8103473558682,399.57336935917897,0.00137118,0.0013520819983344242
4.0,0.000838382,543.5574149176456,399.6719304105939,401.43255485775904,0.00137118,0.0013520819983344242
5.0,0.00137118,543.6124106922141,401.5331368028229,403.2913641789508,0.00137118,0.0013520819983344242
6.0,0.00176836,543.6674064667827,403.39396664687337,405.14979743692504,0.00176836,0.0017492619983344242
7.0,0.00212186,543.7224022413513,405.25442005700074,407.0078547457902,0.00212186,0.002102761998334424
8.0,0.0031155,543.7773980159199,407.11449714741275,408.8655362196069,0.00284302,0.002823921998334424
9.0,0.0030492,543.8323937904885,408.9741980322888,410.7228419724075,0.00284302,0.002823921998334424
10.0,0.00284302,543.8873895650571,410.8335228257412,412.5797721181572,0.00284302,0.002823921998334424
11.0,0.00268696,543.9423853396257,412.6924716418498,414.4363267707891,0.00268696,0.002667861998334424
12.0,0.00251098,543.9973811141942,414.5510445946357,416.29250604417734,0.00251098,0.002491881998334424
13.0,0.00228466,544.0523768887629,416.40924179809195,418.14831005216826,0.00228466,0.002265561998334424
14.0,0.000876618,544.1073726633315,418.26706336615297,420.0037389085494,0.000876618,0.0008575199983344241
15.0,0.000413203,544.1623684379,420.1245094127013,421.85879272705677,0.000876618,0.0008575199983344241
16.0,0.000545505,544.2173642124686,421.9815800515932,423.71347162139995,0.000876618,0.0008575199983344241
17.0,0.00103849,544.2723599870372,423.83827539662235,425.56777570522604,0.00103849,0.0010193919983344242
18.0,0.00127228,544.3273557616058,425.69459556153663,427.4217050921364,0.00103849,0.0010193919983344242
19.0,0.00157995,544.3823515361744,427.5505406600515,429.2752598957001,0.00122656,0.0012074619983344242
20.0,0.000777792,544.437347310743,429.40611080582397,431.1284402294277,0.00127228,0.0012531819983344242
21.0,0.00122656,544.4923430853115,431.2613061124653,432.98124620678425,0.00122656,0.0012074619983344242
22.0,0.00129801,544.5473388598801,433.11612669355225,434.83367794120005,0.00118276,0.001163661998334424
23.0,0.00118276,544.6023346344488,434.9705726626029,436.6857355460471,0.00118276,0.001163661998334424
24.0,0.000810766,544.6573304090173,436.8246441330921,438.53741913465416,0.000810766,0.000791667998334424
25.0,0.000135765,544.7123261835859,438.6783412184598,440.388728820315,0.000336762,0.00031766399833442407
26.0,0.000137501,544.7673219581545,440.5316640320855,442.23966471626306,0.000336762,0.00031766399833442407
27.0,0.000336762,544.822317732723,442.38461268730504,444.0902269356883,0.000336762,0.00031766399833442407
28.0,0.000421787,544.8773135072917,444.23718729742205,445.9404155917484,0.000421787,0.0004026889983344241
29.0,0.000722612,544.9323092818603,446.08938797567913,447.79023079754006,0.000722612,0.000703513998334424
30.0,0.00117351,544.9873050564289,447.94121483528227,449.63967266612354,0.00117351,0.0011544119983344242
31.0,0.00129218,545.0423008309974,449.7926679893809,451.48874131050246,0.00129218,0.0012730819983344242
32.0,0.00183248,545.097296605566,451.64374755109856,453.33743684365476,0.00161859,0.0015994919983344242
33.0,0.00161859,545.1522923801347,453.4944536334915,455.18575937849107,0.00161859,0.0015994919983344242
34.0,0.00231346,545.2072881547032,455.34478634957907,457.0337090278851,0.00170418,0.0016850819983344242
