Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.57156,543.1690296861278,386.51718996901303,385.3785760198558,7.57156,-0.06391661225917211
1.0,7.57325,543.2240625136925,388.3823144765642,387.23944842366745,7.57156,-0.06391667545618507
2.0,7.57397,543.2790953412572,390.24706111912565,389.0999438239445,7.57325,-0.06222680018406912
3.0,7.57139,543.3341281688218,392.1114300115122,390.96006233524014,7.57325,-0.06222698573300711
4.0,7.57331,543.3891609963866,393.9754212685018,392.8198040720705,7.57331,-0.06216723464691398
5.0,7.57218,543.4441938239513,395.839035004814,394.67916914889366,7.57218,-0.0632975450330786
6.0,7.5743,543.499226651516,397.70227133512907,396.53815768012845,7.57305,-0.06242791800592773
7.0,7.57053,543.5542594790807,399.5651303740841,398.39676978015063,7.57305,-0.06242835147551773
8.0,7.57305,543.6092923066453,401.42761223625973,400.25500556327955,7.57415,-0.061328849159187904
9.0,7.57415,543.66432513421,403.28971703619976,402.112865143798,7.57415,-0.06132940857305158
10.0,7.57511,543.7193579617747,405.15144488839815,403.97034863593876,7.57415,-0.0613300286330265
11.0,7.57438,543.7743907893395,407.01279590730314,405.8274561538892,7.57415,-0.06133070839304455
12.0,7.57209,543.8294236169041,408.87377020730906,407.684187811783,7.57331,-0.062171448573645094
13.0,7.57331,543.8844564444688,410.73436790277754,409.5405437237208,7.57238,-0.06310225143347736
14.0,7.57238,543.9394892720335,412.5945891080116,411.39652400374524,7.57238,-0.06310311577047134
15.0,7.57218,543.9945220995982,414.4544339372775,413.25212876586204,7.57278,-0.06270404250241413
16.0,7.57278,544.0495549271628,416.3139025047916,415.10735812402714,7.57278,-0.0627050318273934
17.0,7.57508,544.1045877547275,418.1729949247204,416.96221219214675,7.57322,-0.06226608315482007
18.0,7.57322,544.1596205822922,420.031711311187,418.81669108408386,7.57322,-0.062267194217796806
