Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.57241,543.1690296861278,386.51718996901303,385.3785760198558,7.57148,-0.05984187027940813
1.0,7.5736,543.2240625136925,388.3823144765642,387.23944842366745,7.57241,-0.05891192852912397
2.0,7.57148,543.2790953412572,390.24706111912565,389.0999438239445,7.57241,-0.0589120438553028
3.0,7.57395,543.3341281688218,392.1114300115122,390.96006233524014,7.57186,-0.05946221834822385
4.0,7.56693,543.3891609963866,393.9754212685018,392.8198040720705,7.57186,-0.05946244957277447
5.0,7.57186,543.4441938239513,395.839035004814,394.67916914889366,7.57395,-0.05737274444897533
6.0,7.57467,543.499226651516,397.70227133512907,396.53815768012845,7.57467,-0.056653098117982914
7.0,7.57946,543.5542594790807,399.5651303740841,398.39676978015063,7.57607,-0.0552535078094909
8.0,7.57768,543.6092923066453,401.42761223625973,400.25500556327955,7.57607,-0.055253968799214626
9.0,7.57607,543.66432513421,403.28971703619976,402.112865143798,7.57607,-0.05525448284359058
10.0,7.57011,543.7193579617747,405.15144488839815,403.97034863593876,7.57324,-0.05808505153113952
11.0,7.57163,543.7743907893395,407.01279590730314,405.8274561538892,7.57324,-0.05808568073886189
12.0,7.57324,543.8294236169041,408.87377020730906,407.684187811783,7.57324,-0.05808636896900765
13.0,7.57626,543.8844564444688,410.73436790277754,409.5405437237208,7.57324,-0.058087114634921555
14.0,7.5767,543.9394892720335,412.5945891080116,411.39652400374524,7.57324,-0.05808791475919062
15.0,7.57195,543.9945220995982,414.4544339372775,413.25212876586204,7.57287,-0.05845876890862289
16.0,7.5677,544.0495549271628,416.3139025047916,415.10735812402714,7.57287,-0.05845968176802163
17.0,7.57287,544.1045877547275,418.1729949247204,416.96221219214675,7.57287,-0.05846065752735452
18.0,7.5787,544.1596205822922,420.031711311187,418.81669108408386,7.57287,-0.058461691091459045
19.0,7.57465,544.214653409857,421.8900517782777,420.6707949136646,7.57287,-0.05846277671157374
20.0,7.56823,544.2696862374216,423.74801644000934,422.52452379464586,7.56823,-0.06310391838337459
21.0,7.56483,544.3247190649863,425.6056054103771,424.37787784076306,7.56823,-0.063105122436939
22.0,7.56811,544.379751892551,427.4628188033155,426.23085716569085,7.56823,-0.06310639222361658
23.0,7.57162,544.4347847201157,429.31965673271776,428.08346188306285,7.57162,-0.05971772451273161
24.0,7.57342,544.4898175476803,431.17611931243374,429.93569210646933,7.57342,-0.05791911584589826
25.0,7.57412,544.544850375245,433.0322066562614,431.7875479494488,7.57342,-0.057920564449814194
26.0,7.57562,544.5998832028098,434.8879188779617,433.63902952550296,7.57412,-0.05722206963566823
27.0,7.57089,544.6549160303745,436.74325609123485,435.4901369480728,7.57467,-0.056673629925707125
28.0,7.57607,544.7099488579391,438.59821840974655,437.34087033056477,7.57562,-0.05572524998520212
29.0,7.57467,544.7649816855038,440.45280594711465,439.1912297863378,7.57467,-0.056676924708185084
30.0,7.57981,544.8200145130685,442.3070188169114,441.04121542870513,7.57607,-0.055278655476969085
31.0,7.57389,544.8750473406332,444.16085713265943,442.89082737093065,7.57586,-0.055490437223276956
32.0,7.57678,544.9300801681978,446.0143210078399,444.7400657262368,7.5767,-0.05465227578796927
33.0,7.57586,544.9851129957626,447.86741055588857,446.5889306078007,7.57586,-0.055494168322753445
34.0,7.5767,545.0401458233273,449.72012589018914,448.4374221287476,7.57586,-0.055496115736863416
35.0,7.57461,545.095178650892,451.5724671240819,450.2855404021594,7.57461,-0.0567481172037283
36.0,7.57385,545.1502114784566,453.42443437086825,452.1332855410791,7.57385,-0.057510174786505885
37.0,7.57328,545.2052443060213,455.2760277437952,453.98065765849566,7.57385,-0.05751228923663021
38.0,7.57292,545.260277133586,457.12724735606866,455.8276568673568,7.57385,-0.05751446111819902
39.0,7.57615,545.3153099611507,458.97809332084677,457.67428328056275,7.57615,-0.05521669078828406
40.0,7.57687,545.3703427887154,460.82856575124873,459.52053701097475,7.57615,-0.05521897506393181
41.0,7.57649,545.4253756162801,462.67866476033294,461.36641817139355,7.57649,-0.05488131323723966
42.0,7.57578,545.4804084438448,464.52839046112314,463.2119268745851,7.57649,-0.054883705685295325
43.0,7.57804,545.5354412714095,466.3777429665997,465.0570632332724,7.57578,-0.05559615311068544
44.0,7.57377,545.5904740989741,468.226722389691,466.9018273601261,7.57377,-0.05760865328668263
45.0,7.57375,545.6455069265388,470.0753288432841,468.7462193677761,7.57377,-0.057611210426974147
46.0,7.57298,545.7005397541035,471.9235624402163,470.5902393688024,7.57377,-0.0576138245537825
47.0,7.57572,545.7555725816682,473.77142329328365,472.43388747574386,7.57411,-0.05727649642887567
48.0,7.57646,545.810605409233,475.61891151523884,474.27716380109615,7.57411,-0.05727922335298796
49.0,7.57411,545.8656382367976,477.466027218776,476.1200684572965,7.57411,-0.05728200459895749
50.0,7.57374,545.9206710643623,479.3127705165568,477.9626015567497,7.57411,-0.05728484248701804
51.0,7.57351,545.975703891927,481.159141521195,479.80476321181277,7.57411,-0.05728773738478221
52.0,7.57446,546.0307367194916,483.0051403452592,481.6465535347977,7.57446,-0.05694068952186093
53.0,7.57699,546.0857695470563,484.85076710126555,483.48797263796416,7.57699,-0.05441369796439499
54.0,7.57916,546.140802374621,486.69602190169576,485.32902063353737,7.57699,-0.05441676022019948
55.0,7.57829,546.1958352021858,488.54090485898155,487.1696976336927,7.57829,-0.053119874151693836
56.0,7.57592,546.2508680297504,490.38541608550054,489.0100037505516,7.57845,-0.05296304062018109
57.0,7.57845,546.3059008573151,492.2295556935978,490.8499390962031,7.57845,-0.05296626196640375
58.0,7.58169,546.3609336848798,494.07332379557045,492.68950378268823,7.58169,-0.049729535698037175
59.0,7.58437,546.4159665124445,495.91672050366617,494.52869792199874,7.58332,-0.04810285862160146
60.0,7.58518,546.4709993400091,497.7597459300889,496.36752162608286,7.58437,-0.04705622809541765
61.0,7.58332,546.5260321675738,499.60240018699943,498.20597500684556,7.58518,-0.046249643323248435
62.0,7.5856,546.5810649951386,501.4446833865173,500.0440581761508,7.5856,-0.04583310614432268
