Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.00641147,543.1690296861278,386.51718996901303,385.3785760198558,0.00159767,0.0015439444294165529
1.0,0.0046895,543.2240625136925,388.3823144765642,387.23944842366745,0.00159767,0.0015439444294165529
2.0,0.00159767,543.2790953412572,390.24706111912565,389.0999438239445,0.00159767,0.0015439444294165529
3.0,0.0,543.3341281688218,392.1114300115122,390.96006233524014,0.00159767,0.0015439444294165529
4.0,0.00139848,543.3891609963866,393.9754212685018,392.8198040720705,0.00159767,0.001543944376851857
5.0,0.00192552,543.4441938239513,395.839035004814,394.67916914889366,0.00192552,0.0018717943242871611
6.0,0.00361365,543.499226651516,397.70227133512907,396.53815768012845,0.00302783,0.0029741042717224653
7.0,0.00515109,543.5542594790807,399.5651303740841,398.39676978015063,0.00302783,0.0029741042191577696
8.0,0.00302783,543.6092923066453,401.42761223625973,400.25500556327955,0.00302783,0.002974104166593074
9.0,0.0016837,543.66432513421,403.28971703619976,402.112865143798,0.00209509,0.002041364114028378
10.0,0.00209509,543.7193579617747,405.15144488839815,403.97034863593876,0.00209509,0.002041364061463682
11.0,0.000777116,543.7743907893395,407.01279590730314,405.8274561538892,0.0016837,0.0016299740088989865
12.0,0.00262635,543.8294236169041,408.87377020730906,407.684187811783,0.00209509,0.002041363956334291
13.0,0.0,543.8844564444688,410.73436790277754,409.5405437237208,0.00262635,0.0025726239037695948
14.0,0.00384656,543.9394892720335,412.5945891080116,411.39652400374524,0.00344444,0.003390713798639645
15.0,0.00462558,543.9945220995982,414.4544339372775,413.25212876586204,0.00344444,0.0033907136935096955
16.0,0.00344444,544.0495549271628,416.3139025047916,415.10735812402714,0.00344444,0.0033907135883797456
17.0,0.00323663,544.1045877547275,418.1729949247204,416.96221219214675,0.00323663,0.0031829034832497956
18.0,0.00258058,544.1596205822922,420.031711311187,418.81669108408386,0.00258058,0.0025268533781198457
19.0,0.00238662,544.214653409857,421.8900517782777,420.6707949136646,0.00238662,0.002332893272989896
20.0,0.00124902,544.2696862374216,423.74801644000934,422.52452379464586,0.00231937,0.002265643167859946
21.0,0.0,544.3247190649863,425.6056054103771,424.37787784076306,0.00124902,0.0011952930627299964
22.0,0.00231937,544.379751892551,427.4628188033155,426.23085716569085,0.00124902,0.0011952929050339234
23.0,0.000801099,544.4347847201157,429.31965673271776,428.08346188306285,0.00229276,0.00223903274733785
24.0,0.00229276,544.4898175476803,431.17611931243374,429.93569210646933,0.00231937,0.0022656425896417772
25.0,0.00253203,544.544850375245,433.0322066562614,431.7875479494488,0.00253203,0.002478302431945704
26.0,0.00288447,544.5998832028098,434.8879188779617,433.63902952550296,0.00288447,0.002830742274249631
27.0,0.00349822,544.6549160303745,436.74325609123485,435.4901369480728,0.00349822,0.003444492116553558
28.0,0.00389174,544.7099488579391,438.59821840974655,437.34087033056477,0.00349822,0.0034444919588574848
29.0,0.00406493,544.7649816855038,440.45280594711465,439.1912297863378,0.00349822,0.0034444918011614116
30.0,0.00259638,544.8200145130685,442.3070188169114,441.04121542870513,0.00357881,0.003525081643465339
31.0,0.00155936,544.8750473406332,444.16085713265943,442.89082737093065,0.00259638,0.002542651485769266
32.0,0.00357881,544.9300801681978,446.0143210078399,444.7400657262368,0.00155936,0.0015056313280731929
33.0,0.000321027,544.9851129957626,447.86741055588857,446.5889306078007,0.00151536,0.0014616311703771199
34.0,0.00151536,545.0401458233273,449.72012589018914,448.4374221287476,0.00151536,0.0014616312778754433
35.0,0.00113672,545.095178650892,451.5724671240819,450.2855404021594,0.00151536,0.0014616313853737664
36.0,0.00516138,545.1502114784566,453.42443437086825,452.1332855410791,0.00314129,0.00308756149287209
37.0,0.00314129,545.2052443060213,455.2760277437952,453.98065765849566,0.00314129,0.003087561600370413
38.0,0.00556432,545.260277133586,457.12724735606866,455.8276568673568,0.00449281,0.004439081707868736
39.0,0.00113627,545.3153099611507,458.97809332084677,457.67428328056275,0.00314129,0.00308756181536706
40.0,0.00449281,545.3703427887154,460.82856575124873,459.52053701097475,0.00142563,0.001371901922865383
41.0,0.000217781,545.4253756162801,462.67866476033294,461.36641817139355,0.00119806,0.0011443320303637062
42.0,0.00142563,545.4804084438448,464.52839046112314,463.2119268745851,0.00119806,0.001144332299896143
43.0,0.00119806,545.5354412714095,466.3777429665997,465.0570632332724,0.000343328,0.00028960056942857953
