Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.54807,543.1690296861278,386.51718996901303,385.3785760198558,7.54807,0.00047171141084056956
1.0,7.54922,543.2240625136925,388.3823144765642,387.23944842366745,7.54809,0.0004917118825513711
2.0,7.54858,543.2790953412572,390.24706111912565,389.0999438239445,7.54809,0.0004917139759736955
3.0,7.54809,543.3341281688218,392.1114300115122,390.96006233524014,7.54809,0.0004917170511093971
4.0,7.5465,543.3891609963866,393.9754212685018,392.8198040720705,7.54809,0.0004917206179619882
5.0,7.54687,543.4441938239513,395.839035004814,394.67916914889366,7.54809,0.0004917230865348898
6.0,7.54857,543.499226651516,397.70227133512907,396.53815768012845,7.54857,0.0009717248268312773
7.0,7.55008,543.5542594790807,399.5651303740841,398.39676978015063,7.55008,0.002481727538852674
8.0,7.55084,543.6092923066453,401.42761223625973,400.25500556327955,7.55008,0.0024817327326021044
9.0,7.55026,543.66432513421,403.28971703619976,402.112865143798,7.55008,0.002481741168083751
10.0,7.5493,543.7193579617747,405.15144488839815,403.97034863593876,7.5493,0.0017017522653057782
11.0,7.54606,543.7743907893395,407.01279590730314,405.8274561538892,7.54808,0.0004817650642809923
12.0,7.54706,543.8294236169041,408.87377020730906,407.684187811783,7.54808,0.0004817763250217766
13.0,7.54808,543.8844564444688,410.73436790277754,409.5405437237208,7.54808,0.000481787047538873
14.0,7.54901,543.9394892720335,412.5945891080116,411.39652400374524,7.54901,0.0014117982518433436
15.0,7.5494,543.9945220995982,414.4544339372775,413.25212876586204,7.54929,0.0016918108679453425
16.0,7.54929,544.0495549271628,416.3139025047916,415.10735812402714,7.5494,0.0018018252858587047
17.0,7.55132,544.1045877547275,418.1729949247204,416.96221219214675,7.5494,0.0018018413955971369
18.0,7.55037,544.1596205822922,420.031711311187,418.81669108408386,7.54929,0.001691861227176794
19.0,7.54911,544.214653409857,421.8900517782777,420.6707949136646,7.54911,0.001511883830618288
20.0,7.54729,544.2696862374216,423.74801644000934,422.52452379464586,7.54729,-0.00030809205405635254
21.0,7.54609,544.3247190649863,425.6056054103771,424.37787784076306,7.54685,-0.0007480682468230526
22.0,7.54678,544.379751892551,427.4628188033155,426.23085716569085,7.54685,-0.0007480459476578716
23.0,7.54685,544.4347847201157,429.31965673271776,428.08346188306285,7.54685,-0.0007480244665378777
24.0,7.54859,544.4898175476803,431.17611931243374,429.93569210646933,7.54859,0.0009919962665572157
25.0,7.54934,544.544850375245,433.0322066562614,431.7875479494488,7.54934,0.0017420179916483036
26.0,7.54938,544.5998832028098,434.8879188779617,433.63902952550296,7.54934,0.0017420414587574484
27.0,7.55044,544.6549160303745,436.74325609123485,435.4901369480728,7.54938,0.0017820667079080366
28.0,7.54863,544.7099488579391,438.59821840974655,437.34087033056477,7.54938,0.0017820947991253888
29.0,7.55035,544.7649816855038,440.45280594711465,439.1912297863378,7.54996,0.00236212392243651
30.0,7.54912,544.8200145130685,442.3070188169114,441.04121542870513,7.54996,0.0023621557978730223
31.0,7.54996,544.8750473406332,444.16085713265943,442.89082737093065,7.54996,0.0023621891954652696
32.0,7.55013,544.9300801681978,446.0143210078399,444.7400657262368,7.54996,0.002362224955247072
33.0,7.54978,544.9851129957626,447.86741055588857,446.5889306078007,7.54996,0.0023622632472530825
34.0,7.55206,545.0401458233273,449.72012589018914,448.4374221287476,7.55013,0.0025323037215230215
35.0,7.54996,545.095178650892,451.5724671240819,450.2855404021594,7.54996,0.002362348658095925
36.0,7.55113,545.1502114784566,453.42443437086825,452.1332855410791,7.54996,0.0023623959570180375
37.0,7.54909,545.2052443060213,455.2760277437952,453.98065765849566,7.54914,0.0015424467883367043
38.0,7.54914,545.260277133586,457.12724735606866,455.8276568673568,7.54909,0.001492499112100809
39.0,7.54805,545.3153099611507,458.97809332084677,457.67428328056275,7.54894,0.0013425529783654966
40.0,7.54894,545.3703427887154,460.82856575124873,459.52053701097475,7.54894,0.0013426072971824965
41.0,7.54891,545.4253756162801,462.67866476033294,461.36641817139355,7.54894,0.001342662958606411
42.0,7.54951,545.4804084438448,464.52839046112314,463.2119268745851,7.54921,0.001612719932692741
43.0,7.54921,545.5354412714095,466.3777429665997,465.0570632332724,7.54951,0.0019127788194976958
