,Pixels #,Intensity (a.u.),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.),Wavelength (nm)
0,0.0,0.00386865,0.00386865,0.0027232064366767214,543.1689577998018
1,1.0,0.00453757,0.00453757,0.0033921264366767218,543.2239906588246
2,2.0,0.00394864,0.00394864,0.0028031964366767212,543.2790235178476
3,3.0,0.00406774,0.00406774,0.0029222964366767217,543.3340563768704
4,4.0,0.00293254,0.00293254,0.0017870964366767214,543.3890892358933
5,5.0,0.00347584,0.00347584,0.0023303964366767215,543.4441220949162
6,6.0,0.00303035,0.00303035,0.0018849064366767213,543.4991549539391
7,7.0,0.00346989,0.00346989,0.0023244464366767217,543.5541878129619
8,8.0,0.00279857,0.00279857,0.0016531264366767212,543.6092206719849
9,9.0,0.00291767,0.00291767,0.0017722264366767213,543.6642535310077
10,10.0,0.00325345,0.00325345,0.0021080064366767216,543.7192863900306
11,11.0,0.00214572,0.00214572,0.0010002764366767213,543.7743192490535
12,12.0,0.00220378,0.00220378,0.0010583364366767213,543.8293521080764
13,13.0,0.00184375,0.00184375,0.0006983064366767214,543.8843849670992
14,14.0,0.00160274,0.00160274,0.0004572971344169426,543.9394178261222
15,15.0,0.00213384,0.00213384,0.0009883982870202218,543.994450685145
16,16.0,0.00206373,0.00206373,0.0009182894396235009,544.0494835441679
17,17.0,0.00405053,0.00405053,0.0029050905922267797,544.1045164031908
18,18.0,0.00416658,0.00416658,0.0030211417448300585,544.1595492622137
19,19.0,0.00334268,0.00334268,0.0021972428974333376,544.2145821212365
20,20.0,0.00316881,0.00316881,0.002023374050036617,544.2696149802593
21,21.0,0.00218011,0.00218011,0.0010346752026398958,544.3246478392823
22,22.0,0.0029462,0.0029462,0.001800766355243175,544.3796806983052
23,23.0,0.00224742,0.00224742,0.0011019875078464541,544.434713557328
24,24.0,0.00402671,0.00402671,0.0028812786604497332,544.489746416351
25,25.0,0.00231474,0.00231474,0.0011693098130530124,544.5447792753738
26,26.0,0.0032914,0.0032914,0.0021459709656562916,544.5998121343966
27,27.0,0.00393542,0.00393542,0.002789992118259571,544.6548449934196
28,28.0,0.00357845,0.00357845,0.00243302327086285,544.7098778524424
29,29.0,0.00479316,0.00479316,0.003647734423466129,544.7649107114653
30,30.0,0.0040303,0.0040303,0.0028848755760694077,544.8199435704882
31,31.0,0.00560512,0.00560512,0.004459696728672687,544.8749764295111
32,32.0,0.0068534,0.0068534,0.005707977881275966,544.9300092885339
33,33.0,0.00539473,0.00539473,0.0042493090338792455,544.9850421475569
34,34.0,0.00627984,0.00627984,0.0051344201864825245,545.0400750065797
35,35.0,0.00425049,0.00425049,0.0031050713390858033,545.0951078656026
36,36.0,0.00635938,0.00635938,0.005213962491689083,545.1501407246255
37,37.0,0.00513875,0.00513875,0.003993333644292362,545.2051735836484
38,38.0,0.0054074,0.0054074,0.00426198479689564,545.2602064426712
39,39.0,0.00354895,0.00354895,0.0024035359494989196,545.3152393016942
40,40.0,0.00387254,0.00387254,0.0027271271021021984,545.370272160717
41,41.0,0.00167229,0.00167229,0.0005268782547054778,545.4253050197399
42,42.0,0.00197756,0.00197756,0.0008321499320680891,545.4803378787628
43,43.0,0.00203259,0.00203259,0.0008871816094307,545.5353707377857
44,44.0,0.00377222,0.00377222,0.0026268132867933117,545.5904035968085
45,45.0,0.0034,0.0034,0.002254594964155922,545.6454364558315
