Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.786589,543.8026457996183,407.9683062731482,406.92886894508683,0.786024,-0.005910733205794383
1.0,0.786024,543.8575925175063,409.826175938805,408.78586283789423,0.786024,-0.005910738435955798
2.0,0.790409,543.9125392353943,411.68367023587587,410.6424815390589,0.786295,-0.005639749444318332
3.0,0.785381,543.9674859532823,413.54078927811076,412.49872516227737,0.786024,-0.00591076195376139
4.0,0.786295,544.0224326711705,415.3975331792144,414.3545938212007,0.785873,-0.0060617808640208715
5.0,0.785873,544.0773793890585,417.25390205283935,416.2100876294278,0.785873,-0.006061805289772293
6.0,0.785863,544.1323261069465,419.10989601259917,418.06520670051873,0.786295,-0.005639835640101287
7.0,0.787397,544.1872728248345,420.9655151720575,419.9199511479836,0.787397,-0.00453787192472388
8.0,0.787471,544.2422195427225,422.8207596447368,421.77432108529143,0.787397,-0.004537912654330234
9.0,0.788302,544.2971662606105,424.6756295441076,423.62831662585916,0.787471,-0.0044639577569448585
10.0,0.785565,544.3521129784986,426.5301249836012,425.48193788306463,0.787837,-0.004098006422838085
11.0,0.787837,544.4070596963866,428.3842460765992,427.335184970236,0.787837,-0.004098061311739287
12.0,0.791754,544.4620064142747,430.23799293643964,429.188058000658,0.786202,-0.005733120217382925
13.0,0.786202,544.5169531321627,432.0913656764066,431.04055708756107,0.787837,-0.004098179301566973
14.0,0.785569,544.5718998500507,433.94436440974926,432.89268234414124,0.786202,-0.0057332439918151845
15.0,0.789341,544.6268465679387,435.796989249667,434.7444338835444,0.786202,-0.005733314901425368
16.0,0.78619,544.6817932858268,437.64924030931155,436.595811818869,0.786557,-0.00537838835943627
17.0,0.786557,544.7367400037148,439.5011177017933,438.4468162631721,0.786557,-0.005378467435346201
18.0,0.789093,544.7916867216028,441.3526215401708,440.29744732945886,0.78619,-0.005745551773182145
19.0,0.784975,544.8466334394908,443.2037519374655,442.1477051306976,0.786557,-0.005378638902252764
20.0,0.785122,544.9015801573789,445.0545090066492,443.9975897798068,0.786577,-0.005358732825482049
21.0,0.787354,544.956526875267,446.9048928606393,445.8471013896506,0.785122,-0.006813833400897029
22.0,0.786577,545.011473593155,448.7549036123208,447.6962400730609,0.785122,-0.006813938464057645
23.0,0.784244,545.066420311043,450.60454137452666,449.54500594281734,0.785404,-0.006532048770179988
24.0,0.784701,545.121367028931,452.45380626004857,451.3933991116585,0.785404,-0.006532166576385667
25.0,0.785404,545.176313746819,454.30269838162616,453.2414196922709,0.785404,-0.006532291441881832
26.0,0.785874,545.231260464707,456.1512178519601,455.089067797302,0.785874,-0.006062422687395763
27.0,0.786617,545.286207182595,457.9993647837034,456.9363435393518,0.785874,-0.006062559858057481
28.0,0.787139,545.3411539004832,459.8471392894656,458.78324703097667,0.785874,-0.00606270223344374
29.0,0.784758,545.3961006183712,461.694541481802,460.6297783846789,0.786617,-0.005319849306524738
30.0,0.785845,545.4510473362592,463.5415714732312,462.4759377129241,0.787139,-0.004798003384508198
31.0,0.791789,545.5059940541472,465.38822937622393,464.32172512812986,0.787405,-0.004532163416284818
32.0,0.790977,545.5609407720352,467.2345153032098,466.16714074267287,0.787405,-0.004532323594120591
33.0,0.787405,545.6158874899232,469.0804293665642,468.0121846688756,0.788512,-0.0034254847175232417
34.0,0.786698,545.6708342078113,470.92597167862783,469.8568570190257,0.787405,-0.0045326502806343205
35.0,0.788512,545.7257809256993,472.771142351685,471.7011579053546,0.786698,-0.005239820970865616
36.0,0.785961,545.7807276435874,474.6159414979875,473.54508744006114,0.786698,-0.005239995022196409
37.0,0.786236,545.8356743614754,476.46036922972854,475.38864573528565,0.788186,-0.0037521749158818674
38.0,0.788186,545.8906210793634,478.3044256590624,477.2318329031296,0.78693,-0.005008360385517996
39.0,0.815848,545.9455677972514,480.148110898102,479.07464905565297,0.788186,-0.003752549534870031
40.0,0.78693,546.0005145151395,481.9914250589084,480.91709430486407,0.788186,-0.003752738684222101
41.0,0.78902,546.0554612330275,483.8343682535035,482.759168762732,0.78693,-0.005008932736372929
42.0,0.784219,546.1104079509155,485.6769405938593,484.6008725411759,0.78693,-0.005009129654414246
43.0,0.785279,546.1653546688035,487.51914219190456,486.4422057520718,0.787207,-0.004732334099545765
44.0,0.787207,546.2203013866916,489.36097315952895,488.2831685072567,0.78557,-0.006369545048485192
45.0,0.787373,546.2752481045796,491.2024336085614,490.1237609185067,0.787207,-0.0047327606317218995
46.0,0.78557,546.3301948224677,493.0435236508005,491.9639830975678,0.787373,-0.004566980687989108
47.0,0.789035,546.3851415403557,494.8842433979972,493.8038351561381,0.789035,-0.0029052069671502423
48.0,0.790839,546.4400882582437,496.72459296185025,495.643317205864,0.789035,-0.0029054360987721406
49.0,0.789092,546.4950349761317,498.5645724540238,497.4824293583567,0.789092,-0.002848666314672954
50.0,0.787928,546.5499816940197,500.40418198612787,499.32117172517377,0.789195,-0.0027458993277467147
51.0,0.789195,546.6049284119077,502.2434216697355,501.1595444178356,0.789195,-0.0027461362745118123
52.0,0.790945,546.6598751297959,504.082291616372,502.99754754781503,0.790068,-0.0018733759181714937
53.0,0.790068,546.7148218476839,505.9207919375108,504.8351812265328,0.790068,-0.0018736165428334672
54.0,0.802084,546.7697685655719,507.7589227445883,506.67244556537287,0.790945,-0.0009968590098494712
55.0,0.789677,546.8247152834599,509.5966841489976,508.50934067567584,0.790068,-0.0018741014768655084
56.0,0.794982,546.8796620013479,511.434076262082,510.3458666687324,0.790061,-0.0018813461699171974
57.0,0.790061,546.9346087192359,513.2710991951413,512.1820236557901,0.790061,-0.001881587852604505
58.0,0.789415,546.989555437124,515.107753059432,514.0178117480527,0.790366,-0.001576831385457167
59.0,0.790366,547.044502155012,516.9440379661651,515.8532310566791,0.790366,-0.0015770774015894107
60.0,0.792389,547.0994488729001,518.7799540265102,517.6882816927863,0.790366,-0.0015773249691464208
61.0,0.790981,547.1543955907881,520.6155013515807,519.5229637674354,0.790366,-0.0015775720969863904
62.0,0.788906,547.2093423086761,522.4506800524599,521.3572773916572,0.790981,-0.0009628201725863095
63.0,0.789446,547.2642890265641,524.2854902401785,523.1912226764304,0.790729,-0.0012150712302436695
64.0,0.791929,547.3192357444522,526.1199320257242,525.0247997326899,0.789977,-0.0019673247420408657
65.0,0.790729,547.3741824623402,527.9540055200412,526.8580086713279,0.790729,-0.0012155782689479144
66.0,0.789977,547.4291291802282,529.7877108340282,528.6908496031907,0.791929,-1.5832992283471015e-05
67.0,0.793107,547.4840758981162,531.6210480785385,530.5233226390795,0.791158,-0.000787089650331918
68.0,0.79275,547.5390226160043,533.454017364386,532.355427889756,0.791158,-0.0007873451608149118
69.0,0.791158,547.5939693338923,535.2866188023265,534.1871654659236,0.79275,0.0008044001230089748
70.0,0.790718,547.6489160517804,537.1188525030873,536.0185354782574,0.791158,-0.0007878553688391854
71.0,0.796707,547.7038627696684,538.9507185773438,537.8495380373807,0.791158,-0.0007881120691726196
72.0,0.790887,547.7588094875564,540.7822171357278,539.6801732538734,0.790887,-0.0010593640427359885
73.0,0.791996,547.8137562054444,542.6133482888262,541.5104412382698,0.790887,-0.0010596170592046539
74.0,0.789645,547.8687029233324,544.4441121471838,543.3403421010629,0.790887,-0.0010598700269792705
75.0,0.790323,547.9236496412204,546.2745088212982,545.1698759526981,0.790323,-0.001624125256765141
76.0,0.791141,547.9785963591086,548.1045384216283,546.9990429035822,0.790323,-0.0016243820841255197
77.0,0.79013,548.0335430769966,549.9342010585758,548.8278430640651,0.791141,-0.0008066397056286645
78.0,0.792171,548.0884897948846,551.7634968425106,550.6562765444644,0.791301,-0.0006468991145504033
79.0,0.791301,548.1434365127726,553.5924258837565,552.484343455052,0.79217,0.00022184169657124553
80.0,0.79217,548.1983832306606,555.420988292588,554.3120439060505,0.79217,0.00022158187021148468
81.0,0.793191,548.2533299485486,557.249184179238,556.1393780076405,0.791697,-0.0002516777376040391
82.0,0.791697,548.3082766664367,559.0770136539003,557.9663458699642,0.791697,-0.0002519361183089819
83.0,0.790987,548.3632233843247,560.9044768267149,559.7929476031097,0.790987,-0.0009621947473246184
84.0,0.790849,548.4181701022128,562.731573807789,561.6191833171322,0.790987,-0.0009624543237087835
85.0,0.79067,548.4731168201008,564.558304707169,563.445053122026,0.790987,-0.0009627149833715265
86.0,0.806508,548.5280635379888,566.3846696348733,565.270557127758,0.791241,-0.0007089769024457571
87.0,0.791241,548.5830102558768,568.2106687008725,567.0956954442468,0.791442,-0.0005082388215198463
88.0,0.791442,548.6379569737649,570.0363020150852,568.9204681813592,0.79299,0.001039498560841845
89.0,0.79299,548.6929036916529,571.8615696873974,570.7448754489293,0.79299,0.0010392354422099626
90.0,0.793139,548.7478504095409,573.6864718276411,572.5689173567375,0.79299,0.0010389733497757625
91.0,0.798757,548.8027971274289,575.5110085456133,574.3925940145291,0.79299,0.0010387124306635576
92.0,0.791159,548.857743845317,577.3351799510614,576.2159055319994,0.791159,-0.000792541711532202
93.0,0.790056,548.912690563205,579.158986153685,578.0388520187965,0.791159,-0.0007927966342418102
94.0,0.79112,548.9676372810931,580.9824272631488,579.8614335845336,0.791159,-0.0007930534209810158
95.0,0.792105,549.0225839989811,582.8055033890679,581.683650338774,0.791836,-0.00011631102709686036
96.0,0.791836,549.0775307168691,584.6282146410161,583.5055023910397,0.791836,-0.00011656848263486008
97.0,0.792369,549.1324774347571,586.4505611285217,585.3269898508074,0.79198,2.7173946915537428e-05
98.0,0.790387,549.1874241526451,588.2725429610718,587.1481128275128,0.791836,-0.00011708321295766932
99.0,0.79198,549.2423708705331,590.0941602481037,588.9688714305414,0.79198,2.6658086599740116e-05
100.0,0.791366,549.2973175884213,591.9154130990217,590.7892657692461,0.79198,2.6399412441757697e-05
101.0,0.792328,549.3522643063093,593.7363016231701,592.6092959529194,0.792328,0.0003741401594343774
102.0,0.793044,549.4072110241973,595.5568259298645,594.4289620908256,0.792328,0.0003738812755104126
103.0,0.796066,549.4621577420853,597.376986128371,596.2482642921792,0.792669,0.0007146234678556684
104.0,0.791516,549.5171044599733,599.1967823279097,598.0672026661489,0.793044,0.0010893697383516088
105.0,0.792669,549.5720511778613,601.0162146376621,599.8857773218647,0.792669,0.0007141155766584584
106.0,0.795733,549.6269978957494,602.8352831667617,601.7039883684085,0.792669,0.000713862119773756
107.0,0.791942,549.6819446136374,604.6539880243009,603.5218359148216,0.792669,0.0007136124081609241
108.0,0.7927,549.7368913315255,606.4723293193333,605.3393200701059,0.791942,-1.363731665093848e-05
109.0,0.790504,549.7918380494135,608.2903071608515,607.1564409432027,0.790504,-0.0014518863067722876
110.0,0.790461,549.8467847673015,610.1079216578221,608.9731986430273,0.790504,-0.001452136725341835
111.0,0.790427,549.9017314851895,611.925172919164,610.7895932784471,0.790504,-0.0014523886148172238
112.0,0.795401,549.9566782030776,613.7420610537484,612.6056249582823,0.790461,-0.0014956420088180211
113.0,0.790751,550.0116249209656,615.5585861704078,614.4212937913137,0.790751,-0.0012058919898604303
114.0,0.790442,550.0665716388536,617.3747483779264,616.2365998862745,0.791355,-0.0006021431577453162
115.0,0.791355,550.1215183567416,619.19054778505,618.0515433518591,0.790751,-0.0012063958161658839
116.0,0.793581,550.1764650746297,621.0059845004781,619.866124296716,0.791355,-0.0006026490679847951
117.0,0.79021,550.2314117925177,622.8210586328632,621.6803428294461,0.791387,-0.0005709007155164647
118.0,0.791387,550.2863585104058,624.635770290823,623.494199058616,0.791387,-0.0005711540819707261
119.0,0.797057,550.3413052282938,626.4501195829228,625.3076930927401,0.791387,-0.0005714080110713615
120.0,0.790351,550.3962519461818,628.2641066176933,627.1208250402977,0.791387,-0.0005716568759458474
121.0,0.79244,550.4511986640698,630.0777315036134,628.9335950097167,0.791005,-0.0009539073221390693
122.0,0.790755,550.5061453819578,631.8909943491274,630.7460031093901,0.791005,-0.0009541572936822007
123.0,0.791005,550.5610920998458,633.7038952626268,632.5580494476585,0.792054,9.459154965374417e-05
124.0,0.795142,550.616038817734,635.5164343524716,634.3697341328307,0.791005,-0.0009546605466707048
125.0,0.792054,550.670985535622,637.3286117269624,636.1810572731562,0.791683,-0.000276909490928956
126.0,0.790546,550.72593225351,639.1404274943701,637.992018976855,0.792054,9.384165759029894e-05
127.0,0.791683,550.780878971398,640.9518817629173,639.8026193520986,0.791683,-0.00027740858525815426
128.0,0.794099,550.835825689286,642.7629746407858,641.6128585070179,0.791683,-0.0002776591014956864
129.0,0.791494,550.890772407174,644.573706236112,643.4227365496981,0.792781,0.0008200924970374057
130.0,0.792781,550.945719125062,646.3840766569905,645.2322535881832,0.793321,0.0013598436355569676
131.0,0.793321,551.0006658429502,648.1940860114752,647.0414097304758,0.792781,0.0008195955833268931
132.0,0.795517,551.0556125608382,650.0037344075636,648.8502050845228,0.793161,0.001199348874176942
133.0,0.789382,551.1105592787262,651.8130219532289,650.6586397582463,0.793161,0.001199105688415747
134.0,0.793161,551.1655059966142,653.6219487563886,652.466713859513,0.791857,-0.00010514003133066385
135.0,0.791187,551.2204527145022,655.430514924925,654.2744274961543,0.79178,-0.00018238456706343165
136.0,0.791857,551.2753994323903,657.2387205666685,656.0817807759498,0.79178,-0.0001826298663815118
137.0,0.79178,551.3303461502783,659.046565789417,657.8887738066467,0.79178,-0.00018287526982319058
138.0,0.790303,551.3852928681663,660.8540507009185,659.6954066959421,0.791857,-0.00010612085351180411
139.0,0.795397,551.4402395860544,662.6611754088799,661.501679551492,0.79178,-0.00018336806994700972
140.0,0.792467,551.4951863039424,664.4679400209623,663.3075924809069,0.792467,0.0005033881157372466
141.0,0.79139,551.5501330218304,666.274344644786,665.1131455917564,0.793759,0.0017951447980674162
142.0,0.793759,551.6050797397185,668.0803893879317,666.9183389915705,0.793702,0.001737900915115942
143.0,0.79431,551.6600264576065,669.8860743579354,668.7231727878344,0.793702,0.0017376588063483522
144.0,0.793702,551.7149731754945,671.6913996622866,670.5276470879869,0.793759,0.0017944190180191333
145.0,0.790281,551.7699198933825,673.4963654084344,672.3317619994266,0.793702,0.0017371809469050037
146.0,0.794657,551.8248666112705,675.3009717037884,674.1355176295124,0.792472,0.0005069412198164258
147.0,0.791974,551.8798133291587,677.1052186557127,675.9389140855578,0.792472,0.0005067041570511188
148.0,0.792472,551.9347600470467,678.9091063715241,677.741951474829,0.792936,0.0009704671028670786
149.0,0.79581,551.9897067649347,680.712634958502,679.5446299045549,0.792936,0.0009702305483610951
150.0,0.792936,552.0446534828227,682.5158045238827,681.346949481921,0.792936,0.0009699978050049518
151.0,0.796314,552.0996002007107,684.3186151748613,683.1489103140722,0.792936,0.0009697660192857782
152.0,0.79137,552.1545469185987,686.1210670185852,684.9505125081051,0.792936,0.0009695385470588347
153.0,0.792311,552.2094936364867,687.9231601621648,686.7517561710798,0.792311,0.00034431048731387026
154.0,0.798198,552.2644403543748,689.724894712663,688.5526414100087,0.792311,0.0003440827671804536
155.0,0.792192,552.3193870722629,691.5262707771057,690.3531683318673,0.792355,0.00038786124592748994
156.0,0.793709,552.3743337901509,693.3272884624666,692.1533370435789,0.792355,0.0003876399464275426
157.0,0.792355,552.4292805080389,695.1279478756853,693.9531476520324,0.792355,0.0003874203682826538
158.0,0.792029,552.4842272259269,696.9282491236573,695.7526002640732,0.793709,0.0017412011722913734
159.0,0.803106,552.539173943815,698.7281923132352,697.5516949865034,0.793842,0.0018739820366406867
160.0,0.793842,552.594120661703,700.5277775512282,699.3504319260818,0.793842,0.0018737629009899504
161.0,0.794188,552.649067379591,702.3270049444017,701.1488111895237,0.793913,0.001944545617618143
162.0,0.793456,552.704014097479,704.1258745994847,702.9468328835077,0.793842,0.0018733305294423852
163.0,0.793913,552.7589608153671,705.9243866231585,704.7444971146647,0.793456,0.0014871169107113502
164.0,0.792515,552.8139075332551,707.7225411220609,706.5418039895823,0.793061,0.0010919052139906071
165.0,0.791989,552.8688542511431,709.5203382027883,708.3387536148066,0.793061,0.0010916940558699517
166.0,0.793061,552.9238009690312,711.317777971896,710.1353460968428,0.793035,0.001065482917165017
167.0,0.793804,552.9787476869192,713.1148605359007,711.9315815421572,0.793061,0.0010912728561869312
168.0,0.793035,553.0336944048072,714.9115860012687,713.7274600571661,0.793804,0.0018340646083180312
169.0,0.794527,553.0886411226952,716.7079544744319,715.5229817482511,0.793804,0.0018338574120455586
170.0,0.794573,553.1435878405832,718.503966061772,717.3181467217439,0.793733,0.0017626527457755836
171.0,0.79244,553.1985345584714,720.2996208696406,719.1129550839458,0.794527,0.002556450654987774
172.0,0.793733,553.2534812763594,722.0949190043287,720.9074069410979,0.793754,0.0017832490273097523
173.0,0.795623,553.3084279942474,723.889860572099,722.7015023994126,0.793733,0.0017620491413454786
174.0,0.793754,553.3633747121354,725.6844456791705,724.4952415650588,0.793754,0.00178285287479929
175.0,0.792705,553.4183214300234,727.478674431715,726.2886245441586,0.793754,0.0017826583703749455
176.0,0.796836,553.4732681479114,729.2725469358694,728.0816514427984,0.792705,0.0007334645899705894
177.0,0.792057,553.5282148657994,731.0660632977206,729.8743223670153,0.792705,0.000733275639041242
178.0,0.790316,553.5831615836875,732.8592236233167,731.6666374228076,0.793812,0.0018400867721872771
179.0,0.793812,553.6381083015756,734.6520280186687,733.4585967161362,0.793812,0.0018398962768561011
180.0,0.795487,553.6930550194636,736.4444765897335,735.2502003529079,0.795487,0.0035147076001559308
181.0,0.801235,553.7480017373516,738.2365694424378,737.0414484389996,0.795487,0.0035145224060048053
182.0,0.795767,553.8029484552396,740.0283066826604,738.8323410802401,0.795767,0.0037943464666511106
183.0,0.795358,553.8578951731276,741.8196884162388,740.6228783824172,0.796541,0.004568174288437699
184.0,0.796541,553.9128418910157,743.6107147489697,742.4130604512776,0.796541,0.004568005463768343
185.0,0.804192,553.9677886089037,745.4013857866059,744.2028873925243,0.796716,0.004742841172202694
