Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,752.521,543.8026457996183,407.9683062731482,406.92886894508683,752.518,-0.028156191571383715
1.0,752.518,543.8575925175063,409.826175938805,408.78586283789423,752.521,-0.025156216727737046
2.0,752.555,543.9125392353943,411.68367023587587,410.6424815390589,752.545,-0.0011562700402691917
3.0,752.545,543.9674859532823,413.54078927811076,412.49872516227737,752.545,-0.0011563145091031402
4.0,752.686,544.0224326711705,415.3975331792144,414.3545938212007,752.555,0.00884363986574499
5.0,752.309,544.0773793890585,417.25390205283935,416.2100876294278,752.598,0.051843734084172866
6.0,752.598,544.1323261069465,419.10989601259917,418.06520670051873,752.598,0.05184359114639392
7.0,752.751,544.1872728248345,420.9655151720575,419.9199511479836,752.542,-0.0041564999477259335
8.0,752.351,544.2422195427225,422.8207596447368,421.77432108529143,752.542,-0.004156386198360451
9.0,752.542,544.2971662606105,424.6756295441076,423.62831662585916,752.523,-0.023156467605417674
10.0,752.523,544.3521129784986,426.5301249836012,425.48193788306463,752.374,-0.17215655316897482
11.0,752.374,544.4070596963866,428.3842460765992,427.335184970236,752.523,-0.02315666188906107
12.0,752.341,544.4620064142747,430.23799293643964,429.188058000658,752.374,-0.17215694276580962
13.0,752.651,544.5169531321627,432.0913656764066,431.04055708756107,752.374,-0.17215742879943718
14.0,752.273,544.5718998500507,433.94436440974926,432.89268234414124,752.495,-0.05115780999051367
15.0,752.495,544.6268465679387,435.796989249667,434.7444338835444,752.495,-0.05115846433943716
16.0,752.633,544.6817932858268,437.64924030931155,436.595811818869,752.495,-0.05115916984686919
17.0,752.479,544.7367400037148,439.5011177017933,438.4468162631721,752.553,0.006840211486633052
18.0,752.598,544.7916867216028,441.3526215401708,440.29744732945886,752.553,0.006839525660325307
19.0,752.553,544.8466334394908,443.2037519374655,442.1477051306976,752.531,-0.015161108326424255
20.0,752.466,544.9015801573789,445.0545090066492,443.9975897798068,752.531,-0.015161735474293891
21.0,752.531,544.956526875267,446.9048928606393,445.8471013896506,752.531,-0.015162442783775987
22.0,752.098,545.011473593155,448.7549036123208,447.6962400730609,752.531,-0.015163165255785316
23.0,752.772,545.066420311043,450.60454137452666,449.54500594281734,752.582,0.03583566410918593
24.0,752.582,545.121367028931,452.45380626004857,451.3933991116585,752.62,0.07383471930972973
25.0,752.773,545.176313746819,454.30269838162616,453.2414196922709,752.62,0.073833810345036
26.0,752.62,545.231260464707,456.1512178519601,455.089067797302,752.62,0.07383312821411891
27.0,752.381,545.286207182595,457.9993647837034,456.9363435393518,752.62,0.07383251991632278
28.0,752.66,545.3411539004832,459.8471392894656,458.78324703097667,752.62,0.07383174645099189
29.0,752.518,545.3961006183712,461.694541481802,460.6297783846789,752.518,-0.028168913182526012
30.0,752.654,545.4510473362592,463.5415714732312,462.4759377129241,752.598,0.05183039901498887
31.0,752.218,545.5059940541472,465.38822937622393,464.32172512812986,752.598,0.051829819042950476
32.0,752.598,545.5609407720352,467.2345153032098,466.16714074267287,752.598,0.05182891090078101
33.0,752.826,545.6158874899232,469.0804293665642,468.0121846688756,752.503,-0.043171945412495916
34.0,752.448,545.6708342078113,470.92597167862783,469.8568570190257,752.598,0.0518274781021546
35.0,752.503,545.7257809256993,472.771142351685,471.7011579053546,752.603,0.05682680344432356
36.0,752.603,545.7807276435874,474.6159414979875,473.54508744006114,752.561,0.01482608561343568
37.0,752.673,545.8356743614754,476.46036922972854,475.38864573528565,752.561,0.014825424608602589
38.0,752.561,545.8906210793634,478.3044256590624,477.2318329031296,752.603,0.05682489042908401
39.0,752.339,545.9455677972514,480.148110898102,479.07464905565297,752.561,0.014824371074610099
40.0,752.615,546.0005145151395,481.9914250589084,480.91709430486407,752.387,-0.15917635545565645
41.0,752.342,546.0554612330275,483.8343682535035,482.759168762732,752.387,-0.159177013162207
42.0,752.387,546.1104079509155,485.6769405938593,484.6008725411759,752.575,0.028822124954217543
43.0,752.588,546.1653546688035,487.51914219190456,486.4422057520718,752.387,-0.15917889610750535
44.0,752.575,546.2203013866916,489.36097315952895,488.2831685072567,752.509,-0.03717987534787426
45.0,752.328,546.2752481045796,491.2024336085614,490.1237609185067,752.509,-0.037180825768245995
46.0,752.509,546.3301948224677,493.0435236508005,491.9639830975678,752.484,-0.06218199436943905
47.0,752.457,546.3851415403557,494.8842433979972,493.8038351561381,752.484,-0.062183200152617246
48.0,752.484,546.4400882582437,496.72459296185025,495.643317205864,752.509,-0.03718449511904964
49.0,752.767,546.4950349761317,498.5645724540238,497.4824293583567,752.485,-0.06118585226988671
50.0,752.534,546.5499816940197,500.40418198612787,499.32117172517377,752.485,-0.06118698860666427
51.0,752.485,546.6049284119077,502.2434216697355,501.1595444178356,752.485,-0.06118813713032978
52.0,752.326,546.6598751297959,504.082291616372,502.99754754781503,752.461,-0.08518934684218493
53.0,752.461,546.7148218476839,505.9207919375108,504.8351812265328,752.34,-0.2061907767433695
54.0,752.34,546.7697685655719,507.7589227445883,506.67244556537287,752.326,-0.22019229183536027
55.0,752.295,546.8247152834599,509.5966841489976,508.50934067567584,752.34,-0.20619401311955698
56.0,752.186,546.8796620013479,511.434076262082,510.3458666687324,752.34,-0.2061959855977875
57.0,752.456,546.9346087192359,513.2710991951413,512.1820236557901,752.456,-0.09019831827208691
58.0,752.706,546.989555437124,515.107753059432,514.0178117480527,752.673,0.12679925885527155
59.0,752.787,547.044502155012,516.9440379661651,515.8532310566791,752.706,0.1597969957820169
60.0,752.673,547.0994488729001,518.7799540265102,517.6882816927863,752.706,0.1597949735057682
61.0,752.87,547.1543955907881,520.6155013515807,519.5229637674354,752.673,0.12679307802443418
62.0,752.349,547.2093423086761,522.4506800524599,521.3572773916572,752.581,0.0347915063362052
63.0,752.475,547.2642890265641,524.2854902401785,523.1912226764304,752.475,-0.07121026256049845
64.0,752.581,547.3192357444522,526.1199320257242,525.0247997326899,752.475,-0.07121210266757316
65.0,752.225,547.3741824623402,527.9540055200412,526.8580086713279,752.475,-0.0712139079867029
66.0,752.524,547.4291291802282,529.7877108340282,528.6908496031907,752.409,-0.13721603451972442
67.0,752.373,547.4840758981162,531.6210480785385,530.5233226390795,752.409,-0.1372181832688284
68.0,752.409,547.5390226160043,533.454017364386,532.355427889756,752.474,-0.0722205052360323
69.0,752.474,547.5939693338923,535.2866188023265,534.1871654659236,752.474,-0.07222296442375864
70.0,752.52,547.6489160517804,537.1188525030873,536.0185354782574,752.52,-0.026225495834523826
71.0,752.541,547.7038627696684,538.9507185773438,537.8495380373807,752.541,-0.005228053470659688
72.0,752.861,547.7588094875564,540.7822171357278,539.6801732538734,752.541,-0.005230616334984006
73.0,752.756,547.8137562054444,542.6133482888262,541.5104412382698,752.756,0.20976713557001858
74.0,752.242,547.8687029233324,544.4441121471838,543.3403421010629,752.756,0.2097650972422116
75.0,752.785,547.9236496412204,546.2745088212982,545.1698759526981,752.55,0.003762754679428326
76.0,752.371,547.9785963591086,548.1045384216283,546.9990429035822,752.403,-0.14323934912044933
77.0,752.55,548.0335430769966,549.9342010585758,548.8278430640651,752.403,-0.14324162815978525
78.0,752.403,548.0884897948846,551.7634968425106,550.6562765444644,752.403,-0.143243903440748
79.0,752.386,548.1434365127726,553.5924258837565,552.484343455052,752.55,0.0037536780342861675
80.0,752.605,548.1983832306606,555.420988292588,554.3120439060505,752.595,0.04875109926308596
81.0,752.608,548.2533299485486,557.249184179238,556.1393780076405,752.595,0.04874857924301068
82.0,752.595,548.3082766664367,559.0770136539003,557.9663458699642,752.605,0.05874612097147747
83.0,752.288,548.3632233843247,560.9044768267149,559.7929476031097,752.606,0.059743711446003545
84.0,752.628,548.4181701022128,562.731573807789,561.6191833171322,752.606,0.059741043664303106
85.0,752.606,548.4731168201008,564.558304707169,563.445053122026,752.622,0.07573845762362907
86.0,752.67,548.5280635379888,566.3846696348733,565.270557127758,752.622,0.07573593132144651
87.0,752.622,548.5830102558768,568.2106687008725,567.0956954442468,752.622,0.07573352875510864
88.0,752.443,548.6379569737649,570.0363020150852,568.9204681813592,752.622,0.07573120192228089
89.0,752.688,548.6929036916529,571.8615696873974,570.7448754489293,752.443,-0.10327122817921008
90.0,752.295,548.7478504095409,573.6864718276411,572.5689173567375,752.443,-0.103273516552008
91.0,752.357,548.8027971274289,575.5110085456133,574.3925940145291,752.489,-0.057276056198247716
92.0,752.674,548.857743845317,577.3351799510614,576.2159055319994,752.489,-0.057278785120615794
93.0,752.489,548.912690563205,579.158986153685,578.0388520187965,752.523,-0.02328138632185528
94.0,752.523,548.9676372810931,580.9824272631488,579.8614335845336,752.58,0.03371595519570292
95.0,752.723,549.0225839989811,582.8055033890679,581.683650338774,752.523,-0.02328672657097286
96.0,752.58,549.0775307168691,584.6282146410161,583.5055023910397,752.551,0.004710768375616681
97.0,752.471,549.1324774347571,586.4505611285217,585.3269898508074,752.551,0.004708297032948394
98.0,752.551,549.1874241526451,588.2725429610718,587.1481128275128,752.547,0.0007057503985379299
99.0,752.464,549.2423708705331,590.0941602481037,588.9688714305414,752.471,-0.07529679153014968
100.0,752.547,549.2973175884213,591.9154130990217,590.7892657692461,752.496,-0.050299415755716836
101.0,752.267,549.3522643063093,593.7363016231701,592.6092959529194,752.464,-0.0823020392805347
102.0,752.496,549.4072110241973,595.5568259298645,594.4289620908256,752.496,-0.05030494210757297
103.0,752.456,549.4621577420853,597.376986128371,596.2482642921792,752.496,-0.05030789523937074
104.0,752.572,549.5171044599733,599.1967823279097,598.0672026661489,752.572,0.02568906132103166
105.0,752.699,549.5720511778613,601.0162146376621,599.8857773218647,752.572,0.025686043570544825
106.0,752.818,549.6269978957494,602.8352831667617,601.7039883684085,752.572,0.025683178506028526
107.0,752.475,549.6819446136374,604.6539880243009,603.5218359148216,752.475,-0.07131941487523363
108.0,752.379,549.7368913315255,606.4723293193333,605.3393200701059,752.379,-0.16732207957591072
109.0,752.328,549.7918380494135,608.2903071608515,607.1564409432027,752.379,-0.16732491159871188
110.0,752.268,549.8467847673015,610.1079216578221,608.9731986430273,752.379,-0.167327961946512
111.0,752.509,549.9017314851895,611.925172919164,610.7895932784471,752.458,-0.08833129062224998
112.0,752.597,549.9566782030776,613.7420610537484,612.6056249582823,752.458,-0.08833465662928575
113.0,752.458,550.0116249209656,615.5585861704078,614.4212937913137,752.509,-0.037337971971055595
114.0,752.433,550.0665716388536,617.3747483779264,616.2365998862745,752.458,-0.0883413756508844
115.0,752.51,550.1215183567416,619.19054778505,618.0515433518591,752.458,-0.08834489267201207
116.0,752.445,550.1764650746297,621.0059845004781,619.866124296716,752.445,-0.1013484460379459
117.0,752.532,550.2314117925177,622.8210586328632,621.6803428294461,752.51,-0.03635210075242412
118.0,752.438,550.2863585104058,624.635770290823,623.494199058616,752.532,-0.014355769818848785
119.0,752.55,550.3413052282938,626.4501195829228,625.3076930927401,752.55,0.0036404527587592383
120.0,752.798,550.3962519461818,628.2641066176933,627.1208250402977,752.55,0.003636678976818075
121.0,752.668,550.4511986640698,630.0777315036134,628.9335950097167,752.586,0.03963315683154178
122.0,752.484,550.5061453819578,631.8909943491274,630.7460031093901,752.586,0.0396297563194139
123.0,752.586,550.5610920998458,633.7038952626268,632.5580494476585,752.586,0.03962629343698154
124.0,752.37,550.616038817734,635.5164343524716,634.3697341328307,752.484,-0.062377129819083166
125.0,752.871,550.670985535622,637.3286117269624,636.1810572731562,752.586,0.03961927054763237
126.0,752.244,550.72593225351,639.1404274943701,637.992018976855,752.662,0.11561599553363067
127.0,752.662,550.780878971398,640.9518817629173,639.8026193520986,752.662,0.11561241813569723
128.0,752.667,550.835825689286,642.7629746407858,641.6128585070179,752.589,0.04260895635025008
129.0,752.589,550.890772407174,644.573706236112,643.4227365496981,752.589,0.04260561517367023
130.0,752.349,550.945719125062,646.3840766569905,645.2322535881832,752.45,-0.09639768339729926
131.0,752.45,551.0006658429502,648.1940860114752,647.0414097304758,752.395,-0.15140117936607567
132.0,752.334,551.0556125608382,650.0037344075636,648.8502050845228,752.395,-0.15140477173588351
133.0,752.395,551.1105592787262,651.8130219532289,650.6586397582463,752.395,-0.15140857651056194
134.0,752.486,551.1655059966142,653.6219487563886,652.466713859513,752.334,-0.21241253269386107
135.0,752.074,551.2204527145022,655.430514924925,654.2744274961543,752.395,-0.1514165492895927
136.0,752.095,551.2753994323903,657.2387205666685,656.0817807759498,752.193,-0.3534210383019172
137.0,752.517,551.3303461502783,659.046565789417,657.8887738066467,752.193,-0.3534259787352312
138.0,752.193,551.3852928681663,660.8540507009185,659.6954066959421,752.517,-0.02943094859449502
139.0,752.736,551.4402395860544,662.6611754088799,661.501679551492,752.621,0.0745637281152085
140.0,752.667,551.4951863039424,664.4679400209623,663.3075924809069,752.621,0.07455859438869084
141.0,752.621,551.5501330218304,666.274344644786,665.1131455917564,752.667,0.12055358122074722
142.0,752.386,551.6050797397185,668.0803893879317,666.9183389915705,752.621,0.07454864260625982
143.0,752.673,551.6600264576065,669.8860743579354,668.7231727878344,752.621,0.07454354354047155
144.0,752.438,551.7149731754945,671.6913996622866,670.5276470879869,752.612,0.06553857101823723
145.0,752.826,551.7699198933825,673.4963654084344,672.3317619994266,752.673,0.12653349003471703
146.0,752.612,551.8248666112705,675.3009717037884,674.1355176295124,752.633,0.0865286885846217
147.0,752.701,551.8798133291587,677.1052186557127,675.9389140855578,752.701,0.15452395266322583
148.0,752.633,551.9347600470467,678.9091063715241,677.741951474829,752.701,0.15451937126567827
149.0,752.769,551.9897067649347,680.712634958502,679.5446299045549,752.701,0.1545148763875659
150.0,752.759,552.0446534828227,682.5158045238827,681.346949481921,752.633,0.08651060402428357
151.0,752.568,552.0996002007107,684.3186151748613,683.1489103140722,752.759,0.21250654417156056
152.0,752.375,552.1545469185987,686.1210670185852,684.9505125081051,752.568,0.021502505825424123
153.0,752.781,552.2094936364867,687.9231601621648,686.7517561710798,752.375,-0.17150170401816922
154.0,752.242,552.2644403543748,689.724894712663,688.5526414100087,752.375,-0.17150567936357675
155.0,752.282,552.3193870722629,691.5262707771057,690.3531683318673,752.325,-0.22150995921458616
156.0,752.377,552.3743337901509,693.3272884624666,692.1533370435789,752.325,-0.22151450357569047
157.0,752.325,552.4292805080389,695.1279478756853,693.9531476520324,752.377,-0.16951921745123855
158.0,752.689,552.4842272259269,696.9282491236573,695.7526002640732,752.562,0.015475847154107214
159.0,752.594,552.539173943815,698.7281923132352,697.5516949865034,752.562,0.015471054235263182
160.0,752.562,552.594120661703,700.5277775512282,699.3504319260818,752.562,0.015466308787608796
161.0,752.497,552.649067379591,702.3270049444017,701.1488111895237,752.523,-0.02353842119384808
162.0,752.505,552.704014097479,704.1258745994847,702.9468328835077,752.523,-0.023543200713675105
163.0,752.523,552.7589608153671,705.9243866231585,704.7444971146647,752.523,-0.023548021776718997
164.0,752.569,552.8139075332551,707.7225411220609,706.5418039895823,752.527,-0.019552866387698487
165.0,752.527,552.8688542511431,709.5203382027883,708.3387536148066,752.569,0.0224423114483443
166.0,752.637,552.9238009690312,711.317777971896,710.1353460968428,752.571,0.02443746972687677
167.0,752.603,552.9787476869192,713.1148605359007,711.9315815421572,752.571,0.02443271844276751
168.0,752.571,553.0336944048072,714.9115860012687,713.7274600571661,752.573,0.026428023591392957
