Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.795472,543.8026457996183,407.9683062731482,406.92886894508683,0.795472,-0.008152342915077715
1.0,0.79556,543.8575925175063,409.826175938805,408.78586283789423,0.795472,-0.008152350975162537
2.0,0.79898,543.9125392353943,411.68367023587587,410.6424815390589,0.795472,-0.008152367008730455
3.0,0.79434,543.9674859532823,413.54078927811076,412.49872516227737,0.79556,-0.008064387643166748
4.0,0.7949,544.0224326711705,415.3975331792144,414.3545938212007,0.795943,-0.007681417451083972
5.0,0.795998,544.0773793890585,417.25390205283935,416.2100876294278,0.79571,-0.007914455881913418
6.0,0.795943,544.1323261069465,419.10989601259917,418.06520670051873,0.795943,-0.007681501855120065
7.0,0.79571,544.1872728248345,420.9655151720575,419.9199511479836,0.795998,-0.007626555424907533
8.0,0.796547,544.2422195427225,422.8207596447368,421.77432108529143,0.795943,-0.007681616820727655
9.0,0.797045,544.2971662606105,424.6756295441076,423.62831662585916,0.796547,-0.007077685218294549
10.0,0.794514,544.3521129784986,426.5301249836012,425.48193788306463,0.797045,-0.006579760126835477
11.0,0.797107,544.4070596963866,428.3842460765992,427.335184970236,0.797045,-0.006579844038179128
12.0,0.800327,544.4620064142747,430.23799293643964,429.188058000658,0.794862,-0.00876293439952458
13.0,0.794862,544.5169531321627,432.0913656764066,431.04055708756107,0.797107,-0.006518028030387257
14.0,0.794104,544.5718998500507,433.94436440974926,432.89268234414124,0.795065,-0.008560130322131099
15.0,0.798075,544.6268465679387,435.796989249667,434.7444338835444,0.795065,-0.00856024202001271
16.0,0.795065,544.6817932858268,437.64924030931155,436.595811818869,0.795788,-0.007837359213350825
17.0,0.795788,544.7367400037148,439.5011177017933,438.4468162631721,0.795788,-0.007837484868224776
18.0,0.797427,544.7916867216028,441.3526215401708,440.29744732945886,0.795065,-0.008560618273251941
19.0,0.793622,544.8466334394908,443.2037519374655,442.1477051306976,0.795788,-0.007837757813473956
20.0,0.793542,544.9015801573789,445.0545090066492,443.9975897798068,0.795533,-0.008092907233946622
21.0,0.796562,544.956526875267,446.9048928606393,445.8471013896506,0.793622,-0.010004066613379825
22.0,0.795533,545.011473593155,448.7549036123208,447.6962400730609,0.793542,-0.01008423298119887
23.0,0.793285,545.066420311043,450.60454137452666,449.54500594281734,0.794051,-0.009575407350913778
