Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.877735,543.8026457996183,407.9683062731482,406.92886894508683,0.876808,-0.03821264157957949
1.0,0.876808,543.8575925175063,409.826175938805,408.78586283789423,0.876808,-0.03821267612167356
2.0,0.879077,543.9125392353943,411.68367023587587,410.6424815390589,0.876808,-0.038212746051863866
3.0,0.875048,543.9674859532823,413.54078927811076,412.49872516227737,0.876808,-0.03821284929844493
4.0,0.875499,544.0224326711705,415.3975331792144,414.3545938212007,0.878035,-0.036985989537733244
5.0,0.878035,544.0773793890585,417.25390205283935,416.2100876294278,0.87715,-0.03787116635891585
6.0,0.880767,544.1323261069465,419.10989601259917,418.06520670051873,0.87715,-0.03787137744873059
7.0,0.87715,544.1872728248345,420.9655151720575,419.9199511479836,0.878035,-0.0369866203099789
8.0,0.876667,544.2422195427225,422.8207596447368,421.77432108529143,0.87715,-0.03787189824809323
9.0,0.878124,544.2971662606105,424.6756295441076,423.62831662585916,0.876667,-0.03835521170396461
10.0,0.87469,544.3521129784986,426.5301249836012,425.48193788306463,0.876667,-0.03835555934808854
11.0,0.875327,544.4070596963866,428.3842460765992,427.335184970236,0.875327,-0.03969594431245693
12.0,0.880263,544.4620064142747,430.23799293643964,429.188058000658,0.875172,-0.039851366017112255
13.0,0.874087,544.5169531321627,432.0913656764066,431.04055708756107,0.875327,-0.03969681995603003
14.0,0.875172,544.5718998500507,433.94436440974926,432.89268234414124,0.875172,-0.0398523117652998
15.0,0.876428,544.6268465679387,435.796989249667,434.7444338835444,0.874798,-0.04022684045724134
16.0,0.87246,544.6817932858268,437.64924030931155,436.595811818869,0.875172,-0.03985340488742617
17.0,0.874798,544.7367400037148,439.5011177017933,438.4468162631721,0.874798,-0.040228008669405346
18.0,0.878817,544.7916867216028,441.3526215401708,440.29744732945886,0.874127,-0.04089964967618609
19.0,0.873865,544.8466334394908,443.2037519374655,442.1477051306976,0.874798,-0.040229324241997544
20.0,0.874127,544.9015801573789,445.0545090066492,443.9975897798068,0.876387,-0.03864103688319098
21.0,0.877266,544.956526875267,446.9048928606393,445.8471013896506,0.874237,-0.04079178736189015
22.0,0.876387,545.011473593155,448.7549036123208,447.6962400730609,0.874788,-0.04024157281771079
23.0,0.874237,545.066420311043,450.60454137452666,449.54500594281734,0.874788,-0.04024239405319263
24.0,0.874788,545.121367028931,452.45380626004857,451.3933991116585,0.874311,-0.040720253028035946
25.0,0.874297,545.176313746819,454.30269838162616,453.2414196922709,0.874311,-0.040721149241233934
