Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.792476,543.8026457996183,407.9683062731482,406.92886894508683,0.792476,-0.04009532516077796
1.0,0.79273,543.8575925175063,409.826175938805,408.78586283789423,0.792476,-0.040095362311847516
2.0,0.796399,543.9125392353943,411.68367023587587,410.6424815390589,0.792476,-0.040095436382025285
3.0,0.790984,543.9674859532823,413.54078927811076,412.49872516227737,0.792476,-0.04009554401552062
4.0,0.791686,544.0224326711705,415.3975331792144,414.3545938212007,0.792476,-0.0400956901621452
5.0,0.792476,544.0773793890585,417.25390205283935,416.2100876294278,0.792476,-0.04009587418143157
6.0,0.792679,544.1323261069465,419.10989601259917,418.06520670051873,0.792679,-0.03989309535225505
7.0,0.793266,544.1872728248345,420.9655151720575,419.9199511479836,0.793157,-0.03941535348939629
8.0,0.793157,544.2422195427225,422.8207596447368,421.77432108529143,0.793157,-0.03941564805679221
9.0,0.794431,544.2971662606105,424.6756295441076,423.62831662585916,0.793266,-0.0393069791542936
10.0,0.791507,544.3521129784986,426.5301249836012,425.48193788306463,0.79332,-0.039253345617569435
11.0,0.79332,544.4070596963866,428.3842460765992,427.335184970236,0.79332,-0.03925375011828658
12.0,0.798124,544.4620064142747,430.23799293643964,429.188058000658,0.792139,-0.04043519100110504
13.0,0.792139,544.5169531321627,432.0913656764066,431.04055708756107,0.79332,-0.03925466386878085
14.0,0.791648,544.5718998500507,433.94436440974926,432.89268234414124,0.792629,-0.039946174198104534
15.0,0.794983,544.6268465679387,435.796989249667,434.7444338835444,0.792629,-0.03994672243773578
16.0,0.792629,544.6817932858268,437.64924030931155,436.595811818869,0.793287,-0.039289305540555985
17.0,0.793287,544.7367400037148,439.5011177017933,438.4468162631721,0.793287,-0.03928992565895073
18.0,0.794625,544.7916867216028,441.3526215401708,440.29744732945886,0.792629,-0.039948582192312454
19.0,0.791463,544.8466334394908,443.2037519374655,442.1477051306976,0.793287,-0.039291273917953506
20.0,0.791527,544.9015801573789,445.0545090066492,443.9975897798068,0.792724,-0.03985500372537709
21.0,0.79443,544.956526875267,446.9048928606393,445.8471013896506,0.791527,-0.041052771556795875
22.0,0.792724,545.011473593155,448.7549036123208,447.6962400730609,0.791527,-0.04105357476071714
23.0,0.790996,545.066420311043,450.60454137452666,449.54500594281734,0.791837,-0.04074441489707814
24.0,0.791379,545.121367028931,452.45380626004857,451.3933991116585,0.791837,-0.04074529354399592
25.0,0.791837,545.176313746819,454.30269838162616,453.2414196922709,0.791837,-0.04074621035276549
26.0,0.792339,545.231260464707,456.1512178519601,455.089067797302,0.792339,-0.04024516490615926
27.0,0.792896,545.286207182595,457.9993647837034,456.9363435393518,0.792339,-0.040246156746667094
28.0,0.793786,545.3411539004832,459.8471392894656,458.78324703097667,0.792896,-0.03969018536640412
29.0,0.791711,545.3961006183712,461.694541481802,460.6297783846789,0.792954,-0.0396332499529547
30.0,0.792954,545.4510473362592,463.5415714732312,462.4759377129241,0.793786,-0.038802352402575346
31.0,0.798788,545.5059940541472,465.38822937622393,464.32172512812986,0.79487,-0.03771949158116561
32.0,0.797985,545.5609407720352,467.2345153032098,466.16714074267287,0.79487,-0.03772066214882652
33.0,0.79487,545.6158874899232,469.0804293665642,468.0121846688756,0.796238,-0.036353864843026606
34.0,0.794466,545.6708342078113,470.92597167862783,469.8568570190257,0.79487,-0.03772310251762989
35.0,0.796238,545.7257809256993,472.771142351685,471.7011579053546,0.79487,-0.03772437554322361
36.0,0.794507,545.7807276435874,474.6159414979875,473.54508744006114,0.795581,-0.03701468229930471
37.0,0.795581,545.8356743614754,476.46036922972854,475.38864573528565,0.796238,-0.03635902437108707
38.0,0.798323,545.8906210793634,478.3044256590624,477.2318329031296,0.798323,-0.03427540077710467
39.0,0.827086,545.9455677972514,480.148110898102,479.07464905565297,0.799543,-0.033056809006409504
40.0,0.799543,546.0005145151395,481.9914250589084,480.91709430486407,0.801296,-0.03130522240800304
41.0,0.803026,546.0554612330275,483.8343682535035,482.759168762732,0.803026,-0.0295766665160081
42.0,0.801296,546.1104079509155,485.6769405938593,484.6008725411759,0.803026,-0.029578138130729514
43.0,0.805276,546.1653546688035,487.51914219190456,486.4422057520718,0.805276,-0.027329638844352133
44.0,0.811006,546.2203013866916,489.36097315952895,488.2831685072567,0.811006,-0.02160116499523712
45.0,0.816458,546.2752481045796,491.2024336085614,490.1237609185067,0.816458,-0.016150711292765574
46.0,0.821228,546.3301948224677,493.0435236508005,491.9639830975678,0.821228,-0.011382272682856964
47.0,0.833112,546.3851415403557,494.8842433979972,493.8038351561381,0.833112,0.0005001552723784553
48.0,0.843705,546.4400882582437,496.72459296185025,495.643317205864,0.843705,0.011091583697790952
49.0,0.853148,546.4950349761317,498.5645724540238,497.4824293583567,0.853148,0.02053302258953882
50.0,0.865139,546.5499816940197,500.40418198612787,499.32117172517377,0.865139,0.032522480922344554
