,Pixels #,Intensity (a.u.),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.),Wavelength (nm)
0,0.0,7.54278,7.5386,-0.01871455583889947,543.8026457996183
1,1.0,7.5386,7.54019,-0.017124574456452102,543.8575925175063
2,2.0,7.54019,7.5386,-0.018714610113251595,543.9125392353943
3,3.0,7.53772,7.53997,-0.01734466438765736,543.9674859532823
4,4.0,7.53997,7.53934,-0.017974735919821683,544.0224326711705
5,5.0,7.53934,7.53977,-0.01754482533522861,544.0773793890585
6,6.0,7.53977,7.53934,-0.017974932207105887,544.1323261069465
7,7.0,7.53819,7.53843,-0.018885056962421487,544.1872728248345
8,8.0,7.53843,7.53843,-0.018885200504501043,544.2422195427225
9,9.0,7.53918,7.53918,-0.018135362833485935,544.2971662606105
10,10.0,7.53924,7.53918,-0.018135543205154647,544.3521129784986
11,11.0,7.5382,7.53924,-0.01807574161968617,544.4070596963866
12,12.0,7.54265,7.54139,-0.015925958017720454,544.4620064142747
13,13.0,7.54139,7.54139,-0.015926190264759832,544.5169531321627
14,14.0,7.53673,7.54002,-0.01729643836103456,544.5718998500507
15,15.0,7.54002,7.53937,-0.017946703667183428,544.6268465679387
16,16.0,7.53937,7.5396,-0.01771698682874323,544.6817932858268
17,17.0,7.5396,7.5396,-0.0177172876176801,544.7367400037148
18,18.0,7.54102,7.5396,-0.017717606034289624,544.7916867216028
19,19.0,7.53841,7.53984,-0.017477942078889086,544.8466334394908
20,20.0,7.53984,7.53984,-0.017478295513551956,544.9015801573789
21,21.0,7.53993,7.53984,-0.017478666338629267,544.956526875267
22,22.0,7.53734,7.53993,-0.017389054554487693,545.011473593155
23,23.0,7.54251,7.54029,-0.01702946007216255,545.066420311043
24,24.0,7.54029,7.54029,-0.017029882534632,545.121367028931
25,25.0,7.54015,7.54018,-0.017140321942314074,545.176313746819
26,26.0,7.54018,7.54015,-0.017170778404862475,545.231260464707
27,27.0,7.53967,7.54018,-0.017141251952511816,545.286207182595
28,28.0,7.54024,7.53967,-0.017651742555948147,545.3411539004832
29,29.0,7.53834,7.54024,-0.017082250721978554,545.3961006183712
30,30.0,7.54069,7.53876,-0.018562775885212268,545.4510473362592
31,31.0,7.53876,7.54069,-0.01663331951533653,545.5059940541472
32,32.0,7.54231,7.54067,-0.016653879696906237,545.5609407720352
33,33.0,7.54067,7.54067,-0.01665445645033614,545.6158874899232
34,34.0,7.53974,7.53974,-0.017585049776197792,545.6708342078113
35,35.0,7.53948,7.53948,-0.017845660598434954,545.7257809256993
36,36.0,7.53937,7.53948,-0.017846289175756702,545.7807276435874
37,37.0,7.54171,7.53972,-0.01760693550878578,545.8356743614754
38,38.0,7.53972,7.54171,-0.015617599359912582,545.8906210793634
39,39.0,7.55074,7.54042,-0.016908278753753336,545.9455677972514
40,40.0,7.54042,7.54042,-0.01690897497204702,546.0005145151395
41,41.0,7.54006,7.54006,-0.01726968801548079,546.0554612330275
42,42.0,7.53838,7.53838,-0.018950418242193123,546.1104079509155
43,43.0,7.53773,7.53838,-0.018951167320487627,546.1653546688035
44,44.0,7.54039,7.54001,-0.017321935251105813,546.2203013866916
45,45.0,7.54001,7.54001,-0.017322720416866666,546.2752481045796
46,46.0,7.53929,7.54001,-0.01732352281854954,546.3301948224677
47,47.0,7.54037,7.54037,-0.01696434245694789,546.3851415403557
48,48.0,7.54331,7.54037,-0.016965178975447692,546.4400882582437
49,49.0,7.53891,7.5401,-0.017236032374877475,546.4950349761317
50,50.0,7.5401,7.53891,-0.018426902924152166,546.5499816940197
51,51.0,7.53824,7.5401,-0.017237791805419178,546.6049284119077
52,52.0,7.54117,7.53946,-0.017878697838274782,546.6598751297959
53,53.0,7.53946,7.54117,-0.016169621658973732,546.7148218476839
54,54.0,7.54374,7.54079,-0.01655056157060475,546.7697685655719
55,55.0,7.54079,7.54112,-0.016221517951457542,546.8247152834599
56,56.0,7.54112,7.54079,-0.016552490474774473,546.8796620013479
57,57.0,7.53989,7.54112,-0.016223479469223534,546.9346087192359
58,58.0,7.54124,7.54124,-0.016104484608081115,546.989555437124
59,59.0,7.54257,7.54257,-0.014775505773170217,547.044502155012
60,60.0,7.5427,7.54257,-0.01477654164444342,547.0994488729001
61,61.0,7.53893,7.53903,-0.01831759222292728,547.1543955907881
62,62.0,7.53903,7.53903,-0.018318661024876448,547.2093423086761
63,63.0,7.53951,7.53951,-0.017839748051350135,547.2642890265641
64,64.0,7.54014,7.53951,-0.01784085282696868,547.3192357444522
65,65.0,7.53884,7.54014,-0.01721197535282748,547.3741824623402
66,66.0,7.54117,7.54029,-0.017063115004604335,547.4291291802282
67,67.0,7.54029,7.54045,-0.016904271634499146,547.4840758981162
68,68.0,7.54045,7.54045,-0.016905445084796078,547.5390226160043
69,69.0,7.54067,7.54067,-0.016686635356656154,547.5939693338923
70,70.0,7.54253,7.54253,-0.014827842232812749,547.6489160517804
71,71.0,7.54304,7.54304,-0.014319063867116455,547.7038627696684
72,72.0,7.54452,7.54304,-0.014320299754096766,547.7588094875564
73,73.0,7.54106,7.54106,-0.016301549894978784,547.8137562054444
74,74.0,7.53696,7.54106,-0.016302816257750763,547.8687029233324
75,75.0,7.54194,7.54018,-0.017184098843666007,547.9236496412205
76,76.0,7.54018,7.54018,-0.017185398527788998,547.9785963591086
77,77.0,7.53964,7.53969,-0.01767671531140458,548.0335430769966
78,78.0,7.53969,7.53964,-0.01772804968227515,548.0884897948846
79,79.0,7.53928,7.53969,-0.017679401691357732,548.1434365127726
80,80.0,7.54069,7.54069,-0.016680771290355167,548.1983832306606
81,81.0,7.54398,7.54228,-0.015092157487787361,548.2533299485486
82,82.0,7.54228,7.54228,-0.015093558705902232,548.3082766664367
83,83.0,7.53759,7.54103,-0.016344974946087554,548.3632233843248
84,84.0,7.54103,7.54067,-0.01670640745124974,548.4181701022128
85,85.0,7.54067,7.54103,-0.016347856580287257,548.4731168201008
86,86.0,7.55215,7.54354,-0.013839321977155095,548.5280635379888
87,87.0,7.54354,7.54354,-0.013840801149973103,548.5830102558768
88,88.0,7.53675,7.54202,-0.01536229410020784,548.6379569737649
89,89.0,7.54202,7.53927,-0.018113802339432716,548.6929036916529
90,90.0,7.53927,7.54202,-0.015365328599737715,548.7478504095409
91,91.0,7.54559,7.5411,-0.01628687015204111,548.802797127429
92,92.0,7.5411,7.5411,-0.016288427911588244,548.857743845317
93,93.0,7.54068,7.5411,-0.0162900018799208,548.912690563205
94,94.0,7.54258,7.54117,-0.016221592058597523,548.9676372810931
