Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.817151,543.8026457996183,407.9683062731482,406.92886894508683,0.817,0.010494964552887454
1.0,0.817,543.8575925175063,409.826175938805,408.78586283789423,0.817,0.010494964552887454
2.0,0.820865,543.9125392353943,411.68367023587587,410.6424815390589,0.817151,0.010645964552887466
3.0,0.816597,543.9674859532823,413.54078927811076,412.49872516227737,0.818679,0.01217396455288755
4.0,0.818679,544.0224326711705,415.3975331792144,414.3545938212007,0.818679,0.01217396455288755
5.0,0.819002,544.0773793890585,417.25390205283935,416.2100876294278,0.818679,0.01217396455288755
6.0,0.817612,544.1323261069465,419.10989601259917,418.06520670051873,0.818679,0.01217396455288755
7.0,0.818896,544.1872728248345,420.9655151720575,419.9199511479836,0.818896,0.012390964552887462
8.0,0.818613,544.2422195427225,422.8207596447368,421.77432108529143,0.818613,0.01210796455288754
9.0,0.819161,544.2971662606105,424.6756295441076,423.62831662585916,0.818896,0.012390964552887462
10.0,0.817002,544.3521129784986,426.5301249836012,425.48193788306463,0.819161,0.012655964552887533
11.0,0.819706,544.4070596963866,428.3842460765992,427.335184970236,0.819161,0.012655964552887533
12.0,0.823425,544.4620064142747,430.23799293643964,429.188058000658,0.817018,0.010512964552887527
13.0,0.817018,544.5169531321627,432.0913656764066,431.04055708756107,0.819706,0.01320096455288755
14.0,0.815694,544.5718998500507,433.94436440974926,432.89268234414124,0.817505,0.010999964552887542
15.0,0.820194,544.6268465679387,435.796989249667,434.7444338835444,0.817076,0.01057096455288753
16.0,0.817505,544.6817932858268,437.64924030931155,436.595811818869,0.817505,0.010999964552887542
17.0,0.817076,544.7367400037148,439.5011177017933,438.4468162631721,0.817505,0.010999964552887542
18.0,0.819841,544.7916867216028,441.3526215401708,440.29744732945886,0.817076,0.01057096455288753
19.0,0.816366,544.8466334394908,443.2037519374655,442.1477051306976,0.817076,0.01057096455288753
20.0,0.81628,544.9015801573789,445.0545090066492,443.9975897798068,0.81869,0.012184964552887534
21.0,0.819398,544.956526875267,446.9048928606393,445.8471013896506,0.816366,0.009860964552887541
22.0,0.81869,545.011473593155,448.7549036123208,447.6962400730609,0.81628,0.00977496455288751
23.0,0.816212,545.066420311043,450.60454137452666,449.54500594281734,0.816918,0.010412964552887538
24.0,0.815794,545.121367028931,452.45380626004857,451.3933991116585,0.816399,0.009893964552887491
25.0,0.816918,545.176313746819,454.30269838162616,453.2414196922709,0.816399,0.009893964552887491
26.0,0.816399,545.231260464707,456.1512178519601,455.089067797302,0.816918,0.010412964552887538
27.0,0.81781,545.286207182595,457.9993647837034,456.9363435393518,0.816918,0.010412964552887538
28.0,0.81809,545.3411539004832,459.8471392894656,458.78324703097667,0.81781,0.011304964552887542
29.0,0.816187,545.3961006183712,461.694541481802,460.6297783846789,0.81809,0.011584964552887489
30.0,0.818507,545.4510473362592,463.5415714732312,462.4759377129241,0.818507,0.01200196455288749
31.0,0.823602,545.5059940541472,465.38822937622393,464.32172512812986,0.818507,0.01200196455288749
32.0,0.822755,545.5609407720352,467.2345153032098,466.16714074267287,0.818507,0.01200196455288749
33.0,0.818488,545.6158874899232,469.0804293665642,468.0121846688756,0.819694,0.013188964552887539
34.0,0.817635,545.6708342078113,470.92597167862783,469.8568570190257,0.818488,0.011982964552887498
35.0,0.819694,545.7257809256993,472.771142351685,471.7011579053546,0.818091,0.011585964552887518
36.0,0.816685,545.7807276435874,474.6159414979875,473.54508744006114,0.818091,0.011585964552887518
37.0,0.818091,545.8356743614754,476.46036922972854,475.38864573528565,0.818813,0.012307964552887518
38.0,0.818813,545.8906210793634,478.3044256590624,477.2318329031296,0.818291,0.011785964552887496
39.0,0.848266,545.9455677972514,480.148110898102,479.07464905565297,0.818813,0.012307964552887518
40.0,0.818291,546.0005145151395,481.9914250589084,480.91709430486407,0.818813,0.012307964552887518
41.0,0.819995,546.0554612330275,483.8343682535035,482.759168762732,0.818291,0.011785964552887496
42.0,0.815478,546.1104079509155,485.6769405938593,484.6008725411759,0.818291,0.011785964552887496
43.0,0.816575,546.1653546688035,487.51914219190456,486.4422057520718,0.817578,0.011072964552887532
44.0,0.819271,546.2203013866916,489.36097315952895,488.2831685072567,0.8167,0.010194964552887487
45.0,0.817578,546.2752481045796,491.2024336085614,490.1237609185067,0.817578,0.011072964552887532
46.0,0.8167,546.3301948224677,493.0435236508005,491.9639830975678,0.819271,0.012765964552887477
47.0,0.820007,546.3851415403557,494.8842433979972,493.8038351561381,0.819672,0.013166964552887461
48.0,0.821096,546.4400882582437,496.72459296185025,495.643317205864,0.819672,0.013166964552887461
49.0,0.819672,546.4950349761317,498.5645724540238,497.4824293583567,0.819672,0.013166964552887461
