Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.826028,543.8026457996183,407.9683062731482,406.92886894508683,0.825997,0.028783752167037213
1.0,0.825997,543.8575925175063,409.826175938805,408.78586283789423,0.825997,0.028783752167037213
2.0,0.829224,543.9125392353943,411.68367023587587,410.6424815390589,0.825997,0.028783752167037213
3.0,0.823452,543.9674859532823,413.54078927811076,412.49872516227737,0.82584,0.02862675216703725
4.0,0.825486,544.0224326711705,415.3975331792144,414.3545938212007,0.825486,0.028272752167037285
5.0,0.82584,544.0773793890585,417.25390205283935,416.2100876294278,0.825486,0.028272752167037285
6.0,0.825072,544.1323261069465,419.10989601259917,418.06520670051873,0.82584,0.02862675216703725
7.0,0.82614,544.1872728248345,420.9655151720575,419.9199511479836,0.82614,0.028926752167037217
8.0,0.826255,544.2422195427225,422.8207596447368,421.77432108529143,0.82614,0.028926752167037217
9.0,0.827237,544.2971662606105,424.6756295441076,423.62831662585916,0.826255,0.029041752167037194
10.0,0.825412,544.3521129784986,426.5301249836012,425.48193788306463,0.827237,0.030023752167037232
11.0,0.827501,544.4070596963866,428.3842460765992,427.335184970236,0.827237,0.030023752167037232
12.0,0.830912,544.4620064142747,430.23799293643964,429.188058000658,0.825651,0.028437752167037256
13.0,0.825651,544.5169531321627,432.0913656764066,431.04055708756107,0.827501,0.030287752167037274
14.0,0.823978,544.5718998500507,433.94436440974926,432.89268234414124,0.8261,0.028886752167037177
15.0,0.82826,544.6268465679387,435.796989249667,434.7444338835444,0.8261,0.028886752167037177
16.0,0.8261,544.6817932858268,437.64924030931155,436.595811818869,0.826439,0.029225752167037267
17.0,0.826439,544.7367400037148,439.5011177017933,438.4468162631721,0.826439,0.029225752167037267
18.0,0.827756,544.7916867216028,441.3526215401708,440.29744732945886,0.8261,0.028886752167037177
19.0,0.823351,544.8466334394908,443.2037519374655,442.1477051306976,0.825534,0.028320752167037222
20.0,0.824273,544.9015801573789,445.0545090066492,443.9975897798068,0.825534,0.028320752167037222
21.0,0.825534,544.956526875267,446.9048928606393,445.8471013896506,0.824273,0.027059752167037265
22.0,0.826463,545.011473593155,448.7549036123208,447.6962400730609,0.824273,0.027059752167037265
23.0,0.823862,545.066420311043,450.60454137452666,449.54500594281734,0.824997,0.027783752167037212
24.0,0.82298,545.121367028931,452.45380626004857,451.3933991116585,0.824997,0.027783752167037212
25.0,0.824997,545.176313746819,454.30269838162616,453.2414196922709,0.824997,0.027783752167037212
26.0,0.825073,545.231260464707,456.1512178519601,455.089067797302,0.825073,0.027859752167037177
27.0,0.825166,545.286207182595,457.9993647837034,456.9363435393518,0.825073,0.027859752167037177
28.0,0.825657,545.3411539004832,459.8471392894656,458.78324703097667,0.825073,0.027859752167037177
29.0,0.82339,545.3961006183712,461.694541481802,460.6297783846789,0.825166,0.027952752167037187
30.0,0.82466,545.4510473362592,463.5415714732312,462.4759377129241,0.825657,0.028443752167037206
31.0,0.829671,545.5059940541472,465.38822937622393,464.32172512812986,0.826852,0.029638752167037263
32.0,0.828937,545.5609407720352,467.2345153032098,466.16714074267287,0.826852,0.029638752167037263
33.0,0.826852,545.6158874899232,469.0804293665642,468.0121846688756,0.826852,0.029638752167037263
