Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.805623,543.8026457996183,407.9683062731482,406.92886894508683,0.8049,-0.012202517906478527
1.0,0.8049,543.8575925175063,409.826175938805,408.78586283789423,0.8049,-0.012202528523799105
2.0,0.809142,543.9125392353943,411.68367023587587,410.6424815390589,0.8049,-0.012202550416317681
3.0,0.803382,543.9674859532823,413.54078927811076,412.49872516227737,0.8049,-0.012202579705969385
4.0,0.804597,544.0224326711705,415.3975331792144,414.3545938212007,0.805144,-0.011958621647974677
5.0,0.805144,544.0773793890585,417.25390205283935,416.2100876294278,0.805144,-0.01195867514058202
6.0,0.805179,544.1323261069465,419.10989601259917,418.06520670051873,0.805179,-0.011923739686634405
7.0,0.805838,544.1872728248345,420.9655151720575,419.9199511479836,0.805838,-0.01126481525434797
8.0,0.806801,544.2422195427225,422.8207596447368,421.77432108529143,0.805838,-0.011264901243757897
9.0,0.807257,544.2971662606105,424.6756295441076,423.62831662585916,0.806436,-0.010666996776208082
10.0,0.804578,544.3521129784986,426.5301249836012,425.48193788306463,0.806801,-0.010302101434894517
11.0,0.806436,544.4070596963866,428.3842460765992,427.335184970236,0.806436,-0.010667217661843975
12.0,0.810533,544.4620064142747,430.23799293643964,429.188058000658,0.805463,-0.011640343765430106
13.0,0.805463,544.5169531321627,432.0913656764066,431.04055708756107,0.806436,-0.010667475985587704
14.0,0.804091,544.5718998500507,433.94436440974926,432.89268234414124,0.805463,-0.011640618969574246
15.0,0.807764,544.6268465679387,435.796989249667,434.7444338835444,0.805463,-0.011640773964284312
16.0,0.804702,544.6817932858268,437.64924030931155,436.595811818869,0.806242,-0.010861937621794326
17.0,0.806242,544.7367400037148,439.5011177017933,438.4468162631721,0.806242,-0.010862112735628981
18.0,0.807204,544.7916867216028,441.3526215401708,440.29744732945886,0.804702,-0.012402297903895354
19.0,0.803756,544.8466334394908,443.2037519374655,442.1477051306976,0.806242,-0.010862492247997069
20.0,0.804319,544.9015801573789,445.0545090066492,443.9975897798068,0.805825,-0.01127969890727798
21.0,0.806388,544.956526875267,446.9048928606393,445.8471013896506,0.804319,-0.01278591737131396
22.0,0.805825,545.011473593155,448.7549036123208,447.6962400730609,0.804319,-0.012786145757247791
23.0,0.802888,545.066420311043,450.60454137452666,449.54500594281734,0.804169,-0.012936384578704496
24.0,0.803392,545.121367028931,452.45380626004857,451.3933991116585,0.804169,-0.012936636501778565
25.0,0.804169,545.176313746819,454.30269838162616,453.2414196922709,0.804169,-0.01293690107069223
26.0,0.804656,545.231260464707,456.1512178519601,455.089067797302,0.804656,-0.012450177581480704
27.0,0.804939,545.286207182595,457.9993647837034,456.9363435393518,0.804656,-0.012450465592267257
28.0,0.806442,545.3411539004832,459.8471392894656,458.78324703097667,0.804939,-0.012167764846117146
29.0,0.804018,545.3961006183712,461.694541481802,460.6297783846789,0.80552,-0.011587073974158812
30.0,0.80552,545.4510473362592,463.5415714732312,462.4759377129241,0.806442,-0.010665395182021808
31.0,0.811291,545.5059940541472,465.38822937622393,464.32172512812986,0.806543,-0.01056472710513967
32.0,0.809986,545.5609407720352,467.2345153032098,466.16714074267287,0.806543,-0.010565064448542105
33.0,0.806543,545.6158874899232,469.0804293665642,468.0121846688756,0.808671,-0.00843740841709506
34.0,0.806093,545.6708342078113,470.92597167862783,469.8568570190257,0.806543,-0.010565762169046256
35.0,0.808671,545.7257809256993,472.771142351685,471.7011579053546,0.806094,-0.011015126115297091
36.0,0.804474,545.7807276435874,474.6159414979875,473.54508744006114,0.806094,-0.011015497897184257
37.0,0.806094,545.8356743614754,476.46036922972854,475.38864573528565,0.808547,-0.008562881347149554
38.0,0.808547,545.8906210793634,478.3044256590624,477.2318329031296,0.806827,-0.01028327499145576
39.0,0.83679,545.9455677972514,480.148110898102,479.07464905565297,0.808547,-0.008563676586235913
40.0,0.806827,546.0005145151395,481.9914250589084,480.91709430486407,0.808547,-0.008564059211872088
41.0,0.810444,546.0554612330275,483.8343682535035,482.759168762732,0.808076,-0.00903545136378825
42.0,0.806387,546.1104079509155,485.6769405938593,484.6008725411759,0.808076,-0.009035849721578781
43.0,0.808076,546.1653546688035,487.51914219190456,486.4422057520718,0.810444,-0.006668258008097339
44.0,0.811214,546.2203013866916,489.36097315952895,488.2831685072567,0.811214,-0.0058986746788531885
45.0,0.812369,546.2752481045796,491.2024336085614,490.1237609185067,0.812369,-0.0047440968454913746
46.0,0.813473,546.3301948224677,493.0435236508005,491.9639830975678,0.813473,-0.0036405234390435304
47.0,0.818723,546.3851415403557,494.8842433979972,493.8038351561381,0.818723,0.0016090465653088026
48.0,0.822403,546.4400882582437,496.72459296185025,495.643317205864,0.822403,0.005288618083839736
49.0,0.824377,546.4950349761317,498.5645724540238,497.4824293583567,0.824377,0.007262194603535388
50.0,0.826047,546.5499816940197,500.40418198612787,499.32117172517377,0.826047,0.008931778008700264
51.0,0.829929,546.6049284119077,502.2434216697355,501.1595444178356,0.829929,0.012813369901075733
52.0,0.836591,546.6598751297959,504.082291616372,502.99754754781503,0.836591,0.019474974031925774
53.0,0.839145,546.7148218476839,505.9207919375108,504.8351812265328,0.839145,0.02202859692916459
54.0,0.854125,546.7697685655719,507.7589227445883,506.67244556537287,0.845151,0.028034241125527104
55.0,0.845151,546.8247152834599,509.5966841489976,508.50934067567584,0.853036,0.03591892182329559
56.0,0.85382,546.8796620013479,511.434076262082,510.3458666687324,0.85382,0.036702629843454626
57.0,0.853036,546.9346087192359,513.2710991951413,512.1820236557901,0.85382,0.03670237404866172
58.0,0.85512,546.989555437124,515.107753059432,514.0178117480527,0.85512,0.038002153628742485
59.0,0.858971,547.044502155012,516.9440379661651,515.8532310566791,0.858971,0.04185297073950556
60.0,0.863905,547.0994488729001,518.7799540265102,517.6882816927863,0.863905,0.04678682939571788
61.0,0.864342,547.1543955907881,520.6155013515807,519.5229637674354,0.864342,0.047223734800054484
62.0,0.864504,547.2093423086761,522.4506800524599,521.3572773916572,0.864504,0.047385687416262035
63.0,0.86707,547.2642890265641,524.2854902401785,523.1912226764304,0.86707,0.049951687416260104
64.0,0.871994,547.3192357444522,526.1199320257242,525.0247997326899,0.871994,0.054875687416258256
