Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.793752,545.6871717927984,471.474644406437,376.69249968502714,0.79297,-0.0013156564076549637
1.0,0.79297,545.742075526874,473.31826138821265,378.55306761392137,0.79297,-0.0013156569397635431
2.0,0.797229,545.7969792609497,475.16150745750355,380.41326122001414,0.793067,-0.0012186587825964157
3.0,0.792034,545.8518829950253,477.004382726234,382.27308061625865,0.793067,-0.001218660625429302
4.0,0.793067,545.906786729101,478.8468873062829,384.13252591556267,0.793234,-0.0010516647091958209
5.0,0.793874,545.9616904631766,480.6890213094814,385.99159723078543,0.793234,-0.0010516700071864227
6.0,0.793234,546.0165941972523,482.5307848476193,387.85029467474465,0.793874,-0.000411675715707549
7.0,0.79408,546.0714979313279,484.37217803244107,389.70861836021214,0.794046,-0.00023968247226258121
8.0,0.794046,546.1264016654036,486.2132009756412,391.56656839990944,0.794046,-0.00023968943397678633
9.0,0.795583,546.1813053994792,488.05385378887513,393.4241449065185,0.79408,-0.00020569663476177613
10.0,0.792622,546.2362091335549,489.89413658375065,395.2813479926734,0.794792,0.000506297460575289
11.0,0.794792,546.2911128676304,491.73404947183,397.138177770962,0.794792,0.0005062898990753073
12.0,0.798832,546.3460166017061,493.57359256463644,398.994634353933,0.792622,-0.0016637171570312859
13.0,0.792519,546.4009203357817,495.41276597364106,400.85071785408246,0.794792,0.0005062757868621315
14.0,0.792349,546.4558240698574,497.25156981027163,402.7064283838626,0.79275,-0.0015357330284804238
15.0,0.796013,546.510727803933,499.09000418591484,404.5617660556842,0.79275,-0.0015357437719901723
16.0,0.79275,546.5656315380087,500.92806921190953,406.4167309819099,0.793666,-0.0006197527890084986
17.0,0.793666,546.6205352720843,502.76576499954905,408.27132327485623,0.793666,-0.0006197633356550547
18.0,0.795744,546.67543900616,504.60309166008335,410.1255430467961,0.79275,-0.0015357745002091416
19.0,0.791149,546.7303427402356,506.44004930472124,411.97939040996073,0.793666,-0.000619784207610552
20.0,0.792183,546.7852464743113,508.2766380446195,413.832865476529,0.793405,-0.0008807970338440274
21.0,0.794212,546.840150208387,510.112857990898,415.68596835864247,0.792183,-0.0021028119531953937
22.0,0.793405,546.8950539424626,511.9487092546246,417.53869916839,0.792183,-0.0021028269461814686
23.0,0.791273,546.9499576765382,513.784191946828,419.3910580178213,0.7925,-0.0017858428171072527
24.0,0.791506,547.0048614106139,515.6193061784894,421.2430450189382,0.791942,-0.0023438616840366633
25.0,0.7925,547.0597651446895,517.4540520605486,423.0946602837001,0.791942,-0.0023438833159921124
26.0,0.791942,547.1146688787652,519.288429703898,424.9459039240192,0.7925,-0.001785906726223585
27.0,0.793345,547.1695726128409,521.1224392193841,426.7967760517611,0.7925,-0.001785932468959528
28.0,0.794043,547.2244763469165,522.9560807178145,428.6472767787524,0.792805,-0.0014809591494822083
29.0,0.791722,547.2793800809922,524.7893543099472,430.4974062167692,0.793345,-0.0009409860723359476
30.0,0.792805,547.3342838150678,526.6222601064962,432.3471644775436,0.794043,-0.00024301554609107434
31.0,0.799398,547.3891875491433,528.4547982181329,434.19655167276443,0.793822,-0.0004640464950422807
32.0,0.797268,547.444091283219,530.2869687554869,436.0455679140786,0.793822,-0.0004640774439934603
33.0,0.793822,547.4989950172946,532.1187718291382,437.89421331308273,0.795418,0.001131891607055291
34.0,0.793814,547.5538987513703,533.9502075496233,439.7424879813298,0.793822,-0.0004641398046926204
35.0,0.795418,547.608802485446,535.7812760274378,441.5903920303311,0.793814,-0.00047217168724200675
36.0,0.792209,547.6637062195216,537.6119773730313,443.43792557155194,0.793814,-0.00047220243919865457
37.0,0.793668,547.7186099535973,539.4423116968062,445.2850887164097,0.795397,0.0011107647411481292
38.0,0.795397,547.7735136876729,541.2722791091231,447.1318815762798,0.79386,-0.00042626869488970875
39.0,0.825636,547.8284174217486,543.1018797203021,448.97830426249647,0.795397,0.0011106989785656385
40.0,0.79386,547.8833211558242,544.9311136406106,450.82435688634115,0.795397,0.0011106666520209751
41.0,0.796488,547.9382248898999,546.7599809802796,452.6700395590581,0.79386,-0.00042636609966961725
42.0,0.790901,547.9931286239755,548.5884818494922,454.5153523918438,0.793396,-0.00089039885136033
43.0,0.791947,548.0480323580512,550.4166163583859,456.3602954958482,0.793335,-0.0009514349681589707
44.0,0.793396,548.1029360921268,552.2443846170595,458.2048689821825,0.791947,-0.002339473413020987
45.0,0.793335,548.1578398262025,554.0717867355614,460.0490729619069,0.793335,-0.0009515127454269301
