Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.79666,545.6871717927984,471.474644406437,376.69249968502714,0.796536,-0.030212128121059223
1.0,0.796536,545.742075526874,473.31826138821265,378.55306761392137,0.796536,-0.030212156221395836
2.0,0.800413,545.7969792609497,475.16150745750355,380.41326122001414,0.796536,-0.030212212536964933
3.0,0.794722,545.8518829950253,477.004382726234,382.27308061625865,0.796313,-0.030435293472607428
4.0,0.796135,545.906786729101,478.8468873062829,384.13252591556267,0.796313,-0.030435404303183256
5.0,0.796313,545.9616904631766,480.6890213094814,385.99159723078543,0.796313,-0.030435543720633174
6.0,0.79644,546.0165941972523,482.5307848476193,387.85029467474465,0.79644,-0.030308711560215418
7.0,0.797722,546.0714979313279,484.37217803244107,389.70861836021214,0.797301,-0.029447907704438947
8.0,0.797301,546.1264016654036,486.2132009756412,391.56656839990944,0.797301,-0.029448130965546104
9.0,0.798686,546.1813053994792,488.05385378887513,393.4241449065185,0.797722,-0.029027381733928714
10.0,0.795749,546.2362091335549,489.89413658375065,395.2813479926734,0.79801,-0.02873965872580664
11.0,0.79801,546.2911128676304,491.73404947183,397.138177770962,0.79801,-0.028739964663101913
12.0,0.801963,546.3460166017061,493.57359256463644,398.994634353933,0.796656,-0.03009429745122183
13.0,0.796656,546.4009203357817,495.41276597364106,400.85071785408246,0.79801,-0.02874065342181309
14.0,0.795344,546.4558240698574,497.25156981027163,402.7064283838626,0.796656,-0.03009503749863751
15.0,0.799352,546.510727803933,499.09000418591484,404.5617660556842,0.796656,-0.03009545089704202
16.0,0.79632,546.5656315380087,500.92806921190953,406.4167309819099,0.797065,-0.029686889902978186
17.0,0.797065,546.6205352720843,502.76576499954905,408.27132327485623,0.797065,-0.029687357327462638
18.0,0.798889,546.67543900616,504.60309166008335,410.1255430467961,0.79632,-0.030432852480718142
19.0,0.794427,546.7303427402356,506.44004930472124,411.97939040996073,0.797065,-0.029688373672221102
20.0,0.79555,546.7852464743113,508.2766380446195,413.832865476529,0.796869,-0.02988492503602136
21.0,0.798008,546.840150208387,510.112857990898,415.68596835864247,0.79555,-0.031204505533182214
22.0,0.796869,546.8950539424626,511.9487092546246,417.53869916839,0.79555,-0.031205112886974362
23.0,0.794742,546.9499576765382,513.784191946828,419.3910580178213,0.79597,-0.03078574815353341
24.0,0.795076,547.0048614106139,515.6193061784894,421.2430450189382,0.79597,-0.03078641330294729
25.0,0.79597,547.0597651446895,517.4540520605486,423.0946602837001,0.79597,-0.030787108026665733
26.0,0.796903,547.1146688787652,519.288429703898,424.9459039240192,0.796903,-0.02985483149760093
27.0,0.797313,547.1695726128409,521.1224392193841,426.7967760517611,0.796903,-0.029855582852161944
28.0,0.797718,547.2244763469165,522.9560807178145,428.6472767787524,0.796903,-0.02985636171109074
29.0,0.795262,547.2793800809922,524.7893543099472,430.4974062167692,0.797313,-0.029447167699705457
30.0,0.79686,547.3342838150678,526.6222601064962,432.3471644775436,0.797718,-0.02904300309369867
31.0,0.803327,547.3891875491433,528.4547982181329,434.19655167276443,0.798136,-0.02862586641391085
