Pixels #,Intensity (a.u.),Wavelength (nm),Raman shift (cm-1),Raman shift (cm-1) adjusted,Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,7.61407,545.6871717927984,471.474644406437,376.69249968502714,7.61398,0.019850564194603848
1.0,7.61398,545.742075526874,473.31826138821265,378.55306761392137,7.61398,0.019850564194603848
2.0,7.61547,545.7969792609497,475.16150745750355,380.41326122001414,7.61398,0.019850564194603848
3.0,7.60848,545.8518829950253,477.004382726234,382.27308061625865,7.61249,0.0183605641946043
4.0,7.61249,545.906786729101,478.8468873062829,384.13252591556267,7.61249,0.018360578543520134
5.0,7.61237,545.9616904631766,480.6890213094814,385.99159723078543,7.61237,0.01824061125272891
6.0,7.61434,546.0165941972523,482.5307848476193,387.85029467474465,7.61249,0.018360662202209888
7.0,7.61219,546.0714979313279,484.37217803244107,389.70861836021214,7.61306,0.018930713151690703
8.0,7.61306,546.1264016654036,486.2132009756412,391.56656839990944,7.61336,0.019230782161471005
9.0,7.61479,546.1813053994792,488.05385378887513,393.4241449065185,7.61336,0.01923087010200497
10.0,7.61336,546.2362091335549,489.89413658375065,395.2813479926734,7.61407,0.019940958042538703
11.0,7.61407,546.2911128676304,491.73404947183,397.138177770962,7.61479,0.020661045983072945
12.0,7.61538,546.3460166017061,493.57359256463644,398.994634353933,7.61407,0.019941133923606635
13.0,7.61487,546.4009203357817,495.41276597364106,400.85071785408246,7.61487,0.0207412218641414
14.0,7.60765,546.4558240698574,497.25156981027163,402.7064283838626,7.61487,0.020741309804676256
15.0,7.61686,546.510727803933,499.09000418591484,404.5617660556842,7.61145,0.01732141126468889
16.0,7.61145,546.5656315380087,500.92806921190953,406.4167309819099,7.61145,0.017321512724702615
17.0,7.61139,546.6205352720843,502.76576499954905,408.27132327485623,7.61145,0.01732163150551269
18.0,7.61441,546.67543900616,504.60309166008335,410.1255430467961,7.61139,0.01726176754721731
19.0,7.60977,546.7303427402356,506.44004930472124,411.97939040996073,7.61139,0.017261903588921435
20.0,7.60825,546.7852464743113,508.2766380446195,413.832865476529,7.60977,0.015642055271231747
21.0,7.61318,546.840150208387,510.112857990898,415.68596835864247,7.60977,0.015642221073892237
22.0,7.60745,546.8950539424626,511.9487092546246,417.53869916839,7.60825,0.01412238687655254
23.0,7.61076,546.9499576765382,513.784191946828,419.3910580178213,7.61076,0.016632565999729287
24.0,7.60801,547.0048614106139,515.6193061784894,421.2430450189382,7.61076,0.01663276175450079
25.0,7.61084,547.0597651446895,517.4540520605486,423.0946602837001,7.61084,0.01671297139027672
26.0,7.61233,547.1146688787652,519.288429703898,424.9459039240192,7.61192,0.017793197738080302
27.0,7.6125,547.1695726128409,521.1224392193841,426.7967760517611,7.61192,0.01779344228872759
28.0,7.61192,547.2244763469165,522.9560807178145,428.6472767787524,7.61192,0.01779370521253565
29.0,7.60987,547.2793800809922,524.7893543099472,430.4974062167692,7.61192,0.017793985929520417
30.0,7.61181,547.3342838150678,526.6222601064962,432.3471644775436,7.61192,0.017794282389222538
31.0,7.61782,547.3891875491433,528.4547982181329,434.19655167276443,7.61204,0.017914596532634164
32.0,7.61576,547.444091283219,530.2869687554869,436.0455679140786,7.61224,0.018114910676044538
33.0,7.61204,547.4989950172946,532.1187718291382,437.89421331308273,7.61257,0.01844522481945532
34.0,7.61224,547.5538987513703,533.9502075496233,439.7424879813298,7.61224,0.01811555687761235
35.0,7.61257,547.608802485446,535.7812760274378,441.5903920303311,7.61224,0.018115907050932023
36.0,7.61074,547.6637062195216,537.6119773730313,443.43792557155194,7.61257,0.018446275669908196
37.0,7.61308,547.7186099535973,539.4423116968062,445.2850887164097,7.61308,0.018956660904180467
38.0,7.61396,547.7735136876729,541.2722791091231,447.1318815762798,7.61308,0.01895706509509676
39.0,7.64304,547.8284174217486,543.1018797203021,448.97830426249647,7.61308,0.01895746928601305
40.0,7.61075,547.8833211558242,544.9311136406106,450.82435688634115,7.61259,0.018467873476928354
41.0,7.61259,547.9382248898999,546.7599809802796,452.6700395590581,7.61075,0.01662829429474222
42.0,7.60983,547.9931286239755,548.5884818494922,454.5153523918438,7.61075,0.01662873358060768
43.0,7.60726,548.0480323580512,550.4166163583859,456.3602954958482,7.61026,0.016139188573925267
44.0,7.61226,548.1029360921268,552.2443846170595,458.2048689821825,7.60983,0.015709656704524733
45.0,7.61026,548.1578398262025,554.0717867355614,460.0490729619069,7.61026,0.01614014297439681
46.0,7.60904,548.2127435602781,555.8988228239015,461.89290754604264,7.61226,0.01814064538326754
47.0,7.61622,548.2676472943538,557.7254929920393,463.7363728455604,7.61201,0.01789116271127611
48.0,7.61406,548.3225510284294,559.5517973499002,465.57946897139624,7.61201,0.017891680039284985
49.0,7.61201,548.3774547625051,561.3777360073527,467.42219603442874,7.61201,0.017892197367292972
50.0,7.61038,548.4323584965807,563.203309074231,469.264554145502,7.61201,0.017892732587005966
51.0,7.61041,548.4872622306563,565.0285166603192,471.1065434154096,7.61177,0.01765328406834854
52.0,7.6123,548.5421659647319,566.8533588753664,472.9481639549097,7.61177,0.017653851841879842
53.0,7.61177,548.5970696988076,568.6778358290705,474.7894158747087,7.61177,0.017654437798895195
54.0,7.62176,548.6519734328832,570.5019476310831,476.6302992854665,7.61177,0.01765504140975782
55.0,7.60978,548.7068771669589,572.3256943910194,478.47081429780604,7.61132,0.017205645020621496
56.0,7.61132,548.7617809010345,574.1490762184443,480.31096102229975,7.61004,0.015926264295833548
57.0,7.61004,548.8166846351102,575.9720932228839,482.15073956948066,7.60978,0.01566690077654176
58.0,7.60977,548.8715883691858,577.7947455138147,483.9901500498318,7.61004,0.01592755318293637
59.0,7.60761,548.9264921032615,579.6170332006781,485.82919257380075,7.60977,0.01565822124558558
60.0,7.61389,548.9813958373371,581.4389563928613,487.6678672517807,7.60922,0.015108902804612079
61.0,7.60922,549.0362995714128,583.2605151997149,489.5061741941275,7.60761,0.01349958436363874
62.0,7.60361,549.0912033054884,585.0817097305437,491.3441135111511,7.60922,0.015110281030788819
63.0,7.60701,549.1461070395641,586.9025400946117,493.1816853131198,7.60922,0.015110987195980918
64.0,7.61107,549.2010107736397,588.7230064011303,495.0188897102494,7.60745,0.013341706260208142
65.0,7.6105,549.2559145077154,590.5431087592788,496.85572681272293,7.6105,0.01639244228528014
66.0,7.60745,549.310818241791,592.3628472781863,498.69219673067306,7.61107,0.0169631947017308
67.0,7.61115,549.3657219758667,594.1822220669368,500.5282995741864,7.6105,0.016393960459501145
68.0,7.61362,549.4206257099423,596.001233234575,502.3640354533106,7.61062,0.016514743260398923
69.0,7.60854,549.475529444018,597.8198808900999,504.1994044780466,7.61115,0.017045526061297167
70.0,7.61062,549.5304331780936,599.6381651424674,506.0344067583522,7.61362,0.019516323296081772
71.0,7.61457,549.5853369121693,601.45608610059,507.8690424041412,7.61257,0.01846713704616665
72.0,7.6137,549.6402406462448,603.2736438733324,509.7033115252794,7.61257,0.018467950796251742
73.0,7.61257,549.6951443803205,605.0908385695267,511.5372142315993,7.61257,0.018468764546336836
74.0,7.60621,549.7500481143961,606.9076702979511,513.3707506328794,7.60897,0.014869596764935267
75.0,7.60897,549.8049518484718,608.7241391673466,515.2039208388607,7.60779,0.01369044109105566
76.0,7.60769,549.8598555825474,610.5402452864046,517.0367249592335,7.60779,0.013691300286089003
77.0,7.60779,549.9147593166231,612.3559887637772,518.8691631036493,7.60779,0.013692173070594116
78.0,7.61158,549.9696630506987,614.1713697080734,520.7012353817155,7.60779,0.013693059545463626
79.0,7.60765,550.0245667847744,615.9863882278563,522.5329419029935,7.6115,0.017403963502727215
80.0,7.6115,550.07947051885,617.8010444316504,524.3642827770054,7.61158,0.017484881012115316
81.0,7.61171,550.1343742529257,619.6153384279324,526.1952581132255,7.6115,0.01740581592568713
82.0,7.61255,550.1892779870013,621.4292703251352,528.0258680210835,7.6115,0.017406768454457655
83.0,7.60896,550.244181721077,623.2428402316511,529.8561126099684,7.61057,0.01647773943973707
84.0,7.60944,550.2990854551526,625.0560482558287,531.6859919892249,7.61057,0.016478725291224627
85.0,7.61057,550.3539891892283,626.8688945059754,533.5155062681564,7.61057,0.016479726490037372
86.0,7.62428,550.4088929233039,628.6813790903489,535.3446555560158,7.61057,0.0164807441675352
87.0,7.61085,550.4637966573796,630.4935021171697,537.1734399620188,7.61085,0.016761761845032197
88.0,7.60781,550.5187003914552,632.3052636946131,539.0018595953352,7.61085,0.016762796283348536
89.0,7.61145,550.5736041255309,634.116663930811,540.829914565091,7.61085,0.01676384444265544
90.0,7.60868,550.6285078596065,635.927702933854,542.6576049803708,7.61145,0.017364909965086994
91.0,7.61455,550.6834115936822,637.738380811785,544.4849309502108,7.61145,0.0173659900808234
92.0,7.61263,550.7383153277577,639.5486976726056,546.3118925836056,7.60937,0.015287070196560393
93.0,7.60937,550.7932190618334,641.3586536242831,548.1384899895153,7.6118,0.01771816885914035
94.0,7.60829,550.848122795909,643.1682487747299,549.9647232768444,7.61131,0.01722928280846947
95.0,7.6118,550.9030265299847,644.9774832318202,551.790592554459,7.60937,0.015290410965381085
96.0,7.61131,550.9579302640603,646.7863571033862,553.6160979311826,7.60885,0.014771556842123168
97.0,7.60885,551.012833998136,648.594870497211,555.4412395157894,7.61131,0.01723271994964648
98.0,7.60644,551.0677377322116,650.4030235210444,557.26601741702,7.60929,0.015213897828326495
99.0,7.61157,551.1226414662873,652.210816282587,559.0904317435651,7.60885,0.0147750880688573
100.0,7.60929,551.1775452003629,654.0182488894956,560.9144826040713,7.60857,0.014496295803803072
101.0,7.60562,551.2324489344386,655.8253214493902,562.7381701071483,7.60929,0.01521751875359989
102.0,7.60857,551.2873526685142,657.6320340698411,564.5614943613552,7.60857,0.014498753248768814
103.0,7.61042,551.3422564025899,659.4383868583795,566.3844554752122,7.60857,0.01450000224105441
104.0,7.60742,551.3971601366655,661.2443799224911,568.207053557193,7.61042,0.016351267582246365
105.0,7.61262,551.4520638707412,663.0500133696245,570.0292887157341,7.61042,0.016352546272818458
106.0,7.61527,551.5069676048169,664.8552873071809,571.8511610592244,7.60956,0.015493843515705485
107.0,7.60739,551.5618713388925,666.6602018425178,573.6726706960084,7.60956,0.015495140758592818
108.0,7.60956,551.6167750729682,668.4647570829499,575.4938177343873,7.60739,0.013326451324726207
109.0,7.60533,551.6716788070438,670.2689531357564,577.3146022826271,7.60739,0.013327777385942596
110.0,7.60331,551.7265825411195,672.0727901081631,579.135024448939,7.60778,0.013719114712760216
111.0,7.60778,551.7814862751951,673.8762681073626,580.9550843415016,7.60778,0.013720461286442998
112.0,7.61273,551.8363900092706,675.6793872404938,582.7747820684385,7.60864,0.014581821578770082
113.0,7.6088,551.8912937433463,677.4821476146693,584.5941177378473,7.6088,0.01474320054273548
