Pixels #,Intensity (a.u.),Wavelength (nm),Filtered Intensity (a.u.),Baselined Filtered Intensity (a.u.)
0.0,0.786813,545.6813966730497,0.786493,-0.005360840036521597
1.0,0.786493,545.7363014706436,0.786813,-0.005040845368024183
2.0,0.790769,545.7912062682377,0.786493,-0.0053608557135219614
3.0,0.785206,545.8461110658317,0.786356,-0.005497871390537812
4.0,0.786356,545.9010158634258,0.786356,-0.005497892534993776
5.0,0.787062,545.9559206610197,0.787062,-0.004791919146910795
6.0,0.787332,546.0108254586137,0.787332,-0.00452195052576676
7.0,0.787476,546.0657302562078,0.787476,-0.004377986403557688
8.0,0.787745,546.1206350538017,0.787745,-0.004109026637339697
9.0,0.788853,546.1755398513957,0.787745,-0.004109070960008898
10.0,0.78601,546.2304446489898,0.788082,-0.0037721193716091506
11.0,0.788082,546.2853494465837,0.788082,-0.003772171537420488
12.0,0.792204,546.3402542441778,0.788082,-0.0037722274574948367
13.0,0.786718,546.3951590417718,0.786718,-0.005136287131887629
14.0,0.78599,546.4500638393657,0.786718,-0.005136351914983961
15.0,0.789842,546.5049686369598,0.786585,-0.005269421806847863
16.0,0.786585,546.5598734345538,0.78754,-0.004314496939514245
17.0,0.78754,546.6147782321478,0.78754,-0.004314576365125
18.0,0.789091,546.6696830297418,0.78754,-0.004314660083758803
19.0,0.784592,546.7245878273358,0.785724,-0.006130748095498628
20.0,0.785724,546.7794926249298,0.785724,-0.0061308422022785525
21.0,0.787657,546.8343974225238,0.787232,-0.004622942404191477
22.0,0.787232,546.8893022201178,0.787232,-0.004623047205301378
23.0,0.785041,546.9442070177118,0.785188,-0.0066671566057118214
24.0,0.785188,546.9991118153058,0.785188,-0.006667272632813748
25.0,0.785743,547.0540166128999,0.785743,-0.006112395286721917
26.0,0.786179,547.1089214104938,0.786179,-0.005676524017473095
27.0,0.78716,547.1638262080878,0.78716,-0.004695658392859459
28.0,0.787438,547.2187310056819,0.78716,-0.004695797439627114
29.0,0.785406,547.2736358032759,0.78682,-0.005035941157913615
30.0,0.78682,547.3285406008699,0.78682,-0.005036089885321893
31.0,0.792089,547.3834453984639,0.791355,-0.0005012436219989924
32.0,0.791355,547.4383501960579,0.791355,-0.0005013978582886214
33.0,0.787525,547.4932549936519,0.787525,-0.004331552594344479
34.0,0.787309,547.5481597912459,0.787525,-0.004331711640275904
35.0,0.788991,547.6030645888399,0.787309,-0.004547874996240431
36.0,0.78644,547.6579693864339,0.787005,-0.004852042876870355
37.0,0.787005,547.7128741840279,0.787005,-0.004852215584106978
38.0,0.788164,547.767778981622,0.788164,-0.0036933931181211133
39.0,0.817197,547.8226837792159,0.788164,-0.0036935743281191202
40.0,0.787863,547.8775885768099,0.789894,-0.0019637592142807136
41.0,0.789894,547.932493374404,0.787863,-0.003994946056496418
42.0,0.784912,547.9873981719979,0.785356,-0.00650213687427581
43.0,0.785356,548.042302969592,0.785356,-0.006502334155205847
44.0,0.787698,548.097207767186,0.787698,-0.00416053789948112
45.0,0.787851,548.1521125647799,0.787698,-0.004160745783792441
46.0,0.78596,548.207017362374,0.787851,-0.00400795780834573
47.0,0.789573,548.261922159968,0.789573,-0.0022861738213849625
48.0,0.790156,548.316826957562,0.789573,-0.002286392111288782
49.0,0.788546,548.371731755156,0.788546,-0.003313612678274014
50.0,0.78666,548.42663655275,0.7872,-0.004659836543822626
51.0,0.7872,548.4815413503441,0.7872,-0.004660065045179573
52.0,0.789327,548.536446147938,0.788078,-0.00378229818257092
53.0,0.788078,548.591350945532,0.789327,-0.0025335350842712323
54.0,0.799772,548.6462557431261,0.788078,-0.003782774508901632
55.0,0.787639,548.70116054072,0.791071,-0.0007900176983128837
56.0,0.791071,548.7560653383141,0.787639,-0.004222261675064232
57.0,0.786737,548.8109701359081,0.786737,-0.005124509853144499
58.0,0.785424,548.865874933502,0.78646,-0.005401763128217718
59.0,0.78646,548.9207797310961,0.78646,-0.005402021775363863
60.0,0.788744,548.9756845286901,0.787355,-0.004507285794838611
61.0,0.787355,549.030589326284,0.787355,-0.004507554298663785
62.0,0.784869,549.0854941238781,0.784869,-0.00699382728710507
63.0,0.784569,549.1403989214721,0.784869,-0.006994107225849033
64.0,0.787917,549.1953037190661,0.786552,-0.005311394115171453
65.0,0.786552,549.2502085166601,0.786552,-0.00531168628690748
66.0,0.786233,549.3051133142541,0.786552,-0.005311983741346116
67.0,0.788365,549.3600181118481,0.788365,-0.003499286478781505
68.0,0.788551,549.4149229094421,0.788365,-0.003499592699303
69.0,0.786803,549.4698277070362,0.786803,-0.005061902403214136
70.0,0.786098,549.5247325046302,0.786803,-0.005062217141979741
71.0,0.792177,549.5796373022241,0.786669,-0.005196536915911376
72.0,0.786669,549.6345420998182,0.787427,-0.00443886185829101
73.0,0.787427,549.6894468974122,0.786669,-0.005197191217073294
74.0,0.78492,549.7443516950061,0.78492,-0.0069465257449508044
75.0,0.784658,549.7992564926002,0.78492,-0.006946867176256144
76.0,0.785466,549.8541612901942,0.78537,-0.006497215511326093
77.0,0.78537,549.9090660877882,0.785466,-0.0064015703046298444
78.0,0.787223,549.9639708853822,0.785629,-0.006238931461373665
79.0,0.785629,550.0188756829762,0.786961,-0.004907298820348793
80.0,0.786961,550.0737804805702,0.786961,-0.004907671060736196
81.0,0.787511,550.1286852781642,0.786961,-0.0049080481829041345
82.0,0.786626,550.1835900757583,0.786626,-0.005243430187225728
83.0,0.786364,550.2384948733522,0.786364,-0.005505817406509905
84.0,0.785842,550.2933996709462,0.785842,-0.006028210101058362
85.0,0.785556,550.3483044685403,0.785842,-0.006028608788926859
86.0,0.790278,550.4032092661342,0.785592,-0.006279013470509298
87.0,0.785592,550.4581140637283,0.786223,-0.0056484243940418954
88.0,0.786223,550.5130188613223,0.786223,-0.005648840934281307
89.0,0.78789,550.5679236589162,0.78789,-0.003982263091639182
90.0,0.788116,550.6228284565103,0.788116,-0.0037566892119247353
91.0,0.792776,550.6777332541043,0.788116,-0.0037571190710454783
92.0,0.78572,550.7326380516982,0.78572,-0.006153552669427187
93.0,0.785032,550.7875428492923,0.785162,-0.006711992385381116
94.0,0.785162,550.8424476468863,0.785162,-0.006712438772370377
95.0,0.786803,550.8973524444804,0.786208,-0.005666891830835352
96.0,0.786208,550.9522572420743,0.786388,-0.005487350524310597
97.0,0.786388,551.0071620396683,0.786208,-0.005667814674712668
98.0,0.784607,551.0620668372624,0.786388,-0.005488284461036885
99.0,0.786787,551.1169716348563,0.785464,-0.006412759705211157
100.0,0.785464,551.1718764324504,0.786787,-0.00509024132387792
101.0,0.786835,551.2267812300444,0.786835,-0.005042728005480446
102.0,0.787583,551.2816860276383,0.787583,-0.004295219702868058
103.0,0.790704,551.3365908252324,0.787583,-0.004295715673990674
104.0,0.785603,551.3914956228264,0.787541,-0.004338215919339361
105.0,0.787541,551.4464004204203,0.787541,-0.004338720481116276
106.0,0.790208,551.5013052180144,0.787541,-0.004339229359821006
107.0,0.786149,551.5562100156084,0.786698,-0.00518274255595752
108.0,0.786698,551.6111148132024,0.786149,-0.005732260906804565
109.0,0.785141,551.6660196107964,0.785141,-0.006740784957469326
110.0,0.783938,551.7209244083904,0.785141,-0.0067413157076645636
111.0,0.785446,551.7758292059845,0.785446,-0.006436853157914202
112.0,0.790423,551.8307340035784,0.785446,-0.006437397006510581
113.0,0.785323,551.8856388011725,0.785323,-0.006560947253990701
114.0,0.784554,551.9405435987665,0.785207,-0.006677504022793546
115.0,0.785207,551.9954483963604,0.785207,-0.006678067428414813
116.0,0.788225,552.0503531939545,0.785207,-0.006678637471410398
