Pixels #,Intensity (a.u.)
0.00000e+00,1.47147e-03
1.00000e+00,2.33585e-03
2.00000e+00,2.64484e-03
3.00000e+00,4.44315e-03
4.00000e+00,4.05335e-03
5.00000e+00,4.82633e-03
6.00000e+00,5.05613e-03
7.00000e+00,5.08150e-03
8.00000e+00,6.19957e-03
9.00000e+00,3.98210e-03
1.00000e+01,3.83685e-03
1.10000e+01,9.45029e-04
1.20000e+01,1.04707e-03
1.30000e+01,1.73816e-03
1.40000e+01,2.66734e-03
1.50000e+01,2.18359e-03
1.60000e+01,1.72125e-03
1.70000e+01,2.82760e-03
1.80000e+01,1.88319e-03
1.90000e+01,4.46507e-05
2.00000e+01,1.28808e-04
2.10000e+01,2.09973e-04
2.20000e+01,4.83330e-04
2.30000e+01,0.00000e+00
2.40000e+01,2.41583e-03
2.50000e+01,3.47049e-03
2.60000e+01,4.61372e-03
2.70000e+01,3.29117e-03
2.80000e+01,1.69403e-03
2.90000e+01,2.00129e-03
3.00000e+01,3.93218e-03
3.10000e+01,4.03818e-03
3.20000e+01,4.94993e-03
3.30000e+01,2.64211e-03
3.40000e+01,4.47870e-03
3.50000e+01,2.02759e-03
3.60000e+01,2.62835e-03
3.70000e+01,3.55261e-03
3.80000e+01,4.70475e-03
3.90000e+01,4.40546e-03
4.00000e+01,2.53761e-03
4.10000e+01,1.75322e-03
4.20000e+01,1.57622e-03
4.30000e+01,6.82114e-04
4.40000e+01,2.01285e-03
4.50000e+01,3.51151e-03
4.60000e+01,2.82210e-03
4.70000e+01,3.24362e-03
4.80000e+01,3.01519e-03
4.90000e+01,4.82850e-03
5.00000e+01,3.16912e-03
5.10000e+01,6.67553e-04
5.20000e+01,3.66427e-04
5.30000e+01,6.23866e-04
5.40000e+01,7.66625e-04
5.50000e+01,2.06188e-03
5.60000e+01,1.99915e-03
5.70000e+01,2.80629e-03
5.80000e+01,1.76413e-03
5.90000e+01,2.97125e-03
6.00000e+01,4.40125e-03
6.10000e+01,3.00231e-03
6.20000e+01,1.76217e-03
6.30000e+01,1.31559e-03
6.40000e+01,1.47642e-03
6.50000e+01,2.62002e-03
6.60000e+01,1.49927e-03
6.70000e+01,0.00000e+00
6.80000e+01,2.50248e-04
6.90000e+01,2.39156e-03
7.00000e+01,3.90463e-03
7.10000e+01,5.26212e-03
7.20000e+01,3.96767e-03
7.30000e+01,3.45153e-03
7.40000e+01,2.13285e-03
7.50000e+01,2.45928e-03
7.60000e+01,2.25185e-03
7.70000e+01,2.64576e-03
7.80000e+01,4.94572e-04
7.90000e+01,1.84219e-03
8.00000e+01,3.04076e-03
8.10000e+01,4.82969e-03
8.20000e+01,3.72254e-03
8.30000e+01,2.26755e-03
8.40000e+01,1.27956e-03
8.50000e+01,2.86739e-03
8.60000e+01,4.57151e-03
8.70000e+01,3.83119e-03
8.80000e+01,3.45105e-03
8.90000e+01,1.96315e-03
9.00000e+01,2.72448e-03
9.10000e+01,1.65479e-03
9.20000e+01,2.23006e-03
9.30000e+01,2.32624e-03
9.40000e+01,3.20984e-03
9.50000e+01,3.63570e-03
9.60000e+01,3.18880e-03
9.70000e+01,3.16307e-03
9.80000e+01,3.08551e-03
9.90000e+01,3.53601e-03
1.00000e+02,2.98052e-03
1.01000e+02,1.78914e-03
1.02000e+02,8.05397e-04
1.03000e+02,2.59271e-03
1.04000e+02,4.12912e-03
1.05000e+02,5.65204e-03
1.06000e+02,5.72384e-03
