Pixels #,Intensity (a.u.)
0.00000e+00,6.56330e-03
1.00000e+00,6.50532e-03
2.00000e+00,5.17168e-03
3.00000e+00,5.04046e-03
4.00000e+00,4.78411e-03
5.00000e+00,7.21029e-03
6.00000e+00,5.23273e-03
7.00000e+00,5.22663e-03
8.00000e+00,5.47077e-03
9.00000e+00,6.31307e-03
1.00000e+01,6.89597e-03
1.10000e+01,4.59186e-03
1.20000e+01,4.41181e-03
1.30000e+01,2.84318e-03
1.40000e+01,3.67633e-03
1.50000e+01,2.88896e-03
1.60000e+01,5.46774e-03
1.70000e+01,6.08421e-03
1.80000e+01,5.50742e-03
1.90000e+01,4.74142e-03
2.00000e+01,3.62446e-03
2.10000e+01,1.77507e-03
2.20000e+01,3.89302e-03
2.30000e+01,3.24910e-03
2.40000e+01,4.54306e-03
2.50000e+01,4.79636e-03
2.60000e+01,6.18189e-03
2.70000e+01,5.88281e-03
2.80000e+01,6.25208e-03
2.90000e+01,6.53896e-03
3.00000e+01,6.38942e-03
3.10000e+01,6.41078e-03
3.20000e+01,8.14726e-03
3.30000e+01,8.14421e-03
3.40000e+01,7.99468e-03
3.50000e+01,6.77396e-03
3.60000e+01,6.14224e-03
3.70000e+01,5.79433e-03
3.80000e+01,6.43216e-03
3.90000e+01,7.47283e-03
4.00000e+01,6.68852e-03
4.10000e+01,6.13615e-03
4.20000e+01,4.05482e-03
4.30000e+01,4.41188e-03
4.40000e+01,3.99074e-03
4.50000e+01,5.75468e-03
4.60000e+01,4.67129e-03
4.70000e+01,5.23283e-03
4.80000e+01,7.22871e-03
4.90000e+01,6.27045e-03
5.00000e+01,5.54717e-03
5.10000e+01,5.73639e-03
5.20000e+01,5.40069e-03
5.30000e+01,5.29083e-03
5.40000e+01,6.19416e-03
5.50000e+01,5.27863e-03
5.60000e+01,4.66827e-03
5.70000e+01,4.65301e-03
5.80000e+01,5.59297e-03
5.90000e+01,5.91646e-03
6.00000e+01,6.53293e-03
6.10000e+01,5.78219e-03
6.20000e+01,4.51874e-03
6.30000e+01,3.81378e-03
6.40000e+01,3.89008e-03
6.50000e+01,5.28475e-03
6.60000e+01,3.34991e-03
6.70000e+01,4.65609e-03
6.80000e+01,2.94098e-03
6.90000e+01,4.61337e-03
7.00000e+01,4.41805e-03
7.10000e+01,7.02735e-03
7.20000e+01,7.71706e-03
7.30000e+01,6.41394e-03
7.40000e+01,7.14333e-03
7.50000e+01,4.22886e-03
7.60000e+01,4.64390e-03
7.70000e+01,3.50253e-03
7.80000e+01,3.54221e-03
7.90000e+01,4.60119e-03
8.00000e+01,5.14746e-03
8.10000e+01,6.90530e-03
8.20000e+01,5.09559e-03
8.30000e+01,4.01525e-03
