Pixels #,Intensity (a.u.)
0.00000e+00,1.36720e-03
1.00000e+00,1.68491e-03
2.00000e+00,1.15990e-03
3.00000e+00,1.22642e-03
4.00000e+00,1.21863e-03
5.00000e+00,1.72776e-03
6.00000e+00,2.25938e-03
7.00000e+00,2.07199e-03
8.00000e+00,2.48914e-03
9.00000e+00,1.77797e-03
1.00000e+01,1.42615e-03
1.10000e+01,1.05432e-03
1.20000e+01,1.24554e-03
1.30000e+01,1.24047e-03
1.40000e+01,9.92332e-04
1.50000e+01,8.29449e-04
1.60000e+01,8.06344e-04
1.70000e+01,1.52837e-03
1.80000e+01,1.25762e-03
1.90000e+01,1.12895e-03
2.00000e+01,6.08548e-06
2.10000e+01,6.62564e-05
2.20000e+01,0.00000e+00
2.30000e+01,0.00000e+00
2.40000e+01,1.49081e-04
2.50000e+01,3.64118e-04
2.60000e+01,7.21649e-04
2.70000e+01,1.23611e-03
2.80000e+01,6.57845e-04
2.90000e+01,6.29769e-04
3.00000e+01,9.67213e-04
3.10000e+01,1.24288e-03
3.20000e+01,1.29355e-03
3.30000e+01,5.71749e-04
3.40000e+01,1.27522e-03
3.50000e+01,1.11336e-03
3.60000e+01,1.28168e-03
3.70000e+01,1.02842e-03
3.80000e+01,1.68850e-03
3.90000e+01,1.41893e-03
4.00000e+01,1.46129e-03
4.10000e+01,6.23900e-04
4.20000e+01,1.54201e-04
4.30000e+01,0.00000e+00
4.40000e+01,1.48928e-04
4.50000e+01,0.00000e+00
4.60000e+01,5.29159e-04
4.70000e+01,1.45070e-03
4.80000e+01,1.99743e-03
4.90000e+01,1.84269e-03
5.00000e+01,1.57448e-03
5.10000e+01,1.29921e-03
5.20000e+01,1.30437e-03
5.30000e+01,6.04280e-04
5.40000e+01,1.00843e-03
5.50000e+01,9.73174e-04
5.60000e+01,1.15895e-03
5.70000e+01,6.44302e-04
5.80000e+01,0.00000e+00
5.90000e+01,2.70085e-05
6.00000e+01,0.00000e+00
6.10000e+01,9.12490e-05
6.20000e+01,5.53902e-05
6.30000e+01,4.39717e-04
6.40000e+01,1.02361e-03
6.50000e+01,1.11597e-03
6.60000e+01,8.15484e-04
6.70000e+01,1.09123e-03
6.80000e+01,1.39016e-03
6.90000e+01,1.52346e-03
7.00000e+01,1.80987e-03
7.10000e+01,2.48490e-03
7.20000e+01,2.73618e-03
7.30000e+01,1.99238e-03
7.40000e+01,1.54755e-03
7.50000e+01,2.11653e-03
7.60000e+01,3.25621e-03
7.70000e+01,3.79993e-03
7.80000e+01,3.08708e-03
7.90000e+01,3.23447e-03
8.00000e+01,3.13638e-03
8.10000e+01,3.96915e-03
8.20000e+01,4.21942e-03
8.30000e+01,4.62348e-03
8.40000e+01,4.10397e-03
8.50000e+01,4.23219e-03
8.60000e+01,3.90752e-03
8.70000e+01,4.20341e-03
8.80000e+01,4.09273e-03
8.90000e+01,4.13679e-03
9.00000e+01,4.80292e-03
9.10000e+01,4.24497e-03
9.20000e+01,3.69196e-03
9.30000e+01,2.95225e-03
9.40000e+01,3.60746e-03
9.50000e+01,4.13532e-03
9.60000e+01,4.54901e-03
9.70000e+01,4.14594e-03
9.80000e+01,3.98603e-03
9.90000e+01,3.06069e-03
1.00000e+02,3.00021e-03
1.01000e+02,2.37577e-03
1.02000e+02,3.39384e-03
1.03000e+02,3.34992e-03
1.04000e+02,3.95730e-03
1.05000e+02,4.67398e-03
1.06000e+02,4.94362e-03
1.07000e+02,4.63499e-03
1.08000e+02,3.59092e-03
1.09000e+02,3.02423e-03
1.10000e+02,1.93594e-03
1.11000e+02,2.19285e-03
1.12000e+02,2.73379e-03
1.13000e+02,2.60377e-03
1.14000e+02,1.97906e-03
1.15000e+02,2.09323e-03
1.16000e+02,1.65674e-03
1.17000e+02,2.24247e-03
1.18000e+02,2.37423e-03
1.19000e+02,2.28242e-03
1.20000e+02,2.54446e-03
1.21000e+02,2.13636e-03
1.22000e+02,2.30626e-03
1.23000e+02,1.76680e-03
1.24000e+02,2.23313e-03
1.25000e+02,2.08627e-03
1.26000e+02,2.27309e-03
1.27000e+02,2.22041e-03
1.28000e+02,2.61702e-03
1.29000e+02,2.30952e-03
1.30000e+02,2.38765e-03
1.31000e+02,1.53694e-03
1.32000e+02,2.75239e-04
1.33000e+02,0.00000e+00
1.34000e+02,1.68307e-04
1.35000e+02,4.53307e-04
1.36000e+02,5.79310e-04
1.37000e+02,4.12472e-04
1.38000e+02,1.10453e-03
1.39000e+02,1.69459e-03
1.40000e+02,1.55580e-03
1.41000e+02,1.10103e-03
1.42000e+02,5.52094e-04
1.43000e+02,1.38387e-03
1.44000e+02,1.05500e-03
1.45000e+02,1.63906e-03
1.46000e+02,9.27336e-04
1.47000e+02,9.63791e-04
1.48000e+02,3.55505e-04
1.49000e+02,9.11216e-04
1.50000e+02,1.52673e-03
1.51000e+02,1.63671e-03
1.52000e+02,6.73564e-04
1.53000e+02,3.09579e-04
1.54000e+02,5.53840e-05
1.55000e+02,7.56315e-04
1.56000e+02,1.49657e-04
1.57000e+02,6.27881e-05
1.58000e+02,0.00000e+00
1.59000e+02,4.27734e-04
1.60000e+02,2.48645e-04
1.61000e+02,1.29336e-04
1.62000e+02,0.00000e+00
1.63000e+02,3.75969e-04
1.64000e+02,4.52263e-04
1.65000e+02,3.14171e-04
1.66000e+02,3.74244e-04
1.67000e+02,7.39778e-04
1.68000e+02,1.18773e-03
1.69000e+02,1.87315e-03
1.70000e+02,1.48916e-03
1.71000e+02,1.03477e-03
1.72000e+02,8.77236e-04
1.73000e+02,1.62260e-03
1.74000e+02,1.26624e-03
1.75000e+02,1.20521e-03
1.76000e+02,1.82415e-04
1.77000e+02,0.00000e+00
1.78000e+02,0.00000e+00
1.79000e+02,3.95781e-04
1.80000e+02,5.20956e-04
1.81000e+02,6.80574e-04
1.82000e+02,4.43172e-04
1.83000e+02,1.26451e-03
1.84000e+02,6.99494e-04
1.85000e+02,5.93251e-04
1.86000e+02,3.82739e-04
1.87000e+02,1.19579e-03
1.88000e+02,2.06987e-03
1.89000e+02,1.89560e-03
1.90000e+02,1.54547e-03
1.91000e+02,2.30342e-03
1.92000e+02,1.73225e-03
1.93000e+02,1.33342e-03
1.94000e+02,5.38245e-04
1.95000e+02,2.64872e-04
1.96000e+02,7.72895e-04
1.97000e+02,7.43118e-04
1.98000e+02,8.80264e-04
1.99000e+02,1.23719e-03
2.00000e+02,9.46163e-04
2.01000e+02,1.27616e-03
2.02000e+02,1.41844e-03
2.03000e+02,1.91606e-03
2.04000e+02,2.10927e-03
2.05000e+02,2.27824e-03
2.06000e+02,1.66161e-03
2.07000e+02,7.70022e-04
2.08000e+02,5.38056e-04
2.09000e+02,5.77958e-04
2.10000e+02,1.48927e-03
2.11000e+02,2.16287e-03
2.12000e+02,2.71527e-03
2.13000e+02,2.61301e-03
2.14000e+02,2.14847e-03
2.15000e+02,2.54830e-03
2.16000e+02,2.37214e-03
2.17000e+02,2.76676e-03
2.18000e+02,1.84547e-03
2.19000e+02,1.58976e-03
2.20000e+02,1.70316e-03
2.21000e+02,2.31446e-03
2.22000e+02,2.69391e-03
2.23000e+02,3.03219e-03
2.24000e+02,4.35251e-03
2.25000e+02,5.03093e-03
2.26000e+02,5.49100e-03
2.27000e+02,5.29110e-03
2.28000e+02,5.44320e-03
2.29000e+02,5.87988e-03
2.30000e+02,6.21938e-03
2.31000e+02,6.15107e-03
2.32000e+02,6.70072e-03
2.33000e+02,7.53270e-03
2.34000e+02,8.34590e-03
2.35000e+02,8.24775e-03
2.36000e+02,7.95495e-03
2.37000e+02,9.08627e-03
2.38000e+02,9.69330e-03
2.39000e+02,9.98460e-03
2.40000e+02,9.76714e-03
2.41000e+02,1.06359e-02
2.42000e+02,1.15768e-02
2.43000e+02,1.21408e-02
2.44000e+02,1.25842e-02
2.45000e+02,1.33370e-02
2.46000e+02,1.35391e-02
2.47000e+02,1.32819e-02
2.48000e+02,1.36634e-02
2.49000e+02,1.33832e-02
2.50000e+02,1.43616e-02
2.51000e+02,1.46997e-02
2.52000e+02,1.54466e-02
2.53000e+02,1.57390e-02
2.54000e+02,1.50715e-02
2.55000e+02,1.55158e-02
2.56000e+02,1.52456e-02
2.57000e+02,1.58050e-02
2.58000e+02,1.59613e-02
2.59000e+02,1.63273e-02
2.60000e+02,1.68229e-02
2.61000e+02,1.69413e-02
2.62000e+02,1.74984e-02
2.63000e+02,1.62843e-02
2.64000e+02,1.67314e-02
2.65000e+02,1.60379e-02
2.66000e+02,1.69226e-02
2.67000e+02,1.73881e-02
2.68000e+02,1.74667e-02
2.69000e+02,1.68433e-02
2.70000e+02,1.70992e-02
2.71000e+02,1.75546e-02
2.72000e+02,1.69030e-02
2.73000e+02,1.66449e-02
2.74000e+02,1.56774e-02
2.75000e+02,1.64646e-02
2.76000e+02,1.56491e-02
2.77000e+02,1.52484e-02
2.78000e+02,1.49675e-02
2.79000e+02,1.42391e-02
2.80000e+02,1.43430e-02
2.81000e+02,1.44179e-02
2.82000e+02,1.43425e-02
2.83000e+02,1.40725e-02
2.84000e+02,1.40712e-02
2.85000e+02,1.40484e-02
2.86000e+02,1.37473e-02
2.87000e+02,1.23651e-02
2.88000e+02,1.19286e-02
2.89000e+02,1.15510e-02
2.90000e+02,1.25115e-02
2.91000e+02,1.25326e-02
2.92000e+02,1.25091e-02
2.93000e+02,1.20437e-02
2.94000e+02,1.18116e-02
2.95000e+02,1.12624e-02
2.96000e+02,1.07890e-02
2.97000e+02,1.05407e-02
2.98000e+02,1.05030e-02
2.99000e+02,9.68114e-03
3.00000e+02,9.19560e-03
3.01000e+02,8.81745e-03
3.02000e+02,9.02915e-03
3.03000e+02,8.54613e-03
3.04000e+02,8.41998e-03
3.05000e+02,8.41016e-03
3.06000e+02,8.19006e-03
3.07000e+02,7.51027e-03
3.08000e+02,7.25727e-03
3.09000e+02,5.76775e-03
3.10000e+02,4.92735e-03
3.11000e+02,4.67798e-03
3.12000e+02,5.42547e-03
3.13000e+02,4.86987e-03
3.14000e+02,4.06520e-03
3.15000e+02,3.56923e-03
3.16000e+02,3.83476e-03
3.17000e+02,4.22021e-03
3.18000e+02,4.56190e-03
3.19000e+02,4.15141e-03
3.20000e+02,3.52180e-03
3.21000e+02,3.10449e-03
3.22000e+02,3.20152e-03
3.23000e+02,3.21004e-03
3.24000e+02,3.72171e-03
3.25000e+02,3.70828e-03
3.26000e+02,3.84072e-03
3.27000e+02,3.71276e-03
3.28000e+02,3.44788e-03
3.29000e+02,3.29410e-03
3.30000e+02,2.71298e-03
3.31000e+02,2.19271e-03
3.32000e+02,1.67093e-03
3.33000e+02,7.15118e-04
3.34000e+02,1.40344e-03
3.35000e+02,2.12568e-03
3.36000e+02,3.03098e-03
3.37000e+02,2.89485e-03
3.38000e+02,2.42065e-03
3.39000e+02,1.86464e-03
3.40000e+02,8.65089e-04
3.41000e+02,7.20158e-04
3.42000e+02,1.68336e-03
3.43000e+02,1.82344e-03
3.44000e+02,2.46083e-03
3.45000e+02,1.94685e-03
3.46000e+02,2.19585e-03
3.47000e+02,1.64033e-03
3.48000e+02,1.99138e-03
3.49000e+02,1.59850e-03
3.50000e+02,2.46972e-03
3.51000e+02,2.57094e-03
3.52000e+02,3.42068e-03
3.53000e+02,2.59482e-03
3.54000e+02,2.05622e-03
3.55000e+02,9.86329e-04
3.56000e+02,1.59673e-03
3.57000e+02,1.89882e-03
3.58000e+02,1.88125e-03
3.59000e+02,1.89615e-03
3.60000e+02,2.36462e-03
3.61000e+02,2.30423e-03
3.62000e+02,2.47545e-03
3.63000e+02,1.98101e-03
3.64000e+02,2.25674e-03
3.65000e+02,2.82651e-03
