Pixels #,Intensity (a.u.)
0.00000e+00,2.17821e-03
1.00000e+00,2.64676e-03
2.00000e+00,2.56470e-03
3.00000e+00,2.38139e-03
4.00000e+00,4.58808e-04
5.00000e+00,2.86090e-03
6.00000e+00,9.20534e-04
7.00000e+00,3.50625e-03
8.00000e+00,1.59385e-03
9.00000e+00,4.84269e-04
1.00000e+01,8.76333e-04
1.10000e+01,0.00000e+00
1.20000e+01,2.22520e-03
1.30000e+01,1.31436e-03
1.40000e+01,3.52827e-04
1.50000e+01,8.66282e-05
1.60000e+01,6.63039e-04
1.70000e+01,1.02283e-03
1.80000e+01,1.37064e-03
1.90000e+01,1.81632e-03
2.00000e+01,3.07392e-03
2.10000e+01,1.41353e-03
2.20000e+01,1.98594e-03
2.30000e+01,0.00000e+00
2.40000e+01,1.27185e-03
2.50000e+01,7.05417e-04
2.60000e+01,2.22021e-03
2.70000e+01,1.49183e-03
2.80000e+01,1.99239e-03
2.90000e+01,1.09696e-03
3.00000e+01,7.85495e-04
3.10000e+01,1.29536e-03
3.20000e+01,3.00920e-03
3.30000e+01,1.36615e-03
3.40000e+01,5.53957e-04
3.50000e+01,0.00000e+00
3.60000e+01,1.62996e-03
3.70000e+01,8.34945e-04
3.80000e+01,2.92179e-03
3.90000e+01,3.08473e-03
4.00000e+01,2.20558e-03
4.10000e+01,1.13469e-03
4.20000e+01,0.00000e+00
4.30000e+01,0.00000e+00
4.40000e+01,6.60716e-04
4.50000e+01,1.08224e-03
4.60000e+01,1.79375e-03
4.70000e+01,3.09098e-03
4.80000e+01,2.87028e-03
4.90000e+01,1.61280e-03
5.00000e+01,2.73116e-03
5.10000e+01,2.47201e-03
5.20000e+01,2.57683e-03
5.30000e+01,9.99629e-05
5.40000e+01,3.83586e-04
5.50000e+01,0.00000e+00
5.60000e+01,3.54009e-04
5.70000e+01,1.71148e-03
5.80000e+01,2.03562e-03
5.90000e+01,2.39508e-03
6.00000e+01,2.17047e-03
6.10000e+01,1.39027e-03
6.20000e+01,1.49195e-03
6.30000e+01,1.18458e-03
6.40000e+01,1.71948e-03
6.50000e+01,2.54188e-03
6.60000e+01,1.76035e-03
6.70000e+01,1.43352e-03
6.80000e+01,1.19317e-03
6.90000e+01,3.18685e-03
7.00000e+01,4.37209e-03
7.10000e+01,6.72960e-03
7.20000e+01,5.89922e-03
7.30000e+01,5.30248e-03
7.40000e+01,4.36026e-03
7.50000e+01,2.71623e-03
7.60000e+01,3.90824e-03
7.70000e+01,3.61456e-03
7.80000e+01,4.47387e-03
7.90000e+01,3.28832e-03
8.00000e+01,3.11032e-03
8.10000e+01,4.90270e-03
8.20000e+01,5.29363e-03
8.30000e+01,6.06873e-03
8.40000e+01,7.28536e-03
8.50000e+01,7.94433e-03
8.60000e+01,7.26451e-03
8.70000e+01,6.14965e-03
8.80000e+01,6.91951e-03
8.90000e+01,5.83542e-03
9.00000e+01,6.06816e-03
9.10000e+01,6.26663e-03
9.20000e+01,4.53247e-03
9.30000e+01,3.62440e-03
9.40000e+01,4.10699e-03
9.50000e+01,6.46544e-03
9.60000e+01,6.82708e-03
9.70000e+01,4.82269e-03
9.80000e+01,4.30671e-03
9.90000e+01,3.64342e-03
1.00000e+02,3.73068e-03
1.01000e+02,4.86135e-03
1.02000e+02,4.84071e-03
1.03000e+02,6.57407e-03
1.04000e+02,5.92620e-03
1.05000e+02,7.03838e-03
1.06000e+02,6.49866e-03
1.07000e+02,7.26424e-03
1.08000e+02,4.73297e-03
1.09000e+02,3.23228e-03
1.10000e+02,2.37759e-03
1.11000e+02,3.32043e-03
1.12000e+02,5.31351e-03
1.13000e+02,4.32902e-03
1.14000e+02,4.34309e-03
1.15000e+02,4.61527e-03
1.16000e+02,4.44364e-03
1.17000e+02,3.95327e-03
1.18000e+02,4.23667e-03
1.19000e+02,4.97643e-03
1.20000e+02,6.39522e-03
1.21000e+02,4.28466e-03
1.22000e+02,3.86307e-03
1.23000e+02,2.31045e-03
1.24000e+02,4.14953e-03
1.25000e+02,4.29952e-03
1.26000e+02,5.01543e-03
1.27000e+02,3.66628e-03
1.28000e+02,4.56073e-03
1.29000e+02,2.46786e-03
1.30000e+02,3.08830e-03
1.31000e+02,2.72585e-04
1.32000e+02,0.00000e+00
1.33000e+02,5.06600e-04
1.34000e+02,2.68177e-04
1.35000e+02,2.14288e-03
1.36000e+02,5.59845e-04
1.37000e+02,1.67528e-03
1.38000e+02,2.03289e-03
1.39000e+02,2.44974e-03
1.40000e+02,3.35035e-03
1.41000e+02,2.52629e-03
1.42000e+02,1.88967e-03
1.43000e+02,3.33744e-03
1.44000e+02,2.89825e-03
1.45000e+02,4.39940e-03
1.46000e+02,4.16670e-03
1.47000e+02,3.49428e-03
1.48000e+02,2.21166e-03
1.49000e+02,3.41267e-03
1.50000e+02,4.44276e-03
1.51000e+02,1.52953e-03
1.52000e+02,1.27920e-03
1.53000e+02,6.71686e-04
1.54000e+02,8.47043e-04
1.55000e+02,5.14283e-04
1.56000e+02,0.00000e+00
1.57000e+02,3.96735e-04
1.58000e+02,1.15142e-04
1.59000e+02,1.53874e-03
1.60000e+02,0.00000e+00
1.61000e+02,6.95385e-04
1.62000e+02,0.00000e+00
1.63000e+02,3.93683e-04
1.64000e+02,1.92550e-03
1.65000e+02,1.74580e-03
1.66000e+02,4.79771e-04
1.67000e+02,3.02802e-04
1.68000e+02,1.24494e-03
1.69000e+02,2.49452e-03
1.70000e+02,2.73370e-03
1.71000e+02,1.72325e-03
1.72000e+02,1.10347e-03
1.73000e+02,1.34758e-03
1.74000e+02,2.55276e-03
1.75000e+02,3.70552e-03
1.76000e+02,3.91808e-03
1.77000e+02,1.23825e-03
1.78000e+02,1.64597e-04
1.79000e+02,2.95531e-04
1.80000e+02,1.09735e-03
1.81000e+02,1.53061e-03
1.82000e+02,0.00000e+00
1.83000e+02,3.81476e-05
1.84000e+02,3.58587e-04
1.85000e+02,1.09751e-03
1.86000e+02,1.33919e-03
1.87000e+02,2.51886e-03
1.88000e+02,4.81288e-03
1.89000e+02,5.73393e-03
1.90000e+02,3.99780e-03
1.91000e+02,4.01318e-03
1.92000e+02,4.64561e-03
1.93000e+02,3.32753e-03
1.94000e+02,2.31429e-03
1.95000e+02,1.66122e-03
1.96000e+02,2.34748e-03
1.97000e+02,2.41912e-03
1.98000e+02,2.11282e-03
1.99000e+02,1.05651e-03
2.00000e+02,2.02375e-03
2.01000e+02,1.84954e-03
2.02000e+02,1.87045e-03
2.03000e+02,1.74748e-03
2.04000e+02,1.98062e-03
2.05000e+02,3.03661e-03
2.06000e+02,2.85981e-03
2.07000e+02,1.49367e-03
2.08000e+02,9.29719e-04
2.09000e+02,0.00000e+00
2.10000e+02,1.88550e-03
2.11000e+02,1.77907e-03
2.12000e+02,1.43730e-03
2.13000e+02,3.45879e-03
2.14000e+02,3.23768e-03
2.15000e+02,4.21589e-03
2.16000e+02,6.05426e-03
2.17000e+02,5.66403e-03
2.18000e+02,3.66444e-03
2.19000e+02,1.85213e-03
2.20000e+02,9.49384e-04
2.21000e+02,2.96604e-03
2.22000e+02,3.68786e-03
2.23000e+02,5.21122e-03
2.24000e+02,4.95837e-03
2.25000e+02,5.83192e-03
2.26000e+02,3.28195e-03
2.27000e+02,4.73386e-03
2.28000e+02,4.83212e-03
2.29000e+02,4.19957e-03
2.30000e+02,3.34614e-03
2.31000e+02,4.80521e-03
2.32000e+02,8.13603e-03
2.33000e+02,9.83599e-03
2.34000e+02,1.00136e-02
2.35000e+02,9.38661e-03
2.36000e+02,7.40607e-03
2.37000e+02,5.90977e-03
2.38000e+02,8.81680e-03
2.39000e+02,7.47589e-03
2.40000e+02,8.05229e-03
2.41000e+02,8.45917e-03
2.42000e+02,1.15383e-02
2.43000e+02,1.18062e-02
2.44000e+02,1.29565e-02
2.45000e+02,1.31553e-02
2.46000e+02,1.41506e-02
2.47000e+02,1.57095e-02
2.48000e+02,1.88915e-02
2.49000e+02,1.71538e-02
2.50000e+02,1.87091e-02
2.51000e+02,1.76312e-02
2.52000e+02,1.69571e-02
2.53000e+02,1.61225e-02
2.54000e+02,1.69284e-02
2.55000e+02,1.68054e-02
2.56000e+02,1.63551e-02
2.57000e+02,1.53397e-02
2.58000e+02,1.56211e-02
2.59000e+02,1.71386e-02
2.60000e+02,1.79241e-02
2.61000e+02,1.79168e-02
2.62000e+02,1.89449e-02
2.63000e+02,1.82103e-02
2.64000e+02,1.74008e-02
2.65000e+02,1.66417e-02
2.66000e+02,1.72242e-02
2.67000e+02,1.78362e-02
2.68000e+02,1.94848e-02
2.69000e+02,1.87891e-02
2.70000e+02,1.89473e-02
2.71000e+02,1.69538e-02
2.72000e+02,1.64098e-02
2.73000e+02,1.72147e-02
2.74000e+02,1.69517e-02
2.75000e+02,1.66860e-02
2.76000e+02,1.64086e-02
2.77000e+02,1.62784e-02
2.78000e+02,1.65882e-02
2.79000e+02,1.46925e-02
2.80000e+02,1.69145e-02
2.81000e+02,1.68059e-02
2.82000e+02,1.52944e-02
2.83000e+02,1.40830e-02
2.84000e+02,1.46214e-02
2.85000e+02,1.49961e-02
2.86000e+02,1.40290e-02
2.87000e+02,1.27517e-02
2.88000e+02,1.09414e-02
2.89000e+02,9.01019e-03
2.90000e+02,1.17370e-02
2.91000e+02,1.27984e-02
2.92000e+02,1.43581e-02
