Pixels #,Intensity (a.u.)
0.00000e+00,7.88000e-01
1.00000e+00,7.88344e-01
2.00000e+00,7.87756e-01
3.00000e+00,7.87534e-01
4.00000e+00,7.87310e-01
5.00000e+00,7.87817e-01
6.00000e+00,7.87825e-01
7.00000e+00,7.87663e-01
8.00000e+00,7.88108e-01
9.00000e+00,7.87860e-01
1.00000e+01,7.88595e-01
1.10000e+01,7.88484e-01
1.20000e+01,7.88303e-01
1.30000e+01,7.87215e-01
1.40000e+01,7.87033e-01
1.50000e+01,7.87000e-01
1.60000e+01,7.87024e-01
1.70000e+01,7.87557e-01
1.80000e+01,7.87068e-01
1.90000e+01,7.87023e-01
2.00000e+01,7.86562e-01
2.10000e+01,7.87021e-01
2.20000e+01,7.86827e-01
2.30000e+01,7.86653e-01
2.40000e+01,7.86586e-01
2.50000e+01,7.86730e-01
2.60000e+01,7.87689e-01
2.70000e+01,7.87549e-01
2.80000e+01,7.87218e-01
2.90000e+01,7.87159e-01
3.00000e+01,7.87504e-01
3.10000e+01,7.87734e-01
3.20000e+01,7.87979e-01
3.30000e+01,7.86993e-01
3.40000e+01,7.87958e-01
3.50000e+01,7.87728e-01
3.60000e+01,7.88268e-01
3.70000e+01,7.87754e-01
3.80000e+01,7.88285e-01
3.90000e+01,7.88455e-01
4.00000e+01,7.88521e-01
4.10000e+01,7.87371e-01
4.20000e+01,7.86827e-01
4.30000e+01,7.86927e-01
4.40000e+01,7.86891e-01
4.50000e+01,7.86581e-01
4.60000e+01,7.86813e-01
4.70000e+01,7.87697e-01
4.80000e+01,7.88599e-01
4.90000e+01,7.87919e-01
5.00000e+01,7.87387e-01
5.10000e+01,7.86496e-01
5.20000e+01,7.86793e-01
5.30000e+01,7.86438e-01
5.40000e+01,7.86586e-01
5.50000e+01,7.86147e-01
5.60000e+01,7.86522e-01
5.70000e+01,7.86376e-01
5.80000e+01,7.85972e-01
5.90000e+01,7.85885e-01
6.00000e+01,7.86202e-01
6.10000e+01,7.86712e-01
6.20000e+01,7.86192e-01
6.30000e+01,7.86670e-01
6.40000e+01,7.87398e-01
6.50000e+01,7.87819e-01
6.60000e+01,7.86904e-01
6.70000e+01,7.87378e-01
6.80000e+01,7.87051e-01
6.90000e+01,7.87365e-01
7.00000e+01,7.87297e-01
7.10000e+01,7.87637e-01
7.20000e+01,7.87572e-01
7.30000e+01,7.86603e-01
7.40000e+01,7.86335e-01
7.50000e+01,7.86698e-01
7.60000e+01,7.86939e-01
7.70000e+01,7.87502e-01
7.80000e+01,7.87322e-01
7.90000e+01,7.87559e-01
8.00000e+01,7.87366e-01
8.10000e+01,7.87233e-01
8.20000e+01,7.87141e-01
8.30000e+01,7.87537e-01
8.40000e+01,7.87178e-01
8.50000e+01,7.87707e-01
8.60000e+01,7.87574e-01
8.70000e+01,7.88012e-01
8.80000e+01,7.88015e-01
8.90000e+01,7.88006e-01
9.00000e+01,7.88194e-01
9.10000e+01,7.87549e-01
9.20000e+01,7.86860e-01
9.30000e+01,7.86733e-01
9.40000e+01,7.87187e-01
9.50000e+01,7.88118e-01
