Pixels #,Intensity (a.u.)
0.00000e+00,1.38331e-03
1.00000e+00,1.72955e-03
2.00000e+00,1.14423e-03
3.00000e+00,9.25352e-04
4.00000e+00,7.04879e-04
5.00000e+00,1.21550e-03
6.00000e+00,1.22702e-03
7.00000e+00,1.06870e-03
8.00000e+00,1.51721e-03
9.00000e+00,1.27371e-03
1.00000e+01,2.01302e-03
1.10000e+01,1.90621e-03
1.20000e+01,1.72904e-03
1.30000e+01,6.46223e-04
1.40000e+01,4.69020e-04
1.50000e+01,4.39968e-04
1.60000e+01,4.69345e-04
1.70000e+01,1.00729e-03
1.80000e+01,5.23634e-04
1.90000e+01,4.83543e-04
2.00000e+01,2.82421e-05
2.10000e+01,4.93193e-04
2.20000e+01,3.05199e-04
2.30000e+01,1.36876e-04
2.40000e+01,7.58112e-05
2.50000e+01,2.26682e-04
2.60000e+01,1.19161e-03
2.70000e+01,1.05984e-03
2.80000e+01,7.36038e-04
2.90000e+01,6.85776e-04
3.00000e+01,1.04196e-03
3.10000e+01,1.28515e-03
3.20000e+01,1.54051e-03
3.30000e+01,5.63861e-04
3.40000e+01,1.53678e-03
3.50000e+01,1.31336e-03
3.60000e+01,1.86119e-03
3.70000e+01,1.35436e-03
3.80000e+01,1.89283e-03
3.90000e+01,2.07063e-03
4.00000e+01,2.14349e-03
4.10000e+01,1.00116e-03
4.20000e+01,4.64658e-04
4.30000e+01,5.72734e-04
4.40000e+01,5.44429e-04
4.50000e+01,2.42104e-04
4.60000e+01,4.81810e-04
4.70000e+01,1.37371e-03
4.80000e+01,2.28334e-03
4.90000e+01,1.61185e-03
5.00000e+01,1.08748e-03
5.10000e+01,2.03924e-04
5.20000e+01,5.09372e-04
5.30000e+01,1.61749e-04
5.40000e+01,3.17688e-04
5.50000e+01,0.00000e+00
5.60000e+01,2.82011e-04
5.70000e+01,2.11814e-04
5.80000e+01,0.00000e+00
5.90000e+01,0.00000e+00
6.00000e+01,1.58541e-04
6.10000e+01,5.99966e-04
6.20000e+01,0.00000e+00
6.30000e+01,4.71196e-04
6.40000e+01,1.20596e-03
6.50000e+01,1.63431e-03
6.60000e+01,7.26284e-04
6.70000e+01,1.20774e-03
6.80000e+01,8.87499e-04
6.90000e+01,1.20905e-03
7.00000e+01,1.14822e-03
7.10000e+01,1.49572e-03
7.20000e+01,1.43735e-03
7.30000e+01,4.76558e-04
7.40000e+01,2.15252e-04
7.50000e+01,5.85987e-04
7.60000e+01,8.33441e-04
7.70000e+01,1.40440e-03
7.80000e+01,1.23176e-03
7.90000e+01,1.47606e-03
8.00000e+01,1.29101e-03
8.10000e+01,1.16517e-03
8.20000e+01,1.08056e-03
8.30000e+01,1.48426e-03
8.40000e+01,1.13298e-03
8.50000e+01,1.66706e-03
8.60000e+01,1.54190e-03
8.70000e+01,1.98598e-03
8.80000e+01,1.99204e-03
8.90000e+01,1.98428e-03
9.00000e+01,2.17750e-03
9.10000e+01,1.53801e-03
9.20000e+01,8.56760e-04
9.30000e+01,7.37821e-04
9.40000e+01,1.20001e-03
9.50000e+01,2.13865e-03
9.60000e+01,1.76082e-03
9.70000e+01,6.41473e-04
9.80000e+01,8.20440e-04
9.90000e+01,9.32957e-04
1.00000e+02,8.65803e-04
1.01000e+02,2.36893e-04
1.02000e+02,4.19234e-04
1.03000e+02,5.11934e-04
1.04000e+02,1.46685e-03
1.05000e+02,1.77055e-03
1.06000e+02,1.70515e-03
1.07000e+02,1.13220e-03
1.08000e+02,3.53436e-04
1.09000e+02,3.09934e-04
1.10000e+02,2.35687e-04
1.11000e+02,6.60792e-04
1.12000e+02,9.63594e-04
1.13000e+02,1.07299e-03
1.14000e+02,6.40191e-04
1.15000e+02,1.18345e-03
1.16000e+02,9.93777e-04
1.17000e+02,7.06003e-04
1.18000e+02,6.77515e-04
1.19000e+02,7.41630e-04
1.20000e+02,5.54993e-04
1.21000e+02,4.83483e-04
1.22000e+02,9.54441e-04
1.23000e+02,9.43421e-04
1.24000e+02,9.51486e-04
1.25000e+02,1.06002e-03
1.26000e+02,1.27021e-03
1.27000e+02,1.30588e-03
1.28000e+02,1.71329e-03
1.29000e+02,1.45364e-03
1.30000e+02,1.26695e-03
1.31000e+02,6.80164e-04
1.32000e+02,1.11373e-04
1.33000e+02,0.00000e+00
1.34000e+02,2.13321e-04
1.35000e+02,4.14219e-04
1.36000e+02,3.39579e-04
1.37000e+02,9.97343e-05
1.38000e+02,4.05859e-04
1.39000e+02,5.77397e-04
1.40000e+02,7.70900e-04
1.41000e+02,6.97110e-04
1.42000e+02,6.24479e-04
1.43000e+02,1.12606e-03
1.44000e+02,3.56549e-04
1.45000e+02,6.98999e-04
1.46000e+02,2.97910e-04
1.47000e+02,8.82367e-04
1.48000e+02,3.21907e-04
1.49000e+02,5.87946e-04
1.50000e+02,9.30415e-04
1.51000e+02,8.20401e-04
1.52000e+02,6.63465e-04
1.53000e+02,2.74531e-04
1.54000e+02,4.63351e-04
1.55000e+02,6.18939e-04
1.56000e+02,6.00284e-04
1.57000e+02,7.93333e-04
1.58000e+02,5.77684e-04
1.59000e+02,7.15050e-04
1.60000e+02,3.50800e-04
1.61000e+02,1.39390e-04
1.62000e+02,0.00000e+00
1.63000e+02,5.12951e-04
1.64000e+02,3.24462e-04
1.65000e+02,2.79761e-04
1.66000e+02,6.39810e-05
1.67000e+02,1.63911e-05
1.68000e+02,6.78210e-04
1.69000e+02,1.23234e-03
1.70000e+02,6.37831e-04
1.71000e+02,5.05362e-04
1.72000e+02,6.06177e-04
1.73000e+02,1.41644e-03
1.74000e+02,1.32457e-03
1.75000e+02,6.68729e-04
1.76000e+02,3.81358e-04
1.77000e+02,0.00000e+00
1.78000e+02,0.00000e+00
1.79000e+02,1.24971e-04
1.80000e+02,3.75334e-04
1.81000e+02,9.33366e-04
1.82000e+02,8.63366e-04
1.83000e+02,1.62285e-03
1.84000e+02,1.45220e-03
1.85000e+02,9.57536e-04
1.86000e+02,1.16709e-03
1.87000e+02,1.97087e-03
1.88000e+02,2.36135e-03
1.89000e+02,1.75348e-03
1.90000e+02,1.17139e-03
1.91000e+02,1.99542e-03
1.92000e+02,2.02272e-03
1.93000e+02,1.31299e-03
1.94000e+02,6.37568e-04
1.95000e+02,3.66123e-04
1.96000e+02,7.80525e-04
1.97000e+02,3.68216e-04
1.98000e+02,1.23346e-04
1.99000e+02,0.00000e+00
2.00000e+02,0.00000e+00
2.01000e+02,3.54009e-04
2.02000e+02,7.91175e-04
2.03000e+02,1.12655e-03
2.04000e+02,1.45583e-03
2.05000e+02,1.75065e-03
2.06000e+02,1.22327e-03
2.07000e+02,2.55478e-04
2.08000e+02,0.00000e+00
2.09000e+02,1.60525e-04
2.10000e+02,8.27515e-04
2.11000e+02,1.94477e-03
2.12000e+02,2.74397e-03
2.13000e+02,2.16218e-03
2.14000e+02,1.51629e-03
2.15000e+02,1.40136e-03
2.16000e+02,1.78563e-03
2.17000e+02,2.83343e-03
2.18000e+02,1.78659e-03
2.19000e+02,1.33958e-03
2.20000e+02,1.25923e-03
2.21000e+02,1.86512e-03
2.22000e+02,1.85659e-03
2.23000e+02,1.79357e-03
2.24000e+02,2.50478e-03
2.25000e+02,2.84953e-03
2.26000e+02,3.53007e-03
2.27000e+02,3.10578e-03
2.28000e+02,3.00039e-03
2.29000e+02,3.46198e-03
2.30000e+02,3.52792e-03
2.31000e+02,2.86884e-03
2.32000e+02,2.51963e-03
2.33000e+02,2.97592e-03
2.34000e+02,3.54724e-03
2.35000e+02,3.09432e-03
2.36000e+02,2.29380e-03
2.37000e+02,3.15133e-03
2.38000e+02,3.42223e-03
2.39000e+02,3.26643e-03
2.40000e+02,2.48616e-03
2.41000e+02,2.89000e-03
2.42000e+02,3.53011e-03
2.43000e+02,3.63898e-03
2.44000e+02,3.67867e-03
2.45000e+02,3.64008e-03
2.46000e+02,3.76309e-03
2.47000e+02,3.16606e-03
2.48000e+02,3.26384e-03
2.49000e+02,3.00206e-03
2.50000e+02,3.21694e-03
2.51000e+02,3.47239e-03
2.52000e+02,3.75410e-03
2.53000e+02,4.14297e-03
2.54000e+02,3.73232e-03
2.55000e+02,3.67729e-03
2.56000e+02,2.69766e-03
2.57000e+02,2.67428e-03
2.58000e+02,2.70292e-03
2.59000e+02,2.97536e-03
2.60000e+02,3.83514e-03
2.61000e+02,3.79330e-03
2.62000e+02,3.71811e-03
2.63000e+02,2.69130e-03
2.64000e+02,3.02463e-03
2.65000e+02,1.87992e-03
2.66000e+02,2.51712e-03
2.67000e+02,2.76594e-03
2.68000e+02,3.07712e-03
2.69000e+02,2.69668e-03
2.70000e+02,3.06020e-03
2.71000e+02,3.02173e-03
2.72000e+02,2.94720e-03
2.73000e+02,2.64128e-03
2.74000e+02,2.29503e-03
2.75000e+02,2.87527e-03
2.76000e+02,2.61194e-03
2.77000e+02,3.21407e-03
2.78000e+02,3.07828e-03
2.79000e+02,2.71417e-03
2.80000e+02,2.53893e-03
2.81000e+02,2.50191e-03
2.82000e+02,2.76331e-03
2.83000e+02,2.60414e-03
2.84000e+02,2.71807e-03
2.85000e+02,2.88157e-03
2.86000e+02,2.59020e-03
2.87000e+02,1.88099e-03
2.88000e+02,1.94627e-03
2.89000e+02,1.75390e-03
2.90000e+02,2.09246e-03
2.91000e+02,1.74916e-03
2.92000e+02,2.42444e-03
