Pixels #,Intensity (a.u.)
0.00000e+00,7.55610e+00
1.00000e+00,7.55595e+00
2.00000e+00,7.55656e+00
3.00000e+00,7.55560e+00
4.00000e+00,7.55609e+00
5.00000e+00,7.55620e+00
6.00000e+00,7.55536e+00
7.00000e+00,7.55592e+00
8.00000e+00,7.55595e+00
9.00000e+00,7.55700e+00
1.00000e+01,7.55681e+00
1.10000e+01,7.55484e+00
1.20000e+01,7.55686e+00
1.30000e+01,7.55530e+00
1.40000e+01,7.55582e+00
1.50000e+01,7.55483e+00
1.60000e+01,7.55664e+00
1.70000e+01,7.55827e+00
1.80000e+01,7.55843e+00
1.90000e+01,7.55637e+00
2.00000e+01,7.55581e+00
2.10000e+01,7.55409e+00
2.20000e+01,7.55615e+00
2.30000e+01,7.55552e+00
2.40000e+01,7.55796e+00
2.50000e+01,7.55783e+00
2.60000e+01,7.55731e+00
2.70000e+01,7.55687e+00
2.80000e+01,7.55664e+00
2.90000e+01,7.55736e+00
3.00000e+01,7.55799e+00
3.10000e+01,7.55916e+00
3.20000e+01,7.55957e+00
3.30000e+01,7.55701e+00
3.40000e+01,7.55595e+00
3.50000e+01,7.55500e+00
3.60000e+01,7.55763e+00
3.70000e+01,7.55898e+00
3.80000e+01,7.55836e+00
3.90000e+01,7.55728e+00
4.00000e+01,7.55762e+00
4.10000e+01,7.55724e+00
4.20000e+01,7.55631e+00
4.30000e+01,7.55757e+00
4.40000e+01,7.55808e+00
4.50000e+01,7.55772e+00
4.60000e+01,7.55634e+00
4.70000e+01,7.55659e+00
4.80000e+01,7.55741e+00
4.90000e+01,7.55785e+00
5.00000e+01,7.55730e+00
5.10000e+01,7.55499e+00
5.20000e+01,7.55537e+00
5.30000e+01,7.55496e+00
5.40000e+01,7.55534e+00
5.50000e+01,7.55551e+00
5.60000e+01,7.55729e+00
5.70000e+01,7.55935e+00
5.80000e+01,7.55933e+00
5.90000e+01,7.55858e+00
6.00000e+01,7.55751e+00
6.10000e+01,7.55703e+00
6.20000e+01,7.55527e+00
6.30000e+01,7.55530e+00
6.40000e+01,7.55766e+00
6.50000e+01,7.55942e+00
6.60000e+01,7.55950e+00
