Pixels #,Intensity (a.u.)
0.00000e+00,1.17730e-03
1.00000e+00,1.01974e-03
2.00000e+00,1.62817e-03
3.00000e+00,6.67893e-04
4.00000e+00,1.15712e-03
5.00000e+00,1.26170e-03
6.00000e+00,4.23161e-04
7.00000e+00,9.79191e-04
8.00000e+00,1.00445e-03
9.00000e+00,2.05247e-03
1.00000e+01,1.86634e-03
1.10000e+01,0.00000e+00
1.20000e+01,1.90544e-03
1.30000e+01,3.42325e-04
1.40000e+01,8.54205e-04
1.50000e+01,0.00000e+00
1.60000e+01,1.66683e-03
1.70000e+01,3.29190e-03
1.80000e+01,3.45165e-03
1.90000e+01,1.38930e-03
2.00000e+01,8.15981e-04
2.10000e+01,0.00000e+00
2.20000e+01,1.14273e-03
2.30000e+01,5.07621e-04
2.40000e+01,2.94517e-03
2.50000e+01,2.81172e-03
2.60000e+01,2.28573e-03
2.70000e+01,1.83920e-03
2.80000e+01,1.61220e-03
2.90000e+01,2.32127e-03
3.00000e+01,2.95023e-03
3.10000e+01,4.10967e-03
3.20000e+01,4.51557e-03
3.30000e+01,1.94635e-03
3.40000e+01,8.77090e-04
3.50000e+01,0.00000e+00
3.60000e+01,2.53786e-03
3.70000e+01,3.88173e-03
3.80000e+01,3.24484e-03
3.90000e+01,2.15638e-03
4.00000e+01,2.48587e-03
4.10000e+01,2.08497e-03
4.20000e+01,1.13817e-03
4.30000e+01,2.37565e-03
4.40000e+01,2.86816e-03
4.50000e+01,2.49467e-03
4.60000e+01,1.09301e-03
4.70000e+01,1.32042e-03
4.80000e+01,2.11906e-03
4.90000e+01,2.53151e-03
5.00000e+01,1.95028e-03
5.10000e+01,0.00000e+00
5.20000e+01,1.90738e-04
5.30000e+01,0.00000e+00
5.40000e+01,1.92264e-04
5.50000e+01,8.39246e-05
5.60000e+01,1.82699e-03
5.70000e+01,3.88492e-03
5.80000e+01,3.82912e-03
5.90000e+01,2.96141e-03
6.00000e+01,1.80531e-03
6.10000e+01,1.29444e-03
6.20000e+01,0.00000e+00
6.30000e+01,1.67849e-05
6.40000e+01,1.82269e-03
6.50000e+01,3.54635e-03
6.60000e+01,3.59715e-03
6.70000e+01,4.36770e-03
6.80000e+01,2.88860e-03
6.90000e+01,4.00613e-03
7.00000e+01,3.85690e-03
7.10000e+01,5.05918e-03
7.20000e+01,6.14219e-03
7.30000e+01,4.72548e-03
7.40000e+01,4.00415e-03
7.50000e+01,2.20517e-03
7.60000e+01,2.23697e-03
7.70000e+01,3.57473e-03
7.80000e+01,1.87889e-03
7.90000e+01,2.95425e-03
8.00000e+01,3.91579e-03
8.10000e+01,5.25882e-03
8.20000e+01,5.63013e-03
8.30000e+01,3.06555e-03
8.40000e+01,3.03834e-03
8.50000e+01,4.30515e-03
8.60000e+01,3.53570e-03
8.70000e+01,2.30254e-03
8.80000e+01,2.91414e-03
8.90000e+01,3.83201e-03
9.00000e+01,5.98281e-03
9.10000e+01,5.73171e-03
9.20000e+01,6.61558e-03
9.30000e+01,5.46743e-03
9.40000e+01,4.65501e-03
9.50000e+01,4.96874e-03
9.60000e+01,3.84510e-03
9.70000e+01,4.25654e-03
9.80000e+01,3.98439e-03
9.90000e+01,4.09679e-03
1.00000e+02,4.26716e-03
1.01000e+02,4.82816e-03
1.02000e+02,4.09823e-03
1.03000e+02,4.14343e-03
1.04000e+02,1.93637e-03
1.05000e+02,5.28379e-03
1.06000e+02,5.15520e-03
1.07000e+02,4.54169e-03
1.08000e+02,4.62726e-03
1.09000e+02,2.39140e-03
1.10000e+02,3.96615e-03
1.11000e+02,3.94420e-03
1.12000e+02,5.55531e-03
1.13000e+02,2.92789e-03
1.14000e+02,1.65267e-03
1.15000e+02,2.31856e-03
1.16000e+02,2.42908e-03
1.17000e+02,2.34729e-03
1.18000e+02,2.75367e-03
1.19000e+02,2.82440e-03
1.20000e+02,5.51042e-03
1.21000e+02,5.20241e-03
1.22000e+02,3.63029e-03
1.23000e+02,1.47761e-03
1.24000e+02,3.74624e-03
1.25000e+02,2.78862e-03
1.26000e+02,3.82884e-03
1.27000e+02,5.18255e-03
1.28000e+02,5.80295e-03
1.29000e+02,5.40648e-03
1.30000e+02,4.09686e-03
1.31000e+02,1.73976e-03
1.32000e+02,0.00000e+00
