Pixels #,Intensity (a.u.)
0.00000e+00,7.55728e+00
1.00000e+00,7.55819e+00
2.00000e+00,7.55730e+00
3.00000e+00,7.55672e+00
4.00000e+00,7.55646e+00
5.00000e+00,7.55694e+00
6.00000e+00,7.55671e+00
7.00000e+00,7.55883e+00
8.00000e+00,7.55832e+00
9.00000e+00,7.55669e+00
1.00000e+01,7.55650e+00
1.10000e+01,7.55565e+00
1.20000e+01,7.55682e+00
1.30000e+01,7.55702e+00
1.40000e+01,7.55705e+00
1.50000e+01,7.55630e+00
1.60000e+01,7.55620e+00
1.70000e+01,7.55563e+00
1.80000e+01,7.55644e+00
1.90000e+01,7.55625e+00
2.00000e+01,7.55571e+00
2.10000e+01,7.55331e+00
2.20000e+01,7.55414e+00
2.30000e+01,7.55300e+00
2.40000e+01,7.55644e+00
2.50000e+01,7.55703e+00
2.60000e+01,7.55939e+00
2.70000e+01,7.55711e+00
2.80000e+01,7.55705e+00
2.90000e+01,7.55749e+00
3.00000e+01,7.55788e+00
3.10000e+01,7.55861e+00
3.20000e+01,7.55845e+00
3.30000e+01,7.55717e+00
3.40000e+01,7.55961e+00
3.50000e+01,7.55832e+00
3.60000e+01,7.56033e+00
3.70000e+01,7.55900e+00
3.80000e+01,7.55831e+00
3.90000e+01,7.55868e+00
4.00000e+01,7.55772e+00
4.10000e+01,7.55574e+00
4.20000e+01,7.55524e+00
4.30000e+01,7.55545e+00
4.40000e+01,7.55580e+00
4.50000e+01,7.55672e+00
4.60000e+01,7.55553e+00
4.70000e+01,7.55757e+00
4.80000e+01,7.55737e+00
4.90000e+01,7.55724e+00
5.00000e+01,7.55603e+00
5.10000e+01,7.55592e+00
5.20000e+01,7.55650e+00
5.30000e+01,7.55618e+00
5.40000e+01,7.55504e+00
5.50000e+01,7.55472e+00
5.60000e+01,7.55497e+00
5.70000e+01,7.55611e+00
5.80000e+01,7.55681e+00
5.90000e+01,7.55655e+00
6.00000e+01,7.55543e+00
6.10000e+01,7.55505e+00
6.20000e+01,7.55364e+00
